 ,X,Y
1,155.000,145.000
2,155.436,143.312
3,155.756,141.017
4,155.949,138.370
5,156.007,135.622
6,155.924,133.004
7,155.725,130.561
8,155.451,128.247
9,155.143,126.016
10,154.840,123.821
11,154.562,121.626
12,154.312,119.402
13,154.093,117.120
14,153.906,114.753
15,153.731,112.325
16,153.528,109.906
17,153.257,107.569
18,152.876,105.384
19,152.375,103.372
20,151.797,101.466
21,151.188,99.588
22,150.591,97.669
23,150.023,95.709
24,149.478,93.749
25,148.954,91.832
26,148.436,89.988
27,147.872,88.204
28,147.204,86.461
29,146.385,84.741
30,145.471,83.022
31,144.575,81.284
32,143.807,79.504
33,143.202,77.686
34,142.658,75.879
35,142.055,74.136
36,141.294,72.498
37,140.377,70.949
38,139.336,69.450
39,138.202,67.967
40,137.013,66.487
41,135.809,65.007
42,134.627,63.526
43,133.474,62.044
44,132.306,60.563
45,131.074,59.085
46,129.740,57.616
47,128.328,56.179
48,126.879,54.798
49,125.434,53.501
50,123.997,52.287
51,122.526,51.125
52,120.974,49.981
53,119.315,48.831
54,117.606,47.693
55,115.919,46.595
56,114.327,45.564
57,112.820,44.605
58,111.293,43.697
59,109.636,42.817
60,107.798,41.953
61,105.854,41.123
62,103.901,40.345
63,102.026,39.638
64,100.203,39.013
65,98.298,38.475
66,96.171,38.029
67,93.729,37.686
68,91.099,37.489
69,88.480,37.494
70,86.068,37.756
71,84.053,38.325
72,82.433,39.176
73,81.015,40.205
74,79.597,41.305
75,78.082,42.422
76,76.559,43.592
77,75.134,44.864
78,73.888,46.272
79,72.748,47.770
80,71.593,49.288
81,70.305,50.758
82,68.880,52.166
83,67.421,53.553
84,66.035,54.961
85,64.799,56.422
86,63.650,57.914
87,62.493,59.405
88,61.233,60.864
89,59.856,62.284
90,58.406,63.679
91,56.931,65.065
92,55.470,66.454
93,54.044,67.856
94,52.668,69.277
95,51.355,70.725
96,50.116,72.199
97,48.955,73.687
98,47.874,75.180
99,46.874,76.679
100,45.948,78.216
101,45.085,79.830
102,44.272,81.556
103,43.480,83.402
104,42.671,85.370
105,41.808,87.460
106,40.876,89.648
107,39.903,91.862
108,38.925,94.023
109,37.975,96.052
110,37.078,97.898
111,36.218,99.615
112,35.368,101.280
113,34.506,102.969
114,33.628,104.702
115,32.756,106.453
116,31.905,108.196
117,31.081,109.918
118,30.241,111.640
119,29.335,113.388
120,28.320,115.189
121,27.226,117.036
122,26.133,118.900
123,25.124,120.756
124,24.256,122.575
125,23.453,124.341
126,22.589,126.038
127,21.540,127.651
128,20.259,129.166
129,18.800,130.566
130,17.224,131.835
131,15.597,132.975
132,14.023,134.083
133,12.619,135.292
134,11.497,136.734
135,10.631,138.417
136,9.849,140.229
137,8.973,142.049
138,7.908,143.794
139,6.870,145.499
140,6.145,147.232
141,6.000,149.055
142,6.424,150.975
143,7.169,152.950
144,7.977,154.940
145,8.646,156.910
146,9.189,158.857
147,9.682,160.787
148,10.197,162.708
149,10.763,164.629
150,11.340,166.567
151,11.883,168.537
152,12.360,170.548
153,12.828,172.556
154,13.389,174.493
155,14.144,176.287
156,15.151,177.898
157,16.360,179.362
158,17.706,180.723
159,19.127,182.020
160,20.597,183.250
161,22.103,184.386
162,23.634,185.405
163,25.182,186.328
164,26.738,187.230
165,28.295,188.191
166,29.840,189.266
167,31.336,190.454
168,32.748,191.747
169,34.044,193.134
170,35.242,194.599
171,36.375,196.122
172,37.480,197.682
173,38.600,199.238
174,39.783,200.725
175,41.080,202.074
176,42.513,203.258
177,44.023,204.383
178,45.532,205.581
179,46.969,206.968
180,48.348,208.478
181,49.736,209.929
182,51.200,211.140
183,52.800,211.994
184,54.567,212.559
185,56.530,212.933
186,58.710,213.206
187,61.056,213.433
188,63.486,213.646
189,65.916,213.878
190,68.267,214.162
191,70.525,214.478
192,72.735,214.764
193,74.945,214.959
194,77.200,214.999
195,79.493,214.871
196,81.769,214.601
197,83.971,214.219
198,86.045,213.752
199,87.999,213.223
200,89.903,212.652
201,91.827,212.054
202,93.829,211.450
203,95.904,210.875
204,98.026,210.370
205,100.170,209.974
206,102.311,209.700
207,104.436,209.482
208,106.533,209.237
209,108.591,208.881
210,110.599,208.383
211,112.548,207.797
212,114.429,207.186
213,116.237,206.605
214,118.002,206.044
215,119.780,205.446
216,121.622,204.759
217,123.540,203.967
218,125.474,203.123
219,127.361,202.283
220,129.138,201.494
221,130.770,200.684
222,132.239,199.701
223,133.526,198.397
224,134.663,196.769
225,135.732,194.993
226,136.821,193.258
227,138.000,191.714
228,139.227,190.295
229,140.413,188.843
230,141.473,187.208
231,142.378,185.358
232,143.160,183.393
233,143.856,181.420
234,144.500,179.535
235,145.106,177.741
236,145.681,175.996
237,146.232,174.260
238,146.783,172.503
239,147.374,170.712
240,148.051,168.870
241,148.834,166.975
242,149.675,165.056
243,150.514,163.149
244,151.287,161.289
245,151.956,159.456
246,152.506,157.553
247,152.927,155.478
248,153.218,153.161
249,153.435,150.781
250,153.666,148.631
251,153.998,147.005
252,154.479,146.012
253,155.000,145.000
