 ,X,Y
1,231.000,29.000
2,228.646,28.756
3,226.175,28.594
4,223.733,28.607
5,221.471,28.890
6,219.511,29.514
7,217.790,30.394
8,216.154,31.366
9,214.450,32.265
10,212.633,33.046
11,210.838,33.848
12,209.215,34.830
13,207.883,36.118
14,206.748,37.629
15,205.637,39.200
16,204.381,40.675
17,202.954,42.030
18,201.484,43.385
19,200.105,44.869
20,198.922,46.578
21,197.886,48.448
22,196.900,50.368
23,195.866,52.223
24,194.731,53.944
25,193.566,55.585
26,192.464,57.221
27,191.513,58.924
28,190.688,60.690
29,189.867,62.447
30,188.922,64.121
31,187.780,65.666
32,186.541,67.125
33,185.340,68.557
34,184.297,70.021
35,183.388,71.541
36,182.502,73.126
37,181.528,74.782
38,180.437,76.484
39,179.286,78.179
40,178.136,79.809
41,177.048,81.338
42,176.069,82.836
43,175.243,84.413
44,174.608,86.169
45,174.101,88.092
46,173.596,90.096
47,172.966,92.092
48,172.137,94.015
49,171.231,95.894
50,170.408,97.774
51,169.829,99.699
52,169.522,101.679
53,169.328,103.671
54,169.072,105.628
55,168.608,107.515
56,167.996,109.384
57,167.386,111.329
58,166.927,113.441
59,166.710,115.766
60,166.687,118.248
61,166.792,120.818
62,166.959,123.406
63,167.131,125.946
64,167.310,128.403
65,167.531,130.760
66,167.827,132.999
67,168.229,135.103
68,168.739,137.086
69,169.324,138.992
70,169.953,140.864
71,170.593,142.743
72,171.197,144.656
73,171.718,146.624
74,172.109,148.667
75,172.371,150.780
76,172.585,152.916
77,172.840,155.027
78,173.220,157.063
79,173.737,159.020
80,174.334,160.937
81,174.953,162.850
82,175.543,164.791
83,176.102,166.746
84,176.639,168.691
85,177.167,170.599
86,177.705,172.450
87,178.292,174.231
88,178.968,175.928
89,179.764,177.536
90,180.680,179.080
91,181.705,180.592
92,182.829,182.102
93,184.017,183.604
94,185.224,185.073
95,186.407,186.483
96,187.577,187.814
97,188.828,189.052
98,190.261,190.185
99,191.910,191.230
100,193.653,192.284
101,195.344,193.452
102,196.846,194.832
103,198.189,196.355
104,199.534,197.822
105,201.047,199.029
106,202.840,199.840
107,204.822,200.363
108,206.856,200.762
109,208.810,201.199
110,210.633,201.749
111,212.380,202.377
112,214.110,203.042
113,215.883,203.703
114,217.760,204.306
115,219.802,204.798
116,222.066,205.127
117,224.533,205.280
118,227.095,205.286
119,229.641,205.180
120,232.060,204.994
121,234.277,204.759
122,236.357,204.494
123,238.398,204.214
124,240.496,203.937
125,242.700,203.672
126,244.967,203.421
127,247.239,203.181
128,249.461,202.953
129,251.602,202.727
130,253.695,202.482
131,255.776,202.196
132,257.883,201.844
133,260.016,201.413
134,262.128,200.895
135,264.172,200.285
136,266.101,199.579
137,267.901,198.774
138,269.590,197.873
139,271.184,196.877
140,272.703,195.788
141,274.173,194.610
142,275.620,193.346
143,277.068,192.001
144,278.507,190.598
145,279.907,189.167
146,281.239,187.739
147,282.486,186.322
148,283.662,184.868
149,284.784,183.321
150,285.869,181.641
151,286.952,179.898
152,288.071,178.210
153,289.264,176.696
154,290.536,175.397
155,291.821,174.197
156,293.042,172.953
157,294.136,171.556
158,295.081,170.008
159,295.869,168.332
160,296.499,166.557
161,297.048,164.740
162,297.628,162.950
163,298.345,161.253
164,299.227,159.668
165,300.210,158.154
166,301.225,156.670
167,302.215,155.175
168,303.148,153.633
169,303.997,152.007
170,304.734,150.265
171,305.341,148.382
172,305.800,146.336
173,306.094,144.107
174,306.228,141.708
175,306.234,139.200
176,306.149,136.644
177,306.007,134.104
178,305.836,131.632
179,305.635,129.234
180,305.391,126.900
181,305.094,124.623
182,304.730,122.396
183,304.286,120.234
184,303.743,118.165
185,303.084,116.215
186,302.299,114.400
187,301.427,112.679
188,300.518,110.986
189,299.626,109.260
190,298.767,107.491
191,297.912,105.737
192,297.033,104.059
193,296.108,102.495
194,295.164,100.982
195,294.236,99.427
196,293.358,97.752
197,292.512,95.988
198,291.654,94.225
199,290.740,92.552
200,289.769,91.000
201,288.816,89.487
202,287.961,87.920
203,287.262,86.231
204,286.680,84.440
205,286.159,82.585
206,285.644,80.699
207,285.109,78.788
208,284.547,76.836
209,283.948,74.830
210,283.298,72.781
211,282.546,70.789
212,281.642,68.968
213,280.535,67.431
214,279.256,66.163
215,277.947,64.984
216,276.758,63.703
217,275.764,62.218
218,274.881,60.617
219,274.008,59.014
220,273.071,57.487
221,272.111,55.978
222,271.200,54.394
223,270.392,52.660
224,269.617,50.847
225,268.741,49.100
226,267.631,47.564
227,266.245,46.289
228,264.698,45.170
229,263.120,44.086
230,261.614,42.940
231,260.159,41.743
232,258.693,40.541
233,257.157,39.378
234,255.532,38.261
235,253.834,37.163
236,252.084,36.053
237,250.295,34.917
238,248.470,33.799
239,246.604,32.763
240,244.694,31.871
241,242.746,31.159
242,240.788,30.603
243,238.851,30.166
244,236.961,29.813
245,235.085,29.516
246,233.128,29.253
247,231.000,29.000
