TimesH,Frame,NoMissing,4,4,5,5,7,7,13,13,15,15,22,22,23,23,25,25,27,27,35,35,40,40,42,42,45,45,50,50,52,52,55,55,59,59,64,64,68,68,69,69,72,72,77,77,78,78,87,87,95,95,98,98,102,102,106,106,108,108,110,110,118,118,124,124,128,128,129,129,132,132,135,135,137,137,150,150,153,153,156,156,158,158,159,159,160,160,161,161,164,164,172,172,173,173,174,174,178,178,183,183,184,184,185,185,189,189,196,196,198,198,202,202,211,211,214,214,216,216,217,217,220,220,223,223,224,224,226,226,227,227,229,229,237,237,255,255,258,258,264,264,274,274,277,277,283,283,285,285,288,288,297,297,300,300,303,303,304,304,305,305,313,313,317,317,320,320,322,322,324,324,327,327,331,331,339,339,342,342,345,345,346,346,355,355,389,389,445,445,447,447,477,477,499,499,583,583,603,603,649,649,694,694,708,708,755,755,852,852,881,881
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,274.663,113.676,143.12,115.375,232.516,118.993,203.05599999999998,116.81,288.508,124.805,130.601,122.274,155.283,121.11399999999999,204.732,129.543,221.93599999999998,127.904,266.363,133.759,87.477,131.826,249.52200000000002,136.012,237.35,135.032,113.669,137.67,155.56799999999998,141.083,200.771,139.155,95.756,142.752,120.348,142.433,235.459,146.25799999999998,316.298,144.92,110.553,149.94899999999998,225.067,149.145,79.759,148.16,213.655,154.935,231.297,154.292,114.72200000000001,154.183,303.882,160.376,,,240.89,159.879,189.27900000000002,156.86700000000002,209.18,162.74,70.263,163.14600000000002,218.283,161.71200000000002,114.30799999999999,167.554,242.33599999999998,35.08,89.36200000000001,167.28599999999997,252.56099999999998,163.78,196.747,169.25900000000001,132.349,169.541,77.493,169.105,59.905,173.067,238.597,48.482,250.90200000000002,172.80700000000002,83.705,50.979,242.877,172.41099999999997,88.251,175.27,120.939,175.324,101.296,61.458,73.462,175.31400000000002,101.08200000000001,174.329,258.066,173.315,105.795,51.806999999999995,277.434,64.12899999999999,109.25399999999999,179.40400000000002,221.248,63.528,82.31,178.831,145.674,68.074,101.971,70.164,227.265,187.795,218.24200000000002,184.641,266.026,186.52,232.512,67.566,65.444,185.192,287.327,66.532,196.96099999999998,185.237,227.17,66.094,123.516,75.259,236.424,188.523,114.089,77.722,247.19799999999998,204.762,294.533,74.81,203.326,76.16199999999999,228.79,80.223,233.919,80.97800000000001,211.829,78.60300000000001,136.048,78.943,118.296,89.52799999999999,281.445,84.119,200.456,85.068,83.338,83.009,78.47,88.779,104.601,93.22,88.234,90.779,83.432,97.92200000000001,240.298,94.11,140.58,99.89200000000001,287.264,98.01,151.16299999999998,102.5,216.708,105.19,78.758,105.1,135.043,104.51700000000001,240.38400000000001,107.426,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,274.66200000000003,113.624,143.161,115.50299999999999,232.44299999999998,118.95100000000001,203.074,116.83,288.612,124.775,130.60299999999998,122.20299999999999,155.256,121.20200000000001,204.736,129.578,221.949,127.874,266.334,133.5,87.35,131.727,249.52900000000002,135.999,237.41400000000002,135.046,113.648,137.666,155.62,141.039,200.89,139.02700000000002,95.742,142.744,120.288,142.405,235.46400000000003,146.251,316.327,144.963,110.48299999999999,150.016,225.101,149.105,79.71600000000001,148.18200000000002,213.607,155.007,231.213,154.274,114.68799999999999,154.265,303.941,160.278,141.844,159.986,240.94799999999998,159.843,189.245,156.817,209.233,162.686,70.2,163.128,218.31599999999997,161.619,114.266,167.481,242.301,35.086,89.33,167.25099999999998,252.6,163.749,196.804,169.324,132.398,169.49200000000002,77.48899999999999,168.957,59.943000000000005,173.028,238.56099999999998,48.518,250.952,172.753,83.787,51.004,242.86900000000003,172.354,88.223,175.27599999999998,120.96600000000001,175.238,101.265,61.45399999999999,73.484,175.321,101.083,174.294,258.07,173.333,105.787,51.803000000000004,277.405,64.132,109.242,179.391,221.36,63.52,82.26700000000001,178.862,145.665,68.089,101.95,70.115,227.252,187.763,218.294,184.6,266.063,186.34799999999998,232.467,67.395,65.52,185.31099999999998,287.3,66.56,196.878,185.301,227.2,66.055,123.48299999999999,75.288,236.326,188.412,114.133,77.642,247.167,204.68200000000002,294.519,74.789,203.30900000000003,76.141,228.705,80.215,234.06799999999998,80.944,211.85299999999998,78.645,135.986,78.899,118.0,89.0,281.187,84.086,200.388,85.161,83.365,82.697,78.485,88.751,104.713,93.287,88.258,90.65899999999999,83.402,97.90799999999999,240.285,94.057,140.609,99.889,287.284,97.95700000000001,151.165,102.45100000000001,216.764,105.191,78.753,105.035,135.05,104.529,240.675,107.064,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,274.717,113.50399999999999,143.186,115.51100000000001,232.41,118.90799999999999,203.16299999999998,116.73200000000001,288.705,124.762,130.64600000000002,122.23299999999999,155.233,121.102,204.787,129.609,221.975,127.85600000000001,266.0,133.0,87.353,131.83,249.56099999999998,135.922,237.452,135.043,113.551,137.465,155.60399999999998,141.056,200.965,138.94899999999998,95.742,142.696,120.25200000000001,142.335,235.46099999999998,146.256,316.339,144.97899999999998,110.227,150.155,225.148,149.055,79.705,148.14700000000002,213.547,155.221,231.114,154.19799999999998,114.779,154.30200000000002,303.904,160.275,142.497,160.213,240.995,159.797,189.266,156.62,209.24599999999998,162.786,70.15899999999999,163.15200000000002,218.267,161.594,114.26899999999999,167.455,242.37,34.975,89.315,167.305,252.623,163.719,196.967,169.107,132.32399999999998,169.40599999999998,77.439,168.919,59.973,173.035,238.657,48.501000000000005,250.976,172.732,83.785,51.016999999999996,242.864,172.31599999999997,88.17200000000001,175.24200000000002,120.971,175.11900000000003,101.264,61.441,73.52600000000001,175.37,101.057,174.255,258.098,173.293,105.78399999999999,51.81100000000001,277.508,64.064,109.24,179.351,221.334,63.522,82.286,178.861,145.75799999999998,68.07600000000001,101.941,70.094,227.243,187.74599999999998,218.24099999999999,184.602,266.093,186.22299999999998,232.418,67.328,65.535,185.377,287.31,66.561,196.81099999999998,185.36599999999999,227.215,66.061,123.462,75.242,236.33599999999998,188.505,114.111,77.558,247.12400000000002,204.62099999999998,294.504,74.822,203.25900000000001,76.33800000000001,228.609,80.191,234.2,80.967,211.90599999999998,78.633,135.99,78.844,117.479,87.92399999999999,281.37,84.182,200.438,85.212,83.359,82.95100000000001,78.461,88.764,104.781,93.34100000000001,88.436,90.90899999999999,83.316,97.83200000000001,240.328,94.042,140.564,99.84700000000001,287.258,97.943,151.189,102.416,216.515,105.524,78.8,104.976,135.019,104.551,240.81599999999997,106.941,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,274.745,113.381,143.162,115.48,232.47799999999998,118.838,203.148,116.73100000000001,288.67400000000004,124.807,130.638,122.176,155.26,121.194,204.96599999999998,129.681,221.997,127.79700000000001,266.0,132.0,87.426,131.798,249.611,135.89,237.451,134.999,113.436,137.23,155.516,140.988,201.08,138.9,95.73100000000001,142.601,120.20100000000001,142.32299999999998,235.458,146.254,316.378,144.985,110.167,150.21200000000002,225.174,148.988,79.672,148.189,213.57,155.249,231.02599999999998,154.13299999999998,114.758,154.28,303.964,160.312,142.511,160.247,240.99400000000003,159.822,189.308,156.562,209.232,162.735,70.207,163.137,218.263,161.60399999999998,114.258,167.37900000000002,242.429,34.894,89.287,167.317,252.593,163.645,197.00599999999997,169.09900000000002,132.246,169.325,77.48100000000001,168.91,59.943000000000005,173.06900000000002,238.636,48.44,251.018,172.71099999999998,83.806,51.053999999999995,242.81900000000002,172.268,88.176,175.206,121.012,175.12900000000002,101.24799999999999,61.411,73.465,175.358,101.071,174.21200000000002,258.121,173.282,105.79299999999999,51.803999999999995,277.53,64.101,109.257,179.245,221.378,63.527,82.318,178.812,145.782,68.04899999999999,101.964,70.097,227.305,187.738,218.255,184.57299999999998,266.10400000000004,186.195,232.382,67.19,65.528,185.387,287.303,66.593,196.304,185.688,227.235,66.01,123.439,75.206,236.304,188.43200000000002,114.086,77.601,247.135,204.687,294.545,74.846,203.313,76.11399999999999,228.544,80.227,234.368,80.999,211.947,78.52600000000001,135.996,78.857,117.322,87.272,281.11400000000003,84.087,200.423,85.382,83.40299999999999,82.91,78.483,88.74600000000001,104.82,93.405,88.37299999999999,90.725,83.38,97.815,240.354,93.99799999999999,140.52200000000002,99.84,287.221,97.955,151.178,102.417,216.40900000000002,105.789,78.825,104.963,135.0,104.54700000000001,241.049,106.689,226.207,108.641,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,274.856,113.39200000000001,143.20600000000002,115.49600000000001,232.475,118.83200000000001,203.18599999999998,116.681,288.659,124.81,130.685,122.16799999999999,155.322,121.541,204.91,129.642,222.11,127.664,265.754,131.79399999999998,87.36399999999999,131.814,249.65,135.814,237.50099999999998,135.009,113.38600000000001,137.137,155.639,141.124,201.06599999999997,138.875,95.726,142.545,120.208,142.238,235.476,146.252,316.413,144.96200000000002,110.09,150.156,225.199,148.914,79.686,148.123,213.389,155.534,230.99,154.077,114.73,154.186,304.039,160.364,142.695,160.196,241.06,159.819,189.365,156.592,209.215,162.72,70.191,163.136,218.27700000000002,161.43200000000002,114.25,167.31400000000002,242.472,34.87,89.259,167.325,252.646,163.623,197.072,169.122,132.291,169.331,77.44,168.87099999999998,59.895,173.084,238.653,48.45,251.05200000000002,172.69799999999998,83.742,51.063,242.75799999999998,172.22799999999998,88.251,175.175,121.03299999999999,175.06599999999997,101.26,61.411,73.439,175.31099999999998,101.053,174.206,258.152,173.30900000000003,105.775,51.793,277.54400000000004,64.09,109.24600000000001,179.174,221.317,63.483999999999995,82.277,178.747,145.778,67.968,101.846,69.961,227.368,187.71099999999998,218.25900000000001,184.53400000000002,266.145,186.065,232.424,67.194,65.491,185.403,287.29400000000004,66.569,196.40900000000002,185.674,227.22799999999998,66.043,123.384,75.204,236.333,188.53799999999998,114.134,77.42699999999999,247.22400000000002,204.692,294.572,74.844,203.291,75.96600000000001,228.44400000000002,80.235,234.455,81.115,211.99,78.561,135.941,78.833,117.42299999999999,87.714,281.595,84.18299999999999,200.362,85.32,83.381,82.992,78.495,88.664,104.822,93.383,88.48899999999999,91.023,83.40299999999999,97.758,240.301,94.021,140.531,99.848,287.303,97.87200000000001,151.172,102.419,216.38,105.917,78.891,104.875,134.971,104.569,240.979,106.705,226.23,108.56,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,274.806,113.431,143.106,114.76,232.49200000000002,118.82,204.11,115.271,288.692,124.837,130.72899999999998,122.212,155.326,121.557,204.951,129.672,222.169,127.539,265.875,132.121,87.238,131.781,249.657,135.798,237.512,134.95600000000002,113.34299999999999,137.079,155.662,141.131,200.99,138.857,95.696,142.5,120.205,142.226,235.495,146.203,316.383,144.928,109.96,150.123,225.239,148.789,79.676,148.22899999999998,213.282,155.77700000000002,230.926,154.02,114.819,154.164,304.135,160.322,142.59,160.125,241.105,159.808,189.308,156.506,209.22799999999998,162.608,70.067,163.162,218.261,161.424,114.21,167.28900000000002,242.667,34.594,89.21600000000001,167.28900000000002,252.63099999999997,163.606,197.078,169.195,132.263,169.283,77.41,168.75799999999998,59.887,173.1,238.655,48.448,251.078,172.643,83.802,50.976000000000006,242.773,172.18599999999998,88.196,175.162,121.065,175.063,101.23200000000001,61.4,73.51100000000001,175.33900000000003,101.065,174.138,258.14099999999996,173.305,105.8,51.773999999999994,277.557,64.087,109.262,179.143,221.327,63.518,82.295,178.65400000000002,145.761,67.92399999999999,101.946,70.031,227.412,187.673,218.292,184.50599999999997,266.159,185.918,232.484,67.164,65.498,185.27599999999998,287.319,66.57300000000001,196.764,185.355,227.227,66.029,123.413,75.20100000000001,236.35299999999998,188.592,114.119,77.234,247.187,204.68,294.629,74.82,203.322,75.98,228.425,80.30199999999999,234.33700000000002,81.195,211.886,78.525,135.917,78.779,117.0,87.0,281.325,84.051,200.29,85.26,83.353,82.838,78.447,88.67200000000001,104.87899999999999,93.47399999999999,88.53,91.08,83.42200000000001,97.67200000000001,240.326,94.006,140.506,99.84100000000001,287.35200000000003,97.76799999999999,151.187,102.429,216.423,105.87899999999999,78.809,105.009,134.939,104.57,241.07,106.521,226.11700000000002,108.5,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,274.857,113.478,143.122,114.97399999999999,232.46200000000002,118.755,204.171,115.19200000000001,288.683,124.802,130.733,122.22,155.252,121.155,204.976,129.711,222.334,127.412,266.0,132.0,87.25,131.67600000000002,249.68400000000003,135.72899999999998,237.613,134.953,113.323,136.98,155.7,141.157,201.075,138.769,95.618,142.46200000000002,120.08200000000001,142.1,235.519,146.18,316.394,144.92600000000002,109.875,150.061,225.27900000000002,148.675,79.639,148.21200000000002,213.204,155.938,230.847,153.96,114.87799999999999,154.099,304.177,160.38299999999998,142.428,159.96200000000002,241.083,159.86700000000002,189.33700000000002,156.463,209.24400000000003,162.623,69.954,163.164,218.252,161.37,114.28200000000001,167.248,242.62400000000002,34.635,89.191,167.27900000000002,252.646,163.549,197.21200000000002,168.778,132.148,169.076,77.39399999999999,168.733,59.887,173.127,238.75599999999997,48.412,251.10299999999998,172.58599999999998,83.743,51.06,242.785,172.169,88.17399999999999,175.16400000000002,121.085,175.06900000000002,101.256,61.36600000000001,73.446,175.357,101.035,174.115,258.142,173.268,105.786,51.772,277.567,64.113,109.27600000000001,179.146,221.34900000000002,63.519,82.345,178.62,145.829,67.883,102.04299999999999,70.111,227.328,187.705,218.275,184.517,266.151,185.796,232.524,67.32300000000001,65.469,185.283,287.356,66.556,196.965,185.22299999999998,227.25,65.967,123.38799999999999,75.211,236.312,188.62099999999998,114.038,77.128,247.128,204.643,294.66700000000003,74.801,203.45,75.943,228.428,80.314,234.555,81.14699999999999,211.859,78.46,135.928,78.725,,,281.743,84.022,200.32,85.366,83.295,82.854,78.407,88.65899999999999,105.04299999999999,93.648,88.40899999999999,90.64399999999999,83.374,97.632,240.343,93.955,140.497,99.742,287.252,97.848,151.113,102.29299999999999,216.49099999999999,105.825,78.788,104.978,134.889,104.585,241.15099999999998,106.37799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,274.915,113.455,143.124,114.975,232.47400000000002,118.738,204.21900000000002,115.154,288.751,124.743,130.72299999999998,122.19,155.213,120.60799999999999,205.058,129.713,222.188,127.508,265.89099999999996,131.95,87.10799999999999,131.611,249.713,135.68200000000002,237.653,134.915,113.29799999999999,136.935,155.662,141.11700000000002,201.051,138.722,95.60600000000001,142.363,120.03299999999999,142.045,235.505,146.238,316.404,144.935,109.882,149.982,225.304,148.6,79.61,148.243,213.18599999999998,155.924,231.00099999999998,153.965,114.9,154.136,304.252,160.511,142.128,159.911,241.17,159.795,189.25799999999998,156.454,209.253,162.588,69.905,163.155,218.268,161.29,114.274,167.22,242.648,34.646,89.13600000000001,167.278,252.674,163.505,197.325,168.479,132.148,169.00799999999998,77.378,168.718,59.85,173.165,238.795,48.431999999999995,251.155,172.533,83.669,50.994,242.774,172.15200000000002,87.98299999999999,175.16400000000002,121.074,175.082,101.26299999999999,61.353,73.395,175.364,101.009,174.081,258.152,173.283,105.786,51.778999999999996,277.577,64.14,109.27,179.043,221.39700000000002,63.504,82.336,178.63299999999998,145.759,67.85300000000001,102.105,70.165,227.31,187.71200000000002,218.271,184.521,266.199,185.582,232.394,67.102,65.435,185.271,287.361,66.532,196.832,185.282,227.268,65.921,123.363,75.21600000000001,236.265,188.645,114.061,76.931,247.201,204.68900000000002,294.65,74.801,203.488,75.845,228.392,80.23899999999999,234.437,81.179,211.96400000000003,78.48899999999999,135.893,78.611,,,281.488,84.398,200.25099999999998,85.304,83.251,82.87100000000001,78.449,88.63600000000001,104.993,93.59299999999999,88.34700000000001,90.476,83.323,97.67,240.37099999999998,93.90899999999999,140.476,99.677,287.307,97.804,151.10299999999998,102.302,216.498,105.84100000000001,78.744,104.955,134.904,104.53299999999999,241.06900000000002,106.432,,,,,,,,,,,,,,,,,,,,,,,,,,
