TimesH,Frame,NoMissing,121,121,126,126,132,132,137,137,138,138,148,148,151,151,157,157,158,158,162,162,165,165,171,171,172,172,178,178,179,179,180,180,184,184,186,186,188,188,196,196,197,197,199,199,206,206,210,210,212,212,218,218,219,219,226,226,229,229,237,237,238,238,241,241,253,253,255,255,262,262,275,275,278,278,279,279,281,281,287,287,288,288,290,290,292,292,295,295,297,297,298,298,302,302,303,303,305,305,311,311,315,315,321,321,322,322,324,324,326,326,332,332,333,333,338,338,339,339,346,346,349,349,355,355,362,362,364,364,365,365,368,368,369,369,373,373,379,379,381,381,393,393,397,397,400,400,407,407,413,413,416,416,426,426,446,446,451,451,481,481,490,490,494,494,496,496,591,591,592,592,641,641,646,646,706,706,707,707,713,713,733,733,764,764,799,799,823,823,839,839,901,901,982,982,1046,1046
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,282.42900000000003,67.671,249.03400000000002,70.459,89.052,72.08800000000001,241.065,73.71,258.513,74.116,169.997,78.444,196.69400000000002,79.094,118.23299999999999,83.43,128.92,82.883,253.546,83.196,83.685,85.009,135.093,86.30799999999999,127.238,86.969,106.63600000000001,88.666,145.03799999999998,89.331,265.16900000000004,89.119,286.194,91.01100000000001,,,203.34799999999998,91.431,231.0,97.0,245.797,97.031,94.177,97.931,271.073,99.87,123.97200000000001,101.56299999999999,132.991,103.06,65.824,104.531,152.572,104.92200000000001,97.65,107.98299999999999,204.03,108.552,128.444,113.531,226.625,111.336,239.53099999999998,112.344,58.781000000000006,117.363,198.25400000000002,117.07,147.971,119.507,98.509,122.839,318.569,125.61200000000001,81.172,125.905,199.75400000000002,126.116,136.282,127.693,272.515,127.436,122.85600000000001,128.70600000000002,52.192,130.417,104.318,131.914,232.96099999999998,131.90200000000002,250.03099999999998,131.769,102.52,135.244,129.621,134.835,89.277,135.545,139.815,137.167,121.844,138.19799999999998,216.21400000000003,140.27700000000002,233.83900000000003,140.17600000000002,133.423,141.357,197.247,141.471,85.40700000000001,144.24,95.11200000000001,143.912,224.38099999999997,146.061,68.419,146.955,137.963,148.72799999999998,150.609,150.535,197.0,152.0,,,221.475,154.635,286.02299999999997,155.08,116.277,155.97899999999998,189.94400000000002,155.898,99.14200000000001,156.507,139.135,160.8,146.327,161.31,120.805,167.482,79.638,169.452,142.865,169.88099999999997,237.747,172.71,74.402,175.075,92.904,176.34099999999998,258.121,179.132,221.327,187.15599999999998,81.67399999999999,188.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,282.272,67.74,249.24400000000003,70.21300000000001,89.179,72.058,241.203,73.883,258.599,74.083,170.12400000000002,78.167,196.75900000000001,79.315,118.306,83.448,128.737,83.139,253.565,83.307,83.705,84.965,135.058,86.20200000000001,127.24700000000001,86.83,106.553,88.68299999999999,145.004,89.176,265.185,88.596,286.635,91.26299999999999,148.7,91.81,203.47799999999998,91.492,230.187,96.789,245.865,96.985,94.273,97.895,271.089,99.833,123.97,101.6,133.025,103.08,65.803,104.505,152.537,104.963,97.698,107.791,204.03799999999998,108.416,129.239,110.757,226.747,111.05,239.512,112.259,58.727,117.277,198.298,117.005,148.325,119.61399999999999,98.459,122.696,318.43,125.564,81.126,125.85700000000001,199.92700000000002,125.80799999999999,136.355,127.68299999999999,273.08299999999997,127.546,122.695,128.47,52.175,130.385,104.258,131.85399999999998,232.954,131.833,249.94,131.71,102.5,135.278,129.659,134.8,89.244,135.54399999999998,139.765,137.157,121.76799999999999,138.183,216.24900000000002,140.259,234.005,140.082,133.385,141.461,197.27700000000002,141.304,85.431,144.203,95.075,143.94,224.38,146.07299999999998,68.372,146.909,137.94299999999998,148.629,150.578,150.543,196.56900000000002,152.376,121.85700000000001,154.72799999999998,221.482,154.563,285.974,155.358,116.335,155.97299999999998,189.877,156.092,99.132,156.53799999999998,139.142,160.684,146.28799999999998,161.411,120.756,167.347,79.666,169.477,142.80700000000002,169.987,237.76,172.637,74.416,175.08,92.449,175.88,258.124,179.107,221.34900000000002,187.13099999999997,81.596,189.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,282.33099999999996,67.712,249.207,70.212,88.521,72.18,241.233,74.09899999999999,258.722,74.02600000000001,170.138,78.252,196.745,79.263,118.264,83.515,128.994,82.993,253.545,83.291,83.704,84.90799999999999,135.08700000000002,86.271,127.161,86.928,106.516,88.59100000000001,144.958,89.179,265.219,88.411,286.746,91.34200000000001,148.84,91.85,203.558,91.617,230.417,96.616,245.858,97.01,94.366,97.76700000000001,271.103,99.87899999999999,123.926,101.711,133.058,103.167,65.846,104.45,152.405,105.09,97.69,107.711,204.115,108.57,128.752,111.12100000000001,226.795,110.899,239.493,112.24,58.681999999999995,117.285,198.523,116.954,148.533,119.721,98.412,122.589,318.442,125.684,81.027,125.818,200.07,125.506,136.379,127.61,272.58799999999997,127.432,122.661,128.35299999999998,52.207,130.375,104.219,131.852,232.88,131.798,249.955,131.628,102.475,135.218,129.4,134.8,89.175,135.39600000000002,139.73,137.107,121.671,138.192,216.347,140.168,233.868,140.47,133.466,141.498,197.25599999999997,141.393,85.46700000000001,144.132,95.08200000000001,143.876,224.359,146.092,68.387,146.924,137.969,148.724,150.516,150.578,197.0,152.0,122.319,154.358,221.584,154.572,285.97700000000003,155.436,116.22,155.89600000000002,189.898,156.072,99.22,156.435,139.153,160.58700000000002,146.329,161.342,120.803,167.385,79.693,169.459,142.851,170.03900000000002,237.88299999999998,172.61900000000003,74.428,175.09,92.301,175.833,258.122,179.065,221.046,187.063,81.596,189.063,113.779,77.623,221.96200000000002,128.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,282.282,67.885,249.773,69.4,89.23299999999999,71.992,241.21900000000002,74.111,258.723,74.015,170.233,78.12899999999999,196.743,79.053,118.288,83.43799999999999,129.059,82.704,253.52700000000002,83.245,83.72,84.74600000000001,134.96200000000002,86.22,127.145,86.99799999999999,106.486,88.667,144.967,89.116,265.233,88.553,286.756,91.279,148.895,91.87700000000001,203.49599999999998,91.51100000000001,231.0,97.0,245.833,97.03299999999999,94.37899999999999,97.699,271.131,99.867,123.90299999999999,101.693,133.091,103.171,65.788,104.49799999999999,152.374,105.081,97.73700000000001,107.421,204.167,108.646,129.025,110.9,226.886,110.829,239.532,112.17399999999999,58.661,117.255,198.43400000000003,116.905,148.65200000000002,119.766,98.419,122.516,318.46,125.507,80.933,125.65100000000001,200.081,125.359,136.53799999999998,127.521,272.332,127.44,122.709,128.515,52.213,130.345,104.176,131.65,232.885,131.79399999999998,249.995,131.56799999999998,102.484,135.225,129.309,134.734,89.06700000000001,135.308,139.662,137.153,121.26,138.194,216.331,140.16899999999998,233.93,140.56,133.336,141.41299999999998,197.28799999999998,141.475,85.324,144.138,94.93700000000001,143.80700000000002,224.408,145.905,68.442,146.93200000000002,137.982,148.616,150.634,150.502,196.53099999999998,152.382,122.26,154.42700000000002,221.52,154.533,285.994,155.606,116.338,156.208,189.80900000000003,156.072,99.195,156.401,139.17700000000002,160.497,146.292,161.239,120.834,167.502,79.74,169.468,142.61700000000002,169.96400000000003,238.012,172.623,74.438,175.09599999999998,92.32,175.75900000000001,258.137,179.03799999999998,221.26,187.1,81.637,189.077,113.458,78.0,221.231,129.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,282.317,67.834,249.582,69.656,,,241.122,74.051,258.784,74.032,170.232,78.042,196.68900000000002,79.157,118.352,83.384,129.276,82.618,253.52700000000002,83.198,83.726,84.60600000000001,134.859,86.149,127.07799999999999,87.027,106.529,88.552,144.9,89.134,265.303,88.64200000000001,286.611,91.241,149.054,91.904,203.572,91.493,230.415,96.45,245.808,96.921,94.27,97.646,271.124,99.853,123.911,101.62799999999999,132.999,103.165,65.771,104.60799999999999,152.47,104.57700000000001,97.73,107.37100000000001,204.2,108.8,128.798,111.00200000000001,226.937,110.72399999999999,239.50599999999997,112.156,58.641999999999996,117.324,198.627,116.838,148.733,119.919,98.387,122.411,318.482,125.505,80.83800000000001,125.137,,,136.429,127.458,272.46,127.529,122.664,128.441,52.188,130.376,104.072,131.173,232.905,131.762,250.082,131.42700000000002,102.41,135.373,129.737,134.69799999999998,89.09100000000001,135.127,139.734,137.05100000000002,121.152,138.196,216.296,140.19899999999998,233.87900000000002,140.489,133.365,141.32399999999998,197.255,141.481,85.289,144.101,94.868,143.748,224.46099999999998,145.815,68.513,146.745,138.107,148.467,150.634,150.575,196.544,152.594,121.85,154.556,221.52,154.504,286.022,155.741,116.277,156.36,189.84400000000002,156.035,99.079,156.453,139.157,160.385,146.322,161.143,120.85799999999999,167.502,79.742,169.46900000000002,142.597,170.019,238.03099999999998,172.59099999999998,74.33800000000001,175.15400000000002,92.344,175.637,258.154,179.02900000000002,221.138,187.007,81.645,189.178,,,,,102.155,140.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,282.378,67.717,249.514,69.82300000000001,,,241.15599999999998,73.914,258.747,74.03399999999999,170.003,78.069,196.787,79.025,118.354,83.333,129.26,82.55,253.498,83.227,83.67399999999999,84.572,134.91899999999998,86.075,127.04299999999999,87.075,106.44,88.421,144.89600000000002,89.175,265.256,88.695,286.58799999999997,91.234,149.1,91.89200000000001,203.41099999999997,91.198,230.785,96.436,245.895,96.94,94.337,97.694,271.14799999999997,99.795,123.921,101.637,133.002,103.12100000000001,65.76100000000001,104.585,152.482,104.462,97.695,107.23,204.16,109.02799999999999,129.075,110.771,227.021,110.38799999999999,239.47,112.10799999999999,58.6,117.24,198.676,116.788,148.81799999999998,119.994,98.436,122.346,318.598,125.38799999999999,80.857,125.463,200.033,125.179,136.53,127.34299999999999,271.959,127.551,122.712,128.224,52.167,130.347,103.946,130.77200000000002,232.912,131.66299999999998,250.17700000000002,131.26,102.32799999999999,135.347,129.671,134.685,88.93,135.128,139.716,136.881,120.84200000000001,138.136,216.22,140.347,233.892,140.875,133.405,141.47799999999998,197.234,141.281,85.329,144.101,94.821,143.661,224.43599999999998,145.904,68.65100000000001,146.65,138.15,148.453,150.576,150.607,197.0,152.0,122.345,154.234,221.34,154.446,286.04400000000004,155.718,116.35700000000001,156.393,189.84,156.094,98.94200000000001,156.534,139.11700000000002,160.25799999999998,146.31,161.05200000000002,120.87799999999999,167.437,79.786,169.486,142.55200000000002,169.88299999999998,238.09599999999998,172.56900000000002,74.304,175.202,92.382,175.592,258.156,178.94400000000002,221.112,186.94099999999997,81.58800000000001,189.283,113.351,77.775,220.606,129.774,102.20200000000001,140.793,129.458,147.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,282.42900000000003,67.692,249.31099999999998,70.273,89.345,71.83800000000001,241.18200000000002,73.829,258.802,74.07,169.77,78.07600000000001,196.685,78.92399999999999,118.462,83.304,128.928,83.01,253.515,83.264,83.704,84.588,134.983,86.071,127.07600000000001,86.919,106.425,88.43299999999999,144.866,89.14399999999999,265.372,88.89299999999999,286.704,91.385,149.069,91.865,203.25099999999998,91.154,230.482,96.355,245.929,97.009,94.573,97.685,271.222,99.75200000000001,123.945,101.625,132.92,103.024,65.69800000000001,104.492,152.468,104.75200000000001,97.626,107.241,204.201,108.898,128.833,110.682,227.13299999999998,110.13799999999999,239.36,112.06200000000001,58.536,117.26899999999999,198.646,116.665,148.752,119.835,98.389,122.204,318.618,125.456,80.84100000000001,125.478,200.24900000000002,125.066,136.516,127.292,271.691,127.59299999999999,122.62200000000001,128.111,52.155,130.366,103.93700000000001,130.664,232.933,131.644,250.07299999999998,131.316,102.262,135.28,129.69799999999998,134.628,88.978,135.118,139.726,136.869,120.906,138.048,216.19299999999998,140.468,233.791,141.167,133.358,141.537,197.238,140.91299999999998,85.351,144.092,94.81700000000001,143.589,224.44799999999998,145.916,68.467,146.85299999999998,138.116,148.423,150.577,150.725,196.50400000000002,152.505,121.934,154.524,221.293,154.339,286.053,155.548,116.354,156.664,189.832,156.071,99.023,156.487,139.111,160.149,146.22899999999998,161.10399999999998,120.906,167.34,79.78699999999999,169.484,142.69899999999998,169.84,238.12900000000002,172.58900000000003,74.286,175.169,92.243,175.38,258.161,178.93200000000002,220.771,186.865,81.467,189.49,113.266,77.911,220.43599999999998,130.006,102.23200000000001,141.02700000000002,129.321,147.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,282.468,67.596,249.39,70.175,89.309,71.795,241.11700000000002,73.637,258.78700000000003,73.984,169.92700000000002,78.081,196.67700000000002,78.942,118.446,83.28,129.86700000000002,81.745,253.50900000000001,83.16799999999999,83.728,84.637,135.014,86.006,126.945,87.068,106.412,88.60799999999999,144.74,89.243,265.418,88.76,286.629,91.23,149.09,91.955,203.49200000000002,91.09100000000001,230.498,96.141,245.949,96.976,94.556,97.62700000000001,271.258,99.70100000000001,123.939,101.719,132.94299999999998,102.985,65.726,104.303,152.38,104.499,97.57,107.133,204.245,108.98200000000001,128.713,110.839,227.22099999999998,109.90100000000001,239.33700000000002,112.059,58.486000000000004,117.266,198.704,116.556,148.615,119.68299999999999,98.307,122.10600000000001,318.617,125.415,80.846,125.484,200.231,125.131,136.63299999999998,127.275,271.98900000000003,127.56700000000001,122.56700000000001,128.135,52.14,130.39,103.839,130.22899999999998,232.93200000000002,131.614,250.07,131.28799999999998,102.23700000000001,135.215,129.546,134.484,88.88600000000001,135.05700000000002,139.74,136.809,120.54700000000001,137.921,216.14,140.42700000000002,233.638,141.26,133.0,141.0,197.175,141.079,85.34200000000001,144.123,94.9,143.54399999999998,224.446,146.059,68.477,146.891,138.215,148.219,150.53799999999998,150.968,196.459,152.679,122.24700000000001,154.127,221.291,154.326,286.10400000000004,155.585,116.395,156.852,189.801,156.047,98.962,156.429,139.102,159.995,146.19799999999998,161.032,120.758,167.153,79.973,169.532,142.72299999999998,169.86599999999999,238.22099999999998,172.62599999999998,74.26100000000001,175.178,92.387,175.416,258.149,178.90900000000002,220.861,186.922,81.509,189.24200000000002,113.181,77.961,220.109,130.129,102.156,140.863,129.252,146.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
