TimesH,Frame,NoMissing,0,0,2,2,5,5,6,6,10,10,11,11,12,12,16,16,18,18,19,19,20,20,22,22,24,24,28,28,29,29,35,35,42,42,47,47,58,58,63,63,64,64,65,65,66,66,68,68,69,69,70,70,71,71,74,74,75,75,76,76,83,83,84,84,89,89,93,93,97,97,102,102,105,105,106,106,112,112,113,113,118,118,123,123,124,124,125,125,126,126,127,127,136,136,137,137,139,139,143,143,144,144,145,145,149,149,152,152,154,154,156,156,161,161,163,163,164,164,165,165,167,167,169,169,171,171,176,176,178,178,186,186,189,189,191,191,192,192,193,193,194,194,201,201,205,205,208,208,210,210,213,213,214,214,215,215,219,219,226,226,228,228,230,230,231,231,237,237,240,240,245,245,255,255,259,259,266,266,273,273,274,274,275,275,280,280,281,281,283,283,285,285,287,287,292,292,301,301,307,307,409,409,425,425,430,430,458,458,478,478,491,491,510,510,515,515,538,538,567,567,574,574
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
142.0,568.0,,234.106,45.578,83.67299999999999,39.65,253.262,50.91,281.945,48.352,225.132,58.603,100.884,58.166000000000004,88.69,58.092,291.966,59.489,111.39200000000001,64.679,252.185,63.033,237.15400000000002,61.941,91.18299999999999,68.069,98.866,66.752,112.508,70.523,122.76,67.855,246.442,27.081,244.852,88.84200000000001,84.965,91.399,221.752,96.977,234.222,98.156,139.947,97.694,204.958,103.031,90.125,102.72,263.367,100.375,134.069,103.509,114.669,103.53,244.43599999999998,102.97200000000001,134.161,74.173,298.722,71.109,240.912,70.929,87.919,79.453,205.425,79.15100000000001,315.944,80.656,198.22299999999998,82.82600000000001,101.28399999999999,84.59200000000001,132.045,121.035,293.60400000000004,121.316,267.339,122.009,83.738,122.823,87.515,128.533,200.91099999999997,128.53799999999998,242.278,130.065,205.555,130.381,105.56,132.92700000000002,138.954,132.02,62.32899999999999,131.548,193.572,103.803,216.377,110.042,228.28799999999998,109.59100000000001,94.90899999999999,111.191,242.84099999999998,110.286,150.178,113.194,115.12100000000001,115.156,196.692,112.803,88.852,116.36,253.981,115.102,125.9,118.226,222.72299999999998,117.11200000000001,242.10299999999998,115.945,304.832,150.502,192.40099999999998,150.524,93.836,152.109,291.945,150.625,105.679,151.83100000000002,234.96,154.214,83.632,157.316,71.225,159.904,307.436,158.275,148.826,156.657,256.41900000000004,161.28799999999998,214.048,161.126,157.936,137.06,200.365,141.067,29.174,138.707,110.943,141.624,92.133,144.041,80.745,144.295,320.966,142.906,274.02,144.398,229.067,147.79,254.39,146.976,206.199,174.372,88.01299999999999,174.394,242.882,179.576,233.042,178.644,221.19099999999997,182.549,143.326,185.465,91.603,186.94400000000002,268.695,162.612,96.075,166.766,253.42700000000002,166.355,199.946,166.30200000000002,78.119,168.041,243.737,171.168,269.627,170.481,60.666000000000004,173.345,228.206,171.56599999999997,68.07,172.91400000000002,274.252,200.666,47.451,202.986,,,,,,,,,,,,,,,,,,,,,,
142.25,569.0,,234.078,45.615,83.662,39.674,253.22099999999998,50.92,281.94,48.306000000000004,225.136,58.577,100.87100000000001,58.157,88.774,58.217,291.939,59.473,111.37,64.702,252.205,62.95399999999999,237.155,61.937,91.177,68.067,98.851,66.789,112.514,70.55,122.771,67.839,246.437,27.105,244.82,88.80799999999999,84.96,91.405,221.738,96.95100000000001,234.218,98.15899999999999,139.96200000000002,97.726,204.929,103.014,90.132,102.74700000000001,263.378,100.39399999999999,134.028,103.536,114.645,103.536,244.44099999999997,102.993,134.148,74.179,298.715,71.123,240.89700000000002,70.945,87.946,79.455,205.50799999999998,79.16199999999999,315.999,80.73100000000001,198.19400000000002,82.78,101.292,84.589,132.066,121.023,293.607,121.522,267.345,122.006,83.738,122.815,87.46799999999999,128.503,200.868,128.502,242.287,130.07,205.56599999999997,130.363,105.56200000000001,132.905,138.96,132.032,62.321999999999996,131.53799999999998,193.56900000000002,103.762,216.38,110.04,228.28599999999997,109.57600000000001,94.92299999999999,111.171,242.85299999999998,110.272,150.16299999999998,113.24,115.12899999999999,115.137,196.675,112.815,88.85600000000001,116.35700000000001,253.97799999999998,115.094,125.916,118.213,222.73,117.10700000000001,242.11,115.955,304.834,150.495,192.321,150.486,93.824,152.186,291.987,150.671,105.711,151.795,234.959,154.241,83.65899999999999,157.306,71.23,159.908,307.395,158.257,148.795,156.648,256.411,161.279,214.083,161.132,157.942,137.058,200.37599999999998,140.997,29.114,138.686,110.931,141.69,92.186,144.039,80.719,144.24,320.97,142.89700000000002,274.033,144.381,229.03799999999998,147.751,254.4,146.987,206.16299999999998,174.424,88.036,174.393,242.9,179.558,233.04,178.644,221.218,182.53799999999998,143.349,185.457,91.631,186.93599999999998,268.73400000000004,162.60399999999998,96.105,166.74599999999998,253.43400000000003,166.37400000000002,199.915,166.324,78.119,168.053,243.736,171.15099999999998,269.634,170.476,60.665,173.345,228.213,171.57299999999998,68.07300000000001,172.91299999999998,274.279,200.66299999999998,47.468,202.997,,,,,,,,,,,,,,,,,,,,,,
142.5,570.0,,234.074,45.618,83.74600000000001,39.674,253.172,50.909,281.94599999999997,48.273999999999994,225.145,58.611000000000004,100.88,58.093999999999994,88.69200000000001,58.083999999999996,291.935,59.479,111.295,64.58,252.173,63.048,237.169,61.943000000000005,91.167,68.056,98.876,66.796,112.514,70.525,122.82,67.867,246.421,27.109,244.793,88.802,84.949,91.37799999999999,221.735,96.95,234.18900000000002,98.15899999999999,139.952,97.727,204.938,102.90899999999999,90.149,102.744,263.39,100.385,133.974,103.575,114.619,103.501,244.442,102.955,134.149,74.19,298.689,71.086,240.887,70.92399999999999,87.92,79.543,205.45,79.17699999999999,315.96,80.723,198.28599999999997,82.76700000000001,101.31200000000001,84.60600000000001,132.067,121.039,293.624,121.51700000000001,267.32,121.98,83.735,122.80799999999999,87.463,128.47,200.967,128.52700000000002,242.294,130.07299999999998,205.567,130.363,105.573,132.889,138.959,132.007,62.32,131.523,193.56400000000002,103.75200000000001,216.37400000000002,110.03,228.253,109.46700000000001,94.94200000000001,111.152,242.86700000000002,110.265,150.15200000000002,113.084,115.089,115.134,196.68900000000002,112.79299999999999,88.854,116.336,253.975,115.12100000000001,125.898,118.21799999999999,222.733,117.111,242.109,115.99,304.828,150.495,192.38400000000001,150.493,93.805,152.22799999999998,291.999,150.644,105.705,151.732,234.94799999999998,154.243,83.669,157.31,71.219,159.879,307.373,158.261,148.85299999999998,156.656,256.403,161.261,214.208,161.148,157.936,137.045,200.364,140.982,29.128,138.69899999999998,110.939,141.628,92.23200000000001,143.972,80.696,144.24,320.94599999999997,142.91299999999998,274.02099999999996,144.376,229.06099999999998,147.82,254.405,146.974,206.166,174.425,88.041,174.39,242.899,179.55,233.04,178.60299999999998,221.213,182.544,143.371,185.43099999999998,91.63600000000001,186.937,268.709,162.589,96.083,166.745,253.421,166.38099999999997,199.91400000000002,166.31900000000002,78.127,168.05599999999998,243.735,171.13,269.64799999999997,170.465,60.659,173.34400000000002,228.222,171.577,68.097,172.88400000000001,274.29400000000004,200.66400000000002,47.464,202.954,,,,,,,,,,,,,,,,,,,,,,
142.75,571.0,,234.063,45.608999999999995,83.765,39.595,253.16299999999998,50.898999999999994,281.95,48.251000000000005,225.19,58.626000000000005,100.823,58.082,88.78399999999999,58.06100000000001,291.934,59.468999999999994,111.258,64.652,252.155,63.071000000000005,237.158,61.968,91.181,68.03699999999999,98.845,66.809,112.53200000000001,70.53,122.81299999999999,67.87899999999999,246.419,27.1,244.748,88.75,84.905,91.39399999999999,221.726,96.95200000000001,234.209,98.176,139.93,97.715,204.947,102.977,90.145,102.73899999999999,263.431,100.37299999999999,133.951,103.615,114.598,103.509,244.50799999999998,102.898,134.123,74.214,298.693,71.089,240.889,70.884,87.902,79.558,205.418,79.108,315.97,80.737,198.17700000000002,82.757,101.292,84.59700000000001,132.062,121.04299999999999,293.569,121.4,267.32599999999996,121.98299999999999,83.74,122.831,87.45700000000001,128.46200000000002,200.90400000000002,128.495,242.312,130.067,205.58,130.38,105.55799999999999,132.895,138.941,132.00799999999998,62.323,131.507,193.53599999999997,103.73299999999999,216.368,110.029,228.265,109.428,94.935,111.135,242.86599999999999,110.257,150.08,112.647,115.08,115.15799999999999,196.655,112.88,88.861,116.32600000000001,253.976,115.12200000000001,125.88,118.197,222.77,117.086,242.09400000000002,115.993,304.824,150.507,192.451,150.436,93.802,152.27200000000002,292.006,150.66299999999998,105.694,151.719,234.935,154.23,83.671,157.295,71.219,159.878,307.371,158.246,148.846,156.63299999999998,256.387,161.27100000000002,214.213,161.149,157.937,137.024,200.331,140.98,29.098000000000003,138.685,110.905,141.58700000000002,92.277,143.955,80.718,144.22,320.94,142.924,274.02099999999996,144.368,229.09799999999998,147.873,254.407,146.967,206.14700000000002,174.42,88.042,174.392,242.90099999999998,179.549,233.037,178.608,221.128,182.445,143.376,185.417,91.652,186.968,268.715,162.59,96.094,166.71599999999998,253.39700000000002,166.357,199.937,166.234,78.124,168.06099999999998,243.735,171.118,269.652,170.459,60.651,173.343,228.21900000000002,171.59799999999998,68.09100000000001,172.891,274.303,200.655,47.474,202.956,,,,,,,,,,,,,,,,,,,,,,
143.0,572.0,,234.046,45.575,83.809,39.618,253.149,50.93,281.918,48.19,225.253,58.556000000000004,100.819,58.058,88.529,57.882,291.949,59.476000000000006,111.219,64.62,252.12,63.035,237.157,61.946000000000005,91.181,68.024,98.816,66.781,112.529,70.55199999999999,122.809,67.896,246.41099999999997,27.094,244.77700000000002,88.771,84.896,91.369,221.731,96.925,234.203,98.19200000000001,139.94299999999998,97.705,204.952,102.94200000000001,90.118,102.714,263.45599999999996,100.352,133.889,103.65899999999999,114.611,103.485,244.51,102.89,134.125,74.191,298.684,71.065,240.886,70.89699999999999,87.76100000000001,79.525,205.50900000000001,79.054,316.01599999999996,80.758,197.97099999999998,82.676,101.29700000000001,84.57700000000001,132.047,121.04899999999999,293.524,121.339,267.33799999999997,121.986,83.741,122.838,87.463,128.476,200.92700000000002,128.451,242.322,130.05100000000002,205.581,130.362,105.56200000000001,132.909,138.922,131.97,62.324,131.516,193.55,103.71799999999999,216.36599999999999,110.031,228.274,109.324,94.944,111.15,242.87099999999998,110.26299999999999,150.025,112.49799999999999,115.083,115.162,196.699,112.788,88.844,116.339,253.99400000000003,115.111,125.86200000000001,118.18799999999999,222.74400000000003,117.147,242.09099999999998,115.98700000000001,304.824,150.493,192.456,150.44299999999998,93.787,152.329,292.007,150.672,105.655,151.71200000000002,234.93099999999998,154.209,83.634,157.28,71.199,159.857,307.362,158.256,148.846,156.596,256.376,161.261,214.265,161.144,157.931,137.015,200.261,140.984,29.09,138.694,110.875,141.529,92.32,143.9,80.752,144.186,320.949,142.935,274.025,144.37,229.111,147.895,254.412,146.96,206.157,174.405,88.042,174.392,242.894,179.555,233.013,178.638,221.17700000000002,182.484,143.364,185.43200000000002,91.663,186.98,268.741,162.586,96.079,166.72099999999998,253.37400000000002,166.335,199.92700000000002,166.235,78.118,168.07299999999998,243.75,171.101,269.657,170.456,60.638999999999996,173.34400000000002,228.25,171.55700000000002,68.105,172.886,274.286,200.676,47.498999999999995,202.938,,,,,,,,,,,,,,,,,,,,,,
143.25,573.0,,234.063,45.573,83.71,39.614000000000004,253.127,50.926,281.877,48.14,225.15400000000002,58.521,100.805,58.073,88.97399999999999,58.361000000000004,291.969,59.477,111.215,64.617,252.141,63.006,237.13099999999997,61.957,91.176,68.028,98.809,66.831,112.536,70.619,122.802,67.9,246.419,27.101,244.785,88.743,84.86200000000001,91.39,221.707,96.906,234.209,98.14299999999999,139.931,97.719,204.942,102.891,90.115,102.76700000000001,263.466,100.338,133.88,103.654,114.637,103.448,244.487,102.87,134.121,74.195,298.658,71.071,240.90099999999998,70.887,87.911,79.539,205.485,79.04899999999999,316.025,80.778,198.05200000000002,82.713,101.29,84.568,132.066,121.052,293.52299999999997,121.225,267.33799999999997,121.97,83.741,122.835,87.471,128.51,200.90599999999998,128.464,242.34,130.05100000000002,205.57,130.342,105.59,132.885,138.91299999999998,131.92700000000002,62.332,131.515,193.486,103.79899999999999,216.37400000000002,110.02799999999999,228.239,109.25200000000001,94.95700000000001,111.11399999999999,242.863,110.26100000000001,150.014,112.48200000000001,115.07799999999999,115.13600000000001,196.731,112.738,88.84899999999999,116.329,254.05200000000002,115.089,125.87200000000001,118.22200000000001,222.74099999999999,117.176,242.127,116.01299999999999,304.829,150.489,192.34400000000002,150.334,93.77,152.352,291.967,150.672,105.484,151.52,234.938,154.208,83.631,157.264,71.208,159.851,307.339,158.235,148.882,156.689,256.362,161.275,214.09900000000002,161.112,157.92700000000002,137.007,200.24200000000002,140.964,29.083000000000002,138.714,110.859,141.415,92.397,143.799,80.702,144.235,320.961,142.905,274.036,144.355,229.118,147.891,254.40400000000002,146.953,206.158,174.389,88.056,174.392,242.893,179.549,232.987,178.69799999999998,221.18599999999998,182.49900000000002,143.38299999999998,185.445,91.65899999999999,186.981,268.75,162.576,96.07600000000001,166.745,253.36900000000003,166.33900000000003,199.942,166.28400000000002,78.11399999999999,168.08,243.753,171.08900000000003,269.668,170.454,60.635,173.33900000000003,228.262,171.56400000000002,68.078,172.875,274.296,200.671,47.533,202.92,,,,,,,,,,,,,,,,,,,,,,
143.5,574.0,,234.062,45.568999999999996,83.786,39.586999999999996,253.165,50.869,281.868,48.03,225.165,58.57899999999999,100.714,58.043,89.04899999999999,58.361000000000004,291.998,59.461000000000006,111.22,64.633,252.16299999999998,62.965,237.15200000000002,61.958,91.178,68.028,98.866,66.836,112.56,70.605,122.79700000000001,67.89399999999999,246.43200000000002,27.084,244.729,88.69,84.86399999999999,91.40100000000001,221.699,96.875,234.237,98.105,139.92700000000002,97.71700000000001,204.9,102.92,90.118,102.775,263.504,100.322,133.83,103.695,114.60600000000001,103.412,244.488,102.869,134.079,74.148,298.649,71.063,240.895,70.922,88.044,79.577,205.433,79.05,315.992,80.779,198.083,82.698,101.28200000000001,84.554,132.061,121.06200000000001,293.617,121.10700000000001,267.355,121.975,83.738,122.834,87.464,128.464,200.903,128.485,242.352,130.065,205.562,130.339,105.58,132.876,138.929,131.937,62.321999999999996,131.507,193.49099999999999,103.795,216.362,110.03,228.266,109.193,94.971,111.101,242.87400000000002,110.24,150.143,113.12100000000001,115.061,115.095,196.74,112.7,88.836,116.306,254.08,115.083,125.87100000000001,118.221,222.735,117.23100000000001,242.15200000000002,116.037,304.828,150.494,192.23,150.249,93.775,152.393,291.937,150.608,105.62200000000001,151.69299999999998,234.93099999999998,154.221,83.626,157.266,71.204,159.85,307.334,158.244,148.911,156.752,256.35,161.265,213.97799999999998,161.145,157.924,137.02100000000002,200.25599999999997,140.946,29.066999999999997,138.679,110.81200000000001,141.461,92.429,143.79399999999998,80.699,144.22,320.973,142.909,274.03700000000003,144.35299999999998,229.105,147.839,254.392,146.944,206.127,174.445,88.045,174.388,242.9,179.543,232.96599999999998,178.722,221.146,182.46400000000003,143.386,185.435,91.665,186.958,268.754,162.556,96.14,166.699,253.36700000000002,166.357,199.95,166.226,78.10600000000001,168.084,243.74900000000002,171.084,269.676,170.452,60.628,173.34,228.257,171.549,68.1,172.86900000000003,274.3,200.672,47.52,202.892,,,,,,,,,,,,,,,,,,,,,,
143.75,575.0,,234.063,45.538000000000004,83.712,39.525,253.16099999999997,50.919,281.935,48.068999999999996,225.16099999999997,58.586999999999996,100.679,58.041000000000004,89.647,58.647,291.988,59.473,111.198,64.59100000000001,252.187,62.977,237.144,61.978,91.179,68.04,98.83,66.875,112.571,70.592,122.78299999999999,67.887,246.408,27.068,244.731,88.705,84.84,91.44,221.68900000000002,96.93700000000001,234.239,98.09700000000001,139.922,97.713,204.93099999999998,102.904,90.1,102.73100000000001,263.52099999999996,100.325,133.813,103.709,114.583,103.441,244.47099999999998,102.866,134.05700000000002,74.168,298.661,71.046,240.87099999999998,70.947,88.036,79.577,205.458,79.01,316.10200000000003,80.817,197.889,82.662,101.309,84.571,132.06,121.074,293.572,121.08200000000001,267.34,121.962,83.74700000000001,122.82700000000001,87.477,128.51,200.896,128.51,242.359,130.084,205.541,130.365,105.59700000000001,132.884,138.899,131.856,62.323,131.511,193.44400000000002,103.79700000000001,216.365,110.025,228.27200000000002,109.10600000000001,94.97399999999999,111.113,242.87400000000002,110.226,150.197,113.574,115.045,115.12299999999999,196.75599999999997,112.661,88.796,116.31,254.02700000000002,115.09100000000001,125.84899999999999,118.227,222.75599999999997,117.223,242.12900000000002,116.05799999999999,304.834,150.495,192.22299999999998,150.279,93.76100000000001,152.47,291.918,150.57299999999998,,,234.91400000000002,154.19799999999998,83.62700000000001,157.267,71.185,159.852,307.337,158.23,149.002,156.817,256.336,161.263,214.167,161.216,157.935,137.028,200.232,140.925,29.009,138.659,110.72399999999999,141.52200000000002,92.615,143.58100000000002,80.697,144.172,320.972,142.891,274.033,144.349,229.11,147.878,254.375,146.933,206.11700000000002,174.451,88.04799999999999,174.394,242.917,179.53799999999998,232.959,178.69099999999997,221.167,182.438,143.369,185.412,91.675,186.945,268.772,162.542,96.13600000000001,166.687,253.362,166.356,199.988,166.165,78.119,168.093,243.748,171.065,269.683,170.44099999999997,60.61600000000001,173.34400000000002,228.238,171.53599999999997,68.069,172.88400000000001,274.313,200.67700000000002,47.542,202.92700000000002,,,,,,,,,,,,,,,,,,,,,,
