TimesH,Frame,NoMissing,0,0,8,8,27,27,28,28,33,33,35,35,39,39,43,43,49,49,52,52,53,53,58,58,60,60,61,61,63,63,74,74,76,76,77,77,80,80,82,82,83,83,92,92,103,103,105,105,110,110,111,111,116,116,127,127,133,133,137,137,139,139,140,140,148,148,153,153,156,156,158,158,163,163,170,170,172,172,176,176,180,180,189,189,193,193,194,194,195,195,196,196,200,200,201,201,203,203,204,204,206,206,212,212,220,220,223,223,224,224,226,226,230,230,233,233,238,238,240,240,244,244,249,249,250,250,251,251,253,253,254,254,262,262,264,264,270,270,271,271,274,274,278,278,280,280,283,283,284,284,287,287,289,289,291,291,295,295,300,300,301,301,303,303,308,308,312,312,315,315,323,323,325,325,327,327,328,328,329,329,331,331,336,336,337,337,341,341,348,348,349,349,352,352,354,354,355,355,360,360,361,361,368,368,369,369,372,372,379,379,415,415,443,443,465,465,467,467,488,488,492,492,527,527,578,578,580,580,615,615
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
142.25,569.0,,93.04299999999999,136.162,127.561,132.22899999999998,155.116,138.643,134.459,138.334,203.12599999999998,139.273,254.905,147.25,281.628,148.839,204.815,145.116,191.1,145.96200000000002,103.48299999999999,154.54,269.972,153.118,291.58799999999997,150.749,76.211,150.917,148.31799999999998,150.336,247.385,151.959,130.892,159.61700000000002,92.307,156.683,210.335,156.092,85.012,158.162,244.03799999999998,156.80700000000002,197.301,157.313,144.153,169.21099999999998,268.427,162.852,254.59599999999998,162.036,259.33,50.622,284.015,50.485,118.60700000000001,46.43,114.436,175.783,76.248,174.611,239.997,35.816,110.77,37.773,226.40099999999998,33.524,278.692,42.75899999999999,227.021,42.123999999999995,137.64700000000002,172.68099999999998,138.023,64.774,95.516,63.056999999999995,245.96099999999998,67.782,212.553,66.95,116.169,67.195,104.051,182.49,77.627,60.997,109.035,59.618,242.36700000000002,180.088,129.31,57.903,270.681,57.768,98.477,58.295,94.146,79.546,241.12900000000002,78.79899999999999,220.49900000000002,77.95100000000001,116.18799999999999,77.465,275.122,81.91,105.618,80.69,129.497,79.78399999999999,85.56299999999999,71.457,282.757,70.339,194.96099999999998,70.378,224.275,184.86,233.97299999999998,72.685,202.445,73.779,69.17699999999999,73.405,126.22399999999999,72.029,142.707,91.42,257.166,90.414,92.29799999999999,89.154,66.467,90.446,229.62599999999998,84.806,85.948,85.14299999999999,68.053,84.01799999999999,279.939,88.44,116.449,88.359,87.712,99.311,96.16799999999999,98.23200000000001,223.143,98.539,230.34599999999998,99.171,291.258,94.27600000000001,106.43700000000001,94.213,149.284,96.744,269.32,95.426,231.489,105.54,241.227,103.866,135.342,103.669,263.015,98.83200000000001,65.805,102.125,244.488,109.583,105.88799999999999,107.48899999999999,145.499,106.195,86.694,109.275,157.963,107.48899999999999,94.887,107.962,119.21700000000001,117.15100000000001,216.62599999999998,116.645,191.858,117.005,252.889,113.45200000000001,121.749,123.667,113.785,124.51,150.755,125.02799999999999,266.052,117.588,227.52599999999998,118.39299999999999,105.926,118.70200000000001,303.592,118.272,259.85400000000004,126.508,246.523,125.566,88.184,129.233,,,,,,,,,,,,,,,,,,,,,,
142.5,570.0,,93.045,136.153,127.554,132.189,155.085,138.467,134.458,138.341,203.18,139.233,254.93200000000002,147.27200000000002,281.597,148.808,204.822,145.095,191.11,145.921,103.641,154.491,269.976,153.109,291.561,150.737,76.211,150.967,148.361,150.345,247.37,151.89700000000002,130.938,159.57,92.33,156.651,210.30200000000002,156.03,84.947,158.15200000000002,244.013,156.783,197.315,157.3,144.156,169.17700000000002,268.399,162.888,254.581,162.017,259.284,50.568999999999996,284.082,50.416000000000004,118.583,46.431000000000004,114.46,175.857,76.241,174.65599999999998,240.06599999999997,35.778,110.766,37.61,226.498,33.513000000000005,278.923,42.4,227.03099999999998,42.068999999999996,137.64700000000002,172.678,138.034,64.756,95.49799999999999,62.998999999999995,245.96,67.765,212.53900000000002,66.937,116.15700000000001,67.191,104.189,182.46200000000002,77.566,61.04600000000001,109.021,59.638999999999996,242.355,180.06900000000002,129.287,57.915,270.643,57.763999999999996,98.434,58.333,93.931,79.535,241.13,78.753,220.488,78.031,116.059,77.447,275.125,81.892,105.603,80.67399999999999,129.539,79.752,85.515,71.4,282.79,70.32,194.959,70.297,224.287,184.855,234.375,72.399,202.43200000000002,73.702,69.296,72.949,126.18299999999999,72.00399999999999,142.69,91.419,257.176,90.45200000000001,92.31,89.17,66.46,90.44,229.601,84.742,85.945,85.163,68.046,84.06200000000001,279.895,88.446,116.331,88.37799999999999,87.745,99.329,96.135,98.225,223.153,98.544,230.342,99.07600000000001,291.246,94.28200000000001,106.458,94.227,149.31,96.641,269.349,95.42,231.468,105.495,241.206,103.883,135.33700000000002,103.626,263.005,98.787,65.796,102.132,244.463,109.57600000000001,105.87200000000001,107.5,145.519,106.208,86.728,109.184,157.986,107.523,94.815,107.91799999999999,119.25,117.161,216.614,116.62700000000001,191.891,117.00399999999999,252.792,113.486,121.70700000000001,123.662,113.831,124.469,150.783,125.02600000000001,266.031,117.6,227.542,118.35799999999999,105.883,118.70200000000001,303.555,118.19,259.839,126.463,246.546,125.587,88.191,129.22,,,,,,,,,,,,,,,,,,,,,,
142.75,571.0,,92.99799999999999,136.158,127.584,132.195,155.09799999999998,138.457,134.441,138.344,203.21599999999998,139.30700000000002,254.96900000000002,147.286,281.61,148.864,204.796,145.08100000000002,191.141,145.988,103.69200000000001,154.549,269.959,153.111,291.555,150.72899999999998,76.22399999999999,151.066,148.362,150.287,247.327,151.893,130.97899999999998,159.513,92.355,156.653,210.271,156.03,84.956,158.131,244.007,156.832,197.28799999999998,157.255,144.166,169.18400000000003,268.355,162.877,254.574,161.996,259.26599999999996,50.6,284.059,50.467,118.637,46.458999999999996,114.464,175.799,76.267,174.69,240.12900000000002,35.75,110.699,37.428000000000004,226.437,33.551,278.998,42.347,227.065,42.043,137.618,172.678,137.995,64.748,95.464,63.00899999999999,245.926,67.757,212.498,66.954,116.234,67.133,104.06299999999999,182.485,77.444,61.122,109.01799999999999,59.648,242.42,180.058,129.283,57.943999999999996,270.617,57.77,98.411,58.367,94.09299999999999,79.54899999999999,241.075,78.884,220.521,78.028,116.00200000000001,77.405,275.099,81.883,105.58,80.666,129.531,79.755,85.48700000000001,71.43,282.757,70.277,194.99900000000002,70.27600000000001,224.31799999999998,184.86900000000003,234.52900000000002,71.90100000000001,202.468,73.757,69.199,72.947,126.125,71.943,142.69299999999998,91.414,257.22700000000003,90.501,92.315,89.15299999999999,66.468,90.45700000000001,229.665,84.691,85.916,85.189,68.029,84.035,279.894,88.43700000000001,116.321,88.36,87.755,99.375,96.126,98.197,223.178,98.506,230.334,99.09100000000001,291.217,94.31700000000001,106.48299999999999,94.24700000000001,149.268,96.52799999999999,269.362,95.37899999999999,231.484,105.54899999999999,241.192,103.883,135.0,104.0,262.962,98.757,65.767,102.095,244.467,109.56700000000001,105.82600000000001,107.542,145.549,106.274,86.71700000000001,109.20299999999999,158.0,107.575,94.78299999999999,107.852,119.315,117.12100000000001,216.545,116.604,191.82299999999998,117.046,252.97099999999998,113.54700000000001,121.69,123.656,113.727,124.54,150.798,125.022,266.055,117.581,227.558,118.34,105.848,118.708,303.455,118.24799999999999,259.867,126.486,246.463,125.59,88.139,129.265,,,,,,,,,,,,,,,,,,,,,,
143.0,572.0,,92.98100000000001,136.101,127.595,132.18200000000002,155.071,138.437,134.472,138.40200000000002,203.257,139.373,254.93200000000002,147.27700000000002,281.586,148.859,204.81400000000002,145.04,191.146,145.98,103.637,154.57,269.959,153.10299999999998,291.54400000000004,150.734,76.11399999999999,151.015,148.362,150.214,247.292,151.838,131.065,159.549,92.38,156.607,210.377,156.069,84.995,158.126,243.99900000000002,156.785,197.30900000000003,157.263,144.171,169.172,268.373,162.91899999999998,254.567,162.06,259.245,50.637,283.992,50.433,118.56700000000001,46.476000000000006,114.455,175.813,76.26899999999999,174.78099999999998,240.081,35.725,110.83200000000001,37.613,226.37099999999998,33.565,278.983,42.424,227.067,42.013000000000005,137.588,172.65900000000002,137.988,64.73899999999999,95.501,62.988,245.908,67.744,212.445,66.943,116.223,67.142,104.057,182.45,77.452,61.103,108.985,59.702,242.43900000000002,180.055,129.278,57.968999999999994,270.64799999999997,57.788000000000004,98.42,58.328,94.134,79.484,241.132,79.017,220.505,77.98100000000001,115.90899999999999,77.37100000000001,275.115,81.86,105.553,80.6,129.564,79.703,85.391,71.438,282.728,70.255,195.0,70.172,224.332,184.83900000000003,234.483,71.944,202.49,73.749,69.09,72.938,126.083,71.944,142.681,91.425,257.16700000000003,90.39,92.31,89.15700000000001,66.477,90.447,229.65599999999998,84.706,85.887,85.16,67.992,84.04299999999999,279.83299999999997,88.40899999999999,116.306,88.35700000000001,87.758,99.37299999999999,96.06700000000001,98.189,223.168,98.471,230.33,99.102,291.20799999999997,94.34200000000001,106.30799999999999,94.22399999999999,149.269,96.37799999999999,269.39799999999997,95.346,231.447,105.54700000000001,241.19400000000002,103.88799999999999,135.497,103.46799999999999,262.945,98.75299999999999,65.763,102.07600000000001,244.43099999999998,109.575,105.772,107.48700000000001,145.565,106.305,86.725,109.12899999999999,158.036,107.59299999999999,94.85700000000001,107.897,119.292,117.086,216.502,116.62799999999999,191.813,117.02799999999999,252.982,113.581,121.694,123.654,113.73899999999999,124.552,150.863,124.995,266.029,117.588,227.53099999999998,118.32,105.76700000000001,118.719,303.439,118.23299999999999,259.823,126.505,246.46400000000003,125.609,88.155,129.309,,,,,,,,,,,,,,,,,,,,,,
143.25,573.0,,92.98299999999999,136.128,127.615,132.171,155.05,138.395,134.423,138.394,203.237,139.435,254.916,147.26,281.63,148.769,204.855,145.095,191.187,146.078,103.639,154.638,269.955,153.107,291.557,150.737,76.215,151.139,148.34,150.251,247.33,151.773,131.128,159.57,92.366,156.635,210.358,156.02100000000002,84.97399999999999,158.11,243.979,156.836,197.291,157.296,144.17600000000002,169.168,268.404,162.925,254.55900000000003,162.023,259.314,50.663999999999994,284.101,50.437,118.596,46.527,114.441,175.75799999999998,76.266,174.833,240.06099999999998,35.677,110.66799999999999,37.535,226.274,33.542,278.876,42.836999999999996,227.03599999999997,42.003,137.613,172.665,137.991,64.777,95.512,63.085,245.88,67.735,212.43200000000002,66.96300000000001,116.198,67.202,104.066,182.468,77.377,61.138999999999996,108.98200000000001,59.683,242.43599999999998,180.051,129.268,57.983000000000004,270.693,57.815,98.47,58.258,94.26899999999999,79.509,241.19099999999997,79.047,220.47799999999998,78.035,115.976,77.45100000000001,275.113,81.85300000000001,105.553,80.518,129.496,79.747,85.43299999999999,71.432,282.723,70.268,195.002,70.15100000000001,224.31,184.84400000000002,234.287,72.085,202.43,73.76,69.247,72.77199999999999,126.074,71.955,142.659,91.43700000000001,257.111,90.375,92.301,89.162,66.477,90.43700000000001,229.717,84.76299999999999,85.773,85.104,68.008,83.977,279.839,88.459,116.255,88.323,87.774,99.346,96.09899999999999,98.09299999999999,223.18200000000002,98.484,230.36599999999999,98.956,291.181,94.36399999999999,106.235,94.22399999999999,149.265,96.458,269.414,95.344,231.46099999999998,105.553,241.18,103.889,135.252,103.679,262.882,98.693,65.76100000000001,102.071,244.405,109.556,105.723,107.505,145.563,106.294,86.79,109.02,158.039,107.61,94.88600000000001,107.86,119.275,117.068,216.484,116.53,191.808,117.039,252.916,113.665,121.68,123.637,113.723,124.52,150.935,124.941,266.012,117.561,227.513,118.29700000000001,105.75,118.696,303.387,118.186,259.809,126.47399999999999,246.46,125.572,88.154,129.269,103.698,125.059,,,,,,,,,,,,,,,,,,,,
143.5,574.0,,93.012,136.066,127.633,132.186,155.03799999999998,138.338,134.378,138.371,203.247,139.372,254.94099999999997,147.247,281.691,148.695,204.829,145.026,191.21900000000002,146.113,103.758,154.578,269.961,153.106,291.584,150.716,76.13600000000001,151.064,148.33100000000002,150.222,247.28099999999998,151.791,131.246,159.59,92.344,156.681,210.399,156.025,85.01,158.139,243.949,156.81799999999998,197.32,157.309,144.186,169.18900000000002,268.443,162.901,254.549,162.032,259.36400000000003,50.722,284.01099999999997,50.38,118.538,46.518,114.486,175.75400000000002,76.245,174.856,240.111,35.65,110.74700000000001,37.208,226.305,33.509,278.76599999999996,42.992,226.997,42.176,137.639,172.66299999999998,138.00799999999998,64.846,95.538,63.102,245.87900000000002,67.71,212.405,66.96300000000001,116.12700000000001,67.145,103.979,182.507,77.325,61.148999999999994,108.97399999999999,59.73,242.475,180.065,129.259,58.003,270.533,57.777,98.545,58.183,94.243,79.51100000000001,241.185,79.024,220.53400000000002,78.041,115.815,77.335,275.116,81.852,105.506,80.507,129.474,79.78699999999999,85.42,71.39399999999999,282.742,70.305,195.00799999999998,70.132,224.275,184.82299999999998,234.0,72.0,202.4,73.726,69.30199999999999,72.742,126.042,71.928,142.637,91.447,257.142,90.397,92.315,89.146,66.445,90.447,229.75099999999998,84.781,85.76100000000001,85.103,67.986,83.92200000000001,279.808,88.524,116.21,88.338,87.734,99.311,96.115,98.07799999999999,223.178,98.428,230.399,98.87799999999999,291.186,94.348,106.23,94.213,149.27100000000002,96.514,269.41,95.352,231.445,105.54,241.142,103.863,135.142,103.819,262.85200000000003,98.676,65.752,102.061,244.42700000000002,109.58200000000001,105.70700000000001,107.484,145.57299999999998,106.23200000000001,86.834,108.941,158.048,107.66799999999999,94.89,107.93,119.209,117.055,216.44799999999998,116.485,191.8,117.01100000000001,252.851,113.635,121.661,123.59200000000001,113.73299999999999,124.51,150.931,124.932,266.006,117.53299999999999,227.502,118.257,105.689,118.72200000000001,303.363,118.191,259.836,126.52799999999999,246.493,125.602,88.164,129.309,103.65700000000001,124.634,,,,,,,,,,,,,,,,,,,,
143.75,575.0,,93.023,136.077,127.6,132.172,155.07399999999998,138.631,134.429,138.377,203.24400000000003,139.392,254.965,147.22899999999998,281.699,148.67700000000002,204.88,145.011,191.205,145.991,103.89,154.564,269.957,153.116,291.592,150.69799999999998,76.107,151.131,148.316,150.178,247.55200000000002,151.656,131.329,159.571,92.365,156.718,210.46200000000002,156.011,85.01100000000001,158.121,243.88299999999998,156.861,197.3,157.32299999999998,144.183,169.202,268.42900000000003,162.928,254.578,161.981,259.323,50.678000000000004,283.991,50.378,118.55799999999999,46.563,114.45200000000001,175.69799999999998,76.22,174.882,240.114,35.64,110.691,37.125,226.25,33.548,278.597,43.055,226.972,42.18600000000001,137.644,172.671,137.99200000000002,64.777,95.552,62.998000000000005,245.843,67.704,212.385,66.938,116.08200000000001,67.112,104.119,182.44799999999998,77.295,61.11600000000001,108.992,59.663999999999994,242.482,180.063,129.243,57.996,270.483,57.743,98.525,58.201,94.512,79.527,241.173,78.99,220.483,78.016,115.637,77.266,275.165,81.85600000000001,105.52799999999999,80.482,129.50799999999998,79.708,85.449,71.32600000000001,282.66900000000004,70.362,194.99599999999998,70.205,224.273,184.775,234.326,71.643,202.488,73.7,69.334,72.806,125.98200000000001,71.857,142.588,91.476,257.118,90.346,92.32600000000001,89.132,66.468,90.458,229.71599999999998,84.73100000000001,85.795,85.11200000000001,68.01100000000001,83.881,279.777,88.571,116.193,88.29799999999999,87.711,99.265,96.088,98.06700000000001,223.18599999999998,98.415,230.331,98.851,291.158,94.353,106.20700000000001,94.214,149.32299999999998,96.866,269.377,95.361,231.482,105.539,241.106,103.834,135.085,103.865,262.856,98.711,65.744,102.05,244.44400000000002,109.55799999999999,105.666,107.48,145.572,106.226,86.867,108.796,158.064,107.74799999999999,94.945,107.89299999999999,119.17399999999999,117.07,216.362,116.455,191.79,116.956,252.752,113.64,121.65100000000001,123.561,113.744,124.51899999999999,150.946,124.895,266.027,117.54799999999999,227.486,118.229,105.804,118.678,303.361,118.12700000000001,259.825,126.51899999999999,246.50799999999998,125.59100000000001,88.179,129.257,103.755,124.689,,,,,,,,,,,,,,,,,,,,
144.0,576.0,,93.07600000000001,136.03,127.624,132.197,155.175,139.459,134.41,138.386,203.24400000000003,139.309,254.99900000000002,147.231,281.666,148.659,204.863,145.007,191.21099999999998,145.981,103.87299999999999,154.489,269.965,153.105,291.597,150.709,76.092,151.157,148.326,150.21,247.452,151.661,131.31799999999998,159.553,92.353,156.715,210.533,156.053,85.029,158.158,243.859,156.822,197.31799999999998,157.322,144.167,169.203,268.426,162.94799999999998,254.606,161.921,259.262,50.668,283.927,50.428000000000004,118.51299999999999,46.532,114.344,175.67,76.247,174.919,240.138,35.65,110.79700000000001,36.900999999999996,226.248,33.552,278.284,43.548,226.951,42.202,137.644,172.655,138.01,64.812,95.56,62.99,245.827,67.668,212.388,66.904,116.163,67.062,104.139,182.525,77.263,61.175,109.00200000000001,59.636,242.438,180.06099999999998,129.241,57.978,270.423,57.738,98.375,58.288999999999994,94.27,79.497,241.144,78.699,220.446,78.031,115.62899999999999,77.322,275.11,81.867,105.50299999999999,80.469,129.481,79.732,85.48700000000001,71.26899999999999,282.47,70.661,194.976,70.25399999999999,224.298,184.80200000000002,234.092,72.095,202.46900000000002,73.689,69.274,72.766,125.95299999999999,71.857,142.57299999999998,91.492,257.087,90.296,92.338,89.133,66.43,90.434,229.74099999999999,84.806,85.821,85.124,68.015,83.941,279.825,88.537,116.169,88.287,87.745,99.281,96.073,98.014,223.205,98.446,230.31900000000002,98.787,291.13599999999997,94.322,106.165,94.214,149.293,96.51899999999999,269.367,95.376,231.493,105.477,241.165,103.82799999999999,134.94899999999998,103.948,262.89099999999996,98.72200000000001,65.72800000000001,102.03,244.44099999999997,109.55799999999999,105.65,107.507,145.57,106.249,86.865,108.78299999999999,158.058,107.766,94.90700000000001,107.834,119.165,117.094,216.364,116.35700000000001,191.796,116.955,252.727,113.611,121.663,123.556,113.77799999999999,124.51,150.91899999999998,124.883,266.018,117.521,227.50799999999998,118.244,105.824,118.721,303.371,118.161,259.772,126.52600000000001,246.543,125.585,88.189,129.266,103.89,124.34700000000001,,,,,,,,,,,,,,,,,,,,
