TimesH,Frame,NoMissing,1,1,2,2,6,6,10,10,20,20,22,22,30,30,31,31,40,40,45,45,48,48,51,51,60,60,62,62,64,64,70,70,72,72,74,74,75,75,76,76,77,77,79,79,82,82,84,84,89,89,91,91,92,92,96,96,97,97,99,99,102,102,106,106,109,109,110,110,116,116,119,119,122,122,123,123,124,124,127,127,128,128,129,129,130,130,135,135,137,137,140,140,143,143,145,145,146,146,148,148,155,155,156,156,157,157,160,160,164,164,171,171,172,172,181,181,184,184,187,187,188,188,191,191,193,193,195,195,196,196,198,198,199,199,201,201,204,204,207,207,209,209,210,210,211,211,212,212,218,218,219,219,221,221,223,223,230,230,233,233,235,235,236,236,237,237,240,240,244,244,246,246,247,247,249,249,253,253,263,263,265,265,267,267,268,268,269,269,271,271,286,286,287,287,289,289,290,290,292,292,469,469,622,622,675,675
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
309.5,1238.0,,115.47200000000001,93.59899999999999,85.21600000000001,92.865,223.081,95.484,246.093,88.84899999999999,256.77,82.936,118.008,82.69200000000001,316.113,80.337,91.116,80.934,127.024,81.60600000000001,229.68200000000002,74.081,77.83,76.303,299.944,71.195,112.90799999999999,63.641999999999996,238.083,62.048,104.199,183.933,101.499,66.723,94.389,182.377,93.758,57.663000000000004,102.756,58.409,233.262,61.373999999999995,198.88299999999998,182.637,292.632,60.063,254.41099999999997,114.552,150.27700000000002,115.844,186.75900000000001,113.51100000000001,118.199,110.65299999999999,104.471,111.863,95.525,110.96,276.45599999999996,110.271,254.38099999999997,104.036,115.325,103.14399999999999,246.00799999999998,103.18700000000001,91.84200000000001,102.103,264.621,99.939,237.477,98.209,156.145,99.56299999999999,63.888999999999996,131.13,207.55200000000002,130.36,133.762,130.909,150.905,129.421,224.218,127.126,262.525,129.335,254.623,128.513,250.331,123.12700000000001,216.956,124.95100000000001,70.825,122.40899999999999,295.478,120.272,268.942,121.04799999999999,84.617,121.46600000000001,242.856,116.635,208.452,141.327,111.148,141.275,321.811,142.442,280.93,139.001,30.934,137.67,214.29,136.59799999999998,224.35299999999998,135.51,103.315,133.09799999999998,142.02,130.583,107.021,151.827,226.998,152.111,95.95299999999999,152.119,264.009,150.263,308.0,150.0,100.819,149.625,218.12900000000002,150.279,192.574,147.469,292.76099999999997,147.224,256.508,145.961,231.627,143.26,277.651,143.02700000000002,241.44,143.40200000000002,106.71600000000001,160.636,271.08299999999997,160.719,308.612,156.666,82.169,155.68,71.244,156.83100000000002,248.794,153.747,69.528,170.438,246.36900000000003,168.743,287.742,169.09599999999998,236.67,167.987,272.035,168.412,79.563,166.268,200.967,163.99099999999999,257.232,161.933,115.281,163.395,282.48400000000004,51.121,254.554,51.486000000000004,244.472,178.678,127.713,43.665,234.188,47.455,247.05,28.884,83.163,177.55900000000003,70.04,177.525,222.52599999999998,174.644,209.25799999999998,174.766,92.535,175.81599999999997,130.715,173.981,236.68900000000002,173.69400000000002,,,,,,
309.75,1239.0,,115.50399999999999,93.59899999999999,85.198,92.876,223.079,95.51799999999999,246.076,88.882,256.753,82.916,118.042,82.70200000000001,316.195,80.485,91.18700000000001,80.898,127.51799999999999,81.53699999999999,229.683,74.081,77.812,76.298,299.94599999999997,71.208,112.92200000000001,63.68899999999999,238.083,62.021,104.194,183.93,101.486,66.733,94.384,182.36599999999999,93.74600000000001,57.645,102.709,58.451,233.257,61.382,198.935,182.614,292.618,60.091,254.389,114.566,150.278,115.779,186.792,113.505,118.20299999999999,110.654,104.47,111.81299999999999,95.525,110.939,276.43,110.309,254.416,104.014,115.337,103.139,246.02700000000002,103.167,91.838,102.105,264.58799999999997,99.932,237.56400000000002,98.184,156.109,99.54799999999999,63.876000000000005,131.14,207.553,130.347,133.804,130.899,150.874,129.442,224.22099999999998,127.103,262.564,129.387,254.645,128.496,250.36599999999999,123.131,216.91299999999998,124.821,70.82600000000001,122.426,295.45,120.273,268.96,121.04799999999999,84.589,121.455,242.952,116.647,208.44299999999998,141.334,111.14399999999999,141.296,321.823,142.437,280.93,139.00799999999998,30.923000000000002,137.667,214.304,136.575,224.37,135.512,103.366,133.071,142.049,130.58700000000002,107.014,151.819,226.997,152.107,95.946,152.097,264.004,150.265,310.236,150.438,100.83200000000001,149.609,218.10299999999998,150.296,192.528,147.474,292.783,147.286,256.515,145.94799999999998,231.653,143.264,277.651,143.019,241.43,143.451,106.729,160.613,271.08,160.70600000000002,308.586,156.623,82.17399999999999,155.661,71.234,156.814,248.77,153.724,69.58,170.419,246.352,168.74099999999999,287.747,169.083,236.707,167.987,272.03700000000003,168.417,79.554,166.267,200.998,164.003,257.23,161.933,114.991,163.547,282.47900000000004,51.128,254.548,51.506,244.457,178.669,127.678,43.633,234.18400000000003,47.468999999999994,246.979,28.933000000000003,83.199,177.56400000000002,70.186,177.47799999999998,222.50400000000002,174.66299999999998,209.27700000000002,174.782,92.51799999999999,175.80900000000003,130.666,173.99599999999998,236.671,173.66299999999998,,,,,,
310.0,1240.0,,115.57,93.59100000000001,85.20700000000001,92.861,223.065,95.484,246.072,88.81299999999999,256.78,82.916,118.031,82.70200000000001,315.934,80.449,91.118,80.977,127.109,81.689,229.739,74.104,77.84899999999999,76.28399999999999,299.953,71.205,112.891,63.65,238.132,62.013999999999996,104.196,183.93,101.491,66.743,94.363,182.368,93.74799999999999,57.558,102.70299999999999,58.496,233.237,61.394,198.898,182.576,292.627,60.086999999999996,254.356,114.59,150.313,115.804,186.72299999999998,113.495,118.211,110.60700000000001,104.645,111.73200000000001,95.499,110.926,276.403,110.34,254.447,104.05,115.338,103.165,246.062,103.161,91.831,102.088,264.623,99.949,237.50099999999998,98.279,156.111,99.54,63.843,131.19,207.553,130.435,133.847,130.9,150.951,129.535,224.206,127.12100000000001,262.601,129.376,254.671,128.467,250.33599999999998,123.12700000000001,217.02200000000002,124.70100000000001,70.76,122.448,295.472,120.256,268.923,121.015,84.652,121.462,242.892,116.631,208.47799999999998,141.363,111.07799999999999,141.285,321.824,142.444,280.914,138.994,30.941,137.67700000000002,214.321,136.602,224.385,135.567,,,142.028,130.529,107.01100000000001,151.827,226.938,152.153,95.958,152.084,264.025,150.28799999999998,308.0,150.0,100.82,149.566,218.122,150.276,192.576,147.50799999999998,292.777,147.289,256.52099999999996,145.93,231.61900000000003,143.297,277.666,143.0,241.44799999999998,143.45600000000002,106.76799999999999,160.612,271.06,160.72299999999998,308.623,156.565,82.195,155.683,71.243,156.726,248.764,153.678,69.611,170.43900000000002,246.358,168.74200000000002,287.76099999999997,169.09900000000002,236.679,167.96400000000003,272.038,168.428,79.559,166.248,201.019,164.011,257.221,161.905,115.02600000000001,163.501,282.462,51.091,254.60299999999998,51.537,244.456,178.68900000000002,127.59200000000001,43.573,234.176,47.455,246.987,28.953000000000003,83.20299999999999,177.53799999999998,70.01899999999999,177.503,222.53900000000002,174.69400000000002,209.225,174.783,92.514,175.80599999999998,130.77200000000002,173.947,236.66400000000002,173.68400000000003,,,,,,
310.25,1241.0,,115.501,93.611,85.21700000000001,92.87299999999999,223.05900000000003,95.522,246.075,88.844,256.772,82.92399999999999,118.045,82.74799999999999,316.018,80.411,91.027,80.992,126.449,81.683,229.768,74.001,77.866,76.335,299.95799999999997,71.204,112.87200000000001,63.64,238.14700000000002,61.968999999999994,104.197,183.898,101.52,66.73100000000001,94.37100000000001,182.382,93.795,57.58,102.693,58.461000000000006,233.24400000000003,61.37,198.80700000000002,182.575,292.627,60.068999999999996,254.419,114.588,150.312,115.84,186.74200000000002,113.49700000000001,118.228,110.58,104.655,111.728,95.491,110.96700000000001,276.35,110.27600000000001,254.476,104.039,115.33200000000001,103.141,246.07299999999998,103.148,91.821,102.087,264.64,99.945,237.503,98.285,156.111,99.58,63.853,131.19899999999998,207.544,130.41299999999998,133.79399999999998,130.93,150.876,129.412,224.199,127.12,262.64,129.377,254.696,128.453,250.385,123.161,216.981,124.352,70.805,122.33,295.475,120.259,268.931,121.031,84.695,121.48,242.954,116.694,208.482,141.343,111.09100000000001,141.29,321.81,142.439,280.925,138.98,30.926,137.67700000000002,214.33,136.614,224.433,135.635,103.47399999999999,133.035,142.041,130.549,107.01,151.839,226.907,152.167,95.985,152.05,264.02099999999996,150.24200000000002,310.276,150.507,100.81299999999999,149.58700000000002,218.106,150.291,192.533,147.506,292.767,147.314,256.51099999999997,145.933,231.692,143.275,277.645,143.00799999999998,241.452,143.48,106.689,160.625,271.068,160.69299999999998,308.575,156.563,82.19200000000001,155.675,71.22399999999999,156.689,248.81099999999998,153.53799999999998,69.658,170.46200000000002,246.358,168.75,287.758,169.11,236.68200000000002,167.93599999999998,272.036,168.429,79.553,166.233,201.00900000000001,163.998,257.22,161.886,115.204,163.373,282.481,51.021,254.59599999999998,51.515,244.52700000000002,178.72299999999998,127.704,43.615,234.167,47.457,246.96099999999998,28.948,83.17299999999999,177.523,69.92,177.68200000000002,222.577,174.727,209.15400000000002,174.77700000000002,92.515,175.798,130.77200000000002,173.96400000000003,236.65599999999998,173.68,,,,,,
310.5,1242.0,,115.512,93.60799999999999,85.229,92.853,222.99,95.397,246.08,88.79700000000001,256.781,82.868,118.109,82.775,315.967,80.431,91.037,80.955,126.43299999999999,81.688,229.78,73.908,77.793,76.358,299.945,71.195,112.891,63.662,238.143,61.953,104.189,183.90599999999998,101.536,66.732,94.329,182.36700000000002,93.63,57.631,102.738,58.475,233.222,61.393,198.75,182.669,292.617,60.06399999999999,254.46200000000002,114.586,150.308,115.88600000000001,186.733,113.508,118.27,110.525,104.726,111.775,95.46700000000001,110.965,276.29200000000003,110.277,254.465,103.973,115.31299999999999,103.154,246.076,103.133,91.823,102.084,264.68,99.91799999999999,237.082,98.396,156.18,99.64,63.833999999999996,131.202,207.535,130.33100000000002,133.826,130.95,150.888,129.44299999999998,224.217,127.135,262.678,129.398,254.68099999999998,128.401,250.347,123.184,216.986,124.391,70.803,122.361,295.466,120.13799999999999,268.91700000000003,121.021,84.73,121.471,242.968,116.70700000000001,208.571,141.622,111.054,141.292,321.798,142.463,280.906,138.963,30.944000000000003,137.689,214.218,136.595,224.425,135.649,103.39,133.107,142.09799999999998,130.533,107.006,151.835,226.972,152.121,95.99600000000001,152.079,264.024,150.16899999999998,308.562,150.32,100.82700000000001,149.575,218.07,150.296,192.489,147.468,292.805,147.24,256.478,145.94899999999998,231.72400000000002,143.248,277.665,142.999,241.50799999999998,143.44799999999998,106.665,160.60399999999998,271.067,160.666,308.61400000000003,156.55200000000002,82.212,155.683,71.185,156.738,248.78799999999998,153.594,69.676,170.458,246.342,168.757,287.855,169.113,236.699,167.955,272.04,168.419,79.547,166.231,201.067,164.02700000000002,257.232,161.865,115.24700000000001,163.28,282.48,51.047,254.583,51.475,244.47299999999998,178.68599999999998,127.743,43.637,234.11700000000002,47.416000000000004,246.94299999999998,28.969,83.14,177.47799999999998,69.902,177.662,222.61599999999999,174.68900000000002,209.174,174.908,92.516,175.78900000000002,130.846,173.96400000000003,236.642,173.672,,,,,,
310.75,1243.0,,115.51299999999999,93.646,85.23,92.87299999999999,223.0,95.369,246.122,88.81,256.782,82.955,118.07700000000001,82.823,315.892,80.525,91.029,80.929,127.48700000000001,81.561,229.82,73.673,77.758,76.42,299.961,71.192,112.881,63.678999999999995,238.142,61.953,104.185,183.893,101.571,66.749,94.28399999999999,182.312,93.556,57.596000000000004,102.72,58.46,233.21900000000002,61.388999999999996,198.805,182.68900000000002,292.612,60.056000000000004,254.46,114.588,150.365,115.86399999999999,186.69799999999998,113.48700000000001,118.238,110.552,104.72200000000001,111.758,95.449,110.99600000000001,276.367,110.242,254.524,103.948,115.3,103.14200000000001,246.077,103.09899999999999,91.81700000000001,102.089,264.681,99.863,237.144,98.416,156.202,99.615,63.845,131.192,207.584,130.356,133.761,131.019,150.862,129.30200000000002,224.178,127.148,262.691,129.378,254.68200000000002,128.422,250.298,123.21,216.958,124.34200000000001,70.78,122.363,295.467,120.131,268.903,121.01899999999999,84.772,121.463,242.947,116.74,208.46099999999998,141.362,111.035,141.321,321.809,142.431,280.884,138.953,30.933000000000003,137.688,214.18900000000002,136.703,224.43599999999998,135.632,103.374,133.096,142.164,130.556,107.006,151.838,226.942,152.142,96.022,152.058,264.027,150.135,308.0,150.0,100.81200000000001,149.58,218.074,150.27700000000002,192.43200000000002,147.474,292.803,147.276,256.464,145.941,231.636,143.29399999999998,277.668,143.005,241.52,143.467,106.63,160.6,271.092,160.636,308.765,156.466,82.206,155.702,71.26,156.785,248.813,153.532,69.62,170.438,246.327,168.77599999999998,287.899,169.11900000000003,236.708,167.91299999999998,272.038,168.417,79.553,166.22099999999998,201.118,164.049,257.22900000000004,161.849,115.118,163.274,282.466,51.033,254.611,51.49,244.46200000000002,178.688,127.749,43.637,234.137,47.468999999999994,246.929,28.956,83.089,177.45,69.792,177.671,222.61700000000002,174.704,209.109,174.91299999999998,92.527,175.77900000000002,130.90200000000002,173.921,236.658,173.708,,,,,,
311.0,1244.0,,115.52,93.625,85.241,92.86200000000001,222.987,95.39200000000001,246.165,88.848,256.79200000000003,82.969,118.066,82.771,315.763,80.604,91.073,80.914,126.458,81.722,229.87400000000002,73.706,77.679,76.42699999999999,299.945,71.194,112.902,63.67,238.11,61.922,104.214,183.87900000000002,101.572,66.727,94.309,182.28900000000002,93.51799999999999,57.556999999999995,102.689,58.431999999999995,233.185,61.382,198.583,182.80200000000002,292.616,60.055,254.39,114.59,150.428,115.77600000000001,186.697,113.52799999999999,118.235,110.5,104.82799999999999,111.794,95.45200000000001,111.009,276.308,110.145,254.486,103.993,115.315,103.15299999999999,246.1,103.054,91.80799999999999,102.068,264.655,99.861,236.81900000000002,98.43700000000001,156.162,99.67,63.815,131.184,207.66299999999998,130.374,133.887,130.967,150.82299999999998,129.281,224.172,127.171,262.7,129.392,254.65900000000002,128.437,250.329,123.221,216.925,124.25399999999999,70.847,122.318,295.49,120.14200000000001,268.869,120.99,84.807,121.45200000000001,242.9,116.76700000000001,208.445,141.235,111.06700000000001,141.355,321.785,142.446,280.91700000000003,138.94799999999998,30.94,137.66,214.326,136.68200000000002,224.423,135.668,103.3,133.14700000000002,142.151,130.569,107.01,151.83100000000002,226.91400000000002,152.139,96.056,152.065,263.997,150.093,308.0,150.0,100.831,149.515,218.048,150.262,192.49099999999999,147.53799999999998,292.764,147.203,256.45099999999996,145.958,231.565,143.313,277.633,143.001,241.53099999999998,143.486,106.625,160.60299999999998,271.096,160.61,308.763,156.489,82.213,155.726,71.242,156.849,248.83700000000002,153.489,69.634,170.446,246.31,168.773,287.905,169.127,236.673,167.94299999999998,272.029,168.41099999999997,79.556,166.22,201.168,164.065,257.23900000000003,161.89,115.193,163.22299999999998,282.468,50.981,254.623,51.498999999999995,244.50400000000002,178.732,127.73,43.628,234.11700000000002,47.476000000000006,246.91299999999998,28.949,83.118,177.424,69.803,177.554,222.61700000000002,174.692,209.227,174.886,92.51799999999999,175.78,130.97799999999998,173.864,236.643,173.702,,,,,,
311.25,1245.0,,115.48700000000001,93.6,85.22200000000001,92.882,222.97799999999998,95.43,246.15599999999998,88.94,256.707,82.943,118.05799999999999,82.74600000000001,315.79400000000004,80.475,91.199,80.90899999999999,126.344,81.764,229.857,73.61,77.685,76.407,299.928,71.199,112.899,63.677,238.049,61.916000000000004,104.23899999999999,183.88400000000001,101.559,66.745,94.292,182.32,93.74600000000001,57.383,102.682,58.461999999999996,233.183,61.379,198.52599999999998,182.75599999999997,292.613,60.056999999999995,254.285,114.565,150.459,115.79299999999999,186.655,113.491,118.23,110.493,104.854,111.695,95.45200000000001,110.986,276.233,110.13,254.453,103.976,115.3,103.17299999999999,246.074,103.029,91.818,102.087,264.591,99.82700000000001,236.648,98.32,156.079,99.801,63.821000000000005,131.19299999999998,207.695,130.398,133.863,130.97,150.72,129.269,224.19,127.18799999999999,262.71,129.355,254.62400000000002,128.395,250.315,123.191,217.05900000000003,124.31,70.81,122.287,295.471,120.137,268.86400000000003,120.985,84.851,121.428,242.852,116.81,208.41299999999998,141.304,111.056,141.376,321.80400000000003,142.43,280.909,138.942,30.935,137.655,214.364,136.541,224.326,135.592,103.28299999999999,133.158,142.159,130.62,107.01100000000001,151.821,226.86700000000002,152.165,96.059,152.056,264.008,150.09799999999998,308.0,150.0,100.853,149.485,218.042,150.244,192.465,147.55700000000002,292.828,147.225,256.466,145.963,231.33,143.567,277.617,143.01,241.549,143.491,106.756,160.614,271.111,160.592,308.76,156.452,82.184,155.72899999999998,71.196,156.82299999999998,248.83900000000003,153.484,69.69,170.44099999999997,246.31900000000002,168.753,287.973,169.13099999999997,236.64700000000002,167.982,272.031,168.403,79.558,166.22400000000002,201.235,164.085,257.23900000000003,161.921,115.012,163.312,282.459,50.933,254.602,51.513000000000005,244.488,178.768,127.775,43.622,234.111,47.513999999999996,246.97400000000002,28.95,83.09700000000001,177.421,69.737,177.562,222.638,174.729,209.183,174.918,92.51700000000001,175.771,131.05,173.792,236.65400000000002,173.737,,,,,,
