TimesH,Frame,NoMissing,3,3,6,6,8,8,9,9,13,13,15,15,17,17,20,20,22,22,26,26,27,27,30,30,32,32,33,33,35,35,39,39,41,41,42,42,45,45,46,46,48,48,53,53,61,61,64,64,65,65,66,66,70,70,76,76,91,91,93,93,96,96,111,111,116,116,117,117,118,118,122,122,131,131,132,132,137,137,146,146,156,156,157,157,161,161,164,164,169,169,170,170,173,173,176,176,181,181,183,183,184,184,195,195,201,201,203,203,224,224,243,243,245,245,246,246,262,262,265,265,266,266,271,271,272,272,273,273,274,274,277,277,278,278,279,279,287,287,288,288,290,290,292,292,294,294,295,295,299,299,302,302,304,304,305,305,310,310,312,312,315,315,316,316,317,317,318,318,319,319,320,320,325,325,326,326,333,333,336,336,341,341,345,345,349,349,350,350,352,352,353,353,354,354,358,358,365,365,369,369,374,374,376,376,377,377,443,443,447,447,605,605,640,640,652,652,737,737,748,748,750,750,752,752,827,827
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
309.5,1238.0,,292.194,111.359,72.339,112.101,245.49400000000003,109.337,163.8,111.03399999999999,87.69,108.446,107.166,118.182,268.129,117.514,221.90200000000002,117.45200000000001,190.205,114.69200000000001,252.553,113.711,237.942,114.05799999999999,68.09100000000001,102.14,82.01799999999999,103.417,128.94799999999998,101.39399999999999,199.71400000000003,99.361,276.638,97.887,89.759,99.214,226.15900000000002,98.085,257.769,97.552,232.77900000000002,106.395,272.998,107.79,106.249,106.78399999999999,135.553,136.313,237.77700000000002,135.957,104.42299999999999,135.408,95.21799999999999,134.845,252.56900000000002,133.569,196.628,132.849,212.93099999999998,137.86700000000002,254.19799999999998,122.83,122.70100000000001,122.705,218.162,130.11,100.271,126.508,261.467,126.274,129.303,127.955,244.851,126.425,308.923,156.775,225.386,157.621,197.248,157.252,145.99200000000002,168.192,81.887,147.894,306.315,147.267,257.13599999999997,146.058,192.197,143.628,205.78599999999997,142.901,216.842,153.475,263.55400000000003,153.386,271.574,152.79,225.46900000000002,149.024,148.401,148.275,293.096,148.325,218.101,173.12900000000002,77.265,172.767,138.97299999999998,171.19799999999998,227.097,179.46400000000003,227.703,33.609,139.92600000000002,34.705,90.273,35.486999999999995,241.392,60.795,277.20799999999997,61.475,80.266,60.488,131.99,58.748000000000005,111.435,59.368,86.791,70.559,144.373,70.158,109.006,69.29,299.69599999999997,69.15100000000001,134.814,70.357,212.688,66.763,215.71099999999998,47.003,263.915,48.119,107.04899999999999,44.367,246.872,43.66,227.63,43.581,113.39200000000001,39.217,102.37899999999999,56.192,66.031,56.772,235.68,52.821999999999996,280.505,51.176,74.363,53.55,256.808,51.215,243.21099999999998,51.019,281.48900000000003,88.89200000000001,93.887,89.005,221.75400000000002,90.56700000000001,204.35,89.79,,,149.471,84.669,269.77,95.73200000000001,106.98100000000001,94.073,250.935,92.45200000000001,66.485,90.818,151.89,74.602,202.669,74.47,233.795,72.916,113.92,74.12,281.561,72.969,128.234,72.729,274.45099999999996,82.346,228.919,81.39699999999999,267.552,79.244,92.617,77.998,257.694,78.482,,,,,,,,,,,,,,,,,,,,
309.75,1239.0,,292.186,111.34,72.327,112.096,245.512,109.296,163.791,111.005,87.681,108.47,107.146,118.18299999999999,268.187,117.505,221.94,117.459,190.21900000000002,114.665,252.625,113.712,237.833,114.19,68.074,102.07,81.979,103.414,128.946,101.469,199.725,99.335,276.594,97.831,89.777,99.22399999999999,226.14700000000002,98.087,257.752,97.55,232.757,106.39299999999999,273.014,107.80799999999999,106.31,106.81200000000001,135.59,136.287,237.735,136.013,104.391,135.292,95.223,134.822,252.622,133.506,196.67700000000002,132.82,212.928,137.834,254.171,122.83200000000001,122.712,122.715,218.14700000000002,130.05700000000002,100.25200000000001,126.506,261.442,126.262,129.237,127.94,244.832,126.40799999999999,309.019,156.79,225.407,157.615,197.16400000000002,157.239,145.99,168.095,81.833,147.83700000000002,306.357,147.275,257.221,146.048,192.237,143.681,205.764,142.863,216.86599999999999,153.537,263.595,153.394,271.58799999999997,152.786,225.43099999999998,149.009,148.347,148.231,293.107,148.31,218.051,173.222,77.226,172.71099999999998,138.924,171.183,227.30900000000003,179.43099999999998,227.673,33.607,140.017,34.601,90.241,35.422,241.285,60.812,277.16900000000004,61.476000000000006,80.311,60.515,132.015,58.781000000000006,111.448,59.381,86.803,70.60300000000001,144.412,70.115,109.01799999999999,69.32,299.683,69.171,134.81,70.357,212.699,66.751,215.84799999999998,47.077,263.92900000000003,48.147,107.177,44.537,246.92,43.666000000000004,227.644,43.582,113.414,39.228,102.415,56.203,65.991,56.794,235.71599999999998,52.848,280.495,51.173,74.387,53.533,256.81,51.224,243.237,50.972,281.49,88.874,93.891,89.00200000000001,221.747,90.551,204.3,89.844,,,149.47799999999998,84.74799999999999,269.723,95.779,106.977,94.075,250.925,92.484,66.518,90.802,151.88299999999998,74.596,202.72799999999998,74.562,233.813,72.899,113.961,74.20100000000001,281.568,72.934,128.289,72.547,274.457,82.365,228.97099999999998,81.404,267.574,79.212,92.473,77.935,257.71,78.458,,,,,,,,,,,,,,,,,,,,
310.0,1240.0,,292.306,111.355,72.416,112.12,245.50799999999998,109.323,163.763,110.971,87.654,108.462,107.07799999999999,118.12100000000001,268.161,117.508,221.987,117.303,190.202,114.665,252.683,113.7,237.856,114.104,67.991,102.10700000000001,82.024,103.402,129.047,101.656,199.69799999999998,99.381,276.595,97.81200000000001,89.804,99.26899999999999,226.106,98.056,257.78700000000003,97.588,232.74,106.39299999999999,273.041,107.836,106.353,106.802,135.601,136.30700000000002,237.708,136.097,104.37899999999999,135.249,95.189,134.843,252.58900000000003,133.491,196.597,132.814,212.933,137.89,254.136,122.84899999999999,122.713,122.741,218.041,130.046,100.242,126.51299999999999,261.485,126.27,129.264,127.914,244.832,126.444,309.221,156.901,225.449,157.641,197.146,157.172,145.998,168.082,81.812,147.691,306.29,147.366,257.185,146.05100000000002,192.262,143.644,205.804,142.857,216.863,153.525,263.607,153.532,271.611,152.797,225.468,148.937,148.341,148.232,293.1,148.282,218.09599999999998,173.283,77.24,172.644,138.93200000000002,171.18,227.31099999999998,179.351,227.582,33.595,139.965,34.641999999999996,90.197,35.398,241.273,60.803999999999995,277.214,61.46,80.361,60.49100000000001,131.994,58.781000000000006,111.441,59.363,86.78,70.563,144.378,70.167,109.03200000000001,69.29899999999999,299.618,69.096,134.786,70.321,212.701,66.738,215.75400000000002,46.896,263.914,48.049,107.20299999999999,44.537,246.878,43.64,227.618,43.577,113.419,39.219,102.385,56.214,66.00399999999999,56.82,235.71200000000002,52.827,280.57099999999997,51.151,74.388,53.515,256.836,51.184,243.255,51.007,281.47900000000004,88.912,93.905,89.02,221.78599999999997,90.54299999999999,204.33599999999998,89.70100000000001,220.24200000000002,82.58,149.511,84.719,269.949,95.696,106.95,94.073,250.93400000000003,92.449,66.459,90.84,151.922,74.575,202.662,74.498,233.826,72.91,113.94200000000001,74.189,281.601,72.941,128.251,72.613,274.45799999999997,82.389,228.96599999999998,81.40899999999999,267.517,79.184,92.553,77.969,257.722,78.457,,,,,,,,,,,,,,,,,,,,
310.25,1241.0,,292.14,111.339,72.374,112.109,245.503,109.337,163.738,110.926,87.325,108.764,107.146,118.12200000000001,268.151,117.512,222.044,117.361,190.18900000000002,114.67399999999999,252.66,113.67200000000001,237.84400000000002,114.01,67.98,102.04799999999999,81.969,103.43299999999999,128.991,101.507,199.695,99.366,276.579,97.516,89.81299999999999,99.274,226.085,98.083,257.828,97.50299999999999,232.722,106.461,273.035,107.906,106.384,106.807,135.59,136.289,237.61,136.137,104.406,135.30700000000002,95.20299999999999,134.847,252.60299999999998,133.49,196.483,132.792,212.872,137.986,254.351,122.699,122.679,122.73100000000001,218.003,130.037,100.285,126.51100000000001,261.533,126.28200000000001,129.279,127.95200000000001,244.81400000000002,126.447,309.108,156.805,225.468,157.748,197.19799999999998,157.151,145.991,168.07,81.763,147.735,306.347,147.311,257.209,145.997,192.298,143.642,205.75099999999998,142.805,216.888,153.57299999999998,263.608,153.532,271.664,152.732,225.571,148.715,148.40200000000002,148.295,293.126,148.22299999999998,218.012,173.31,77.267,172.672,138.944,171.231,227.176,179.39,227.648,33.647,140.09799999999998,34.545,90.236,35.427,241.179,60.833999999999996,277.22,61.419,80.313,60.581,131.994,58.783,111.436,59.321000000000005,86.74700000000001,70.52199999999999,144.332,70.21300000000001,109.05,69.266,299.603,69.161,134.83,70.305,212.72799999999998,66.738,215.71099999999998,46.869,263.88,47.997,107.262,44.603,246.796,43.629,227.544,43.593999999999994,113.40899999999999,39.227,102.412,56.236000000000004,66.041,56.772,235.704,52.795,280.578,51.155,74.404,53.526,256.82099999999997,51.18,243.21200000000002,50.965,281.47,88.927,93.912,88.988,221.791,90.521,204.335,89.87799999999999,220.02200000000002,82.914,149.558,84.81200000000001,270.027,95.697,106.958,94.072,250.926,92.382,66.456,90.834,151.918,74.538,202.63,74.498,233.832,72.9,113.913,74.125,281.6,72.905,128.211,72.646,274.49,82.425,228.989,81.436,267.54400000000004,79.146,92.564,77.96300000000001,257.716,78.453,,,,,,,,,,,,,,,,,,,,
310.5,1242.0,,292.147,111.353,72.362,112.15,245.511,109.289,163.767,110.87899999999999,87.316,108.771,107.13600000000001,118.104,268.121,117.573,222.047,117.39299999999999,190.204,114.649,252.62099999999998,113.721,237.81900000000002,114.066,67.917,102.008,82.056,103.416,128.971,101.486,199.69099999999997,99.34100000000001,276.672,97.802,89.89299999999999,99.329,226.107,98.09100000000001,257.949,97.551,232.59900000000002,106.689,273.017,107.876,106.37,106.834,135.623,136.237,237.61599999999999,136.107,104.42200000000001,135.33,95.28200000000001,134.833,252.605,133.467,196.425,132.746,212.895,137.97299999999998,254.32,122.75299999999999,122.65799999999999,122.76700000000001,218.0,130.072,100.273,126.544,261.47900000000004,126.28299999999999,129.186,127.948,244.83,126.463,309.211,156.738,225.463,157.566,197.213,157.121,146.006,168.043,81.685,147.714,306.302,147.259,257.113,146.043,192.334,143.701,205.753,142.85399999999998,216.895,153.583,263.585,153.601,271.66,152.739,225.554,148.708,148.474,148.303,293.127,148.203,218.15099999999998,173.39,77.28,172.74200000000002,138.934,171.196,227.169,179.329,227.65599999999998,33.648,139.905,34.585,90.228,35.467,241.12599999999998,60.824,277.219,61.43,80.41,60.523,131.993,58.756,111.458,59.303000000000004,86.745,70.55,144.29,70.22399999999999,109.045,69.319,299.574,69.11,134.82399999999998,70.311,212.775,66.73899999999999,215.627,46.73,263.905,48.038000000000004,107.266,44.601000000000006,246.83900000000003,43.623999999999995,227.548,43.592,113.43299999999999,39.236,102.35600000000001,56.287,66.04899999999999,56.791000000000004,235.69799999999998,52.736999999999995,280.504,51.155,74.41,53.505,256.82599999999996,51.18600000000001,243.174,50.879,281.488,88.915,93.92299999999999,88.985,221.0,90.0,204.423,89.964,,,149.524,84.738,270.04200000000003,95.698,106.963,94.072,250.93099999999998,92.382,66.43,90.835,151.907,74.51,202.713,74.657,233.833,72.928,113.955,74.199,281.577,72.919,128.203,72.624,274.485,82.415,228.987,81.453,267.529,79.149,92.654,77.993,257.714,78.468,,,,,,,,,,,,,,,,,,,,
310.75,1243.0,,292.278,111.37,72.374,112.139,245.50400000000002,109.258,163.783,110.99600000000001,87.26899999999999,108.76,107.156,118.147,268.126,117.594,222.02900000000002,117.319,190.18599999999998,114.637,252.608,113.667,237.737,114.12700000000001,67.918,101.95700000000001,82.046,103.40700000000001,129.083,101.57799999999999,199.679,99.34700000000001,276.829,98.167,89.943,99.368,226.13299999999998,98.06700000000001,257.934,97.553,232.729,106.486,273.022,107.848,106.34299999999999,106.811,135.615,136.203,237.563,136.082,104.444,135.355,95.285,134.81799999999998,252.671,133.47299999999998,196.408,132.745,212.898,137.993,254.483,122.652,122.62100000000001,122.735,218.06099999999998,130.061,100.274,126.52600000000001,261.568,126.27799999999999,129.187,127.976,244.854,126.381,309.269,156.58100000000002,225.49200000000002,157.533,197.169,157.122,146.005,168.05200000000002,81.78699999999999,147.696,307.01,147.03,257.10400000000004,146.049,192.40900000000002,143.681,205.722,142.866,216.91400000000002,153.558,263.541,153.58,271.626,152.685,225.565,148.713,148.376,148.24200000000002,293.147,148.164,218.041,173.438,77.308,172.775,138.916,171.19,227.136,179.351,227.613,33.626999999999995,140.11700000000002,34.451,90.27600000000001,35.336,241.137,60.793,277.241,61.409,80.495,60.49,132.016,58.798,111.43799999999999,59.346000000000004,86.68299999999999,70.556,144.274,70.194,109.025,69.286,299.54900000000004,69.015,134.77700000000002,70.285,212.795,66.679,215.438,46.63,263.85400000000004,47.98,107.272,44.611999999999995,246.857,43.638000000000005,227.50400000000002,43.576,113.43299999999999,39.231,102.338,56.333,66.043,56.876000000000005,235.63099999999997,52.711000000000006,280.57599999999996,51.163000000000004,74.398,53.516999999999996,256.865,51.181000000000004,243.112,50.88399999999999,281.483,88.911,93.932,89.001,221.817,90.484,204.46400000000003,90.132,218.03799999999998,86.98200000000001,149.477,84.806,270.079,95.65299999999999,106.965,94.073,250.953,92.40100000000001,66.42,90.844,151.935,74.515,202.68,74.616,233.834,72.874,113.958,74.214,281.54200000000003,72.96,128.17600000000002,72.781,274.454,82.419,228.97,81.47399999999999,267.528,79.096,92.87,78.082,257.702,78.482,,,,,,,,,,,,,,,,,,,,
311.0,1244.0,,292.249,111.398,72.315,112.15100000000001,245.54,109.241,163.806,110.96,87.26100000000001,108.773,107.103,118.12799999999999,268.119,117.62700000000001,221.888,117.447,190.183,114.665,252.615,113.696,237.707,114.113,67.903,101.852,82.045,103.35,128.89700000000002,101.492,199.69400000000002,99.291,276.897,98.24700000000001,89.932,99.35799999999999,226.141,98.081,257.942,97.506,232.582,106.73299999999999,273.04400000000004,107.855,106.384,106.81700000000001,135.596,136.2,237.595,136.099,104.46799999999999,135.424,95.277,134.886,252.655,133.444,196.4,132.616,212.935,138.011,254.49900000000002,122.684,122.604,122.691,217.986,130.012,100.27,126.53200000000001,261.603,126.256,129.22,127.98200000000001,244.877,126.42299999999999,309.183,156.611,225.46099999999998,157.49,197.204,157.029,146.045,168.074,81.844,147.609,306.92400000000004,147.102,257.163,145.997,192.43400000000003,143.704,205.727,142.83700000000002,216.896,153.529,263.531,153.505,271.651,152.661,225.61,148.71200000000002,148.399,148.266,293.171,148.075,218.05599999999998,173.513,77.304,172.74200000000002,138.907,171.188,227.22099999999998,179.343,227.6,33.657,139.964,34.539,90.367,35.49,241.248,60.763000000000005,277.211,61.36,80.697,60.426,131.964,58.87,111.43299999999999,59.363,86.713,70.572,144.295,70.238,109.02,69.267,299.41700000000003,68.768,134.754,70.304,212.783,66.637,215.498,46.673,263.943,47.966,107.25399999999999,44.548,246.91099999999997,43.661,227.49900000000002,43.583,113.45299999999999,39.2,102.359,56.325,66.033,56.925,235.675,52.765,280.539,51.141000000000005,74.362,53.481,256.84,51.184,243.08700000000002,50.852,281.48400000000004,88.90100000000001,93.93,89.0,221.83900000000003,90.499,204.40599999999998,90.04799999999999,217.887,86.259,149.498,84.905,270.004,95.73700000000001,106.914,94.07799999999999,250.952,92.40799999999999,66.388,90.79799999999999,151.952,74.483,202.74900000000002,74.65100000000001,233.79,72.834,113.96799999999999,74.27199999999999,281.558,72.964,128.185,72.797,274.49,82.439,228.997,81.418,267.52099999999996,79.066,92.887,78.10300000000001,257.714,78.483,,,,,,,,,,,,,,,,,,,,
311.25,1245.0,,292.26099999999997,111.432,72.28,112.09100000000001,245.537,109.195,163.81,110.943,87.25299999999999,108.779,107.1,118.119,268.129,117.613,221.845,117.507,190.19400000000002,114.689,252.64700000000002,113.655,237.735,114.125,67.935,101.97200000000001,82.056,103.316,129.058,101.604,199.69,99.265,277.02,98.458,89.961,99.414,226.176,98.147,257.955,97.50200000000001,232.562,106.774,273.03,107.859,106.375,106.829,135.595,136.16299999999998,237.485,136.232,104.43799999999999,135.38299999999998,95.32799999999999,134.833,252.7,133.438,196.359,132.556,212.956,138.053,254.47299999999998,122.745,122.6,122.62799999999999,217.955,130.042,100.292,126.522,261.634,126.235,129.282,127.962,244.905,126.45700000000001,309.184,156.559,225.46,157.518,197.158,157.054,146.00799999999998,168.055,81.851,147.494,306.718,147.132,257.077,146.10299999999998,192.489,143.692,205.76,142.822,216.933,153.55200000000002,263.529,153.517,271.65,152.666,225.59799999999998,148.74,148.36700000000002,148.261,293.144,148.096,217.99,173.317,77.361,172.74599999999998,138.864,171.17,227.19400000000002,179.40900000000002,227.583,33.743,140.02100000000002,34.535,90.37100000000001,35.415,241.25099999999998,60.769,277.257,61.335,80.734,60.387,131.952,58.985,111.455,59.335,86.714,70.569,144.325,70.274,109.01700000000001,69.27600000000001,299.431,68.569,134.774,70.366,212.757,66.62,215.572,46.754,263.961,48.06,107.27799999999999,44.593,246.895,43.674,227.514,43.556999999999995,113.491,39.234,102.353,56.403,66.002,56.933,235.657,52.735,280.518,51.181000000000004,74.3,53.449,256.83799999999997,51.214,242.981,50.93600000000001,281.508,88.865,93.93,88.976,221.856,90.54,204.333,90.13600000000001,217.804,86.242,149.554,84.917,270.26599999999996,95.60700000000001,106.911,94.09,250.94400000000002,92.45100000000001,66.375,90.81299999999999,151.957,74.468,202.826,74.745,233.78599999999997,72.89399999999999,114.007,74.344,281.535,72.984,128.156,72.814,274.483,82.448,229.018,81.444,267.472,79.09,92.87,78.069,257.681,78.498,,,,,,,,,,,,,,,,,,,,
