 ,X,Y
1,315.189,66.999
2,314.526,65.406
3,313.691,63.879
4,312.651,62.485
5,311.379,61.285
6,309.941,60.219
7,308.470,59.142
8,307.102,57.907
9,305.929,56.423
10,304.892,54.782
11,303.900,53.111
12,302.866,51.539
13,301.750,50.112
14,300.597,48.750
15,299.458,47.354
16,298.379,45.842
17,297.342,44.233
18,296.298,42.598
19,295.198,41.010
20,294.000,39.528
21,292.697,38.155
22,291.289,36.880
23,289.779,35.692
24,288.185,34.578
25,286.560,33.521
26,284.960,32.500
27,283.440,31.500
28,281.989,30.536
29,280.536,29.659
30,279.005,28.922
31,277.353,28.340
32,275.627,27.824
33,273.889,27.265
34,272.198,26.562
35,270.558,25.725
36,268.925,24.848
37,267.257,24.029
38,265.517,23.345
39,263.699,22.790
40,261.803,22.329
41,259.832,21.931
42,257.789,21.579
43,255.678,21.290
44,253.506,21.089
45,251.279,21.000
46,249.007,21.040
47,246.720,21.199
48,244.450,21.460
49,242.233,21.807
50,240.100,22.220
51,238.058,22.686
52,236.085,23.191
53,234.159,23.722
54,232.258,24.268
55,230.376,24.814
56,228.523,25.348
57,226.708,25.857
58,224.943,26.334
59,223.223,26.824
60,221.541,27.405
61,219.887,28.152
62,218.257,29.102
63,216.654,30.189
64,215.084,31.336
65,213.552,32.468
66,212.071,33.563
67,210.663,34.670
68,209.349,35.842
69,208.144,37.124
70,207.018,38.510
71,205.928,39.977
72,204.828,41.500
73,203.709,43.062
74,202.616,44.658
75,201.599,46.280
76,200.703,47.924
77,199.903,49.581
78,199.116,51.238
79,198.254,52.886
80,197.254,54.513
81,196.162,56.118
82,195.059,57.699
83,194.025,59.257
84,193.110,60.809
85,192.290,62.414
86,191.531,64.139
87,190.798,66.048
88,190.079,68.122
89,189.377,70.272
90,188.699,72.404
91,188.050,74.428
92,187.441,76.303
93,186.889,78.107
94,186.415,79.930
95,186.038,81.860
96,185.754,83.926
97,185.533,86.082
98,185.340,88.282
99,185.145,90.475
100,184.926,92.633
101,184.688,94.764
102,184.439,96.882
103,184.189,99.000
104,183.944,101.128
105,183.705,103.264
106,183.470,105.402
107,183.239,107.535
108,183.011,109.659
109,182.782,111.779
110,182.547,113.907
111,182.301,116.054
112,182.041,118.231
113,181.777,120.442
114,181.530,122.687
115,181.322,124.966
116,181.176,127.279
117,181.104,129.622
118,181.091,131.988
119,181.117,134.365
120,181.164,136.744
121,181.210,139.114
122,181.244,141.475
123,181.258,143.834
124,181.246,146.198
125,181.201,148.574
126,181.122,150.968
127,181.039,153.368
128,181.000,155.751
129,181.049,158.099
130,181.233,160.390
131,181.573,162.610
132,182.033,164.757
133,182.571,166.832
134,183.142,168.835
135,183.707,170.769
136,184.251,172.640
137,184.768,174.459
138,185.252,176.236
139,185.718,177.978
140,186.235,179.685
141,186.883,181.356
142,187.736,182.991
143,188.773,184.595
144,189.900,186.179
145,191.022,187.755
146,192.064,189.333
147,193.066,190.918
148,194.113,192.516
149,195.292,194.131
150,196.654,195.750
151,198.143,197.315
152,199.680,198.754
153,201.186,199.997
154,202.615,201.004
155,204.037,201.858
156,205.554,202.671
157,207.263,203.550
158,209.150,204.512
159,211.124,205.503
160,213.090,206.470
161,214.958,207.363
162,216.689,208.177
163,218.315,208.973
164,219.869,209.812
165,221.391,210.741
166,222.949,211.682
167,224.626,212.502
168,226.507,213.067
169,228.634,213.305
170,230.960,213.304
171,233.419,213.178
172,235.947,213.038
173,238.480,212.993
174,240.971,213.054
175,243.391,213.139
176,245.710,213.161
177,247.898,213.033
178,249.934,212.689
179,251.830,212.170
180,253.617,211.563
181,255.323,210.953
182,256.982,210.396
183,258.648,209.857
184,260.381,209.282
185,262.233,208.619
186,264.193,207.875
187,266.192,207.105
188,268.160,206.367
189,270.026,205.715
190,271.773,205.150
191,273.443,204.613
192,275.078,204.041
193,276.716,203.378
194,278.366,202.602
195,280.025,201.705
196,281.692,200.675
197,283.369,199.521
198,285.061,198.288
199,286.777,197.020
200,288.523,195.764
201,290.292,194.544
202,292.043,193.344
203,293.730,192.138
204,295.308,190.900
205,296.751,189.613
206,298.090,188.280
207,299.370,186.908
208,300.635,185.503
209,301.920,184.091
210,303.249,182.720
211,304.643,181.444
212,306.119,180.307
213,307.622,179.254
214,309.043,178.158
215,310.275,176.893
216,311.252,175.380
217,312.053,173.696
218,312.780,171.952
219,313.536,170.253
220,314.358,168.627
221,315.207,167.007
222,316.041,165.323
223,316.824,163.518
224,317.574,161.645
225,318.334,159.801
226,319.144,158.084
227,320.031,156.561
228,320.949,155.139
229,321.832,153.682
230,322.613,152.060
231,323.258,150.227
232,323.754,148.212
233,324.091,146.045
234,324.259,143.758
235,324.287,141.389
236,324.241,138.985
237,324.184,136.592
238,324.183,134.255
239,324.292,132.014
240,324.500,129.856
241,324.775,127.755
242,325.085,125.682
243,325.398,123.611
244,325.690,121.521
245,325.938,119.396
246,326.123,117.220
247,326.224,114.977
248,326.246,112.667
249,326.223,110.304
250,326.191,107.903
251,326.185,105.479
252,326.232,103.049
253,326.306,100.631
254,326.353,98.246
255,326.320,95.915
256,326.153,93.658
257,325.825,91.485
258,325.369,89.371
259,324.830,87.290
260,324.250,85.213
261,323.661,83.125
262,323.027,81.070
263,322.291,79.116
264,321.394,77.330
265,320.294,75.764
266,319.088,74.363
267,317.930,73.023
268,316.975,71.640
269,316.283,70.155
270,315.734,68.596
271,315.189,66.999
