TimesH,Frame,NoMissing,111,111,122,122,142,142,173,173,176,176,179,179,181,181,184,184,185,185,186,186,187,187,195,195,208,208,210,210,219,219,221,221,222,222,225,225,228,228,229,229,230,230,238,238,248,248,249,249,251,251,254,254,256,256,263,263,266,266,271,271,273,273,280,280,285,285,288,288,290,290,296,296,305,305,455,455
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.75,11.0,,96.42399999999999,127.145,166.972,118.29,146.618,144.939,134.156,160.961,148.526,163.399,238.05200000000002,165.135,306.369,164.338,131.36,152.593,123.661,152.675,208.53400000000002,155.085,229.435,153.799,247.977,158.464,127.325,175.975,81.911,178.295,264.36,167.39700000000002,224.639,169.81900000000002,94.734,169.905,210.687,170.66299999999998,245.25,170.135,121.664,186.153,284.923,185.359,57.383,188.893,303.401,177.921,263.597,180.662,,,72.598,182.949,294.19599999999997,182.304,255.48,196.737,237.041,197.701,120.22200000000001,200.199,259.078,201.642,228.105,191.71,138.971,194.08599999999998,109.60600000000001,195.04,278.368,193.93099999999998,75.765,212.236,286.377,204.918,,
3.0,12.0,,96.305,126.979,166.93099999999998,118.245,146.628,144.93200000000002,134.17600000000002,160.843,148.535,163.316,238.07,165.08,306.41200000000003,164.34599999999998,131.368,152.531,123.679,152.688,208.56400000000002,155.096,229.43,153.733,248.023,158.375,127.277,175.97400000000002,81.919,178.294,264.39,167.398,224.66400000000002,169.817,94.725,169.91,210.576,170.53,245.263,170.16400000000002,121.63799999999999,186.079,284.91,185.321,57.347,188.85,303.459,177.86,263.6,180.63299999999998,51.026,180.71599999999998,72.575,182.94400000000002,294.165,182.271,255.497,196.671,237.11700000000002,197.59900000000002,120.12899999999999,200.24599999999998,259.084,201.61700000000002,228.06,191.74099999999999,138.957,194.041,109.696,195.06,278.404,193.864,75.568,212.16400000000002,286.291,204.982,,
3.25,13.0,,96.463,127.008,166.942,118.25,146.618,144.912,134.195,160.767,148.536,163.295,238.076,165.015,306.461,164.399,131.351,152.50799999999998,123.619,152.624,208.56400000000002,155.155,229.49,153.71200000000002,248.03099999999998,158.32,127.211,175.976,81.884,178.297,264.415,167.329,224.705,169.813,94.72200000000001,169.90099999999998,210.75900000000001,170.55599999999998,245.34599999999998,170.12599999999998,121.632,186.011,284.77,185.085,57.315,188.845,303.499,177.674,263.524,180.581,50.96,180.642,72.617,182.96200000000002,294.085,182.238,255.516,196.551,237.11599999999999,197.512,120.21799999999999,200.3,259.098,201.59099999999998,228.042,191.74200000000002,138.933,194.002,109.677,194.99099999999999,278.509,193.658,75.47800000000001,212.109,286.41,204.96200000000002,,
3.5,14.0,,96.51,127.008,166.987,118.24799999999999,146.621,144.89,134.183,160.585,148.518,163.183,238.082,164.952,306.517,164.303,131.345,152.542,123.60600000000001,152.519,208.637,155.174,229.485,153.655,248.05200000000002,158.232,127.189,175.993,81.834,178.301,264.411,167.304,224.715,169.815,94.71600000000001,169.903,210.80900000000003,170.56599999999997,245.34900000000002,170.09,121.65700000000001,186.03900000000002,284.824,185.178,57.253,188.80700000000002,303.476,177.628,263.498,180.535,51.225,180.683,72.675,183.0,294.046,182.208,255.574,196.476,237.083,197.417,120.195,200.235,259.092,201.553,228.03599999999997,191.75,138.91899999999998,193.947,109.678,194.954,278.738,193.446,75.411,212.09099999999998,286.644,204.822,,
3.75,15.0,,96.454,126.96700000000001,166.94799999999998,118.206,146.644,144.877,134.18200000000002,160.429,148.47,163.188,238.088,164.905,306.642,164.232,131.44799999999998,152.474,123.53200000000001,152.48,208.62900000000002,155.227,229.46099999999998,153.59,248.00900000000001,158.187,127.113,176.015,81.774,178.27700000000002,264.436,167.293,224.72799999999998,169.808,94.71600000000001,169.90200000000002,210.787,170.52900000000002,245.31,170.02200000000002,121.61,185.94400000000002,284.684,184.97,57.243,188.75900000000001,303.595,177.36,263.513,180.497,51.192,180.65900000000002,72.652,183.00099999999998,294.014,182.12400000000002,255.555,196.43,236.977,197.34599999999998,120.305,200.218,259.12,201.502,228.118,191.75099999999998,138.893,193.916,109.64200000000001,194.889,278.834,193.31799999999998,75.381,212.058,286.587,204.861,,
4.0,16.0,,96.51,126.98,166.97299999999998,118.14,146.639,144.84799999999998,134.189,160.322,148.433,163.093,238.093,164.847,306.644,164.18099999999998,131.32,152.54,123.631,152.237,208.678,155.231,229.435,153.506,247.99599999999998,158.156,127.061,176.03400000000002,81.71600000000001,178.239,264.468,167.291,224.74400000000003,169.77200000000002,94.7,169.90900000000002,210.74200000000002,170.50400000000002,245.354,170.03099999999998,121.66,186.01,284.723,184.857,57.294,188.747,303.633,177.269,263.483,180.433,51.273,180.489,72.707,182.91099999999997,294.04400000000004,182.041,255.549,196.395,236.97400000000002,197.268,120.20100000000001,200.291,259.198,201.42,228.16400000000002,191.679,138.793,193.838,109.68,194.953,278.806,193.32,75.442,212.05200000000002,286.803,204.945,,
4.25,17.0,,96.384,126.87100000000001,166.995,118.225,146.658,144.838,134.197,160.19299999999998,148.42,163.056,238.109,164.794,306.611,164.17,131.278,152.605,123.59700000000001,152.049,208.726,155.27100000000002,229.405,153.458,247.954,158.17,126.993,176.049,81.69800000000001,178.245,264.492,167.235,224.761,169.773,94.693,169.91299999999998,210.68,170.483,245.459,170.013,121.604,185.94799999999998,284.653,184.804,57.29,188.731,303.622,177.202,263.422,180.356,51.265,180.497,72.585,182.679,294.026,181.96,255.554,196.34400000000002,236.99099999999999,197.261,120.17299999999999,200.312,259.218,201.31799999999998,228.142,191.657,138.754,193.799,109.67200000000001,195.018,278.85,193.282,75.47399999999999,212.074,287.156,204.91299999999998,,
4.5,18.0,,96.29899999999999,126.809,167.06400000000002,118.21600000000001,146.668,144.808,134.181,160.15,148.33700000000002,163.048,238.137,164.764,306.736,164.14700000000002,131.264,152.596,123.654,152.004,208.675,155.22299999999998,229.40599999999998,153.392,247.977,158.116,126.932,176.053,81.66199999999999,178.233,264.46299999999997,167.237,224.743,169.752,94.68700000000001,169.919,210.653,170.49,245.386,170.015,121.59700000000001,185.94099999999997,284.645,184.783,57.248999999999995,188.673,303.758,176.946,263.422,180.28400000000002,51.428999999999995,180.49400000000003,72.506,182.549,293.97,181.945,255.558,196.28099999999998,236.98,197.235,120.155,200.46599999999998,259.177,201.3,228.25400000000002,191.58700000000002,138.67700000000002,193.72099999999998,109.72399999999999,195.019,278.926,193.2,75.545,212.092,286.78700000000003,204.745,,
4.75,19.0,,96.37799999999999,126.773,167.012,118.212,146.679,144.789,134.164,160.077,148.317,162.988,238.174,164.732,306.717,164.15400000000002,131.308,152.50799999999998,123.663,151.857,208.645,155.24,229.362,153.289,247.96099999999998,158.085,126.829,176.067,81.646,178.21,264.48,167.21200000000002,224.71400000000003,169.769,94.68700000000001,169.93099999999998,210.581,170.373,245.395,169.99900000000002,121.613,185.90099999999998,284.575,184.743,57.19,188.64,303.801,176.90599999999998,263.411,180.263,51.403,180.483,72.411,182.37,293.939,181.929,255.56900000000002,196.235,236.921,197.187,120.023,200.66299999999998,259.182,201.25099999999998,228.278,191.575,138.664,193.678,109.759,194.92,278.95099999999996,193.168,75.472,212.05200000000002,286.656,205.02,,
5.0,20.0,,96.277,126.67399999999999,167.005,118.17200000000001,146.685,144.776,134.158,160.042,148.262,162.982,238.166,164.69099999999997,306.741,164.15400000000002,131.336,152.484,123.678,151.832,208.55700000000002,155.238,229.361,153.204,247.99900000000002,157.99200000000002,126.874,176.06,81.64399999999999,178.158,264.508,167.16400000000002,224.68099999999998,169.83,94.677,169.92700000000002,210.565,170.32,245.43,170.054,121.59700000000001,185.834,284.557,184.734,57.207,188.613,303.85400000000004,176.812,263.403,180.22799999999998,51.25,180.475,72.378,182.29,293.887,181.921,255.55900000000003,196.197,236.959,197.162,119.936,200.829,259.189,201.232,228.24400000000003,191.465,138.586,193.627,109.758,194.865,278.953,193.142,75.55199999999999,212.13099999999997,286.676,205.03,,
5.25,21.0,,96.18799999999999,126.56,167.012,118.163,146.691,144.737,134.21,159.903,148.224,162.94899999999998,238.18599999999998,164.65599999999998,306.745,164.167,131.24200000000002,152.543,123.663,151.74,208.532,155.249,229.34599999999998,153.132,248.02599999999998,157.91299999999998,126.852,176.047,81.64399999999999,178.1,264.485,167.125,224.66400000000002,169.82299999999998,94.66,169.92,210.68599999999998,170.292,245.465,169.97,121.654,185.84900000000002,284.413,184.61700000000002,57.217,188.53,303.825,176.676,263.422,180.176,51.357,180.43900000000002,72.325,182.229,293.879,181.892,255.57,196.174,236.957,197.118,119.978,200.887,259.23,201.18,228.217,191.408,138.528,193.53400000000002,109.641,194.72299999999998,278.953,193.132,75.499,212.067,286.983,204.868,,
5.5,22.0,,96.33200000000001,126.61200000000001,166.989,118.17399999999999,146.727,144.708,134.186,159.847,148.30200000000002,162.836,238.22099999999998,164.641,306.823,164.15099999999998,131.25799999999998,152.585,123.67399999999999,151.597,208.56799999999998,155.226,229.36599999999999,153.046,248.00900000000001,157.904,126.836,176.03900000000002,81.589,178.077,264.47,167.127,224.649,169.81,94.64299999999999,169.919,210.584,170.213,245.46900000000002,170.013,121.667,185.83700000000002,284.513,184.68200000000002,57.128,188.456,303.807,176.64700000000002,263.42900000000003,180.13299999999998,51.263999999999996,180.477,72.251,182.206,293.829,181.88099999999997,255.567,196.128,236.923,197.08599999999998,120.04,200.87,259.242,201.14,228.21200000000002,191.382,138.505,193.507,109.656,194.59,278.964,193.08599999999998,75.457,212.049,288.877,199.919,,
