TimesH,Frame,NoMissing,0,0,2,2,4,4,11,11,12,12,18,18,19,19,23,23,29,29,37,37,38,38,48,48,71,71,79,79,86,86,92,92,94,94,99,99,100,100,102,102,106,106,116,116,126,126,139,139,142,142,149,149,150,150,152,152,153,153,154,154,156,156,162,162,166,166,169,169,172,172,179,179,181,181,183,183,186,186,188,188,192,192,194,194,204,204,207,207,209,209,210,210,213,213,218,218,232,232,238,238,247,247,251,251,261,261,265,265,266,266,270,270,271,271,288,288,289,289,297,297,299,299,300,300,302,302,303,303,308,308,309,309,310,310,313,313,322,322,330,330,335,335,336,336,337,337,339,339,340,340,343,343,344,344,347,347,350,350,360,360,363,363,365,365,366,366,367,367,371,371,372,372,383,383,385,385,387,387,390,390,394,394,398,398,407,407,409,409,411,411,417,417,418,418,419,419,423,423,432,432,446,446,449,449,454,454,455,455,460,460,464,464,474,474,475,475,480,480,496,496,581,581,654,654,655,655,662,662,666,666,673,673,675,675,683,683,689,689,690,690,694,694,697,697,709,709,714,714,719,719,720,720,756,756,765,765,788,788,869,869,906,906,908,908,922,922,924,924,966,966,976,976
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.75,11.0,,101.65,67.268,263.192,66.63600000000001,59.145,68.336,79.863,71.348,236.94,71.32300000000001,253.704,72.046,91.054,72.669,218.891,73.792,210.445,76.172,150.08100000000002,78.324,127.461,79.536,66.726,80.676,202.715,86.39399999999999,212.785,89.359,247.113,89.699,102.81,91.602,153.80100000000002,93.456,313.455,95.19,62.589,96.04799999999999,199.706,96.296,238.74599999999998,96.824,122.182,100.06200000000001,291.23400000000004,100.796,159.535,107.104,57.861000000000004,108.031,240.68400000000003,109.12200000000001,257.603,109.557,81.948,109.958,145.039,109.78,283.686,110.557,130.13,111.11,114.965,111.84,249.75400000000002,113.09,236.24599999999998,114.38799999999999,164.00099999999998,115.429,160.486,118.274,100.934,118.95200000000001,128.576,119.78200000000001,94.402,121.51299999999999,71.19800000000001,121.87299999999999,210.89700000000002,122.83,225.55599999999998,122.89200000000001,169.771,127.007,157.553,128.45600000000002,277.264,127.544,311.657,128.278,244.59799999999998,129.488,80.39399999999999,131.25,130.531,134.333,,,203.18,137.851,76.319,139.99200000000002,109.145,141.86700000000002,226.19099999999997,142.482,303.915,143.501,164.697,143.89,196.55200000000002,144.082,135.21,149.857,302.03700000000003,150.363,119.402,151.78,215.576,151.793,229.62,152.374,332.67699999999996,151.46200000000002,13.424000000000001,153.244,109.84700000000001,155.34799999999998,163.138,154.69299999999998,210.804,155.434,262.98900000000003,155.775,58.426,158.235,97.993,159.657,40.74,160.93200000000002,143.459,160.989,272.265,161.226,247.21900000000002,161.982,252.06400000000002,162.06799999999998,209.321,162.933,266.284,163.079,117.305,164.42,200.243,164.292,166.675,167.1,74.07600000000001,168.39700000000002,223.82299999999998,167.97,239.37900000000002,168.704,287.108,168.516,247.25599999999997,168.86599999999999,278.067,168.613,126.118,173.918,267.656,173.928,43.303000000000004,174.715,24.894000000000002,176.33700000000002,290.66200000000003,175.86599999999999,119.303,177.74200000000002,329.37800000000004,179.188,13.85,181.175,239.477,181.392,263.186,182.364,48.19,183.112,61.037,183.153,301.35200000000003,182.945,280.0,185.0,118.92399999999999,189.359,240.06900000000002,188.919,297.318,190.217,314.862,190.148,87.105,193.06400000000002,228.308,194.03400000000002,68.828,197.292,110.745,196.87099999999998,256.242,198.18099999999998,282.041,203.919,117.33,20.424,104.227,46.99100000000001,157.414,46.591,84.57600000000001,50.351000000000006,60.57899999999999,52.238,92.36399999999999,54.346000000000004,232.40099999999998,54.051,145.033,55.571999999999996,116.764,58.128,212.312,57.79600000000001,106.75299999999999,58.792,129.63,60.156000000000006,238.65400000000002,62.681999999999995,138.379,64.62100000000001,131.769,65.77,210.31400000000002,65.925,,,,,,,,,,,,,,,,,,,,
3.0,12.0,,101.75,67.351,263.195,66.601,59.126999999999995,68.358,79.798,71.403,236.93099999999998,71.329,253.771,72.01,91.06,72.646,218.886,73.766,210.452,76.21600000000001,150.032,78.327,127.352,79.425,66.691,80.678,202.771,86.11200000000001,212.794,89.344,247.14,89.62299999999999,102.781,91.584,153.785,93.40700000000001,313.427,95.15700000000001,62.568999999999996,96.044,199.645,96.31700000000001,238.793,96.81299999999999,122.11,100.015,291.224,100.79,159.501,107.089,57.891999999999996,107.96700000000001,240.671,109.02799999999999,257.611,109.539,81.85300000000001,109.954,144.997,109.745,283.643,110.555,130.105,111.039,114.915,111.762,249.69,113.042,236.215,114.404,163.987,115.443,160.47899999999998,118.20299999999999,100.949,118.895,128.661,119.851,94.354,121.477,71.152,121.85700000000001,210.908,122.75399999999999,225.72,122.69,169.727,126.959,157.55,128.437,277.285,127.531,311.668,128.284,244.584,129.461,80.245,131.197,130.491,134.364,,,203.203,137.8,76.219,139.986,109.04700000000001,141.923,226.27900000000002,142.483,303.89799999999997,143.499,164.67700000000002,143.844,196.56099999999998,144.048,135.192,149.83700000000002,302.018,150.366,119.348,151.757,216.0,152.0,229.636,152.326,332.798,151.528,13.368,153.25,109.846,155.32,163.129,154.7,210.679,155.517,262.98,155.78799999999998,58.364,158.226,97.99700000000001,159.69899999999998,40.775999999999996,160.938,143.555,160.911,272.247,161.185,247.229,161.98,252.05700000000002,162.084,209.263,162.941,266.265,163.091,117.34,164.43599999999998,200.25599999999997,164.207,166.71900000000002,166.968,74.062,168.37,223.90400000000002,167.98,239.356,168.66299999999998,287.191,168.42,247.24400000000003,168.868,278.132,168.592,126.12299999999999,174.005,267.626,173.907,43.278999999999996,174.72,24.89,176.364,290.677,175.812,119.275,177.75900000000001,329.4,179.114,13.845999999999998,181.21,239.485,181.355,263.252,182.34,48.174,183.09099999999998,61.005,183.19299999999998,301.368,182.864,280.643,184.52,118.91,189.373,240.067,188.925,297.44,190.12,314.893,190.13,86.915,193.08599999999998,228.32,194.021,68.844,197.233,110.604,196.80599999999998,256.3,198.143,281.95,203.898,117.264,20.407,104.23899999999999,47.0,157.451,46.754,84.37899999999999,50.485,60.581,52.119,92.493,54.382,232.37,54.033,145.018,55.553000000000004,116.821,58.125,212.36599999999999,57.861000000000004,106.825,58.775,129.628,60.198,238.658,62.676,138.339,64.63,132.188,65.807,210.33,66.02,,,,,,,,,,,,,,,,,,,,
3.25,13.0,,101.868,67.256,263.19599999999997,66.564,59.103,68.348,79.661,71.5,237.05200000000002,71.207,253.80599999999998,71.987,91.07600000000001,72.635,218.968,73.65100000000001,210.459,76.21600000000001,150.204,78.252,127.311,79.36,66.74,80.64699999999999,202.813,86.161,212.72400000000002,89.404,247.063,89.574,102.72399999999999,91.539,153.687,93.37200000000001,313.48400000000004,95.071,62.583,96.06700000000001,199.6,96.296,238.796,96.792,122.117,99.95700000000001,291.093,100.81200000000001,159.475,107.09299999999999,57.876000000000005,107.984,240.672,108.941,257.624,109.46600000000001,81.753,109.925,144.97,109.686,283.558,110.515,130.129,110.90899999999999,114.89200000000001,111.52600000000001,249.645,112.99600000000001,236.197,114.435,164.01,115.39299999999999,160.414,118.17,100.92299999999999,118.90100000000001,128.71,119.876,94.243,121.40799999999999,71.112,121.86200000000001,210.91,122.706,225.821,122.62,169.68599999999998,126.944,157.555,128.418,277.233,127.60799999999999,311.711,128.267,244.625,129.403,80.085,131.13,130.49,134.382,291.247,136.339,203.148,137.716,76.178,140.03,108.936,141.97899999999998,226.17,142.511,304.035,143.452,164.678,143.874,196.53599999999997,144.017,135.139,149.832,302.017,150.359,119.306,151.725,215.56400000000002,151.751,229.64,152.315,332.837,151.528,13.449000000000002,153.262,109.868,155.265,163.093,154.639,210.68900000000002,155.474,263.005,155.81799999999998,58.31100000000001,158.202,97.97399999999999,159.714,40.777,160.944,143.596,160.789,272.251,161.168,247.218,161.963,252.09799999999998,162.095,209.22099999999998,162.916,266.319,163.15200000000002,117.494,164.373,200.248,164.145,166.706,166.893,74.083,168.378,223.96,167.94400000000002,239.312,168.614,287.235,168.356,247.18900000000002,168.851,278.186,168.722,126.163,174.108,267.631,173.908,43.247,174.715,24.862,176.38099999999997,290.689,175.74400000000003,119.272,177.768,329.436,178.993,13.905999999999999,181.072,239.5,181.31,263.301,182.33700000000002,48.165,183.081,60.945,183.19099999999997,301.418,182.87400000000002,280.672,184.61700000000002,118.95100000000001,189.42,240.05599999999998,188.88099999999997,297.601,189.949,314.878,190.111,86.70700000000001,193.157,228.325,194.011,68.706,197.13400000000001,110.561,196.81400000000002,256.284,198.081,282.072,203.78599999999997,117.211,20.385,104.234,47.016000000000005,157.649,46.955,84.319,50.577,60.477,52.172,92.56299999999999,54.497,232.421,54.011,145.041,55.51,116.805,58.042,212.44400000000002,57.786,106.802,58.727,129.484,60.203,238.65599999999998,62.623999999999995,138.41,64.571,132.118,65.86399999999999,210.37,65.76,,,,,,,,,,,,,,,,,,,,
3.5,14.0,,101.867,67.377,263.28,66.619,59.075,68.271,79.47,71.593,237.155,71.125,253.894,71.982,91.065,72.622,218.97799999999998,73.623,210.456,76.188,150.035,78.203,127.24700000000001,79.28699999999999,66.752,80.633,202.82,86.291,212.602,89.39399999999999,247.016,89.515,102.689,91.58,153.651,93.34100000000001,313.53,94.993,62.537,96.064,199.50799999999998,96.361,238.82,96.794,122.084,99.884,291.186,100.756,159.439,107.09299999999999,57.857,107.936,240.683,108.928,257.61,109.449,81.744,109.946,144.957,109.634,283.559,110.471,130.047,110.86,114.816,111.434,249.625,112.911,236.175,114.426,164.033,115.39200000000001,160.343,118.134,100.926,118.84100000000001,128.748,119.945,94.102,121.318,71.092,121.85,210.86900000000003,122.667,225.988,122.212,169.648,126.865,157.549,128.38,277.233,127.557,311.751,128.269,244.562,129.361,79.999,131.088,130.48,134.406,291.153,136.357,203.149,137.713,76.12100000000001,140.018,108.87899999999999,142.089,226.114,142.499,304.226,143.41,164.65900000000002,143.876,196.554,144.028,135.116,149.811,302.039,150.357,119.302,151.694,215.58599999999998,151.873,229.613,152.333,332.849,151.52200000000002,13.472000000000001,153.306,109.911,155.237,163.014,154.576,210.757,155.417,263.006,155.846,58.266999999999996,158.188,98.027,159.719,40.796,160.891,143.60399999999998,160.703,272.26599999999996,161.144,247.208,161.92600000000002,252.138,162.091,209.13,162.921,266.365,163.178,117.68700000000001,164.24200000000002,200.27,164.09900000000002,166.696,166.826,74.08,168.40599999999998,223.998,167.942,239.417,168.75099999999998,287.336,168.232,247.18200000000002,168.852,278.16900000000004,168.676,126.17200000000001,174.173,267.657,173.85,43.217,174.71,24.845,176.393,290.699,175.71200000000002,119.26299999999999,177.774,329.43199999999996,178.986,13.915999999999999,181.088,239.52900000000002,181.31599999999997,263.288,182.31900000000002,48.138999999999996,183.043,60.955,183.18,301.415,182.851,280.872,184.695,118.973,189.459,240.071,188.86599999999999,297.633,189.919,314.878,190.062,87.134,192.859,228.329,194.003,68.793,197.144,110.43700000000001,196.771,256.307,198.041,282.288,203.50599999999997,117.061,20.410999999999998,104.22200000000001,47.01,157.62,46.858000000000004,84.34200000000001,50.553999999999995,60.216,51.836000000000006,92.223,54.54600000000001,232.38099999999997,54.015,144.945,55.566,116.741,57.996,212.54,57.657,106.87,58.718,129.401,60.24100000000001,238.697,62.623999999999995,138.441,64.554,131.863,65.873,210.38400000000001,65.825,,,,,,,,,,,,,,,,,,,,
3.75,15.0,,101.882,67.473,263.314,66.57300000000001,59.086999999999996,68.319,79.632,71.47800000000001,237.19099999999997,71.053,253.951,71.969,91.00299999999999,72.685,219.028,73.574,210.429,76.197,150.106,78.203,127.184,79.209,66.781,80.605,202.873,86.323,212.548,89.396,246.98,89.49600000000001,102.626,91.586,153.55,93.31700000000001,313.492,94.985,62.483000000000004,95.986,199.416,96.37700000000001,238.84,96.775,122.051,99.84299999999999,291.159,100.749,159.408,107.071,57.852,107.912,240.703,108.851,257.606,109.40299999999999,81.878,110.00299999999999,144.918,109.581,283.623,110.37,130.02100000000002,110.78299999999999,114.654,111.41799999999999,249.547,112.916,236.17700000000002,114.425,164.06,115.431,160.286,118.071,100.92,118.714,128.81799999999998,119.875,94.052,121.292,71.066,121.86,210.847,122.618,225.983,122.104,169.641,126.89399999999999,157.528,128.39700000000002,277.236,127.56700000000001,311.796,128.273,244.545,129.304,79.836,130.99,130.469,134.378,291.034,136.497,203.132,137.719,76.078,140.034,108.855,142.208,226.081,142.417,304.474,143.392,164.662,143.85399999999998,196.548,143.921,135.078,149.797,302.034,150.328,119.262,151.67,215.84099999999998,151.942,229.582,152.32,332.926,151.541,13.539000000000001,153.28,109.945,155.20600000000002,163.019,154.504,210.699,155.43,263.02,155.868,58.248000000000005,158.178,98.03399999999999,159.756,40.793,160.872,143.64600000000002,160.659,272.313,161.145,247.22099999999998,161.881,252.132,162.099,209.138,162.877,266.427,163.22799999999998,117.874,164.188,200.293,163.987,166.679,166.798,74.066,168.422,224.049,167.93099999999998,239.558,168.888,287.42,168.17700000000002,247.19099999999997,168.81,278.22900000000004,168.731,126.161,174.101,267.635,173.78,43.183,174.717,24.816999999999997,176.40400000000002,290.67400000000004,175.69299999999998,119.266,177.791,329.57599999999996,178.94299999999998,13.942,181.06099999999998,239.571,181.264,263.365,182.283,48.128,183.016,60.946000000000005,183.185,301.57,182.81799999999998,280.964,184.81799999999998,118.999,189.524,240.072,188.84599999999998,297.695,189.852,314.91900000000004,190.03099999999998,86.92,192.923,228.31900000000002,194.00400000000002,68.75399999999999,197.043,110.387,196.74,256.154,198.035,282.301,203.446,116.96,20.366,104.115,47.021,157.50799999999998,46.63,84.23700000000001,50.608000000000004,59.375,51.303999999999995,92.29700000000001,54.434,232.408,54.045,144.939,55.54600000000001,116.67200000000001,57.924,212.456,57.746,106.802,58.67,129.349,60.297,238.737,62.604,138.43,64.546,131.923,65.855,210.426,65.805,35.561,141.66299999999998,,,,,,,,,,,,,,,,,,
4.0,16.0,,101.77600000000001,67.435,263.32,66.548,59.04600000000001,68.26,79.611,71.49600000000001,237.332,70.957,254.032,71.959,90.961,72.685,219.08,73.528,210.425,76.211,150.161,78.13600000000001,127.124,79.18,66.722,80.60600000000001,202.893,86.37299999999999,212.517,89.311,246.97,89.448,102.581,91.584,153.531,93.314,313.73,95.05,62.56,95.84299999999999,199.365,96.39399999999999,238.852,96.75200000000001,122.042,99.78299999999999,291.032,100.78299999999999,159.388,107.075,57.843999999999994,107.89299999999999,240.68200000000002,108.73200000000001,257.624,109.34100000000001,81.87100000000001,110.056,144.884,109.51899999999999,283.70099999999996,110.323,129.989,110.682,114.64399999999999,111.22,249.505,112.835,236.172,114.447,164.05700000000002,115.419,160.255,118.035,100.905,118.52799999999999,128.861,119.979,93.98100000000001,121.26899999999999,71.017,121.85700000000001,210.895,122.51100000000001,226.02900000000002,121.882,169.59599999999998,126.882,157.542,128.393,277.278,127.537,311.823,128.251,244.55700000000002,129.279,79.74,130.945,130.434,134.321,290.913,136.572,203.09900000000002,137.686,76.044,140.033,108.85,142.246,226.097,142.44799999999998,304.597,143.411,164.658,143.838,196.53400000000002,143.836,135.069,149.77,302.086,150.299,119.235,151.664,,,229.59900000000002,152.296,332.95099999999996,151.513,13.604000000000001,153.30100000000002,109.919,155.207,163.03,154.47299999999998,210.75799999999998,155.39600000000002,262.982,155.87,58.19,158.18,98.01299999999999,159.793,40.78,160.811,143.67600000000002,160.719,272.366,161.172,247.18400000000003,161.843,252.18200000000002,162.093,209.08,162.893,266.491,163.215,117.91799999999999,164.16099999999997,200.31,163.929,166.697,166.77700000000002,74.083,168.40400000000002,224.072,167.907,239.425,168.755,287.552,168.051,247.19799999999998,168.798,278.274,168.75799999999998,126.15,174.136,267.617,173.74900000000002,43.13,174.722,24.853,176.415,290.687,175.669,119.29,177.80700000000002,329.735,178.847,14.004000000000001,180.916,239.607,181.247,263.325,182.27200000000002,48.055,182.99,60.898,183.196,301.461,182.81799999999998,281.03,184.84599999999998,118.979,189.513,240.048,188.794,297.709,189.81400000000002,314.92900000000003,190.02,86.885,193.01,228.31799999999998,193.988,68.646,196.94799999999998,110.275,196.713,256.216,197.987,282.328,203.36700000000002,116.948,20.307000000000002,104.096,47.026,157.467,46.63,84.238,50.684,59.18600000000001,51.445,92.161,54.437,232.368,54.033,144.929,55.585,116.585,57.938,212.5,57.716,106.645,58.69,129.273,60.278,238.782,62.583999999999996,138.224,64.436,131.516,65.89,210.445,65.873,35.621,141.02,,,,,,,,,,,,,,,,,,
4.25,17.0,,101.794,67.459,263.387,66.638,59.093,68.288,79.66199999999999,71.509,237.343,70.913,254.03799999999998,71.961,90.941,72.71,219.162,73.452,210.41299999999998,76.22399999999999,150.039,78.083,126.994,79.067,66.703,80.611,202.894,86.366,212.382,89.434,246.933,89.42200000000001,102.59100000000001,91.639,153.493,93.337,313.657,95.04700000000001,62.516999999999996,95.786,199.46400000000003,96.374,238.84599999999998,96.71799999999999,122.009,99.751,291.035,100.727,159.352,107.06200000000001,57.803000000000004,107.87,240.67,108.566,257.653,109.309,81.70100000000001,109.95200000000001,144.805,109.464,283.677,110.33,129.939,110.626,114.63600000000001,111.081,249.37900000000002,112.561,236.185,114.48299999999999,164.081,115.41799999999999,160.209,118.01,100.891,118.40700000000001,128.834,119.809,93.9,121.221,70.959,121.904,210.918,122.465,226.107,121.675,169.611,126.896,157.529,128.43200000000002,277.305,127.484,311.837,128.241,244.505,129.233,79.65,130.861,130.439,134.343,290.677,136.615,203.065,137.589,76.005,140.012,108.844,142.276,226.10299999999998,142.4,304.759,143.392,164.66299999999998,143.812,196.519,143.762,135.045,149.759,302.135,150.33700000000002,119.18700000000001,151.626,,,229.56900000000002,152.227,332.999,151.542,13.681,153.33,109.90299999999999,155.164,163.116,154.429,210.657,155.41,262.98900000000003,155.881,58.162,158.16299999999998,98.055,159.78799999999998,40.751,160.753,143.697,160.611,272.322,161.091,247.178,161.773,252.205,162.065,209.125,162.835,266.575,163.287,117.917,164.178,200.30599999999998,163.86599999999999,166.676,166.685,74.064,168.429,224.115,167.845,239.438,168.828,287.611,168.011,247.185,168.75599999999997,278.244,168.71099999999998,126.07700000000001,174.225,267.668,173.747,43.13,174.73,24.814,176.41400000000002,290.723,175.61,119.275,177.82,329.724,178.74200000000002,14.089,180.87,239.61599999999999,181.231,263.39599999999996,182.24,48.047,182.96,60.869,183.22400000000002,301.584,182.78400000000002,281.133,184.93400000000003,118.948,189.47400000000002,240.037,188.75400000000002,297.77099999999996,189.795,314.988,189.99,87.064,192.97799999999998,228.34400000000002,193.977,68.494,196.75400000000002,110.23899999999999,196.704,256.244,197.952,282.324,203.25,116.915,20.271,104.054,47.042,157.487,46.711999999999996,84.19,50.756,60.415,52.245,91.745,54.582,232.357,54.026,144.857,55.568999999999996,116.58200000000001,57.872,212.54,57.794,106.505,58.659,129.275,60.318999999999996,238.775,62.581,138.237,64.421,131.37,65.898,210.47099999999998,65.935,35.504,141.106,69.0,176.0,,,,,,,,,,,,,,,,
4.5,18.0,,101.837,67.373,263.387,66.685,59.13399999999999,68.3,79.744,71.432,237.425,70.89,254.127,71.968,90.91799999999999,72.753,219.179,73.454,210.421,76.208,149.975,78.05199999999999,126.867,78.959,66.708,80.57300000000001,202.87900000000002,86.338,212.423,89.34700000000001,246.997,89.353,102.49600000000001,91.51100000000001,153.496,93.367,313.689,94.911,62.515,95.779,199.513,96.335,238.862,96.708,121.975,99.721,291.01099999999997,100.72200000000001,159.305,107.05799999999999,57.81100000000001,107.844,240.697,108.508,257.658,109.288,81.804,110.071,144.74200000000002,109.40299999999999,283.686,110.402,129.939,110.551,114.48100000000001,110.986,249.252,112.429,236.205,114.49799999999999,164.07,115.37700000000001,160.14,118.01899999999999,100.845,118.29700000000001,128.82299999999998,119.709,93.786,121.12200000000001,70.9,121.90299999999999,210.93200000000002,122.435,226.11900000000003,121.656,169.6,126.84,157.554,128.406,277.34,127.521,311.797,128.19799999999998,244.507,129.309,79.594,130.834,130.504,134.339,290.712,136.609,203.06400000000002,137.537,75.956,140.002,108.835,142.325,226.024,142.384,304.9,143.368,164.662,143.80200000000002,196.50599999999997,143.704,135.009,149.74,302.178,150.32,119.145,151.628,220.123,153.869,229.565,152.186,333.05,151.579,13.708,153.365,109.912,155.102,163.165,154.406,210.56400000000002,155.44799999999998,262.978,155.874,58.158,158.161,98.051,159.77,40.774,160.746,143.754,160.55700000000002,272.343,161.063,247.2,161.756,252.218,162.064,209.101,162.805,266.592,163.311,117.945,164.148,200.29,163.765,166.66,166.63099999999997,74.03399999999999,168.43200000000002,224.145,167.83900000000003,239.53900000000002,168.957,287.687,167.94099999999997,247.206,168.757,278.278,168.613,126.133,174.118,267.66,173.704,43.11600000000001,174.738,24.815,176.447,290.75,175.581,119.266,177.81599999999997,329.57800000000003,178.73,14.140999999999998,180.785,239.61900000000003,181.19099999999997,263.421,182.271,48.012,182.952,60.818999999999996,183.213,301.622,182.715,281.175,184.90099999999998,118.954,189.435,240.02599999999998,188.74900000000002,297.786,189.794,315.04900000000004,189.93,86.76899999999999,193.078,228.328,193.979,68.408,196.7,110.193,196.69,256.152,197.953,282.222,203.17700000000002,116.876,20.232,103.932,47.037,157.421,46.568000000000005,84.14299999999999,50.797,58.976000000000006,51.364,91.82799999999999,54.595,232.40200000000002,54.04,144.787,55.563,116.527,57.818000000000005,212.51,57.875,106.42399999999999,58.648999999999994,129.094,60.353,238.78900000000002,62.563,138.227,64.317,131.289,65.834,210.49599999999998,66.01,35.338,141.131,68.523,176.088,194.18,137.653,,,,,,,,,,,,,,
