TimesH,Frame,NoMissing,40,40,48,48,53,53,60,60,73,73,76,76,92,92,102,102,103,103,104,104,105,105,106,106,110,110,114,114,116,116,130,130,131,131,132,132,142,142,148,148,149,149,156,156,157,157,161,161,164,164,167,167,169,169,170,170,173,173,183,183,184,184,188,188,195,195,202,202,208,208,214,214,225,225,226,226,241,241,242,242,324,324,361,361,404,404,439,439,456,456,599,599,678,678,684,684,687,687,722,722
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
143.5,574.0,,106.21600000000001,139.797,93.00299999999999,145.56799999999998,127.927,127.904,292.953,134.385,92.499,121.552,233.043,122.523,277.317,167.395,134.175,170.80200000000002,254.688,169.44099999999997,293.797,172.37599999999998,242.92700000000002,172.149,98.84700000000001,172.888,241.92700000000002,160.901,136.392,161.561,307.172,163.137,126.635,157.024,73.05199999999999,158.352,256.062,156.782,125.605,146.898,226.56900000000002,148.638,283.637,150.048,,,86.838,193.715,116.91,196.123,288.052,195.61,126.294,198.44099999999997,53.597,185.333,306.92900000000003,185.72400000000002,260.043,186.67700000000002,136.865,190.88099999999997,68.467,178.74900000000002,146.453,179.669,274.301,182.675,84.06200000000001,174.24200000000002,260.782,175.632,110.508,177.99900000000002,146.192,207.018,56.292,209.192,254.736,201.088,135.858,200.81799999999998,,,,,,,,,,,,,,,,,,,,
143.75,575.0,,106.211,139.816,92.824,145.379,127.90799999999999,127.931,292.926,134.37,92.509,121.54,233.076,122.535,277.314,167.40400000000002,134.265,170.764,254.706,169.55,293.807,172.378,242.842,172.136,98.79299999999999,172.925,241.97099999999998,160.912,136.388,161.563,307.166,163.119,126.639,157.025,73.096,158.335,256.068,156.785,125.63600000000001,146.904,226.593,148.621,283.605,150.001,300.693,191.799,86.804,193.72299999999998,116.801,196.107,288.056,195.59900000000002,126.318,198.44299999999998,53.593999999999994,185.333,306.925,185.729,259.99,186.729,136.865,190.88099999999997,68.459,178.68200000000002,146.452,179.672,274.288,182.662,84.095,174.231,260.738,175.794,110.523,177.979,146.175,206.99599999999998,56.332,209.15,254.77,201.08700000000002,135.839,200.87599999999998,,,,,,,,,,,,,,,,,,,,
144.0,576.0,,106.18799999999999,139.81,92.764,145.387,127.90899999999999,127.943,292.892,134.327,92.516,121.537,233.05900000000003,122.484,277.31,167.40200000000002,134.24,170.74,256.569,171.6,293.793,172.37900000000002,242.817,172.146,98.773,172.933,242.00900000000001,160.921,136.386,161.745,307.152,163.128,126.635,157.039,73.146,158.32399999999998,256.075,156.799,125.62200000000001,146.894,226.62599999999998,148.629,283.575,149.995,300.621,191.73,86.803,193.72099999999998,116.74799999999999,196.08900000000003,288.069,195.595,126.318,198.442,53.605,185.33,307.003,185.675,260.028,186.762,136.863,190.87099999999998,68.46,178.726,146.491,179.683,274.26099999999997,182.66400000000002,84.08200000000001,174.199,260.69599999999997,176.00599999999997,110.479,178.03099999999998,146.142,206.97799999999998,56.433,209.201,254.771,201.06400000000002,135.839,200.889,,,,,,,,,,,,,,,,,,,,
144.25,577.0,,106.169,139.773,92.83200000000001,145.308,127.92,127.941,292.913,134.303,92.516,121.514,233.02200000000002,122.49,277.296,167.398,134.246,170.75799999999998,254.68400000000003,169.53599999999997,293.78,172.385,242.877,172.15400000000002,98.728,172.94,242.025,160.94,136.365,161.999,307.155,163.138,126.664,157.041,73.15899999999999,158.305,256.07,156.784,125.604,146.906,226.62400000000002,148.641,283.618,149.952,300.226,191.7,86.792,193.72799999999998,116.541,196.02700000000002,288.07099999999997,195.58599999999998,126.37200000000001,198.46200000000002,53.625,185.31599999999997,306.999,185.622,259.997,186.762,136.855,190.86700000000002,68.589,178.993,146.44799999999998,179.655,274.307,182.649,84.085,174.19099999999997,260.719,175.92,110.471,178.02200000000002,146.137,207.0,56.435,209.269,254.795,201.06400000000002,135.85299999999998,200.903,,,,,,,,,,,,,,,,,,,,
144.5,578.0,,106.146,139.773,92.75200000000001,145.155,127.92,127.955,292.834,134.442,92.48200000000001,121.535,233.067,122.44200000000001,277.306,167.40400000000002,134.219,170.697,255.215,170.609,293.775,172.385,242.84799999999998,172.172,98.725,172.958,242.03099999999998,160.937,136.342,162.123,307.163,163.15200000000002,126.709,157.03799999999998,73.171,158.293,256.065,156.79399999999998,125.679,147.036,226.639,148.634,283.59,149.959,300.254,191.641,86.787,193.726,116.285,195.96599999999998,288.075,195.584,126.59299999999999,198.563,53.626000000000005,185.326,307.007,185.622,260.014,186.74,136.845,190.878,68.598,179.046,147.0,180.0,274.276,182.638,84.09299999999999,174.203,260.67400000000004,175.898,110.43799999999999,178.021,146.158,207.002,56.343,209.271,254.791,201.06599999999997,135.891,200.97799999999998,,,,,,,,,,,,,,,,,,,,
144.75,579.0,,106.152,139.774,92.72,145.13299999999998,127.921,127.94,292.878,134.472,92.523,121.546,233.048,122.431,277.306,167.36700000000002,134.19,170.68099999999998,254.63299999999998,169.49900000000002,293.782,172.368,242.426,172.08900000000003,98.73299999999999,172.959,242.024,160.929,136.296,162.151,307.175,163.159,126.729,157.05700000000002,73.183,158.293,256.079,156.814,125.70200000000001,147.016,226.65,148.627,283.569,149.971,300.155,191.765,86.794,193.717,116.191,195.981,288.07599999999996,195.579,126.601,198.574,53.618,185.31799999999998,306.973,185.618,260.077,186.68900000000002,136.85,190.872,68.596,179.048,147.0,180.0,274.336,182.632,84.072,174.168,260.618,176.058,110.459,178.00900000000001,146.153,207.003,56.465,209.31799999999998,254.78099999999998,201.067,135.88299999999998,200.975,,,,,,,,,,,,,,,,,,,,
145.0,580.0,,106.161,139.755,92.709,145.096,127.912,127.925,292.796,134.476,92.507,121.566,233.07,122.445,277.324,167.399,134.201,170.64700000000002,255.0,170.0,293.782,172.351,242.47799999999998,172.097,98.67399999999999,173.013,242.06,160.917,136.287,162.234,307.156,163.175,126.74600000000001,157.063,73.17399999999999,158.34,256.07599999999996,156.81,125.73700000000001,147.07299999999998,226.68099999999998,148.602,283.547,149.996,300.12,191.75599999999997,86.79,193.69799999999998,116.014,196.013,288.08099999999996,195.56599999999997,126.594,198.565,53.631,185.31,306.934,185.65599999999998,260.085,186.733,136.858,190.86599999999999,68.62899999999999,179.06799999999998,147.0,180.0,274.322,182.623,84.071,174.16400000000002,260.616,175.97,110.45700000000001,178.013,146.16299999999998,206.972,56.42,209.391,254.81,201.06799999999998,135.88,200.954,,,,,,,,,,,,,,,,,,,,
145.25,581.0,,106.155,139.744,92.632,145.014,127.919,127.927,292.686,134.498,92.50399999999999,121.561,233.06599999999997,122.494,277.337,167.387,134.244,170.63299999999998,254.636,169.565,293.802,172.34400000000002,242.833,172.15,98.603,173.058,242.09900000000002,160.908,136.252,162.378,307.154,163.162,126.749,157.061,73.238,158.336,256.052,156.81799999999998,125.78200000000001,147.08700000000002,226.69400000000002,148.595,283.495,149.986,300.133,191.90599999999998,86.79799999999999,193.69799999999998,115.814,195.99200000000002,288.085,195.558,126.64,198.578,53.636,185.312,306.901,185.645,260.118,186.734,136.87,190.86,68.62100000000001,178.99599999999998,146.536,179.729,274.298,182.608,84.117,174.165,260.587,176.05,110.45700000000001,178.011,146.167,206.963,56.486000000000004,209.368,254.832,201.077,135.851,200.937,,,,,,,,,,,,,,,,,,,,
