TimesH,Frame,NoMissing,2,2,10,10,11,11,34,34,35,35,39,39,40,40,42,42,47,47,49,49,52,52,54,54,55,55,57,57,59,59,109,109,111,111,113,113,114,114,115,115,123,123,127,127,133,133,135,135,140,140,141,141,143,143,144,144,146,146,148,148,149,149,152,152,155,155,156,156,157,157,158,158,160,160,161,161,164,164,166,166,168,168,169,169,173,173,176,176,178,178,179,179,185,185,187,187,189,189,191,191,194,194,195,195,197,197,204,204,205,205,207,207,212,212,213,213,214,214,215,215,216,216,217,217,218,218,222,222,224,224,225,225,228,228,231,231,232,232,233,233,264,264,265,265,268,268,269,269,271,271,272,272,273,273,276,276,279,279,280,280,284,284,290,290,297,297,300,300,301,301,369,369,383,383,467,467,475,475,503,503,642,642,664,664,734,734
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
311.0,1244.0,,256.437,101.96799999999999,280.767,94.796,133.15,95.13600000000001,231.454,118.311,91.175,118.03200000000001,196.87900000000002,114.417,218.929,112.07700000000001,86.228,112.13799999999999,278.931,130.987,154.27100000000002,128.524,126.90799999999999,127.71600000000001,245.422,127.038,237.333,125.265,139.77100000000002,123.728,216.28900000000002,123.02,103.384,164.122,63.696000000000005,163.747,147.952,163.30100000000002,126.242,162.77200000000002,110.947,162.501,88.04299999999999,160.124,121.715,168.514,241.46099999999998,167.028,291.105,166.153,154.733,175.84099999999998,107.23700000000001,174.976,114.545,174.055,49.935,174.45,145.105,173.02,34.625,171.59,301.1,171.114,227.674,169.576,281.444,180.812,231.87400000000002,180.516,226.467,179.666,149.579,179.507,86.861,178.588,60.99,178.947,130.989,178.054,305.619,177.268,72.536,176.90200000000002,274.155,175.72400000000002,204.832,137.58700000000002,237.327,135.708,88.78200000000001,136.158,255.46900000000002,134.925,160.099,133.062,272.686,143.906,161.564,143.32399999999998,111.492,143.843,293.505,141.832,127.932,142.58100000000002,220.88099999999997,141.26,151.686,151.924,142.40200000000002,150.893,245.597,148.696,99.917,147.222,93.257,146.593,298.676,146.20600000000002,80.57,145.528,281.004,145.447,225.364,144.749,304.961,158.512,75.85300000000001,156.56,239.888,155.679,231.25900000000001,156.30200000000002,163.602,153.905,254.956,153.472,207.195,153.149,262.447,151.75799999999998,288.659,186.851,277.586,185.342,96.91,184.41,117.04299999999999,182.45,299.781,182.236,254.775,181.792,51.559,182.408,93.40100000000001,195.44099999999997,103.41799999999999,193.937,74.358,193.575,124.565,192.205,261.353,188.59799999999998,67.532,200.52900000000002,146.845,199.16,136.22799999999998,198.34599999999998,,,59.093,132.289,,,,,,,,,,,,
311.25,1245.0,,256.44,101.971,280.757,94.785,133.175,95.148,231.498,118.277,91.18799999999999,118.00200000000001,196.882,114.44200000000001,218.928,112.079,86.21799999999999,112.147,278.922,131.003,154.276,128.513,126.89399999999999,127.72399999999999,245.41099999999997,127.036,237.317,125.274,139.721,123.704,216.292,122.99,103.39200000000001,164.13299999999998,63.7,163.75799999999998,147.935,163.332,126.24,162.75799999999998,111.111,162.542,88.025,160.119,121.71,168.51,241.47299999999998,166.995,291.091,166.15099999999998,154.721,175.842,107.245,174.96,114.561,174.06,49.928999999999995,174.463,145.086,173.053,34.693000000000005,171.592,301.094,171.142,227.858,169.916,281.499,180.433,231.87,180.517,226.468,179.662,149.576,179.514,86.84899999999999,178.57299999999998,60.994,178.96200000000002,130.939,178.024,305.60200000000003,177.27599999999998,72.538,176.898,274.14799999999997,175.726,204.83599999999998,137.571,237.267,135.745,88.76700000000001,136.158,255.46599999999998,134.921,160.128,133.06,272.687,143.921,161.346,143.55200000000002,111.486,143.845,293.502,141.839,127.94200000000001,142.541,220.873,141.24200000000002,151.632,151.885,142.444,150.863,245.59099999999998,148.715,99.93299999999999,147.217,93.27600000000001,146.608,298.673,146.21200000000002,80.567,145.516,280.97700000000003,145.45,225.396,144.766,304.94599999999997,158.52200000000002,75.858,156.545,239.882,155.654,231.255,156.298,163.596,153.91,254.956,153.482,207.197,153.153,262.387,151.82,288.65,186.862,277.567,185.357,96.916,184.382,116.61,182.615,299.80400000000003,182.243,254.766,181.77900000000002,51.548,182.416,93.38600000000001,195.438,103.382,193.984,74.332,193.582,124.573,192.202,261.319,188.606,67.532,200.516,146.833,199.153,136.218,198.36,,,59.256,132.34,,,,,,,,,,,,
311.5,1246.0,,256.435,101.96700000000001,280.762,94.777,133.161,95.14,231.511,118.171,91.196,118.012,196.887,114.445,218.921,112.085,86.21799999999999,112.14399999999999,278.913,131.013,154.253,128.504,126.891,127.73,245.399,127.027,237.335,125.28,139.679,123.652,216.273,122.98299999999999,103.387,164.145,63.711999999999996,163.77200000000002,147.941,163.32399999999998,126.221,162.757,110.82,162.496,88.008,160.122,121.71700000000001,168.497,241.467,166.99200000000002,291.079,166.149,154.722,175.84099999999998,107.24600000000001,174.982,114.589,174.055,49.925,174.47,145.114,173.05,34.727,171.63299999999998,301.072,171.148,228.018,170.206,281.154,180.545,231.88,180.52,226.497,179.641,149.58100000000002,179.516,86.854,178.58900000000003,61.001000000000005,178.96200000000002,130.904,178.012,305.598,177.278,72.533,176.895,274.14,175.731,204.856,137.582,237.22,135.766,88.755,136.17,255.46900000000002,134.925,160.122,133.061,272.683,143.924,161.31,143.565,111.47200000000001,143.844,293.497,141.888,127.932,142.485,220.87900000000002,141.265,151.636,151.88299999999998,142.37,150.864,245.6,148.692,99.939,147.234,93.339,146.648,298.67,146.224,80.584,145.53799999999998,280.995,145.444,225.405,144.763,304.941,158.536,75.855,156.535,239.882,155.654,231.253,156.297,163.611,153.888,254.94299999999998,153.484,207.19799999999998,153.14600000000002,262.437,151.809,288.66,186.856,277.57099999999997,185.358,96.93299999999999,184.37400000000002,116.53200000000001,182.658,299.809,182.24200000000002,254.77599999999998,181.77,51.538999999999994,182.42700000000002,93.37899999999999,195.451,103.389,194.00099999999998,74.33800000000001,193.56799999999998,124.588,192.199,261.33799999999997,188.593,67.563,200.53599999999997,146.826,199.16299999999998,136.19799999999998,198.37099999999998,,,,,,,,,,,,,,,,
311.75,1247.0,,256.45599999999996,101.975,280.756,94.8,133.16299999999998,95.133,231.53099999999998,118.13,91.193,118.016,196.923,114.43299999999999,218.922,112.07600000000001,86.208,112.134,278.91200000000003,131.025,154.262,128.52100000000002,126.883,127.735,245.37400000000002,127.027,237.345,125.27,139.658,123.64399999999999,216.3,122.999,103.383,164.127,63.735,163.773,147.958,163.342,126.226,162.769,111.041,162.53,88.01,160.131,121.71,168.56799999999998,241.465,166.968,291.069,166.141,154.68200000000002,175.83,107.245,174.99900000000002,114.635,174.065,49.91,174.481,145.12,173.05700000000002,34.757,171.63099999999997,301.096,171.157,228.084,170.239,281.099,180.484,231.87900000000002,180.546,226.493,179.667,149.582,179.515,86.84299999999999,178.592,61.0,178.957,130.90200000000002,178.024,305.619,177.301,72.55,176.892,274.132,175.735,204.822,137.545,237.25,135.75799999999998,88.757,136.151,255.465,134.921,160.142,133.05,272.694,143.931,161.225,143.525,111.46700000000001,143.84,293.502,141.861,127.913,142.43200000000002,220.88099999999997,141.265,151.602,151.842,142.329,150.80100000000002,245.613,148.66899999999998,100.007,147.249,93.374,146.643,298.659,146.233,80.571,145.53799999999998,280.986,145.453,225.396,144.765,304.935,158.541,75.859,156.526,239.86900000000003,155.64,231.232,156.27100000000002,163.607,153.899,254.935,153.487,207.205,153.137,262.436,151.798,288.658,186.86,277.6,185.338,96.946,184.356,116.632,182.611,299.85400000000004,182.231,254.787,181.767,51.538000000000004,182.445,93.35700000000001,195.446,103.387,194.02,74.339,193.56,124.59700000000001,192.203,261.332,188.585,67.58800000000001,200.563,146.804,199.15099999999998,136.164,198.412,,,,,,,,,,,,,,,,
312.0,1248.0,,256.432,101.969,280.757,94.785,133.124,95.162,231.53099999999998,118.118,91.209,118.016,196.92,114.43700000000001,218.92,112.06200000000001,86.208,112.135,278.9,131.018,154.27700000000002,128.519,126.889,127.744,245.373,127.02600000000001,237.331,125.25399999999999,139.601,123.61,216.298,122.991,103.39,164.125,63.722,163.783,147.972,163.358,126.234,162.75,110.931,162.485,87.98700000000001,160.14,121.719,168.618,241.452,166.955,291.051,166.14,154.7,175.84400000000002,107.249,175.037,114.645,174.067,49.898,174.472,145.094,173.081,34.826,171.658,301.095,171.174,228.43200000000002,170.59900000000002,281.04,180.40200000000002,231.893,180.548,226.459,179.68099999999998,149.576,179.519,86.819,178.59400000000002,61.011,178.972,130.858,177.99400000000003,305.62,177.294,72.54899999999999,176.889,274.128,175.74099999999999,204.865,137.575,237.176,135.786,88.76,136.139,255.46400000000003,134.912,160.135,133.058,272.69599999999997,143.935,161.524,143.196,111.476,143.846,293.461,141.894,127.904,142.447,220.88099999999997,141.28,151.569,151.827,142.336,150.775,245.595,148.683,100.024,147.253,93.414,146.67700000000002,298.665,146.232,80.568,145.526,280.985,145.45600000000002,225.37099999999998,144.759,304.92900000000003,158.548,75.859,156.513,239.855,155.63,231.226,156.27200000000002,163.606,153.9,254.93,153.491,207.19,153.139,262.469,151.766,288.658,186.862,277.58799999999997,185.34599999999998,96.973,184.324,116.648,182.606,299.874,182.24099999999999,254.783,181.767,51.531000000000006,182.446,93.37,195.456,103.42299999999999,193.986,74.343,193.551,124.619,192.204,261.346,188.579,67.584,200.567,146.774,199.128,136.172,198.416,,,,,,,,,,,,,,,,
312.25,1249.0,,256.42900000000003,101.97,280.758,94.78200000000001,133.121,95.15799999999999,231.57,118.12,91.2,118.03200000000001,196.93200000000002,114.45,218.922,112.068,86.204,112.13799999999999,278.897,131.035,154.28,128.486,126.885,127.74799999999999,245.36700000000002,127.023,237.352,125.23299999999999,139.513,123.538,216.296,122.98700000000001,103.352,164.08700000000002,63.733000000000004,163.783,147.967,163.356,126.22,162.737,111.196,162.549,87.988,160.139,121.71700000000001,168.649,241.452,166.923,291.047,166.14700000000002,154.69899999999998,175.86700000000002,107.266,175.072,114.645,174.072,49.896,174.48,145.09,173.105,34.843,171.649,301.077,171.183,228.14700000000002,170.308,280.953,180.308,231.90900000000002,180.56400000000002,226.457,179.697,149.58,179.51,86.803,178.604,61.013999999999996,178.97400000000002,130.834,177.99599999999998,305.632,177.298,72.604,176.895,274.12,175.743,204.851,137.548,237.084,135.822,88.762,136.137,255.47099999999998,134.922,160.128,133.07299999999998,272.704,143.944,161.472,143.29,111.463,143.851,293.473,141.869,127.905,142.423,220.891,141.28,151.648,151.885,142.283,150.76,245.592,148.684,100.046,147.269,93.41799999999999,146.691,298.663,146.232,80.581,145.537,280.98900000000003,145.471,225.416,144.766,304.923,158.56,75.86399999999999,156.514,239.856,155.614,231.208,156.25,163.599,153.89,254.923,153.483,207.19299999999998,153.131,262.469,151.77,288.66200000000003,186.863,277.57,185.33700000000002,96.984,184.3,117.044,182.44799999999998,299.883,182.248,254.775,181.76,51.531000000000006,182.449,93.381,195.456,103.43299999999999,194.00099999999998,74.344,193.548,124.631,192.205,261.332,188.588,67.57,200.544,146.773,199.11900000000003,136.134,198.42700000000002,,,,,,,,,,,,,,,,
312.5,1250.0,,256.41700000000003,101.969,280.757,94.781,133.167,95.176,231.604,118.12,91.193,118.044,196.93900000000002,114.465,218.918,112.054,86.21600000000001,112.135,278.906,131.03,154.28799999999998,128.499,126.88799999999999,127.757,245.358,127.00399999999999,237.36599999999999,125.219,139.47799999999998,123.514,216.30900000000003,122.993,103.346,164.114,63.738,163.796,147.991,163.374,126.22200000000001,162.734,111.141,162.54399999999998,87.977,160.14700000000002,121.715,168.61,241.44799999999998,166.922,291.035,166.146,154.664,175.86,107.264,175.08,114.686,174.077,49.876000000000005,174.479,145.084,173.101,34.828,171.63299999999998,301.078,171.18,228.1,170.21099999999998,280.885,180.217,231.93599999999998,180.58700000000002,226.42,179.695,149.57399999999998,179.511,86.82700000000001,178.614,61.02,178.979,130.90200000000002,178.04,305.649,177.313,72.61,176.905,274.118,175.737,204.822,137.524,237.084,135.804,88.757,136.154,255.47099999999998,134.922,160.08700000000002,133.075,272.704,143.953,161.237,143.523,111.439,143.85399999999998,293.45099999999996,141.872,127.904,142.458,220.88400000000001,141.292,151.714,151.93200000000002,142.33100000000002,150.768,245.606,148.7,100.04899999999999,147.276,93.40700000000001,146.697,298.651,146.237,80.569,145.526,280.996,145.486,225.44299999999998,144.779,304.92,158.575,75.865,156.513,239.84799999999998,155.597,231.19099999999997,156.262,163.6,153.905,254.92700000000002,153.49,207.19400000000002,153.143,262.44599999999997,151.785,288.665,186.86900000000003,277.555,185.334,97.001,184.28,117.01299999999999,182.455,299.894,182.213,254.773,181.765,51.528,182.46099999999998,93.37899999999999,195.46200000000002,103.475,193.97,74.336,193.541,124.634,192.203,261.324,188.588,67.579,200.553,146.762,199.12099999999998,136.112,198.451,,,,,,,,,,,,,,,,
312.75,1251.0,,256.399,101.95,280.745,94.773,133.15,95.194,231.584,118.06700000000001,91.196,118.04299999999999,196.959,114.43799999999999,218.922,112.045,86.229,112.132,278.91,131.033,154.30100000000002,128.50799999999998,126.89399999999999,127.77600000000001,245.327,127.01299999999999,237.37099999999998,125.21600000000001,139.44799999999998,123.50299999999999,216.303,123.00399999999999,103.32600000000001,164.109,63.788000000000004,163.808,148.006,163.369,126.213,162.709,110.891,162.495,87.969,160.143,121.714,168.729,241.435,166.89700000000002,291.031,166.146,154.681,175.838,107.265,175.06599999999997,114.65299999999999,174.081,49.863,174.482,145.05,173.137,34.889,171.66,301.06,171.188,228.095,170.16099999999997,280.84,180.172,231.93099999999998,180.585,226.417,179.697,149.558,179.47099999999998,86.816,178.605,61.022,178.982,130.92600000000002,178.06900000000002,305.632,177.298,72.618,176.90099999999998,274.10900000000004,175.74400000000003,204.84,137.57,237.043,135.822,88.744,136.158,255.451,134.91299999999998,160.094,133.062,272.703,143.96,161.214,143.53799999999998,111.42,143.858,293.445,141.852,127.89399999999999,142.441,220.88299999999998,141.279,151.71200000000002,151.96,142.312,150.703,245.61900000000003,148.681,100.051,147.287,93.43799999999999,146.727,298.653,146.261,80.57300000000001,145.516,281.015,145.486,225.515,144.764,304.918,158.57399999999998,75.861,156.513,239.838,155.58700000000002,231.195,156.254,163.64600000000002,153.912,254.926,153.495,207.201,153.138,262.578,151.725,288.664,186.873,277.558,185.313,97.005,184.255,116.986,182.46099999999998,299.89599999999996,182.22799999999998,254.77700000000002,181.765,51.526,182.46200000000002,93.374,195.46200000000002,103.44,193.989,74.336,193.54,124.655,192.207,261.318,188.585,67.575,200.541,146.77200000000002,199.125,136.08100000000002,198.482,320.779,180.359,,,,,,,,,,,,,,
