 ,X,Y
1,152.044,202.015
2,153.066,200.574
3,154.377,199.071
4,155.827,197.525
5,157.263,195.951
6,158.536,194.368
7,159.592,192.779
8,160.496,191.169
9,161.321,189.520
10,162.140,187.816
11,163.003,186.054
12,163.899,184.260
13,164.803,182.468
14,165.691,180.713
15,166.542,179.024
16,167.337,177.387
17,168.063,175.746
18,168.710,174.049
19,169.265,172.242
20,169.736,170.317
21,170.154,168.325
22,170.554,166.318
23,170.969,164.347
24,171.426,162.458
25,171.910,160.632
26,172.392,158.822
27,172.838,156.986
28,173.219,155.079
29,173.521,153.085
30,173.751,151.014
31,173.916,148.881
32,174.022,146.698
33,174.077,144.477
34,174.093,142.224
35,174.083,139.942
36,174.063,137.633
37,174.047,135.301
38,174.047,132.948
39,174.066,130.587
40,174.089,128.243
41,174.100,125.941
42,174.085,123.707
43,174.028,121.566
44,173.916,119.525
45,173.741,117.553
46,173.496,115.615
47,173.172,113.675
48,172.763,111.699
49,172.277,109.699
50,171.730,107.712
51,171.138,105.776
52,170.519,103.930
53,169.889,102.193
54,169.264,100.523
55,168.659,98.860
56,168.089,97.147
57,167.569,95.336
58,167.097,93.429
59,166.670,91.447
60,166.284,89.408
61,165.933,87.332
62,165.601,85.238
63,165.250,83.144
64,164.844,81.066
65,164.343,79.022
66,163.711,77.028
67,162.962,75.085
68,162.156,73.176
69,161.359,71.285
70,160.635,69.395
71,160.037,67.491
72,159.529,65.580
73,159.034,63.679
74,158.476,61.805
75,157.779,59.972
76,156.922,58.186
77,155.979,56.427
78,155.037,54.676
79,154.178,52.913
80,153.476,51.120
81,152.900,49.315
82,152.370,47.533
83,151.808,45.805
84,151.134,44.165
85,150.315,42.606
86,149.360,41.081
87,148.279,39.545
88,147.083,37.951
89,145.799,36.286
90,144.484,34.584
91,143.195,32.881
92,141.991,31.216
93,140.926,29.625
94,139.975,28.112
95,139.049,26.651
96,138.055,25.219
97,136.905,23.792
98,135.573,22.387
99,134.098,21.068
100,132.522,19.896
