 ,X,Y
1,306.000,58.158
2,305.277,56.362
3,304.533,54.649
4,303.790,52.979
5,303.067,51.315
6,302.375,49.626
7,301.688,47.915
8,300.964,46.194
9,300.163,44.479
10,299.253,42.780
11,298.270,41.103
12,297.279,39.446
13,296.344,37.808
14,295.525,36.190
15,294.796,34.596
16,294.061,33.035
17,293.228,31.518
18,292.213,30.051
19,291.037,28.617
20,289.771,27.188
21,288.488,25.735
22,287.256,24.233
23,286.077,22.708
24,284.903,21.221
25,283.686,19.835
26,282.378,18.612
27,280.961,17.552
28,279.448,16.589
29,277.854,15.654
30,276.194,14.681
31,274.473,13.670
32,272.688,12.693
33,270.836,11.822
34,268.913,11.132
35,266.915,10.671
36,264.844,10.400
37,262.703,10.260
38,260.492,10.192
39,258.215,10.137
40,255.882,10.071
41,253.521,10.016
42,251.159,10.000
43,248.824,10.051
44,246.544,10.196
45,244.346,10.456
46,242.256,10.833
47,240.301,11.330
48,238.506,11.947
49,236.893,12.683
50,235.415,13.501
51,233.987,14.341
52,232.523,15.146
53,230.955,15.876
54,229.283,16.567
55,227.526,17.277
56,225.703,18.065
57,223.834,18.976
58,221.953,20.000
59,220.098,21.104
60,218.308,22.258
61,216.619,23.430
62,215.052,24.602
63,213.590,25.789
64,212.209,27.005
65,210.888,28.269
66,209.611,29.594
67,208.379,30.994
68,207.196,32.478
69,206.066,34.060
70,204.996,35.745
71,204.004,37.516
72,203.110,39.349
73,202.335,41.221
74,201.698,43.108
75,201.184,44.996
76,200.744,46.879
77,200.329,48.751
78,199.888,50.608
79,199.400,52.452
80,198.898,54.304
81,198.420,56.188
82,198.007,58.125
83,197.686,60.134
84,197.446,62.212
85,197.261,64.353
86,197.107,66.548
87,196.958,68.791
88,196.797,71.065
89,196.617,73.342
90,196.412,75.591
91,196.174,77.780
92,195.900,79.881
93,195.602,81.893
94,195.324,83.868
95,195.109,85.857
96,195.004,87.915
97,195.042,90.083
98,195.201,92.333
99,195.440,94.614
100,195.717,96.874
101,195.989,99.062
102,196.224,101.141
103,196.434,103.143
104,196.641,105.117
105,196.869,107.115
106,197.141,109.186
107,197.471,111.328
108,197.864,113.492
109,198.325,115.624
110,198.857,117.672
111,199.460,119.592
112,200.069,121.423
113,200.590,123.247
114,200.929,125.143
115,200.994,127.191
116,200.778,129.392
117,200.362,131.674
118,199.826,133.959
119,199.256,136.171
120,198.730,138.237
121,198.268,140.165
122,197.838,142.039
123,197.402,143.945
124,196.925,145.970
125,196.398,148.164
126,195.875,150.482
127,195.423,152.867
128,195.109,155.259
129,195.000,157.600
130,195.141,159.847
131,195.484,162.031
132,195.957,164.201
133,196.489,166.404
134,197.007,168.691
135,197.461,171.084
136,197.882,173.511
137,198.319,175.875
138,198.824,178.078
139,199.448,180.025
140,200.220,181.653
141,201.074,183.078
142,201.913,184.471
143,202.640,186.001
144,203.213,187.766
145,203.710,189.701
146,204.224,191.724
147,204.850,193.751
148,205.671,195.701
149,206.692,197.513
150,207.883,199.135
151,209.213,200.515
152,210.652,201.604
153,212.172,202.435
154,213.749,203.138
155,215.357,203.845
156,216.975,204.684
157,218.601,205.656
158,220.251,206.671
159,221.942,207.635
160,223.690,208.456
161,225.501,209.092
162,227.371,209.572
163,229.292,209.926
164,231.258,210.187
165,233.261,210.389
166,235.285,210.571
167,237.314,210.777
168,239.332,211.046
169,241.323,211.417
170,243.296,211.871
171,245.274,212.357
172,247.280,212.822
173,249.336,213.214
174,251.452,213.501
175,253.601,213.713
176,255.753,213.885
177,257.874,214.054
178,259.936,214.256
179,261.941,214.495
180,263.924,214.745
181,265.927,214.975
182,267.988,215.157
183,270.135,215.267
184,272.354,215.310
185,274.617,215.298
186,276.897,215.241
187,279.167,215.150
188,281.403,215.032
189,283.589,214.874
190,285.712,214.661
191,287.759,214.379
