TimesH,Frame,NoMissing,1,1,3,3,5,5,7,7,8,8,11,11,12,12,13,13,19,19,24,24,34,34,38,38,39,39,42,42,47,47,51,51,52,52,53,53,54,54,55,55,60,60,61,61,62,62,66,66,70,70,72,72,74,74,76,76,77,77,78,78,79,79,82,82,83,83,86,86,87,87,90,90,92,92,93,93,96,96,99,99,100,100,101,101,102,102,107,107,108,108,110,110,111,111,112,112,116,116,118,118,123,123,124,124,132,132,136,136,137,137,138,138,143,143,145,145,146,146,148,148,149,149,150,150,152,152,156,156,256,256,258,258,403,403,413,413,507,507,610,610
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
23.75,95.0,,200.044,113.63799999999999,139.043,116.24600000000001,83.23899999999999,116.854,76.668,119.189,89.65700000000001,119.69,240.99099999999999,121.26100000000001,213.017,119.684,132.225,123.37100000000001,78.175,106.338,,,133.891,136.702,192.183,137.726,58.742,138.41299999999998,208.178,140.925,231.155,125.411,84.61200000000001,128.19899999999998,125.575,128.882,69.183,129.178,107.039,130.681,211.22099999999998,130.343,227.158,134.389,101.001,134.31799999999998,108.54700000000001,149.667,73.518,151.19299999999998,222.821,151.476,215.217,152.437,59.371,153.898,116.682,155.42600000000002,95.175,155.461,240.352,142.066,221.718,141.545,95.68700000000001,144.15200000000002,77.863,144.061,269.259,144.746,185.604,145.006,242.67,146.886,232.382,149.045,120.17299999999999,147.85399999999998,221.537,164.456,62.798,165.072,88.51299999999999,167.266,194.46200000000002,166.305,251.949,166.68400000000003,132.65200000000002,167.729,138.74200000000002,170.11700000000002,49.25,157.54,207.321,156.876,139.881,157.622,246.36900000000003,159.55200000000002,71.98,159.566,94.118,162.203,77.733,162.291,239.155,181.495,201.13099999999997,181.797,112.999,182.722,67.499,183.24400000000003,240.736,170.42700000000002,79.852,171.75,52.273999999999994,172.863,,,246.793,173.922,123.22,174.062,66.473,175.46,254.024,177.15099999999998,124.844,95.72399999999999,195.947,100.307,,,,,,,,
24.0,96.0,,200.049,113.62,139.006,116.273,83.235,116.85600000000001,76.669,119.18299999999999,89.65899999999999,119.675,240.986,121.251,213.032,119.677,132.226,123.385,78.27,106.369,,,133.876,136.704,192.15400000000002,137.734,58.729,138.40200000000002,208.171,140.921,231.15599999999998,125.405,84.62100000000001,128.19299999999998,125.491,128.85,69.175,129.18,107.042,130.634,211.21,130.342,227.123,134.33700000000002,101.001,134.30100000000002,108.556,149.65200000000002,73.543,151.173,222.81900000000002,151.45600000000002,215.208,152.42,59.376000000000005,153.915,116.677,155.441,95.17399999999999,155.45600000000002,240.352,142.02200000000002,221.71900000000002,141.54,95.679,144.153,77.86399999999999,144.061,269.256,144.747,185.57,144.965,242.668,146.88299999999998,232.44,149.14600000000002,120.176,147.852,221.50900000000001,164.43900000000002,62.791000000000004,165.063,88.50399999999999,167.263,194.457,166.30599999999998,251.94099999999997,166.68099999999998,132.63299999999998,167.718,138.77100000000002,170.122,49.242,157.528,207.297,156.859,139.901,157.61,246.356,159.54399999999998,71.98899999999999,159.571,94.12299999999999,162.20600000000002,77.73100000000001,162.28,239.11700000000002,181.47400000000002,201.141,181.764,112.98200000000001,182.743,67.459,183.232,240.75099999999998,170.52700000000002,79.825,171.739,52.523999999999994,172.301,,,246.77200000000002,173.889,123.21600000000001,174.03400000000002,66.497,175.44099999999997,254.00599999999997,177.106,124.823,95.71700000000001,195.94299999999998,100.309,,,,,,,,
24.25,97.0,,200.046,113.613,139.05700000000002,116.273,83.236,116.866,76.655,119.171,89.655,119.675,240.982,121.23700000000001,213.02599999999998,119.665,132.234,123.397,78.286,106.416,,,133.87,136.71,192.14,137.74200000000002,58.732,138.392,208.16,140.901,231.153,125.4,84.62700000000001,128.192,125.49600000000001,128.83100000000002,69.168,129.192,107.05799999999999,130.637,211.205,130.342,227.114,134.43200000000002,101.00399999999999,134.29399999999998,108.56299999999999,149.641,73.556,151.173,222.813,151.44299999999998,215.204,152.41,59.375,153.923,116.68700000000001,155.435,95.177,155.459,240.35299999999998,141.991,221.708,141.535,95.667,144.168,77.87,144.062,269.251,144.739,185.567,144.93200000000002,242.667,146.88299999999998,232.458,149.18200000000002,120.181,147.851,221.514,164.43099999999998,62.793,165.05900000000003,88.495,167.25900000000001,194.46200000000002,166.297,251.937,166.679,132.624,167.678,138.791,170.09799999999998,49.229,157.532,207.31,156.841,139.971,157.61700000000002,246.359,159.525,71.985,159.57299999999998,94.115,162.21,77.723,162.276,239.109,181.5,201.21400000000003,181.67,112.977,182.687,67.49,183.201,240.729,170.593,79.79,171.706,52.443999999999996,172.19400000000002,99.09100000000001,171.88099999999997,246.75,173.87599999999998,123.169,173.998,66.51899999999999,175.47,254.049,177.076,124.845,95.729,195.949,100.304,,,,,,,,
24.5,98.0,,200.054,113.625,139.107,116.23,83.24600000000001,116.852,76.654,119.177,89.654,119.67399999999999,240.97299999999998,121.226,213.02700000000002,119.664,132.235,123.41799999999999,78.29,106.428,,,133.863,136.715,192.115,137.75,58.73,138.392,208.15200000000002,140.889,231.143,125.397,84.601,128.194,125.44200000000001,128.783,69.165,129.19899999999998,107.059,130.64,211.204,130.343,227.113,134.423,101.009,134.289,108.564,149.627,73.562,151.162,222.815,151.438,215.188,152.41299999999998,59.354,153.917,116.67,155.434,95.186,155.455,240.357,141.965,221.71099999999998,141.536,95.641,144.159,77.87,144.058,269.248,144.737,185.58900000000003,144.93,242.66400000000002,146.881,232.46,149.207,120.193,147.851,221.482,164.418,62.792,165.046,88.484,167.252,194.447,166.28,251.93599999999998,166.67,132.601,167.667,138.80200000000002,170.09400000000002,49.222,157.528,207.296,156.841,139.968,157.632,246.345,159.509,71.99600000000001,159.583,94.137,162.192,77.72,162.265,239.104,181.493,201.262,181.68900000000002,112.964,182.69099999999997,67.503,183.132,240.727,170.707,79.77199999999999,171.68200000000002,52.405,172.245,99.102,171.875,246.757,173.877,123.167,174.03400000000002,66.492,175.38299999999998,254.00599999999997,177.07299999999998,124.819,95.73899999999999,195.947,100.305,,,,,,,,
24.75,99.0,,200.076,113.61200000000001,139.145,116.236,83.235,116.861,76.65100000000001,119.179,89.641,119.667,240.94799999999998,121.19200000000001,213.054,119.667,132.23,123.41799999999999,78.27,106.39,90.72,111.51899999999999,133.859,136.704,192.12,137.74200000000002,58.729,138.389,208.16,140.884,231.143,125.37799999999999,84.584,128.173,125.414,128.789,69.165,129.20600000000002,107.064,130.619,211.196,130.346,227.125,134.33100000000002,101.015,134.274,108.574,149.611,73.585,151.164,222.82,151.429,215.178,152.40200000000002,59.361000000000004,153.914,116.67299999999999,155.42600000000002,95.189,155.451,240.358,141.958,221.706,141.539,95.634,144.16899999999998,77.87100000000001,144.062,269.249,144.738,185.571,144.909,242.667,146.881,232.49099999999999,149.27,120.184,147.855,221.476,164.408,62.786,165.044,88.475,167.24400000000003,194.418,166.27200000000002,251.93,166.671,132.57399999999998,167.64700000000002,138.81799999999998,170.05599999999998,49.217,157.52100000000002,207.274,156.845,139.934,157.627,246.33599999999998,159.497,72.005,159.59,94.169,162.186,77.707,162.253,239.07,181.46599999999998,201.373,181.67700000000002,112.932,182.69099999999997,67.52,183.019,240.743,170.74900000000002,79.771,171.69400000000002,52.498000000000005,172.304,99.083,171.857,246.74599999999998,173.865,123.14399999999999,174.018,66.441,175.31900000000002,253.94299999999998,177.08599999999998,124.83,95.73299999999999,195.95,100.309,,,,,,,,
25.0,100.0,,200.07299999999998,113.603,139.187,116.26700000000001,83.23200000000001,116.86200000000001,76.656,119.17200000000001,89.655,119.677,240.94,121.18299999999999,213.072,119.66,132.232,123.441,78.192,106.37100000000001,90.70700000000001,111.536,133.845,136.696,192.11599999999999,137.757,58.722,138.388,208.173,140.892,231.162,125.38799999999999,84.58200000000001,128.153,125.40700000000001,128.781,69.153,129.224,107.059,130.626,211.19400000000002,130.351,227.054,134.162,101.016,134.253,108.575,149.608,73.584,151.166,222.81400000000002,151.411,215.185,152.39700000000002,59.361000000000004,153.878,116.69,155.43,95.198,155.44799999999998,240.362,141.936,221.706,141.537,95.632,144.16899999999998,77.873,144.058,269.247,144.732,185.503,144.84799999999998,242.666,146.88299999999998,232.533,149.377,120.18700000000001,147.868,221.47299999999998,164.40200000000002,62.782,165.03599999999997,88.46700000000001,167.235,194.435,166.27700000000002,251.925,166.66400000000002,132.554,167.639,138.804,170.03799999999998,49.207,157.528,207.25599999999997,156.841,139.993,157.64,246.322,159.48,72.008,159.58100000000002,94.197,162.17,77.708,162.248,239.05200000000002,181.468,201.545,181.584,112.925,182.669,67.604,182.93599999999998,240.75099999999998,170.78799999999998,79.744,171.679,52.57899999999999,171.916,99.086,171.821,246.71099999999998,173.829,123.155,174.03099999999998,66.459,175.295,254.012,177.033,124.825,95.721,195.96099999999998,100.322,,,,,,,,
25.25,101.0,,200.072,113.603,139.185,116.26899999999999,83.236,116.866,76.65899999999999,119.163,89.641,119.676,240.928,121.166,213.075,119.64200000000001,132.23,123.449,78.133,106.296,,,133.829,136.697,192.101,137.765,58.715,138.38,208.16299999999998,140.887,231.14700000000002,125.374,84.57600000000001,128.14,125.36200000000001,128.761,69.152,129.231,107.056,130.642,211.179,130.364,227.03900000000002,134.122,101.01,134.238,108.57799999999999,149.601,73.594,151.167,222.80599999999998,151.40200000000002,215.166,152.373,59.338,153.864,116.685,155.431,95.18700000000001,155.444,240.368,141.93,221.704,141.532,95.625,144.17600000000002,77.863,144.056,269.247,144.722,185.507,144.84799999999998,242.67,146.881,232.53900000000002,149.425,120.19,147.875,221.472,164.396,62.78,165.03599999999997,88.462,167.232,194.44099999999997,166.239,251.924,166.66099999999997,132.531,167.63,138.78799999999998,170.041,49.198,157.526,207.247,156.841,140.041,157.643,246.31,159.457,72.003,159.577,94.20299999999999,162.15200000000002,77.699,162.252,239.025,181.42700000000002,201.56599999999997,181.52900000000002,112.92,182.65200000000002,67.641,182.87599999999998,240.752,170.791,79.76,171.68200000000002,52.405,172.084,99.118,171.905,246.71200000000002,173.81599999999997,123.166,174.06599999999997,66.468,175.28400000000002,253.981,177.02,124.788,95.70200000000001,195.96400000000003,100.323,,,,,,,,
25.5,102.0,,200.067,113.603,139.266,116.223,83.24799999999999,116.85799999999999,76.65100000000001,119.165,89.632,119.682,240.926,121.16799999999999,213.05900000000003,119.635,132.23,123.46600000000001,78.24,106.354,90.805,111.611,133.819,136.708,192.065,137.767,58.705,138.37,208.172,140.891,231.143,125.366,84.59299999999999,128.143,125.28200000000001,128.73,69.148,129.239,107.041,130.655,211.173,130.365,227.011,134.093,101.008,134.22799999999998,108.59299999999999,149.592,73.586,151.165,222.80599999999998,151.392,215.15900000000002,152.357,59.32,153.833,116.675,155.431,95.182,155.446,240.38099999999997,141.89700000000002,221.697,141.535,95.61399999999999,144.18,77.855,144.053,269.24,144.726,185.488,144.815,242.674,146.879,232.52900000000002,149.422,120.206,147.881,221.52599999999998,164.37900000000002,62.771,165.02599999999998,88.46,167.225,194.42700000000002,166.236,251.921,166.655,132.52100000000002,167.615,138.815,170.044,49.192,157.524,207.239,156.838,140.033,157.656,246.308,159.444,71.99,159.56,94.196,162.17600000000002,77.70100000000001,162.259,239.023,181.38299999999998,201.46099999999998,181.64,112.87899999999999,182.615,67.685,182.894,240.755,170.81599999999997,79.736,171.66099999999997,52.467,171.929,99.13,171.945,246.69099999999997,173.795,123.171,174.093,66.48100000000001,175.27900000000002,253.995,176.99099999999999,124.772,95.681,195.957,100.323,,,,,,,,
