TimesH,Frame,NoMissing,0,0,2,2,3,3,4,4,8,8,12,12,14,14,19,19,24,24,25,25,27,27,29,29,31,31,33,33,34,34,35,35,36,36,38,38,39,39,40,40,41,41,43,43,44,44,45,45,49,49,52,52,55,55,57,57,60,60,61,61,66,66,69,69,70,70,72,72,76,76,78,78,79,79,83,83,84,84,86,86,90,90,92,92,95,95,96,96,97,97,99,99,101,101,104,104,105,105,106,106,109,109,113,113,115,115,117,117,124,124,131,131,133,133,136,136,137,137,139,139,141,141,143,143,146,146,150,150,151,151,153,153,158,158,160,160,162,162,165,165,172,172,174,174,180,180,183,183,184,184,185,185,193,193,196,196,197,197,198,198,200,200,212,212,218,218,227,227,288,288,289,289,291,291,355,355,383,383,386,386,392,392,394,394,395,395,397,397,408,408,411,411,416,416,419,419,423,423,424,424,425,425,433,433,434,434,436,436,437,437,442,442,443,443,447,447,449,449,454,454,456,456,458,458,462,462,464,464,465,465,467,467,472,472,474,474,477,477,478,478,479,479,481,481,483,483,487,487,489,489,490,490,495,495,496,496,499,499,503,503,504,504,506,506,508,508,509,509,514,514,519,519,521,521,522,522,525,525,528,528,531,531,532,532,534,534,538,538,544,544,545,545,546,546,547,547,548,548,556,556,589,589,598,598,613,613,614,614,722,722,742,742,759,759,799,799,807,807,819,819,958,958,978,978
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
23.75,95.0,,205.963,108.58,71.601,110.37100000000001,96.56,109.42399999999999,150.49,109.588,122.266,111.87,132.715,112.652,52.76,114.037,66.513,115.494,140.338,117.37700000000001,217.23,117.18299999999999,209.399,117.751,82.146,118.79899999999999,123.988,118.535,243.361,119.285,253.562,119.476,271.579,118.615,165.503,119.573,189.257,120.55799999999999,262.42900000000003,120.82799999999999,32.26,122.307,40.753,122.493,94.461,122.54,117.262,123.40899999999999,132.586,123.059,67.612,125.354,200.085,124.936,216.72,125.574,249.923,127.17,180.32,127.92,43.136,129.33100000000002,29.438000000000002,130.41,126.829,130.415,147.55100000000002,129.562,50.751999999999995,132.454,37.832,132.518,202.18599999999998,132.879,231.357,132.959,262.064,134.371,72.794,134.988,131.474,135.222,145.455,137.425,188.62,137.244,56.599,137.639,81.029,137.934,233.24,137.917,88.506,138.702,32.573,139.672,244.623,141.062,64.305,142.003,215.231,142.173,176.812,142.934,39.033,143.781,142.614,143.57299999999998,233.9,144.121,129.689,147.063,242.35,148.09799999999998,74.176,148.82399999999998,19.0,150.21200000000002,114.51899999999999,150.315,193.81,149.961,265.252,150.293,96.47200000000001,151.122,282.415,150.899,80.48,152.433,34.3,153.605,223.106,155.024,263.499,155.745,65.501,157.63299999999998,272.156,158.099,87.786,158.99,101.569,161.127,212.62599999999998,161.178,115.465,164.06400000000002,63.676,165.354,96.656,166.078,181.627,165.886,104.475,167.745,266.301,169.332,82.0,170.0,139.015,169.674,112.037,171.273,219.16299999999998,177.372,74.362,179.037,228.132,182.188,202.484,15.513,210.602,15.75,106.344,17.163,115.809,36.634,107.73100000000001,48.065,212.687,48.989,119.598,50.751000000000005,225.275,50.994,246.398,50.855,236.372,52.027,185.02599999999998,57.887,51.34,58.769,93.18799999999999,61.676,107.714,63.431000000000004,100.34100000000001,64.389,205.898,64.267,118.198,64.87899999999999,123.214,70.014,101.712,70.547,228.02,70.64399999999999,248.672,71.354,116.73100000000001,72.08,138.47899999999998,71.99,208.67700000000002,72.502,79.714,75.458,66.17,76.005,108.404,76.469,127.16,78.21600000000001,135.056,78.862,211.76,79.39399999999999,144.084,79.517,203.351,79.843,75.42699999999999,82.759,251.38299999999998,82.931,241.90599999999998,84.726,124.734,86.35700000000001,146.839,86.439,197.13,86.63799999999999,214.545,88.26,178.24,89.119,112.09100000000001,89.774,246.535,90.49799999999999,171.74200000000002,92.62299999999999,283.916,92.631,102.60600000000001,94.65700000000001,142.496,94.68700000000001,202.025,94.712,64.67,95.62799999999999,238.451,95.97200000000001,43.592,97.37700000000001,252.868,97.70200000000001,183.312,99.85799999999999,208.042,100.73,259.892,101.18,94.42399999999999,102.396,217.274,102.229,52.288999999999994,104.238,124.303,104.258,64.598,104.931,232.324,105.382,223.58,106.552,110.475,107.654,118.516,107.60600000000001,178.543,107.835,253.672,107.706,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,96.0,,205.99099999999999,108.59,71.618,110.359,96.609,109.54299999999999,150.47899999999998,109.583,122.24799999999999,111.87,132.727,112.62700000000001,52.758,114.03299999999999,66.507,115.51100000000001,140.351,117.38600000000001,217.197,117.195,209.386,117.758,82.12200000000001,118.815,123.991,118.58200000000001,243.37400000000002,119.292,253.554,119.48700000000001,271.58,118.586,165.524,119.666,189.27900000000002,120.57600000000001,262.42900000000003,120.82,32.27,122.307,40.73,122.51899999999999,94.419,122.525,117.249,123.425,132.615,123.03299999999999,67.605,125.354,200.076,124.921,216.75400000000002,125.575,249.923,127.165,180.33,127.936,43.137,129.334,29.445,130.385,126.80799999999999,130.371,147.53799999999998,129.56,50.742,132.452,37.846,132.496,202.168,132.872,231.33,132.944,262.356,134.29399999999998,72.78399999999999,134.984,131.497,135.241,145.474,137.439,188.59,137.27,56.59,137.636,81.03399999999999,137.929,233.24900000000002,137.894,88.52600000000001,138.71200000000002,32.591,139.659,244.614,141.055,64.328,141.986,215.22799999999998,142.179,176.81799999999998,142.908,39.023,143.798,142.572,143.452,233.868,144.089,129.607,147.13299999999998,242.345,148.105,74.167,148.834,18.916,150.09,114.52,150.327,193.813,149.94799999999998,265.249,150.317,96.499,151.093,282.418,150.93200000000002,80.42399999999999,152.392,34.292,153.601,223.033,154.83100000000002,263.5,155.756,65.516,157.601,272.151,158.078,87.796,158.984,101.557,161.099,212.62900000000002,161.162,115.44,164.063,63.68600000000001,165.331,96.665,166.058,181.62400000000002,165.892,104.47,167.743,266.251,169.321,82.0,170.0,139.04399999999998,169.58700000000002,111.978,171.234,219.157,177.34599999999998,74.339,178.984,228.145,182.011,202.503,15.527999999999999,210.637,15.762,106.36399999999999,17.191,115.805,36.623000000000005,107.72399999999999,48.051,212.738,48.997,119.524,50.786,225.27700000000002,50.982,246.4,50.856,236.282,52.007,185.025,57.893,51.321999999999996,58.782,93.19200000000001,61.718,107.719,63.435,100.32600000000001,64.384,205.891,64.279,118.208,64.87899999999999,123.204,70.006,101.74,70.485,228.025,70.62,248.61,71.464,116.729,72.078,138.475,71.98899999999999,208.67,72.494,79.715,75.47,66.18,76.003,108.39399999999999,76.447,127.17,78.381,135.065,78.873,211.767,79.393,144.083,79.52,203.33,79.789,75.42699999999999,82.771,251.378,82.90299999999999,241.888,84.73700000000001,124.714,86.355,146.834,86.434,197.165,86.61200000000001,214.55200000000002,88.257,178.298,89.104,112.11200000000001,89.766,246.535,90.49,171.71599999999998,92.617,283.91900000000004,92.654,102.59100000000001,94.65799999999999,142.50799999999998,94.65100000000001,202.014,94.698,64.676,95.63,238.451,95.96,43.597,97.37299999999999,252.86700000000002,97.698,183.301,99.84,208.02900000000002,100.712,259.88599999999997,101.15799999999999,94.44200000000001,102.365,217.261,102.177,52.276,104.22,124.279,104.212,64.609,104.91799999999999,232.30200000000002,105.374,223.572,106.55799999999999,111.0,108.0,118.516,107.6,178.542,107.836,253.662,107.699,228.422,114.398,,,,,,,,,,,,,,,,,,,,,,,,
24.25,97.0,,205.985,108.57,71.586,110.352,96.647,109.62299999999999,150.518,109.589,122.226,111.829,132.761,112.60600000000001,52.751000000000005,114.046,66.5,115.50299999999999,140.33100000000002,117.35700000000001,217.15599999999998,117.2,209.361,117.774,82.132,118.82600000000001,123.965,118.59700000000001,243.373,119.29700000000001,253.53799999999998,119.484,271.59,118.57799999999999,165.547,119.54,189.291,120.51,262.43,120.834,32.271,122.304,40.72,122.48200000000001,94.427,122.53299999999999,117.155,123.413,132.57,123.044,67.624,125.351,200.078,124.912,216.774,125.588,249.92700000000002,127.166,180.32299999999998,127.936,43.13399999999999,129.329,29.499000000000002,130.389,126.8,130.357,147.512,129.57399999999998,50.731,132.44299999999998,37.852,132.511,202.169,132.862,231.31799999999998,132.916,262.487,134.27100000000002,72.766,134.983,131.442,135.217,145.441,137.417,188.602,137.27,56.593,137.649,81.044,137.922,233.25099999999998,137.915,88.51899999999999,138.692,32.593,139.67700000000002,244.61900000000003,141.03,64.357,141.958,215.21599999999998,142.156,176.85,142.9,38.994,143.806,142.47799999999998,143.189,233.831,144.058,129.532,147.179,242.347,148.086,74.172,148.844,18.921,150.155,114.51700000000001,150.32,193.817,149.952,265.277,150.322,96.539,151.204,282.404,150.914,80.384,152.441,34.304,153.594,223.011,154.819,263.509,155.74200000000002,65.321,157.46200000000002,272.134,158.062,87.814,158.972,101.54799999999999,161.096,212.642,161.155,115.46600000000001,164.062,63.648999999999994,165.347,96.664,166.07,181.62599999999998,165.91400000000002,104.47399999999999,167.732,266.175,169.30900000000003,82.48899999999999,169.521,139.09799999999998,169.642,111.90799999999999,171.287,219.11700000000002,177.315,74.305,178.94799999999998,228.078,181.695,202.52700000000002,15.509,210.638,15.772,106.411,17.192,115.823,36.617,107.664,48.047,212.78,49.053999999999995,119.53399999999999,50.821000000000005,225.27900000000002,50.972,246.392,50.864,236.293,52.038000000000004,185.00400000000002,57.861000000000004,51.35,58.793,93.206,61.726000000000006,107.72,63.441,100.32,64.37100000000001,205.892,64.28,118.22,64.861,123.213,70.006,101.71700000000001,70.46300000000001,228.033,70.612,248.65599999999998,71.485,116.74799999999999,72.066,138.495,71.986,208.674,72.503,79.712,75.491,66.183,76.0,108.37299999999999,76.446,127.156,78.475,135.075,78.87,211.769,79.384,144.083,79.528,203.303,79.723,75.418,82.786,251.37900000000002,82.88799999999999,241.898,84.689,124.68700000000001,86.34299999999999,146.868,86.48,197.203,86.588,214.542,88.265,178.295,89.085,112.10700000000001,89.75,246.54,90.486,171.68,92.59899999999999,283.89099999999996,92.676,102.571,94.695,142.526,94.626,202.015,94.682,64.672,95.615,238.44400000000002,95.948,43.57,97.411,252.87099999999998,97.69200000000001,183.28900000000002,99.815,208.003,100.72,259.877,101.164,94.48,102.37299999999999,217.25,102.17200000000001,52.293,104.215,124.262,104.15799999999999,64.609,104.906,232.266,105.337,223.56400000000002,106.561,110.425,107.647,118.537,107.574,178.55700000000002,107.902,253.66,107.719,228.497,114.32799999999999,,,,,,,,,,,,,,,,,,,,,,,,
24.5,98.0,,205.99099999999999,108.572,71.57600000000001,110.369,96.709,109.71700000000001,150.482,109.59,122.178,111.82600000000001,132.762,112.61200000000001,52.757,114.037,66.494,115.506,140.37,117.376,217.141,117.18700000000001,209.331,117.801,82.10799999999999,118.836,123.95200000000001,118.603,243.37,119.29899999999999,253.567,119.516,271.563,118.544,165.524,119.51799999999999,189.28,120.47200000000001,262.434,120.82600000000001,32.273,122.296,40.736999999999995,122.484,94.447,122.538,117.15100000000001,123.382,132.572,123.031,67.622,125.35799999999999,200.074,124.912,216.838,125.589,249.93,127.164,180.31900000000002,127.939,43.126999999999995,129.32299999999998,29.436,130.364,126.795,130.358,147.502,129.556,50.726000000000006,132.44,37.891999999999996,132.498,202.178,132.871,231.305,132.901,262.482,134.265,72.78,134.989,131.524,135.279,145.41299999999998,137.414,188.62,137.264,56.593,137.665,81.079,137.891,233.271,137.904,88.529,138.688,32.603,139.68,244.65099999999998,141.009,64.343,141.961,215.207,142.156,176.856,142.882,38.973,143.839,142.51,143.22799999999998,233.827,144.037,129.52100000000002,147.256,242.359,148.07,74.155,148.847,18.901,150.134,114.512,150.305,193.822,149.95,265.272,150.31799999999998,96.564,151.208,282.425,150.92,80.346,152.475,34.298,153.608,223.02200000000002,154.858,263.499,155.82399999999998,65.312,157.469,272.143,158.05200000000002,87.82700000000001,158.95600000000002,101.49700000000001,161.024,212.64,161.15,115.44200000000001,164.076,63.641000000000005,165.347,96.675,166.044,181.669,165.928,104.479,167.704,266.254,169.264,82.52600000000001,169.54,139.07399999999998,169.653,112.01,171.149,219.145,177.32,74.308,178.945,228.00900000000001,181.623,202.46400000000003,15.505,210.65,15.749,106.463,17.218,115.807,36.623000000000005,107.678,48.043,212.783,49.056999999999995,119.539,50.748999999999995,225.287,50.968999999999994,246.39700000000002,50.86600000000001,236.301,52.048,184.983,57.847,51.341,58.787,93.17299999999999,61.736000000000004,107.73,63.437,100.315,64.361,205.893,64.289,118.225,64.845,123.205,69.998,101.694,70.453,228.037,70.62100000000001,248.63400000000001,71.44,116.745,72.051,138.519,72.031,208.71599999999998,72.48899999999999,79.695,75.498,66.173,75.993,108.383,76.464,127.20700000000001,78.551,135.085,78.881,211.78,79.40100000000001,144.107,79.546,203.269,79.72800000000001,75.422,82.803,251.37900000000002,82.89299999999999,241.91099999999997,84.64399999999999,124.69,86.34700000000001,146.804,86.427,197.225,86.56200000000001,214.537,88.27799999999999,178.28400000000002,89.07,112.09299999999999,89.75299999999999,246.53799999999998,90.475,171.658,92.583,283.911,92.613,102.565,94.706,142.526,94.616,202.018,94.682,64.663,95.611,238.44299999999998,95.943,43.547,97.404,252.854,97.69200000000001,183.28,99.80799999999999,208.00900000000001,100.706,259.86,101.156,94.49799999999999,102.361,217.25,102.161,52.297,104.20299999999999,124.22,104.115,64.612,104.898,232.275,105.36399999999999,223.56400000000002,106.55,110.669,107.796,118.462,107.545,178.597,107.95,253.643,107.70200000000001,228.36599999999999,114.301,,,,,,,,,,,,,,,,,,,,,,,,
24.75,99.0,,205.989,108.58,71.572,110.368,96.70299999999999,109.70700000000001,150.519,109.588,122.145,111.866,132.791,112.584,52.75,114.037,66.5,115.494,140.406,117.41,217.09900000000002,117.17299999999999,209.32299999999998,117.8,82.116,118.824,123.941,118.605,243.359,119.29700000000001,253.558,119.493,271.58299999999997,118.546,165.489,119.499,189.234,120.48700000000001,262.432,120.822,32.265,122.302,40.732,122.48200000000001,94.40899999999999,122.53399999999999,117.133,123.335,132.584,123.022,67.625,125.352,200.077,124.917,216.90400000000002,125.57600000000001,249.93099999999998,127.166,180.304,127.95299999999999,43.114,129.329,29.445,130.362,126.8,130.372,147.50799999999998,129.547,50.718,132.442,37.915,132.559,202.168,132.86,231.301,132.888,262.486,134.246,72.773,134.996,131.475,135.218,145.424,137.418,188.639,137.305,56.596000000000004,137.678,81.087,137.895,233.24900000000002,137.91,88.506,138.666,32.613,139.679,244.653,141.011,64.342,141.975,215.19799999999998,142.129,176.827,142.907,38.959,143.82,142.594,143.45,233.847,144.039,129.441,147.562,242.36,148.061,74.155,148.846,18.891,150.102,114.538,150.296,193.831,149.946,265.251,150.31799999999998,96.53399999999999,151.226,282.41,150.924,80.34,152.434,34.285,153.6,222.967,154.715,263.51,155.82399999999998,65.334,157.45600000000002,272.14599999999996,158.043,87.805,158.957,101.443,161.048,212.649,161.134,115.417,164.053,63.588,165.347,96.67299999999999,166.06099999999998,181.68200000000002,165.83599999999998,104.473,167.69799999999998,266.256,169.22099999999998,82.764,169.56599999999997,139.054,169.704,111.99799999999999,171.13400000000001,219.07299999999998,177.283,74.288,178.979,227.673,181.482,202.498,15.485999999999999,210.643,15.767999999999999,106.445,17.261,115.80799999999999,36.635999999999996,107.645,48.035,212.824,49.071999999999996,119.589,50.791000000000004,225.28900000000002,50.965,246.40200000000002,50.86600000000001,236.467,52.131,184.979,57.803000000000004,51.333,58.806999999999995,93.204,61.753,107.726,63.441,100.306,64.359,205.912,64.28399999999999,118.24700000000001,64.808,123.213,70.003,101.696,70.422,228.058,70.62,248.64,71.387,116.744,72.05199999999999,138.489,71.967,208.736,72.48100000000001,79.693,75.505,66.181,76.005,108.367,76.464,127.175,78.652,135.069,78.87899999999999,211.78,79.405,144.084,79.55,203.27200000000002,79.742,75.437,82.79,251.387,82.902,241.91099999999997,84.625,124.685,86.35799999999999,146.783,86.525,197.255,86.553,214.518,88.29299999999999,178.24900000000002,89.057,112.102,89.758,246.541,90.475,171.593,92.561,283.91900000000004,92.699,102.568,94.698,142.546,94.598,202.02,94.678,64.66199999999999,95.60799999999999,238.44099999999997,95.944,43.535,97.43700000000001,252.84599999999998,97.697,183.293,99.804,208.00099999999998,100.7,259.85200000000003,101.15700000000001,94.508,102.47399999999999,217.232,102.11,52.293,104.20200000000001,124.194,104.109,64.598,104.884,232.25799999999998,105.383,223.55200000000002,106.545,110.641,107.77799999999999,118.523,107.596,178.59400000000002,107.977,253.62900000000002,107.68,228.34799999999998,114.279,,,,,,,,,,,,,,,,,,,,,,,,
25.0,100.0,,205.99900000000002,108.609,71.58,110.34,96.671,109.613,150.519,109.59,122.166,111.861,132.8,112.565,52.743,114.04,66.492,115.633,140.452,117.443,217.16400000000002,117.179,209.327,117.792,82.064,118.834,123.92399999999999,118.62299999999999,243.365,119.305,253.567,119.46600000000001,271.596,118.561,165.488,119.461,189.25599999999997,120.47200000000001,262.437,120.81299999999999,32.213,122.303,40.759,122.462,94.41,122.516,117.14200000000001,123.368,132.566,123.005,67.618,125.355,200.067,124.914,216.9,125.569,249.935,127.17,180.30200000000002,127.97399999999999,43.108000000000004,129.325,29.448,130.361,126.77799999999999,130.388,147.472,129.55,50.711999999999996,132.439,37.913000000000004,132.503,202.16,132.86,231.283,132.85399999999998,262.32099999999997,134.279,72.78399999999999,134.995,131.467,135.238,145.45600000000002,137.428,188.639,137.3,56.595,137.701,81.066,137.912,233.274,137.898,88.493,138.668,32.618,139.689,244.62099999999998,140.998,64.362,141.97,215.192,142.132,176.817,142.893,38.939,143.841,142.588,143.468,233.828,144.047,129.576,147.238,242.38,148.061,74.146,148.84799999999998,18.89,150.079,114.51700000000001,150.30100000000002,193.857,149.94,265.221,150.32299999999998,96.63799999999999,151.25799999999998,282.403,150.918,80.325,152.457,34.295,153.583,222.96099999999998,154.717,263.504,155.803,65.304,157.428,272.122,158.031,87.82700000000001,158.97299999999998,101.425,161.024,212.657,161.129,115.417,164.045,63.651,165.338,96.666,166.06900000000002,181.608,165.889,104.473,167.696,266.236,169.218,82.876,169.537,139.066,169.705,112.027,171.14700000000002,219.02900000000002,177.196,74.30199999999999,179.00400000000002,227.78099999999998,181.453,202.49900000000002,15.489,210.71400000000003,15.773,106.478,17.191,115.79799999999999,36.618,107.602,48.062,212.821,49.034,119.56200000000001,50.763999999999996,225.299,50.952,246.39,50.861000000000004,236.361,52.071000000000005,184.96599999999998,57.783,51.343999999999994,58.803999999999995,93.227,61.763999999999996,107.72399999999999,63.442,100.291,64.345,205.93099999999998,64.279,118.209,64.78399999999999,123.20100000000001,70.008,101.68700000000001,70.446,228.07,70.62100000000001,248.597,71.39,116.738,72.048,138.465,71.958,208.757,72.46300000000001,79.683,75.502,66.185,76.009,108.366,76.461,127.162,78.624,135.064,78.86399999999999,211.78400000000002,79.407,144.091,79.568,203.27599999999998,79.72399999999999,75.39,82.8,251.38,82.90100000000001,241.898,84.64399999999999,124.66799999999999,86.353,146.863,86.45100000000001,197.263,86.545,214.46,88.279,178.25099999999998,89.06700000000001,112.11399999999999,89.751,246.554,90.48700000000001,171.606,92.569,283.927,92.77,102.552,94.70100000000001,142.559,94.584,202.02200000000002,94.66799999999999,64.666,95.596,238.447,95.93799999999999,43.521,97.448,252.84099999999998,97.70100000000001,183.282,99.791,208.00400000000002,100.675,259.847,101.145,94.53399999999999,102.471,217.22400000000002,102.09700000000001,52.285,104.196,124.249,104.103,64.585,104.867,232.27,105.34700000000001,223.544,106.54700000000001,110.712,107.861,118.53399999999999,107.57600000000001,178.601,107.97,253.64700000000002,107.691,228.30200000000002,114.272,194.28599999999997,58.588,,,,,,,,,,,,,,,,,,,,,,
25.25,101.0,,206.016,108.63600000000001,71.562,110.331,96.661,109.6,150.495,109.59700000000001,122.16,111.78200000000001,132.815,112.57,52.742,114.037,66.488,115.639,140.431,117.411,217.18200000000002,117.14299999999999,209.322,117.79700000000001,82.088,118.84,123.943,118.64399999999999,243.345,119.3,253.546,119.448,271.619,118.58,165.44400000000002,119.454,189.28799999999998,120.493,262.441,120.81200000000001,32.22,122.32600000000001,40.739000000000004,122.49,94.376,122.53399999999999,117.111,123.39,132.543,123.006,67.618,125.36399999999999,200.071,124.916,216.885,125.53,249.94,127.165,180.29,128.01,43.099,129.32399999999998,29.49,130.369,126.775,130.368,147.505,129.502,50.698,132.44,37.931999999999995,132.539,202.172,132.84799999999998,231.28400000000002,132.841,262.257,134.29399999999998,72.79,134.988,131.5,135.255,145.468,137.41899999999998,188.646,137.299,56.589,137.71,81.04899999999999,137.923,233.27700000000002,137.90200000000002,88.479,138.653,32.619,139.685,244.614,140.981,64.346,142.0,215.166,142.09,176.84599999999998,142.88299999999998,38.934,143.872,142.625,143.512,233.821,144.039,129.576,147.197,242.377,148.058,74.154,148.83700000000002,18.91,150.089,114.51299999999999,150.3,193.84799999999998,149.935,265.211,150.326,96.69,151.284,282.39599999999996,150.911,80.369,152.42,34.29,153.577,222.97400000000002,154.738,263.496,155.761,65.297,157.466,272.122,158.00799999999998,87.829,159.01,101.441,160.977,212.675,161.122,115.414,164.03799999999998,63.663000000000004,165.31599999999997,96.661,166.076,181.608,165.863,104.48,167.675,266.216,169.202,82.973,169.605,138.974,169.644,112.02600000000001,171.146,219.044,177.146,74.28699999999999,179.023,227.679,181.387,202.547,15.505999999999998,210.732,15.725999999999999,106.475,17.239,115.77600000000001,36.616,107.595,48.105,212.81900000000002,49.037,119.64299999999999,50.788000000000004,225.30599999999998,50.948,246.389,50.86600000000001,236.31599999999997,52.04,184.965,57.747,51.318000000000005,58.797,93.131,61.726000000000006,107.71700000000001,63.428999999999995,100.281,64.348,205.94799999999998,64.28,118.154,64.745,123.213,70.018,101.71700000000001,70.436,228.062,70.628,248.613,71.375,116.735,72.039,138.428,71.92699999999999,208.77200000000002,72.431,79.686,75.494,66.191,76.008,108.35600000000001,76.46300000000001,127.161,78.545,135.066,78.893,211.78799999999998,79.408,144.1,79.579,203.28900000000002,79.794,75.33800000000001,82.833,251.391,82.905,241.898,84.62200000000001,124.664,86.34700000000001,146.82299999999998,86.59700000000001,197.278,86.525,214.502,88.26700000000001,178.235,89.105,112.11399999999999,89.764,246.528,90.48100000000001,171.639,92.579,283.909,92.883,102.564,94.65,142.451,94.585,202.025,94.665,64.62899999999999,95.56,238.44099999999997,95.94,43.513999999999996,97.447,252.83700000000002,97.695,183.26,99.779,207.988,100.685,259.858,101.13600000000001,94.507,102.35700000000001,217.22299999999998,102.086,52.266999999999996,104.193,124.22200000000001,104.089,64.582,104.859,232.28799999999998,105.38600000000001,223.53599999999997,106.55,110.68299999999999,107.829,118.454,107.53299999999999,178.62599999999998,107.958,253.62599999999998,107.66,228.543,114.363,194.294,58.608000000000004,267.145,137.487,,,,,,,,,,,,,,,,,,,,
25.5,102.0,,206.017,108.616,71.553,110.31299999999999,96.648,109.617,150.487,109.588,122.152,111.734,132.838,112.559,52.729,114.046,66.494,115.491,140.374,117.368,217.178,117.162,209.322,117.82,82.07700000000001,118.81200000000001,123.97,118.70200000000001,243.352,119.314,253.52900000000002,119.45100000000001,271.617,118.57799999999999,165.52599999999998,119.42299999999999,189.293,120.46799999999999,262.44599999999997,120.811,32.239000000000004,122.331,40.709,122.50200000000001,94.38799999999999,122.525,117.1,123.399,132.558,122.99799999999999,67.62,125.361,200.071,124.90700000000001,216.949,125.554,249.94299999999998,127.165,180.283,127.999,43.091,129.328,29.513,130.372,126.764,130.361,147.47799999999998,129.504,50.691,132.44,37.961,132.59799999999998,202.16099999999997,132.84,231.27700000000002,132.834,261.836,134.381,72.798,134.98,131.554,135.31799999999998,145.477,137.407,188.655,137.291,56.586999999999996,137.709,81.048,137.923,233.28400000000002,137.912,88.488,138.635,32.622,139.683,244.597,140.975,64.362,141.985,215.183,142.112,176.81900000000002,142.88,38.925,143.86,142.638,143.409,233.83700000000002,144.04399999999998,129.429,147.513,242.36700000000002,148.06,74.142,148.873,18.948,150.032,114.522,150.303,193.855,149.925,265.21299999999997,150.319,96.69,151.289,282.375,150.882,80.354,152.368,34.257,153.586,222.968,154.69299999999998,263.508,155.796,65.244,157.474,272.11,157.981,87.79,159.02100000000002,101.413,160.953,212.695,161.11,115.42,163.99400000000003,63.633,165.34799999999998,96.66799999999999,166.05599999999998,181.674,165.764,104.47399999999999,167.678,266.224,169.168,82.95100000000001,169.59400000000002,139.031,169.646,112.00399999999999,171.09900000000002,219.03799999999998,177.13099999999997,74.288,178.985,227.576,181.472,202.575,15.540999999999999,210.79,15.708,106.46700000000001,17.262999999999998,115.796,36.635999999999996,107.54899999999999,48.121,212.825,49.037,119.699,50.83,225.30700000000002,50.937,246.385,50.865,236.137,51.916000000000004,184.957,57.73,51.324,58.793,93.088,61.72,107.72200000000001,63.43600000000001,100.29299999999999,64.35,205.955,64.273,118.15899999999999,64.738,123.214,70.018,101.715,70.482,228.079,70.639,248.674,71.289,116.734,72.03,138.404,71.911,208.753,72.408,79.704,75.52600000000001,66.178,76.009,108.34700000000001,76.472,127.166,78.59,135.058,78.911,211.78900000000002,79.411,144.096,79.587,203.3,79.744,75.317,82.83200000000001,251.393,82.90299999999999,241.91400000000002,84.566,124.64399999999999,86.345,146.82,86.53200000000001,197.283,86.52,214.523,88.23700000000001,178.21200000000002,89.11,112.1,89.757,246.482,90.45700000000001,171.611,92.56200000000001,283.962,92.79,102.55799999999999,94.631,142.52700000000002,94.561,202.02599999999998,94.655,64.616,95.54299999999999,238.44799999999998,95.928,43.568000000000005,97.435,252.832,97.698,183.273,99.78200000000001,207.989,100.677,259.817,101.14200000000001,94.477,102.60799999999999,217.225,102.103,52.292,104.2,124.23200000000001,104.096,64.57600000000001,104.852,232.273,105.385,223.528,106.544,109.835,107.559,118.54,107.557,178.618,107.99600000000001,253.623,107.639,228.388,114.27,194.275,58.611000000000004,267.181,137.532,,,,,,,,,,,,,,,,,,,,
