TimesH,Frame,NoMissing,147,147,184,184,194,194,212,212,214,214,229,229,233,233,252,252,257,257,288,288,337,337,348,348,654,654,668,668,694,694,830,830,1096,1096,1155,1155,1285,1285,2413,2413
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
191.5,766.0,,99.758,128.34799999999998,73.215,114.12,147.166,149.503,237.49900000000002,155.398,47.18899999999999,156.155,56.563,136.815,98.678,139.69799999999998,54.083,176.09799999999998,233.74,176.882,72.086,165.368,254.128,187.705,227.06599999999997,191.142,,,,,,,,,,,,,,,,
191.75,767.0,,99.80799999999999,128.312,73.182,114.125,147.144,149.678,237.423,155.385,47.161,156.158,56.548,136.717,98.64,139.769,54.085,176.09400000000002,233.74,176.93400000000003,72.119,165.355,254.127,187.75,227.03900000000002,191.14700000000002,,,,,,,,,,,,,,,,
192.0,768.0,,99.816,128.24200000000002,73.157,114.198,147.158,149.621,237.40200000000002,155.445,47.169,156.173,56.516999999999996,136.703,98.691,139.81799999999998,54.088,176.08700000000002,233.81900000000002,176.92,72.141,165.326,254.175,187.73,227.024,191.11900000000003,,,,,,,,,,,,,,,,
192.25,769.0,,99.83200000000001,128.314,73.24,114.171,147.226,149.64700000000002,237.308,155.496,47.166000000000004,156.132,56.53,136.784,98.704,139.819,54.085,176.088,233.696,176.96,72.191,165.345,254.13099999999997,187.737,226.93,191.081,,,,,,,,,,,,,,,,
192.5,770.0,,99.83200000000001,128.3,73.202,114.198,147.283,149.713,237.34799999999998,155.506,47.172,156.109,56.563,136.79399999999998,98.68700000000001,139.809,54.085,176.08,233.709,177.00400000000002,72.142,165.377,254.15,187.766,226.86,191.109,,,,,,,,,,,,,,,,
192.75,771.0,,99.822,128.375,73.23,114.195,147.357,149.72,237.27700000000002,155.259,47.188,156.15,56.555,136.73,98.726,139.861,54.066,176.05700000000002,233.658,177.054,72.148,165.362,254.299,187.72400000000002,226.83900000000003,191.109,,,,,,,,,,,,,,,,
193.0,772.0,,99.859,128.536,73.281,114.236,147.39,149.781,237.321,155.095,47.211000000000006,156.194,56.591,136.81799999999998,98.82,139.85299999999998,54.078,176.05,233.766,177.00599999999997,72.138,165.40900000000002,254.31599999999997,187.68,226.919,191.13400000000001,,,,,,,,,,,,,,,,
193.25,773.0,,99.868,128.579,73.34899999999999,114.307,147.444,149.71,237.263,155.138,47.235,156.221,56.593999999999994,136.895,98.866,139.895,54.096000000000004,176.02900000000002,233.65,177.058,72.048,165.51,254.328,187.655,226.987,191.123,,,,,,,,,,,,,,,,
193.5,774.0,,99.89399999999999,128.545,73.348,114.36399999999999,147.531,149.77700000000002,237.171,155.336,47.163000000000004,156.167,56.596000000000004,136.982,98.961,139.976,54.117,176.024,233.66299999999998,177.06,72.068,165.50799999999998,254.31,187.667,227.03400000000002,191.041,,,,,,,,,,,,,,,,
193.75,775.0,,99.87700000000001,128.578,73.428,114.344,147.556,149.884,237.213,155.179,47.132,156.183,56.603,136.995,98.95200000000001,139.995,54.141999999999996,176.011,233.707,177.05599999999998,72.054,165.55200000000002,254.426,187.66400000000002,227.032,191.132,,,,,,,,,,,,,,,,
194.0,776.0,,99.925,128.738,73.387,114.38799999999999,147.57299999999998,149.877,237.247,155.334,47.103,156.178,56.61,136.991,98.921,140.024,54.132,176.00599999999997,233.61700000000002,177.13400000000001,72.186,165.459,254.352,187.745,227.062,191.082,,,,,,,,,,,,,,,,
194.25,777.0,,99.978,128.94299999999998,73.446,114.346,147.595,149.934,237.28900000000002,155.284,47.147,156.224,56.632,136.957,98.93799999999999,140.018,54.132,176.014,233.638,177.199,72.194,165.479,254.248,187.745,227.015,191.13400000000001,,,,,,,,,,,,,,,,
194.5,778.0,,99.94200000000001,128.918,73.483,114.334,147.49200000000002,149.869,237.326,155.314,47.126999999999995,156.213,56.667,137.007,98.931,140.036,54.145,176.025,233.56799999999998,177.334,72.233,165.43599999999998,254.266,187.726,227.028,191.138,,,,,,,,,,,,,,,,
194.75,779.0,,99.936,129.009,73.517,114.37799999999999,147.446,149.686,237.41400000000002,155.139,47.138000000000005,156.21,56.703,136.982,98.929,140.064,54.148999999999994,176.015,233.658,177.239,72.279,165.454,254.23,187.80200000000002,227.082,191.136,,,,,,,,,,,,,,,,
195.0,780.0,,99.956,128.96200000000002,73.58,114.413,147.382,149.722,237.354,155.365,47.104,156.181,56.661,137.045,98.97,140.11,54.173,176.02200000000002,233.275,177.553,72.255,165.51,254.34900000000002,187.774,227.105,191.083,,,,,,,,,,,,,,,,
195.25,781.0,,99.961,129.128,73.51100000000001,114.445,147.414,149.766,237.233,155.518,47.028,156.186,56.685,137.111,99.06,140.135,54.172,176.015,233.16,177.595,72.227,165.63,254.424,187.737,227.141,191.05,,,,,,,,,,,,,,,,
195.5,782.0,,100.027,129.236,73.52,114.50299999999999,147.384,149.64,237.243,155.556,47.056999999999995,156.202,56.713,137.121,99.074,140.174,54.18899999999999,176.012,233.208,177.578,72.252,165.71099999999998,254.365,187.734,227.142,191.067,,,,,,,,,,,,,,,,
195.75,783.0,,100.01100000000001,129.30100000000002,73.58,114.49600000000001,147.35399999999998,149.534,237.112,155.836,47.011,156.25799999999998,56.74,137.07,99.07700000000001,140.183,54.18899999999999,176.013,233.155,177.707,72.19800000000001,165.76,254.423,187.7,227.10299999999998,190.93400000000003,,,,,,,,,,,,,,,,
196.0,784.0,,100.04700000000001,129.291,73.57300000000001,114.515,147.399,149.578,237.076,155.903,47.027,156.218,56.717,137.115,99.113,140.20600000000002,54.18600000000001,176.00599999999997,233.18099999999998,177.74200000000002,72.257,165.69400000000002,254.451,187.7,227.195,190.924,,,,,,,,,,,,,,,,
196.25,785.0,,100.07,129.317,73.577,114.449,147.562,149.686,237.0,155.96,46.986000000000004,156.308,56.715,137.112,99.163,140.22899999999998,54.211000000000006,176.005,233.13,177.755,72.249,165.755,254.49200000000002,187.675,227.24900000000002,190.92,,,,,,,,,,,,,,,,
196.5,786.0,,99.992,129.243,73.539,114.51799999999999,147.537,149.769,237.007,156.148,46.93899999999999,156.299,56.69,137.111,99.185,140.295,54.211999999999996,175.993,233.15099999999998,177.82299999999998,72.263,165.78900000000002,254.512,187.638,227.278,190.87400000000002,,,,,,,,,,,,,,,,
196.75,787.0,,99.971,129.408,73.695,114.46,147.577,149.743,236.96,156.162,46.979,156.205,56.733999999999995,137.14,99.24,140.344,54.214,175.975,233.202,177.85299999999998,72.304,165.769,254.521,187.62,227.305,190.793,,,,,,,,,,,,,,,,
197.0,788.0,,99.963,129.378,73.753,114.49,147.539,149.704,236.861,156.16899999999998,46.94,156.259,56.757,137.09799999999998,99.26899999999999,140.36700000000002,54.208999999999996,175.97299999999998,233.215,177.90400000000002,72.285,165.825,254.528,187.63400000000001,227.231,190.81099999999998,,,,,,,,,,,,,,,,
197.25,789.0,,99.91799999999999,129.384,73.747,114.50399999999999,147.5,149.613,236.852,156.213,46.845,156.204,56.74100000000001,137.122,99.277,140.389,54.24100000000001,175.97,233.248,177.912,72.36399999999999,165.845,254.563,187.64,227.243,190.797,,,,,,,,,,,,,,,,
197.5,790.0,,99.906,129.505,73.693,114.525,147.559,149.748,236.75799999999998,156.483,46.851000000000006,156.17,56.7,137.08700000000002,99.323,140.422,54.244,175.956,233.185,177.96599999999998,72.363,165.878,254.5,187.641,227.18,190.79,,,,,,,,,,,,,,,,
197.75,791.0,,99.962,129.487,73.65100000000001,114.494,147.562,149.414,236.80900000000003,156.38299999999998,46.823,156.175,56.699,137.144,99.366,140.446,54.248000000000005,175.94400000000002,233.21599999999998,177.972,72.263,165.99099999999999,254.5,187.65599999999998,227.2,190.825,,,,,,,,,,,,,,,,
198.0,792.0,,100.02,129.528,73.661,114.52799999999999,147.602,149.54399999999998,236.83700000000002,156.553,46.881,156.281,56.666000000000004,137.221,99.404,140.444,54.254,175.93900000000002,233.168,177.96099999999998,72.252,166.042,254.481,187.755,227.18599999999998,190.787,,,,,,,,,,,,,,,,
198.25,793.0,,99.96,129.66299999999998,73.653,114.463,147.517,149.634,236.872,156.555,46.867,156.30200000000002,56.748999999999995,137.26,99.398,140.481,54.261,175.935,233.18900000000002,177.942,72.32600000000001,166.037,254.467,187.747,227.238,190.87,95.544,164.46400000000003,,,,,,,,,,,,,,
198.5,794.0,,99.985,129.621,73.71,114.458,147.541,149.736,236.829,156.549,46.831,156.30200000000002,56.803000000000004,137.12,99.42,140.464,54.266000000000005,175.916,233.248,177.90400000000002,72.334,166.101,254.412,187.769,227.31599999999997,190.891,95.507,164.53799999999998,,,,,,,,,,,,,,
198.75,795.0,,100.021,129.756,73.69800000000001,114.47,147.556,149.73,236.733,156.429,46.945,156.281,56.793,136.94299999999998,99.454,140.485,54.262,175.90400000000002,233.239,177.86900000000003,72.243,166.233,254.422,187.76,227.25599999999997,190.90900000000002,95.57700000000001,164.477,115.958,177.468,,,,,,,,,,,,
199.0,796.0,,99.999,129.838,73.733,114.425,147.69799999999998,149.865,236.856,156.493,46.896,156.196,56.86600000000001,136.994,99.47200000000001,140.495,54.25899999999999,175.896,233.30599999999998,177.905,72.182,166.37,254.362,187.78900000000002,227.34099999999998,190.97099999999998,95.584,164.455,115.945,178.24,,,,,,,,,,,,
199.25,797.0,,100.027,129.806,73.657,114.43799999999999,147.813,149.974,236.709,156.387,46.809,156.185,56.913000000000004,137.049,99.445,140.553,54.246,175.885,233.31099999999998,177.91099999999997,72.098,166.445,254.416,187.817,227.362,190.997,95.584,164.42,116.01799999999999,177.438,,,,,,,,,,,,
199.5,798.0,,100.042,129.947,73.694,114.41799999999999,147.767,149.963,236.771,156.421,46.838,156.195,56.926,137.043,99.434,140.637,54.262,175.87,233.356,177.933,72.02,166.46200000000002,254.388,187.81400000000002,227.326,190.87400000000002,95.647,164.40400000000002,116.06200000000001,177.61,237.058,142.291,,,,,,,,,,
199.75,799.0,,100.00200000000001,130.04399999999998,73.691,114.39,147.739,150.035,236.838,156.069,46.858000000000004,156.202,56.897,137.005,99.40299999999999,140.697,54.266999999999996,175.854,233.415,177.861,72.041,166.43,254.335,187.80200000000002,227.33599999999998,190.96599999999998,95.734,164.35299999999998,116.1,177.21599999999998,237.05200000000002,142.241,,,,,,,,,,
200.0,800.0,,100.008,130.19,73.73100000000001,114.289,147.611,149.903,236.922,156.00799999999998,46.858000000000004,156.202,56.976000000000006,137.011,99.40899999999999,140.755,54.268,175.835,233.451,177.85,72.063,166.46900000000002,254.382,187.762,227.315,190.88299999999998,95.804,164.31799999999998,116.12,176.983,237.05599999999998,142.217,,,,,,,,,,
200.25,801.0,,100.02799999999999,130.181,73.712,114.336,147.636,149.91899999999998,236.732,156.201,46.915,156.17600000000002,56.998000000000005,137.012,99.45299999999999,140.724,54.26,175.83,233.44099999999997,177.893,72.19,166.38400000000001,254.34400000000002,187.762,227.33700000000002,190.85299999999998,95.807,164.322,116.12700000000001,176.726,237.27,142.24,,,,,,,,,,
200.5,802.0,,100.11399999999999,130.127,73.703,114.37299999999999,147.71,149.887,236.72,156.454,46.913999999999994,156.195,57.004,136.983,99.495,140.757,54.273,175.835,233.476,177.862,71.977,166.703,254.312,187.804,227.416,191.005,95.765,164.347,116.162,176.736,236.937,142.392,,,,,,,,,,
200.75,803.0,,100.01700000000001,130.3,73.756,114.41,147.724,149.82399999999998,236.546,156.442,46.821000000000005,156.123,56.968,136.891,99.51700000000001,140.756,54.253,175.84099999999998,233.512,177.796,71.883,166.854,254.36900000000003,187.80599999999998,227.453,191.058,95.775,164.265,116.135,176.66299999999998,237.024,142.325,,,,,,,,,,
201.0,804.0,,100.036,130.329,73.803,114.41,147.569,149.656,236.479,156.475,46.893,156.226,56.977,136.846,99.545,140.792,54.248999999999995,175.83,233.484,177.891,71.822,166.94799999999998,254.298,187.805,227.484,191.231,95.837,164.24200000000002,116.145,176.618,236.988,142.391,,,,,,,,,,
