TimesH,Frame,NoMissing,52,52,119,119,123,123,130,130,136,136,140,140,146,146,150,150,160,160,161,161,163,163,170,170,173,173,174,174,175,175,179,179,187,187,191,191,195,195,197,197,207,207,209,209,220,220,225,225,226,226,229,229,235,235,238,238,244,244,251,251,262,262,291,291,294,294,312,312,316,316,323,323,334,334,336,336,339,339,411,411,464,464,499,499,606,606,640,640,747,747,844,844,1172,1172,1360,1360
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
376.75,1507.0,,210.489,76.844,198.15099999999998,129.856,123.02,132.476,254.593,140.43200000000002,107.912,142.358,231.243,143.942,175.982,149.546,89.366,151.78,231.21200000000002,157.14700000000002,220.192,156.53,75.327,156.35299999999998,213.201,158.046,98.42200000000001,161.26,186.95,159.613,240.67,158.68200000000002,115.65100000000001,160.628,165.52700000000002,96.931,117.43,99.056,219.535,100.47,175.012,99.54899999999999,196.945,109.035,217.238,113.226,180.843,115.654,96.29899999999999,120.87899999999999,141.069,125.514,174.426,123.906,252.704,127.755,88.389,187.524,178.33900000000003,189.53599999999997,102.819,195.09799999999998,233.74599999999998,200.014,144.41299999999998,165.773,203.91099999999997,166.574,242.483,172.787,197.394,174.014,110.73100000000001,176.769,98.213,182.815,,,146.472,183.33900000000003,,,,,,,,,,,,,,,,,,
377.0,1508.0,,210.43599999999998,76.861,197.87,129.835,123.1,132.424,254.53099999999998,140.41899999999998,107.87200000000001,142.35299999999998,231.239,143.955,176.02700000000002,149.423,89.366,151.789,231.203,157.162,220.17,156.54399999999998,75.321,156.357,213.155,157.971,98.49799999999999,161.306,186.90400000000002,159.65200000000002,240.645,158.685,115.60700000000001,160.634,165.51,96.86200000000001,117.413,99.02600000000001,219.532,100.49600000000001,175.05200000000002,99.544,196.86599999999999,108.999,217.197,113.234,180.93599999999998,115.633,96.215,120.834,141.072,125.509,174.45,123.93799999999999,252.702,127.744,88.50200000000001,187.52900000000002,178.52900000000002,189.463,102.837,195.12599999999998,233.72799999999998,200.037,144.428,165.68400000000003,203.975,166.59,242.447,172.75400000000002,197.37,174.012,110.74799999999999,176.79,98.228,182.82299999999998,186.65,182.18599999999998,146.744,183.511,,,,,,,,,,,,,,,,,,
377.25,1509.0,,210.395,76.898,197.938,129.965,123.12100000000001,132.34799999999998,254.58599999999998,140.44899999999998,107.87799999999999,142.32399999999998,231.187,143.915,176.04,149.583,89.35799999999999,151.789,231.197,157.122,220.136,156.548,75.23,156.333,213.135,157.942,98.52600000000001,161.30100000000002,186.865,159.761,240.614,158.717,115.54299999999999,160.626,165.583,96.75,117.405,99.027,219.528,100.493,175.048,99.58,196.896,108.99799999999999,217.252,113.249,180.93900000000002,115.596,96.208,120.811,141.07299999999998,125.529,174.507,123.914,252.739,127.76100000000001,88.51899999999999,187.50099999999998,178.71900000000002,189.243,102.84200000000001,195.137,233.708,200.02200000000002,144.389,165.66099999999997,203.99400000000003,166.55,242.442,172.81099999999998,197.36599999999999,174.084,110.772,176.824,98.21600000000001,182.852,186.683,182.09599999999998,146.862,183.55599999999998,,,,,,,,,,,,,,,,,,
377.5,1510.0,,210.345,76.868,197.843,129.907,123.098,132.28,254.574,140.466,107.93799999999999,142.31,231.22099999999998,143.901,176.012,149.526,89.405,151.808,231.23,157.13,220.162,156.567,75.197,156.249,213.166,157.976,98.50200000000001,161.253,186.8,159.762,240.607,158.766,115.553,160.623,165.7,96.65,117.41799999999999,99.04700000000001,219.5,100.55799999999999,175.06799999999998,99.586,196.85,108.9,217.28599999999997,113.28200000000001,181.06599999999997,115.553,96.20299999999999,120.766,141.058,125.51299999999999,174.50400000000002,123.836,252.748,127.787,88.492,187.549,178.65099999999998,189.24400000000003,102.875,195.136,233.695,200.00799999999998,144.395,165.74,203.919,166.567,242.43900000000002,172.77900000000002,197.39700000000002,174.107,110.79299999999999,176.847,98.20100000000001,182.852,186.812,182.092,147.034,183.705,,,,,,,,,,,,,,,,,,
377.75,1511.0,,210.342,76.861,198.053,129.96,123.12799999999999,132.275,254.505,140.494,107.93799999999999,142.238,231.206,143.892,176.084,149.58,89.42299999999999,151.813,231.24400000000003,157.08700000000002,220.18400000000003,156.607,75.194,156.24200000000002,213.209,157.97899999999998,98.443,161.254,186.757,159.64,240.65200000000002,158.719,115.609,160.641,165.701,96.72399999999999,117.387,99.024,219.451,100.602,175.062,99.56,196.89,108.955,217.33700000000002,113.319,181.024,115.539,96.324,120.74700000000001,141.05100000000002,125.479,174.532,123.889,252.75099999999998,127.751,88.568,187.585,178.584,189.271,102.851,195.132,233.67,200.024,144.379,165.787,203.958,166.563,242.424,172.808,197.408,174.06599999999997,110.78399999999999,176.86,98.20700000000001,182.835,186.898,182.023,147.78,184.12099999999998,,,,,,,,,,,,,,,,,,
378.0,1512.0,,210.305,76.937,198.021,130.003,123.133,132.306,254.63,140.509,107.902,142.28,231.155,143.887,176.058,149.536,89.399,151.825,231.229,157.089,220.187,156.582,75.297,156.234,213.21200000000002,157.994,98.441,161.244,186.774,159.63,240.725,158.736,115.48,160.583,165.838,96.796,117.36200000000001,99.029,219.30900000000003,100.61,175.102,99.494,196.861,108.896,217.334,113.325,181.08599999999998,115.604,96.28,120.713,141.072,125.49799999999999,174.58700000000002,123.68,252.762,127.74,88.7,187.574,178.514,189.377,102.829,195.15,233.72799999999998,200.041,144.453,165.97,203.993,166.457,242.43900000000002,172.8,197.523,174.085,110.78299999999999,176.858,98.212,182.84900000000002,186.872,182.06900000000002,147.711,183.972,,,,,,,,,,,,,,,,,,
378.25,1513.0,,210.31799999999998,76.97800000000001,197.949,130.011,123.11200000000001,132.333,254.66099999999997,140.47299999999998,107.889,142.221,231.153,143.89,175.984,149.406,89.39399999999999,151.825,231.24599999999998,157.1,220.22299999999998,156.563,75.294,156.245,213.226,157.964,98.411,161.22,186.78599999999997,159.576,240.771,158.732,116.0,161.0,165.832,96.804,117.367,99.044,219.37400000000002,100.65799999999999,175.09099999999998,99.522,196.905,108.80799999999999,217.325,113.36,181.08599999999998,115.706,96.37799999999999,120.664,141.056,125.51899999999999,174.56799999999998,123.762,252.745,127.667,88.73899999999999,187.58599999999998,178.58,189.27,102.82,195.138,233.76,200.03099999999998,144.524,166.12900000000002,204.023,166.446,242.483,172.762,197.614,174.128,110.773,176.875,98.234,182.787,186.456,182.726,146.309,183.236,,,,,,,,,,,,,,,,,,
378.5,1514.0,,210.257,77.01,198.06599999999997,130.089,123.124,132.295,254.524,140.504,107.91,142.221,231.106,143.88,175.94799999999998,149.289,89.39399999999999,151.828,231.243,157.067,220.24,156.608,75.306,156.298,213.25400000000002,157.972,98.40700000000001,161.219,186.86900000000003,159.582,240.82,158.724,115.44,160.595,165.91299999999998,96.855,117.334,99.01799999999999,219.35299999999998,100.655,175.007,99.523,196.886,108.762,217.34799999999998,113.375,181.173,115.738,96.331,120.68299999999999,141.08,125.50200000000001,174.618,123.76899999999999,252.773,127.63799999999999,88.82,187.588,178.757,189.22,102.78,195.197,233.773,200.025,144.467,166.013,203.97299999999998,166.592,242.50599999999997,172.665,197.58599999999998,174.145,110.78299999999999,176.88099999999997,98.23,182.838,186.701,182.422,146.298,183.266,,,,,,,,,,,,,,,,,,
378.75,1515.0,,210.299,77.09899999999999,198.051,130.09,123.12799999999999,132.241,254.593,140.485,107.93299999999999,142.274,231.016,143.88299999999998,176.00099999999998,149.42600000000002,89.37899999999999,151.822,231.234,157.062,220.227,156.61700000000002,75.318,156.35,213.28799999999998,158.0,98.387,161.232,186.921,159.6,240.78400000000002,158.724,115.50200000000001,160.592,165.80700000000002,96.775,117.344,99.042,219.313,100.641,175.085,99.522,196.99,108.848,217.269,113.321,181.405,115.54299999999999,96.175,120.73700000000001,141.102,125.499,174.549,124.038,252.791,127.62,88.867,187.625,178.835,189.14,102.794,195.18400000000003,233.739,200.03,144.451,166.09799999999998,204.05900000000003,166.575,242.52200000000002,172.71599999999998,197.632,174.135,110.79,176.86900000000003,98.199,182.882,186.613,182.49900000000002,146.247,183.25799999999998,,,,,,,,,,,,,,,,,,
379.0,1516.0,,210.35,77.059,198.278,130.12,123.11200000000001,132.289,254.6,140.488,108.006,142.191,231.02700000000002,143.898,176.025,149.504,89.38600000000001,151.83100000000002,231.21099999999998,157.063,220.207,156.58700000000002,75.281,156.435,213.347,158.01,98.382,161.263,186.894,159.624,240.862,158.686,115.323,160.599,165.726,96.794,117.32600000000001,99.059,219.326,100.59100000000001,175.11,99.544,197.02200000000002,108.868,217.28599999999997,113.316,181.576,115.307,96.301,120.75200000000001,141.118,125.515,174.611,124.148,252.794,127.585,88.962,187.653,178.813,189.236,102.803,195.15599999999998,233.767,200.019,144.499,166.13299999999998,204.18400000000003,166.544,242.555,172.763,197.77599999999998,174.167,110.79,176.898,98.196,182.896,186.826,182.425,146.248,183.15,163.784,146.037,,,,,,,,,,,,,,,,
379.25,1517.0,,210.24,77.079,198.41,130.154,123.111,132.322,254.65400000000002,140.487,108.03,142.187,230.956,143.912,176.08900000000003,149.516,89.38,151.828,231.21,157.032,220.21200000000002,156.567,75.203,156.453,213.477,157.955,98.375,161.237,186.942,159.58,240.892,158.689,115.12700000000001,160.571,165.703,96.956,117.26799999999999,99.03,219.34099999999998,100.55,175.18200000000002,99.525,197.084,108.89200000000001,217.267,113.266,181.425,115.52600000000001,96.449,120.72,141.101,125.53399999999999,174.653,124.171,252.732,127.529,89.17,187.607,178.856,189.175,102.80799999999999,195.171,233.77700000000002,200.024,144.501,166.1,204.21099999999998,166.68599999999998,242.58900000000003,172.705,197.732,174.175,110.805,176.925,98.148,182.90200000000002,186.748,182.41299999999998,146.275,183.18200000000002,163.79,146.043,,,,,,,,,,,,,,,,
379.5,1518.0,,210.31099999999998,76.994,198.282,130.153,123.152,132.36700000000002,254.75099999999998,140.442,108.176,141.998,230.97799999999998,143.917,176.051,149.428,89.414,151.832,231.235,157.004,220.176,156.534,75.221,156.461,213.483,157.895,98.375,161.267,186.85299999999998,159.57299999999998,240.929,158.69299999999998,115.421,160.61700000000002,165.72,97.079,117.26799999999999,99.041,219.317,100.53299999999999,175.15900000000002,99.491,197.065,108.786,217.215,113.289,181.783,115.29,96.32700000000001,120.78,141.085,125.542,174.612,124.23100000000001,252.757,127.49799999999999,89.255,187.6,178.833,189.16400000000002,102.792,195.202,233.797,200.015,144.468,166.148,204.25900000000001,166.725,242.61,172.623,197.896,174.188,110.801,176.90200000000002,98.134,182.868,186.826,182.225,146.375,183.25599999999997,163.86,146.064,,,,,,,,,,,,,,,,
379.75,1519.0,,210.273,77.016,197.855,130.099,123.124,132.292,254.80200000000002,140.44,108.171,142.059,231.003,143.904,176.048,149.18200000000002,89.436,151.844,231.295,156.97299999999998,220.229,156.519,75.172,156.45,213.542,157.97299999999998,98.35700000000001,161.26,186.799,159.66899999999998,241.00400000000002,158.664,115.46700000000001,160.651,165.63,97.031,117.257,99.007,219.347,100.55799999999999,175.162,99.446,197.153,108.897,217.207,113.23899999999999,181.468,115.655,96.33,120.759,141.056,125.62299999999999,174.59099999999998,124.205,252.763,127.512,89.405,187.615,178.641,189.31799999999998,102.755,195.21599999999998,233.80200000000002,199.998,144.42,166.143,204.36900000000003,166.769,242.572,172.628,197.96099999999998,174.201,110.824,176.95,98.087,182.93099999999998,186.785,182.12900000000002,146.35399999999998,183.297,163.88,146.21200000000002,,,,,,,,,,,,,,,,
