TimesH,Frame,NoMissing,94,94,108,108,114,114,131,131,145,145,149,149,158,158,183,183,190,190,210,210,222,222,227,227,232,232,242,242,252,252,271,271,272,272,273,273,289,289,293,293,307,307,309,309,323,323,330,330,374,374,379,379,399,399,402,402,403,403,405,405,418,418,424,424,452,452,454,454,461,461,463,463,492,492,590,590,647,647,672,672,717,717,719,719,793,793,806,806,823,823,845,845,847,847,926,926,948,948,1001,1001,1044,1044,1078,1078,1199,1199,1207,1207,1317,1317
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
376.75,1507.0,,228.0,73.085,232.737,81.53399999999999,81.836,79.506,172.074,86.37,95.34899999999999,38.361999999999995,209.87,35.871,208.93599999999998,45.168,81.47399999999999,58.95399999999999,208.59,55.815,36.882,117.40899999999999,90.949,123.18299999999999,56.839,132.847,22.805,131.61700000000002,114.288,128.161,91.486,133.875,227.766,93.119,289.445,92.455,238.243,104.219,217.92700000000002,107.84700000000001,187.592,103.694,116.779,116.006,88.495,115.42,265.237,160.651,123.463,158.515,54.481,178.692,33.298,178.519,244.921,147.264,203.329,145.612,229.607,143.68,116.06200000000001,143.974,190.666,150.925,272.346,148.116,205.791,184.372,154.378,185.15400000000002,74.411,182.852,189.19400000000002,182.41400000000002,121.525,194.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.0,1508.0,,227.99900000000002,73.084,232.733,81.545,81.797,79.344,172.03900000000002,86.456,95.34899999999999,38.361999999999995,210.114,35.873000000000005,209.002,45.11,81.47800000000001,58.92100000000001,208.709,55.766999999999996,36.889,117.39399999999999,90.912,123.19200000000001,56.867,132.851,22.85,131.622,114.324,128.18200000000002,91.505,133.872,227.77,93.09899999999999,289.618,92.387,238.25,104.198,217.94799999999998,107.822,187.62,103.764,116.796,116.008,88.465,115.416,265.168,160.589,123.53299999999999,158.631,54.453,178.726,33.211999999999996,178.59400000000002,244.882,147.344,203.385,145.57399999999998,229.62099999999998,143.694,116.06200000000001,143.975,190.707,150.936,272.383,148.138,205.845,184.412,154.352,185.16099999999997,74.529,182.72299999999998,189.19400000000002,182.422,121.52,194.99400000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.25,1509.0,,228.011,73.058,232.64700000000002,81.736,81.794,79.361,172.03599999999997,86.505,95.34899999999999,38.361999999999995,209.96900000000002,35.796,208.998,45.088,81.41199999999999,58.958,208.662,55.745,36.839,117.40899999999999,90.93799999999999,123.23,56.918,132.828,22.901,131.628,114.315,128.14600000000002,91.512,133.862,227.76,93.051,289.65,92.626,238.27700000000002,104.14,218.03799999999998,107.804,187.544,103.70299999999999,116.78299999999999,116.041,88.454,115.42200000000001,265.282,160.716,123.47200000000001,158.529,54.45,178.703,33.076,178.574,244.829,147.428,203.524,145.404,229.601,143.708,116.05799999999999,143.977,190.72799999999998,150.944,272.406,148.094,205.859,184.43200000000002,154.304,185.18,74.668,182.71200000000002,189.178,182.40900000000002,121.359,194.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.5,1510.0,,228.01,73.095,232.64,81.737,81.862,79.419,172.111,86.425,95.34899999999999,38.361999999999995,210.05900000000003,35.806,209.037,45.073,81.443,58.952,208.65099999999998,55.763999999999996,36.849000000000004,117.399,90.943,123.2,56.924,132.768,22.973000000000003,131.67,114.36,128.134,91.54700000000001,133.844,227.80200000000002,93.075,289.70099999999996,92.587,238.269,104.18,218.09,107.78299999999999,183.66299999999998,107.195,116.777,116.023,88.432,115.428,265.284,160.806,123.485,158.635,54.44,178.713,33.109,178.575,244.86599999999999,147.388,203.53,145.44,229.636,143.71200000000002,116.05,143.971,190.763,150.961,272.39799999999997,148.114,205.861,184.43400000000003,154.29,185.243,74.747,182.73,189.101,182.43,121.37,195.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.75,1511.0,,228.023,73.118,232.62900000000002,81.78699999999999,81.89399999999999,79.411,172.048,86.594,95.34899999999999,38.361999999999995,210.22099999999998,35.804,209.02599999999998,45.00899999999999,81.414,58.931999999999995,208.665,55.771,36.869,117.398,90.941,123.16799999999999,56.888999999999996,132.866,22.991999999999997,131.66,114.331,128.114,91.476,133.852,227.826,93.07799999999999,289.711,92.384,238.32,104.145,218.146,107.756,183.725,107.24700000000001,116.80799999999999,116.07600000000001,88.492,115.431,265.212,160.725,123.601,158.632,54.516000000000005,178.74,33.071,178.421,244.762,147.31799999999998,203.421,145.512,229.65900000000002,143.68,116.056,143.981,190.783,150.921,272.392,148.131,205.88099999999997,184.446,154.235,185.255,74.84,182.704,189.11599999999999,182.46599999999998,121.443,195.36599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.0,1512.0,,228.035,73.096,232.68400000000003,81.708,81.929,79.403,172.101,86.588,95.34899999999999,38.361999999999995,210.362,35.851,209.08900000000003,45.001000000000005,81.34899999999999,58.903999999999996,208.731,55.67,36.849000000000004,117.337,90.911,123.164,56.888999999999996,132.797,23.066999999999997,131.713,114.34899999999999,128.114,91.469,133.904,227.851,93.085,289.66700000000003,92.16799999999999,238.324,104.14,218.18200000000002,107.75,183.704,107.236,116.83200000000001,116.054,88.50200000000001,115.43700000000001,265.218,160.745,123.58200000000001,158.717,54.576,178.703,33.159,178.386,244.674,147.281,203.46200000000002,145.49,229.747,143.671,116.044,144.0,190.80900000000003,150.901,272.36,148.134,205.957,184.563,154.149,185.25900000000001,74.90100000000001,182.738,189.155,182.47,121.536,195.38299999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.25,1513.0,,228.046,73.064,232.65599999999998,81.805,81.99799999999999,79.37,172.106,86.681,95.34899999999999,38.361999999999995,210.291,35.775,209.207,44.963,81.34899999999999,58.881,208.704,55.687,36.900999999999996,117.32,90.954,123.139,56.966,132.803,23.092,131.719,114.445,128.10399999999998,91.425,133.924,227.86700000000002,93.09299999999999,289.688,92.16799999999999,238.338,104.117,218.22099999999998,107.78299999999999,183.727,107.214,116.795,116.046,88.455,115.45,265.296,160.72299999999998,123.63,158.707,54.648999999999994,178.69400000000002,33.3,178.343,244.729,147.174,203.502,145.537,229.769,143.68,116.057,143.996,190.81099999999998,150.828,272.368,148.126,205.967,184.639,154.14600000000002,185.27599999999998,74.933,182.76,189.175,182.47799999999998,121.492,195.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.5,1514.0,,228.046,73.072,232.63400000000001,81.7,82.008,79.439,172.09400000000002,86.714,95.34899999999999,38.361999999999995,210.40200000000002,35.727,209.28900000000002,44.876999999999995,81.313,58.854,208.673,55.731,36.93,117.329,91.031,123.182,56.935,132.703,23.134,131.727,114.495,128.06,91.41,134.031,227.86900000000003,93.053,289.903,92.213,238.32299999999998,104.016,218.179,107.84700000000001,183.64,107.227,116.794,116.08,88.463,115.45200000000001,265.288,160.708,123.58,158.695,54.56,178.71400000000003,33.429,178.47299999999998,244.78599999999997,147.08700000000002,203.50099999999998,145.556,229.757,143.654,116.046,143.99,190.766,150.785,272.42,148.07399999999998,206.005,184.583,154.174,185.29,74.979,182.706,189.12,182.475,121.476,195.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
