TimesH,Frame,NoMissing,5,5,13,13,19,19,27,27,28,28,33,33,37,37,40,40,52,52,55,55,62,62,63,63,80,80,85,85,398,398,421,421,423,423,424,424,428,428,429,429,430,430,431,431,432,432,434,434,436,436,443,443,445,445,446,446,448,448,451,451,452,452,453,453,454,454,456,456,457,457,464,464,465,465,467,467,468,468,475,475,476,476,480,480,488,488,491,491,493,493,495,495,496,496,500,500,502,502,504,504,518,518,527,527,528,528,531,531,534,534,537,537,543,543,716,716,900,900,926,926,1088,1088
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,,,208.675,165.21099999999998,194.727,165.03599999999997,248.521,171.452,69.447,172.078,120.85600000000001,171.47099999999998,58.869,170.047,79.51899999999999,167.699,72.873,175.146,215.09,173.187,248.58,183.362,105.321,183.908,263.064,185.783,211.079,184.4,134.195,105.34700000000001,252.828,117.309,229.328,115.213,209.458,115.51,191.84400000000002,120.295,139.235,120.42,126.62200000000001,120.00299999999999,59.977,119.815,46.498000000000005,119.818,97.02799999999999,109.727,213.81099999999998,106.728,110.027,112.82700000000001,136.203,112.712,190.292,111.11200000000001,251.72099999999998,130.11,230.632,128.746,204.312,129.447,187.109,128.954,94.59100000000001,129.05100000000002,70.248,135.72899999999998,97.985,134.06,103.971,124.81,72.967,124.881,205.26,123.109,122.523,123.53299999999999,259.332,125.697,246.15400000000002,124.66,136.0,142.0,87.03200000000001,137.75,240.778,136.164,115.759,136.366,232.333,134.644,105.375,139.749,222.893,138.864,249.31900000000002,138.388,90.206,148.275,232.93900000000002,151.696,196.668,149.158,139.121,148.529,119.92399999999999,150.35399999999998,97.75299999999999,156.67600000000002,87.885,158.433,265.782,153.745,,,,,,,,
0.25,1.0,,,,208.66299999999998,165.188,194.771,165.00900000000001,248.514,171.44299999999998,69.457,172.075,120.835,171.282,58.88399999999999,170.155,79.456,167.615,72.949,175.101,215.15599999999998,173.24400000000003,248.523,183.388,105.241,183.94299999999998,263.051,185.498,211.07,184.40400000000002,134.345,105.294,252.82299999999998,117.27600000000001,229.239,115.228,209.505,115.41,191.957,120.23100000000001,139.32,120.51299999999999,126.648,120.037,59.986000000000004,119.73899999999999,46.652,119.90299999999999,97.13600000000001,109.56,214.063,106.795,109.874,112.679,136.392,112.819,190.109,110.935,251.745,130.10299999999998,230.678,128.737,204.265,129.425,187.09799999999998,128.983,94.527,128.85399999999998,70.207,135.66,97.985,134.034,103.944,124.755,72.932,124.93799999999999,205.27900000000002,123.154,122.523,123.508,259.35400000000004,125.719,246.167,124.637,135.96,142.446,86.99799999999999,137.782,240.75799999999998,136.17,115.745,136.345,232.326,134.779,105.27,139.686,222.785,138.988,249.283,138.399,90.20700000000001,148.21,232.856,152.16,196.63099999999997,149.215,139.119,148.5,119.94200000000001,150.319,97.711,156.683,87.745,158.341,265.784,153.757,,,,,,,,
0.5,2.0,,,,208.668,165.18599999999998,194.707,164.984,248.507,171.42700000000002,69.493,172.03900000000002,120.835,171.312,58.748000000000005,170.202,79.42399999999999,167.638,72.938,175.02900000000002,215.225,173.298,248.47099999999998,183.325,105.18,183.933,263.135,185.399,211.082,184.36700000000002,134.404,105.236,252.84400000000002,117.234,229.315,115.17399999999999,209.537,115.351,192.06900000000002,120.213,139.317,120.475,126.554,120.087,59.898999999999994,119.79700000000001,46.827,119.713,97.221,109.516,213.86700000000002,106.773,109.964,112.67299999999999,136.379,112.64200000000001,190.292,110.99700000000001,251.738,130.004,230.662,128.72899999999998,204.245,129.41899999999998,187.079,128.95600000000002,94.45200000000001,128.915,70.291,135.159,98.007,134.06799999999998,103.979,124.76,72.82300000000001,124.962,205.287,123.088,122.491,123.445,259.366,125.697,246.36599999999999,124.59700000000001,136.0,142.0,87.00200000000001,137.755,240.743,136.153,115.759,136.349,232.36,134.653,105.214,139.623,222.72299999999998,139.024,249.204,138.436,90.206,148.145,232.857,151.94799999999998,196.643,149.187,139.122,148.54399999999998,119.93700000000001,150.286,97.729,156.655,87.40899999999999,158.309,265.778,153.71200000000002,,,,,,,,
0.75,3.0,,203.745,160.48,208.627,165.19799999999998,194.696,164.984,248.52900000000002,171.50599999999997,69.332,172.007,120.821,171.32,58.653,170.237,79.405,167.614,72.928,175.007,215.229,173.326,248.519,183.27599999999998,105.26899999999999,183.90200000000002,263.135,185.342,211.07299999999998,184.502,134.382,105.185,252.824,117.242,229.331,115.18299999999999,209.56599999999997,115.375,192.074,120.279,139.329,120.51700000000001,126.693,120.014,59.812,119.853,46.746,119.685,97.176,109.51299999999999,213.842,106.859,109.93799999999999,112.698,136.0,112.0,190.08599999999998,110.787,251.76,130.01,230.72,128.757,204.27599999999998,129.434,187.1,128.936,94.465,129.025,70.244,134.901,98.005,134.023,104.024,124.851,72.844,125.005,205.263,123.075,122.51299999999999,123.448,259.35400000000004,125.7,246.207,124.713,136.0,142.0,86.96799999999999,137.7,240.743,136.18200000000002,115.757,136.33,232.358,134.70600000000002,105.146,139.625,222.68,139.031,249.261,138.41,90.20700000000001,148.082,232.81099999999998,152.03,196.605,149.179,139.187,148.534,119.935,150.284,97.735,156.588,87.411,158.196,265.817,153.7,,,,,,,,
1.0,4.0,,203.69099999999997,160.374,208.588,165.18900000000002,194.632,164.929,248.46200000000002,171.49900000000002,69.251,172.00099999999998,120.806,171.362,58.626999999999995,170.15200000000002,79.38,167.63,72.889,174.979,215.143,173.24900000000002,248.579,183.15900000000002,105.286,183.842,263.126,185.4,211.109,184.51,134.457,105.193,252.83700000000002,117.24799999999999,229.305,115.098,210.0,115.0,192.00099999999998,120.28200000000001,139.37,120.47,126.771,119.986,59.815,119.931,46.731,119.488,97.662,109.59200000000001,213.893,106.891,110.021,112.735,136.221,112.35600000000001,190.0,110.64200000000001,251.78900000000002,130.024,230.692,128.809,204.21400000000003,129.417,187.102,128.939,94.42,129.23,70.188,134.934,98.035,134.02200000000002,104.064,124.78,72.795,124.96799999999999,205.265,123.03399999999999,122.529,123.34,259.357,125.71799999999999,246.454,124.613,135.89600000000002,142.741,86.961,137.748,240.733,136.19,115.744,136.321,232.358,134.745,105.338,139.642,222.79,139.109,249.235,138.435,90.21,148.058,232.888,152.935,196.59400000000002,149.2,139.21200000000002,148.539,119.95700000000001,150.247,97.641,156.62,87.572,158.2,265.86400000000003,153.64600000000002,,,,,,,,
1.25,5.0,,,,208.555,165.162,194.697,164.929,248.481,171.446,69.259,171.98,120.921,171.33900000000003,58.633,170.11700000000002,79.319,167.59400000000002,72.959,174.983,215.19,173.273,248.565,183.11,105.223,183.88099999999997,263.198,185.324,211.179,184.424,134.735,105.205,252.817,117.264,229.343,115.117,209.847,115.32700000000001,191.982,120.404,139.289,120.395,126.818,119.988,60.062,119.665,46.913999999999994,119.73,97.509,109.479,213.887,106.772,109.76299999999999,112.51700000000001,136.161,112.027,189.893,110.344,251.77700000000002,130.056,230.707,128.743,204.19299999999998,129.437,187.1,128.90200000000002,94.494,129.21,70.142,135.2,97.93299999999999,133.908,104.036,124.73700000000001,72.77600000000001,124.86399999999999,205.226,123.06,122.505,123.35799999999999,259.35900000000004,125.756,246.46,124.541,135.731,143.409,86.921,137.748,240.74900000000002,136.22799999999998,115.723,136.32399999999998,232.31799999999998,134.89600000000002,105.279,139.589,222.745,139.101,249.261,138.373,90.16799999999999,148.056,232.995,152.941,196.583,149.19799999999998,139.22299999999998,148.556,119.93299999999999,150.244,97.631,156.534,87.55,158.185,265.868,153.593,,,,,,,,
1.5,6.0,,202.89700000000002,162.438,208.442,165.24900000000002,194.832,164.99599999999998,248.50099999999998,171.46,69.167,171.953,120.875,171.43900000000002,58.581,170.095,79.291,167.545,72.97399999999999,175.012,215.183,173.266,248.513,183.215,105.295,183.77700000000002,263.197,185.343,211.158,184.472,134.67700000000002,105.17,252.815,117.215,229.31799999999998,115.04299999999999,209.949,115.359,191.93,120.339,139.428,120.488,126.829,120.007,59.979,119.71700000000001,46.602,119.641,97.44,109.479,213.96599999999998,106.80799999999999,109.721,112.366,136.14,112.01100000000001,189.727,110.434,251.81599999999997,130.063,230.727,128.716,204.09799999999998,129.368,187.10299999999998,128.89600000000002,94.49799999999999,129.269,70.09899999999999,135.025,97.851,133.798,104.073,124.705,72.715,124.89200000000001,205.195,123.057,122.527,123.30799999999999,259.382,125.76700000000001,246.423,124.559,135.632,143.455,86.954,137.722,240.75900000000001,136.184,115.69,136.313,232.28799999999998,134.977,105.431,139.579,222.66099999999997,139.058,249.233,138.405,90.139,148.055,233.01,152.938,196.541,149.189,139.227,148.519,119.912,150.24200000000002,97.59200000000001,156.543,87.529,158.17700000000002,265.844,153.577,,,,,,,,
1.75,7.0,,203.60299999999998,160.454,208.245,165.31400000000002,194.773,165.088,248.48,171.417,69.112,171.90200000000002,120.887,171.447,58.626999999999995,170.02599999999998,79.315,167.555,72.995,174.921,215.206,173.34099999999998,248.56900000000002,183.22099999999998,105.26,183.963,263.264,185.245,211.179,184.375,134.637,105.098,252.798,117.191,229.35,115.06299999999999,209.69299999999998,115.46,191.99099999999999,120.39200000000001,139.371,120.48299999999999,126.79799999999999,119.85,59.946999999999996,119.62799999999999,46.611000000000004,119.449,97.416,109.48899999999999,213.958,106.804,109.44,112.132,136.096,111.87299999999999,189.773,110.255,251.798,130.015,230.704,128.714,204.12900000000002,129.369,187.112,128.887,94.569,129.45,70.03,135.168,97.869,133.869,104.109,124.68299999999999,72.646,124.796,205.15099999999998,123.045,122.493,123.28299999999999,259.378,125.762,246.55599999999998,124.54299999999999,135.649,143.505,87.007,137.751,240.764,136.195,115.70100000000001,136.30700000000002,232.273,135.244,105.5,139.54,222.567,139.028,249.118,138.469,90.133,148.05100000000002,233.078,152.947,196.56799999999998,149.196,139.311,148.539,119.93700000000001,150.291,97.541,156.505,87.436,158.144,265.845,153.569,,,,,,,,
