TimesH,Frame,NoMissing,228,228,244,244,251,251,253,253,256,256,260,260,269,269,277,277,280,280,304,304,314,314,316,316,321,321,329,329,331,331,345,345,360,360,364,364,366,366,370,370,373,373,374,374,384,384,387,387,399,399,401,401,407,407,418,418,419,419,423,423,430,430,435,435,438,438,440,440,444,444,447,447,465,465,467,467,469,469,471,471,489,489,503,503,504,504,505,505,510,510,516,516,517,517,533,533,543,543,548,548,556,556,557,557,569,569,572,572,575,575,585,585,586,586,608,608,609,609,612,612,621,621,631,631,636,636,653,653,693,693,700,700,702,702,763,763,771,771,773,773,889,889,942,942,962,962,1027,1027,1033,1033,1084,1084,1151,1151,1177,1177,1262,1262,1277,1277,1287,1287,1333,1333
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,110.87899999999999,40.016999999999996,212.727,47.358000000000004,101.948,50.052,192.93,51.486999999999995,71.623,51.61600000000001,85.806,53.476000000000006,204.02200000000002,55.622,190.34599999999998,58.783,111.103,60.677,173.577,67.919,242.658,71.419,111.54799999999999,72.459,78.892,73.637,220.942,74.868,68.381,76.812,257.862,81.524,49.538999999999994,87.99600000000001,103.14,91.338,253.533,89.684,178.03599999999997,90.95,121.62299999999999,92.085,206.315,91.662,87.167,95.928,260.448,96.728,243.893,99.765,137.67600000000002,101.29700000000001,80.032,103.866,56.653,107.50299999999999,123.50200000000001,108.833,62.251000000000005,108.993,231.898,110.054,261.779,110.92200000000001,87.816,111.95299999999999,129.185,112.08,275.13,113.081,99.24600000000001,113.88,51.931999999999995,120.351,259.973,120.645,118.522,121.555,89.56200000000001,122.845,141.911,126.065,101.223,130.569,185.41299999999998,131.922,202.865,130.556,230.58,132.071,282.137,133.119,209.238,133.839,47.342,139.013,90.535,141.645,226.951,142.928,258.46299999999997,145.475,287.393,144.74,98.67200000000001,149.267,80.541,149.999,250.726,150.064,58.913999999999994,153.185,225.78799999999998,153.632,211.2,159.124,246.063,159.94,68.64,160.851,139.36,162.576,,,,,261.144,171.615,190.097,187.192,203.298,187.63,210.702,188.828,123.285,59.042,,,242.546,114.46600000000001,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,110.97399999999999,40.043,212.514,47.361999999999995,101.84899999999999,49.93899999999999,192.845,51.46,71.483,51.769,85.764,53.16,203.938,55.62,190.31900000000002,58.753,111.09,60.62,173.485,68.03399999999999,242.66099999999997,71.406,112.0,72.0,78.875,73.594,220.952,74.848,68.277,76.735,257.83099999999996,81.502,49.61,88.01,103.025,91.12700000000001,253.56400000000002,89.57,178.109,90.85600000000001,121.56299999999999,91.95100000000001,206.321,91.59,87.141,95.889,260.54900000000004,96.72399999999999,243.821,99.72399999999999,137.683,101.648,79.98,103.728,56.783,107.58200000000001,123.486,108.65799999999999,62.363,109.184,231.84,110.124,261.836,110.79,87.95200000000001,111.898,129.22799999999998,112.016,275.142,112.896,99.256,113.844,51.885,120.345,259.95799999999997,120.675,118.41,121.625,89.432,122.78399999999999,141.761,125.96799999999999,101.20100000000001,130.567,185.421,131.859,202.8,130.554,230.593,132.03799999999998,282.133,133.09,209.06799999999998,133.774,47.83,138.91299999999998,90.462,141.619,226.94,142.857,258.531,145.41899999999998,287.414,144.746,98.65,149.25799999999998,80.555,150.118,250.774,149.97,58.938,153.138,225.77200000000002,153.692,211.398,159.159,246.06400000000002,159.872,68.64,160.885,139.282,162.447,,,,,261.10200000000003,171.77200000000002,190.078,187.104,203.459,187.66299999999998,210.637,189.051,123.209,58.949,,,242.56799999999998,114.40899999999999,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,110.905,39.922,212.37599999999998,47.339,101.794,49.812,192.868,51.468,71.357,51.75899999999999,85.70100000000001,53.126000000000005,203.959,55.611000000000004,190.28400000000002,58.727,111.021,60.516000000000005,173.358,68.016,242.68099999999998,71.432,111.63,72.376,78.805,73.57,220.953,74.827,68.23,76.885,257.85200000000003,81.56,49.588,87.805,102.91799999999999,90.809,253.56400000000002,89.604,178.146,90.805,121.6,91.971,206.21200000000002,91.65299999999999,87.164,95.87799999999999,261.0,96.0,243.864,99.682,137.678,101.771,80.02199999999999,103.721,56.696999999999996,107.679,123.73700000000001,108.42200000000001,62.468,109.463,231.86700000000002,110.079,261.806,110.837,87.98700000000001,111.867,129.244,111.986,275.145,112.681,99.255,113.859,51.92100000000001,120.279,259.975,120.56200000000001,118.431,121.42399999999999,89.33,122.69,141.789,126.07,101.227,130.586,185.387,131.81,202.812,130.559,230.558,131.988,282.165,133.082,209.062,133.841,47.926,138.994,90.34700000000001,141.673,226.908,142.847,258.68,145.283,287.532,144.754,98.65799999999999,149.085,80.589,150.09,250.822,149.909,58.92,153.111,225.984,153.546,211.206,159.137,246.014,159.75,68.678,161.066,139.209,162.442,,,,,261.093,171.813,190.00900000000001,187.169,203.52900000000002,187.669,210.761,188.967,123.065,58.64,60.43,84.14200000000001,242.558,114.462,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,110.94200000000001,39.808,212.34,47.376000000000005,101.87700000000001,49.93,192.862,51.413999999999994,71.35300000000001,51.683,85.56700000000001,53.103,203.84099999999998,55.707,190.199,58.782,110.917,60.233999999999995,173.31400000000002,67.993,242.717,71.41,111.75,72.23899999999999,78.734,73.54899999999999,221.025,74.696,68.182,76.914,257.858,81.51899999999999,49.417,87.71799999999999,102.78299999999999,90.53299999999999,253.544,89.50299999999999,178.09,90.779,121.691,91.916,206.081,91.76799999999999,87.167,95.89,260.744,96.521,243.804,99.654,137.601,101.791,80.094,103.785,56.935,107.76700000000001,123.87700000000001,108.43700000000001,62.81399999999999,109.98100000000001,231.829,110.11399999999999,261.844,110.807,87.929,111.648,129.309,112.041,275.105,112.464,99.186,113.815,51.942,120.271,260.067,120.434,118.55,121.259,89.259,122.494,141.77100000000002,125.91,101.346,130.53799999999998,185.382,131.72899999999998,202.81799999999998,130.58100000000002,230.593,131.872,282.263,132.882,209.014,133.916,47.989,138.977,90.204,141.814,226.90599999999998,142.843,258.768,145.243,287.642,144.749,98.7,149.125,80.619,150.171,250.975,149.904,58.933,153.11700000000002,226.108,153.469,211.12900000000002,159.155,245.99400000000003,159.586,68.755,161.155,139.10299999999998,162.41,,,231.706,167.149,261.05,171.955,190.075,187.229,203.537,187.709,210.833,188.905,123.04,58.288000000000004,60.428999999999995,84.14299999999999,242.22,114.559,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,110.719,39.514,212.263,47.352,101.853,49.876999999999995,192.77900000000002,51.356,71.38,51.783,85.415,53.20399999999999,203.831,55.72,190.157,58.824,110.86,60.052,173.11599999999999,68.009,242.704,71.432,111.945,72.087,78.648,73.52199999999999,221.11599999999999,74.617,68.11,76.79,257.871,81.502,49.321999999999996,87.575,101.009,89.04,253.519,89.443,178.043,90.741,121.709,91.92200000000001,206.33,91.90700000000001,87.09100000000001,95.855,260.685,96.432,243.83700000000002,99.637,137.64600000000002,101.895,80.086,103.811,56.903999999999996,107.851,123.854,108.413,62.379,109.37299999999999,231.97,110.094,261.92900000000003,110.69200000000001,87.95100000000001,111.71600000000001,129.246,112.016,275.03700000000003,112.436,99.205,113.875,51.92,120.212,260.047,120.414,118.51899999999999,121.18799999999999,89.052,122.385,141.8,125.928,101.291,130.504,185.36900000000003,131.618,202.77200000000002,130.53799999999998,230.62900000000002,131.857,282.33099999999996,132.812,208.984,133.843,47.861000000000004,139.005,90.139,141.834,226.908,142.80700000000002,258.837,145.16899999999998,287.60900000000004,144.80100000000002,98.74700000000001,149.159,80.605,150.274,251.047,149.922,58.943999999999996,153.128,226.07,153.319,211.13299999999998,159.17600000000002,245.97,159.585,68.78399999999999,161.325,139.043,162.409,222.0,165.0,231.715,167.088,261.01,171.899,190.03,187.235,203.52700000000002,187.703,210.84900000000002,188.766,122.98700000000001,58.09,,,241.646,115.62299999999999,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,110.40100000000001,39.135,212.21400000000003,47.333,101.852,49.825,192.77,51.216,71.45,51.91,85.414,53.155,203.74900000000002,55.763000000000005,190.15400000000002,58.832,110.779,59.941,173.076,68.038,242.69799999999998,71.40100000000001,111.844,72.057,78.635,73.558,221.208,74.411,68.09100000000001,76.744,257.85400000000004,81.49,49.168,87.29299999999999,100.789,88.948,253.49400000000003,89.355,178.016,90.685,121.757,91.931,206.271,91.984,87.061,95.814,256.246,101.176,243.785,99.58,137.75,101.76299999999999,80.074,103.77799999999999,56.82899999999999,107.87200000000001,124.164,108.60600000000001,61.725,108.6,231.93900000000002,110.085,262.005,110.655,87.87,111.666,129.27100000000002,112.01700000000001,275.034,112.295,99.12700000000001,113.911,51.847,120.20200000000001,260.041,120.319,118.67200000000001,121.025,89.023,122.311,141.936,125.786,101.161,130.541,185.27700000000002,131.481,202.692,130.627,230.674,131.822,282.392,132.89,208.956,133.786,48.11,138.99200000000002,90.152,141.821,227.011,142.74,258.83799999999997,145.06,287.628,144.835,98.914,149.155,81.0,150.0,251.122,149.923,58.979,153.118,226.03400000000002,153.31,211.07299999999998,159.21,246.037,159.704,68.795,161.298,139.006,162.384,222.92,162.994,231.745,167.05599999999998,260.955,171.99099999999999,190.06599999999997,187.271,203.757,187.709,210.90400000000002,188.615,,,60.50899999999999,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,110.241,39.034,212.192,47.339,101.69200000000001,49.663999999999994,192.757,51.053000000000004,71.45100000000001,51.693000000000005,85.505,52.994,203.56900000000002,55.861999999999995,190.157,58.813,110.766,59.793,172.972,68.008,242.717,71.369,111.95299999999999,71.965,78.634,73.47,221.312,74.3,68.079,76.80199999999999,257.88,81.491,49.42,87.406,101.022,88.96,253.472,89.35799999999999,178.07,90.62799999999999,121.81299999999999,91.96700000000001,206.613,91.494,86.87100000000001,95.785,256.3,101.17299999999999,243.78900000000002,99.572,137.519,101.955,80.05,103.738,56.755,107.854,123.98100000000001,108.446,61.221000000000004,108.15799999999999,231.95,110.07600000000001,261.933,110.617,87.85600000000001,111.595,129.203,112.021,275.058,112.413,99.12100000000001,113.912,51.787,120.13,260.02299999999997,120.191,118.729,120.944,89.0,122.219,141.989,125.68299999999999,101.064,130.553,185.22299999999998,131.446,202.58700000000002,130.611,230.615,131.791,282.38,132.873,208.88299999999998,133.799,47.963,139.03,90.184,141.70600000000002,227.047,142.701,258.867,145.125,287.622,144.799,98.87700000000001,149.134,80.426,151.033,251.18200000000002,149.889,59.012,153.123,226.072,153.273,211.115,159.27100000000002,246.028,159.66299999999998,68.775,161.334,139.056,162.347,223.067,162.68,231.713,166.93400000000003,261.05400000000003,171.928,190.13400000000001,187.315,203.666,187.699,210.895,188.582,,,60.408,84.137,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,110.23200000000001,38.873000000000005,212.114,47.316,101.646,49.668,192.655,50.821999999999996,71.479,51.946000000000005,85.118,53.591,203.585,55.81399999999999,190.081,58.781000000000006,110.68299999999999,59.693000000000005,172.97799999999998,67.99600000000001,242.713,71.303,111.99,72.012,78.664,73.42399999999999,221.33900000000003,74.248,68.084,76.813,257.89,81.434,49.445,87.249,100.478,88.684,253.495,89.346,178.08900000000003,90.569,121.882,92.086,206.61900000000003,91.51799999999999,86.65,95.749,256.241,101.421,243.829,99.51799999999999,137.366,102.012,80.059,103.75299999999999,56.875,107.77600000000001,124.48299999999999,108.48899999999999,61.088,108.17200000000001,231.986,110.052,262.045,110.579,87.835,111.58200000000001,129.24200000000002,112.031,275.11400000000003,112.436,99.104,113.977,51.754,120.06,259.814,120.072,118.77799999999999,120.861,89.024,122.14299999999999,142.077,125.444,101.205,130.571,185.148,131.357,202.577,130.651,230.769,131.48,282.387,132.939,208.88099999999997,133.796,48.452,138.911,90.15299999999999,141.716,227.081,142.627,258.858,145.091,287.707,144.78,98.851,149.19799999999998,80.51,151.108,251.22799999999998,149.80100000000002,59.025,153.131,226.269,153.287,211.032,159.24,246.109,159.887,68.82300000000001,161.33700000000002,139.033,162.233,,,231.718,166.801,261.14,171.824,190.167,187.375,203.592,187.604,210.893,188.46,,,60.325,83.656,244.615,117.508,,,,,,,,,,,,,,,,,,,,,,,,
