TimesH,Frame,NoMissing,92,92,105,105,126,126,142,142,176,176,182,182,217,217,228,228,250,250,260,260,271,271,279,279,285,285,288,288,289,289,292,292,317,317,327,327,329,329,348,348,353,353,392,392,393,393,394,394,422,422,430,430,433,433,434,434,640,640,803,803,808,808,897,897
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
333.5,1334.0,,,,133.532,99.47,258.356,117.87100000000001,155.034,109.913,192.52700000000002,93.515,147.938,91.56700000000001,269.241,160.084,245.083,154.891,247.44099999999997,168.97299999999998,75.85600000000001,167.97,223.315,137.991,249.641,133.855,200.05599999999998,129.505,122.82600000000001,127.583,276.67900000000003,127.102,220.12900000000002,127.155,208.17700000000002,142.319,192.888,139.933,119.16,221.122,219.707,210.15200000000002,201.361,206.465,244.36900000000003,183.505,193.035,183.305,113.36,181.61599999999999,108.05799999999999,201.37900000000002,96.295,194.95,229.76,190.68200000000002,140.5,194.49200000000002,,,,,,,,
333.75,1335.0,,172.78599999999997,107.353,133.513,99.454,258.363,117.87200000000001,155.026,109.93,192.486,93.493,148.096,91.566,269.182,160.033,245.085,154.882,247.46099999999998,168.96900000000002,75.872,167.976,223.315,137.993,249.666,133.873,200.05900000000003,129.501,122.88,127.594,276.686,127.11200000000001,220.148,127.17399999999999,208.205,142.319,192.87900000000002,139.92600000000002,119.15299999999999,221.13099999999997,219.68599999999998,210.155,201.37599999999998,206.484,244.365,183.497,193.044,183.274,113.383,181.62099999999998,108.064,201.385,96.291,194.983,229.767,190.68,140.553,194.53400000000002,,,,,,,,
334.0,1336.0,,172.649,107.18799999999999,133.534,99.397,258.366,117.848,155.011,109.939,192.47,93.484,148.02200000000002,91.51299999999999,269.127,160.04399999999998,245.09099999999998,154.886,247.44400000000002,168.96599999999998,75.885,167.993,223.347,137.941,249.675,133.879,200.071,129.518,122.846,127.62,276.654,127.086,220.162,127.211,208.25900000000001,142.286,192.86599999999999,139.935,119.154,221.171,219.68900000000002,210.148,201.393,206.484,244.41099999999997,183.49900000000002,193.065,183.25400000000002,113.37700000000001,181.638,108.055,201.44299999999998,96.28,195.015,229.78799999999998,190.68900000000002,140.616,194.476,,,,,,,,
334.25,1337.0,,172.44400000000002,106.959,133.506,99.399,258.381,117.851,155.037,109.962,192.44299999999998,93.49600000000001,148.028,91.665,269.18,160.075,245.08900000000003,154.88299999999998,247.426,168.967,75.898,167.99099999999999,223.35299999999998,137.887,249.673,133.866,200.067,129.548,122.949,127.603,276.653,127.088,220.148,127.21,208.304,142.333,192.858,139.951,119.14399999999999,221.18099999999998,219.688,210.149,201.433,206.495,244.382,183.50400000000002,193.049,183.245,113.411,181.645,108.05,201.43200000000002,96.277,195.00599999999997,229.761,190.68200000000002,140.625,194.503,,,,,,,,
334.5,1338.0,,172.419,106.95700000000001,133.597,99.366,258.383,117.84899999999999,155.061,109.954,192.489,93.45700000000001,147.959,91.61,269.197,160.036,245.08599999999998,154.881,247.43200000000002,168.975,75.876,167.983,223.351,137.844,249.68599999999998,133.875,200.072,129.536,122.943,127.57600000000001,276.647,127.09,220.143,127.209,208.334,142.42600000000002,192.868,139.968,119.14,221.199,219.692,210.14700000000002,201.43900000000002,206.488,244.382,183.503,193.06599999999997,183.267,113.397,181.645,108.052,201.459,96.288,195.028,229.763,190.678,140.596,194.512,,,,,,,,
334.75,1339.0,,172.37599999999998,106.887,133.584,99.31200000000001,258.381,117.834,155.058,110.014,192.46200000000002,93.43799999999999,147.905,91.561,269.128,160.019,245.082,154.88299999999998,247.39,168.984,75.89,168.014,223.33700000000002,137.87,249.709,133.874,200.08599999999998,129.509,122.963,127.61399999999999,276.652,127.072,220.148,127.242,208.304,142.452,192.842,139.976,119.12899999999999,221.18200000000002,219.71099999999998,210.16099999999997,201.468,206.47799999999998,244.398,183.49,193.05900000000003,183.265,113.383,181.642,108.051,201.457,96.275,195.045,229.771,190.67700000000002,140.611,194.48,,,,,,,,
335.0,1340.0,,172.36,106.85700000000001,133.625,99.346,258.4,117.82600000000001,154.997,110.024,192.447,93.398,147.863,91.611,269.207,159.998,245.081,154.86,247.38,168.96400000000003,75.895,168.005,223.322,137.894,249.701,133.885,200.067,129.503,122.94,127.601,276.622,127.052,220.166,127.262,208.28400000000002,142.43,192.85,139.981,119.12200000000001,221.21200000000002,219.73,210.16299999999998,201.47099999999998,206.488,244.399,183.49400000000003,193.047,183.292,113.39399999999999,181.62099999999998,108.031,201.447,96.273,195.104,229.768,190.68400000000003,140.588,194.50900000000001,,,,,,,,
335.25,1341.0,,172.338,106.84,133.704,99.249,258.387,117.794,155.094,109.99700000000001,192.36599999999999,93.397,147.829,91.53,269.315,160.006,245.084,154.859,247.373,168.945,75.9,168.014,223.357,137.822,249.713,133.866,200.078,129.51,122.98700000000001,127.646,276.642,127.088,220.168,127.28,208.26,142.409,192.87400000000002,139.975,119.113,221.18599999999998,219.738,210.169,201.488,206.476,244.40400000000002,183.50799999999998,193.05700000000002,183.31799999999998,113.352,181.63099999999997,108.029,201.422,96.27600000000001,195.139,229.803,190.671,140.562,194.516,,,,,,,,
335.5,1342.0,,172.257,106.77,133.714,99.314,258.406,117.764,155.05700000000002,109.98200000000001,192.33,93.41799999999999,147.74200000000002,91.473,269.32599999999996,160.029,245.093,154.85,247.393,168.942,75.867,168.002,223.399,137.779,249.695,133.849,200.09400000000002,129.47299999999998,122.969,127.64200000000001,276.637,127.12299999999999,220.178,127.291,208.22400000000002,142.509,192.875,139.974,119.09,221.204,219.755,210.176,201.468,206.472,244.41299999999998,183.514,193.07,183.285,113.39200000000001,181.618,108.014,201.429,96.289,195.144,229.82299999999998,190.644,140.56,194.513,,,,,,,,
335.75,1343.0,,172.245,106.765,133.69799999999998,99.281,258.415,117.745,155.10399999999998,109.96600000000001,192.304,93.402,147.834,91.406,269.337,160.046,245.09599999999998,154.85399999999998,247.395,168.933,75.865,167.984,223.40599999999998,137.747,249.722,133.871,200.11700000000002,129.469,122.976,127.602,276.642,127.11399999999999,220.19400000000002,127.292,208.21099999999998,142.523,192.88,139.974,119.064,221.197,219.763,210.179,201.452,206.467,244.421,183.513,193.043,183.261,113.462,181.588,108.01100000000001,201.46099999999998,96.29899999999999,195.209,229.82299999999998,190.655,140.583,194.56,,,,,,,,
336.0,1344.0,,172.312,106.853,133.744,99.363,258.394,117.76799999999999,155.026,110.0,192.27700000000002,93.42299999999999,147.734,91.323,269.32599999999996,160.053,245.108,154.845,247.419,168.94799999999998,75.852,167.947,223.43099999999998,137.704,249.731,133.85299999999998,200.108,129.435,122.95,127.62799999999999,276.629,127.1,220.2,127.288,208.13,142.644,192.86900000000003,139.988,119.07,221.217,219.755,210.18599999999998,201.44,206.489,244.445,183.521,193.037,183.24900000000002,113.495,181.632,108.00399999999999,201.455,96.30799999999999,195.245,229.83900000000003,190.622,140.58100000000002,194.542,,,,,,,,
336.25,1345.0,,172.295,106.774,133.774,99.321,258.399,117.78399999999999,155.041,109.977,192.273,93.435,147.578,91.35,269.355,160.047,245.107,154.845,247.423,168.93400000000003,75.869,167.945,223.44400000000002,137.625,249.732,133.874,200.09900000000002,129.44299999999998,122.963,127.635,276.627,127.09,220.22299999999998,127.29700000000001,208.136,142.735,192.88,139.984,119.066,221.204,219.745,210.196,201.43099999999998,206.479,244.447,183.519,193.051,183.21400000000003,113.509,181.644,108.005,201.45,96.335,195.273,229.862,190.59799999999998,140.57399999999998,194.507,,,,,,,,
336.5,1346.0,,172.328,106.81,133.77700000000002,99.3,258.41900000000004,117.774,155.061,109.977,192.3,93.486,147.717,91.29799999999999,269.48900000000003,160.059,245.102,154.86,247.40099999999998,168.90400000000002,75.866,167.925,223.53900000000002,137.417,249.736,133.879,200.11900000000003,129.41299999999998,122.971,127.67,276.629,127.069,220.21,127.316,208.11599999999999,142.716,192.886,139.99,119.08200000000001,221.234,219.75799999999998,210.196,201.40400000000002,206.521,244.44,183.52599999999998,193.054,183.233,113.50299999999999,181.60299999999998,108.024,201.428,96.339,195.295,229.856,190.653,140.597,194.50599999999997,,,,,,,,
