 ,X,Y
1,164.122,180.150
2,164.376,178.152
3,164.649,176.311
4,164.899,174.527
5,165.085,172.703
6,165.172,170.749
7,165.174,168.653
8,165.134,166.449
9,165.096,164.172
10,165.104,161.856
11,165.197,159.533
12,165.369,157.219
13,165.587,154.918
14,165.818,152.636
15,166.028,150.377
16,166.184,148.146
17,166.271,145.941
18,166.295,143.752
19,166.264,141.569
20,166.185,139.382
21,166.065,137.182
22,165.909,134.969
23,165.722,132.758
24,165.508,130.562
25,165.270,128.395
26,165.013,126.273
27,164.750,124.190
28,164.503,122.126
29,164.297,120.054
30,164.154,117.952
31,164.096,115.795
32,164.109,113.592
33,164.150,111.370
34,164.179,109.156
35,164.155,106.978
36,164.038,104.863
37,163.838,102.800
38,163.595,100.750
39,163.351,98.677
40,163.150,96.542
41,163.028,94.313
42,162.982,92.011
43,162.992,89.676
44,163.037,87.349
45,163.097,85.071
46,163.153,82.878
47,163.192,80.769
48,163.207,78.705
49,163.191,76.649
50,163.137,74.561
51,163.040,72.411
52,162.896,70.209
53,162.706,67.988
54,162.471,65.778
55,162.189,63.611
56,161.861,61.515
57,161.483,59.493
58,161.052,57.538
59,160.562,55.641
60,160.010,53.795
61,159.395,51.986
62,158.728,50.193
63,158.022,48.394
64,157.289,46.565
65,156.536,44.690
66,155.745,42.809
67,154.885,40.987
68,153.923,39.291
69,152.827,37.785
70,151.580,36.490
71,150.194,35.333
72,148.685,34.234
73,147.068,33.112
74,145.358,31.910
75,143.577,30.657
76,141.744,29.402
77,139.880,28.195
78,138.006,27.085
79,136.141,26.113
80,134.299,25.304
81,132.492,24.677
82,130.734,24.250
83,129.033,24.037
84,127.355,23.999
85,125.635,24.057
86,123.808,24.133
87,121.814,24.154
88,119.666,24.116
89,117.426,24.064
90,115.157,24.044
91,112.921,24.100
92,110.780,24.277
93,108.743,24.585
94,106.789,25.012
95,104.896,25.548
96,103.041,26.179
97,101.207,26.898
98,99.401,27.709
99,97.635,28.617
100,95.918,29.629
101,94.263,30.750
102,92.662,31.943
103,91.095,33.137
104,89.541,34.257
105,87.979,35.230
106,86.398,36.023
107,84.830,36.726
108,83.310,37.452
109,81.877,38.317
110,80.548,39.389
111,79.302,40.626
112,78.108,41.972
113,76.938,43.372
114,75.786,44.788
115,74.712,46.235
116,73.781,47.735
117,73.062,49.310
118,72.572,50.969
119,72.186,52.689
120,71.748,54.438
121,71.105,56.187
122,70.157,57.911
123,69.006,59.621
124,67.802,61.332
125,66.695,63.060
126,65.831,64.823
127,65.252,66.626
128,64.849,68.464
129,64.506,70.332
130,64.104,72.224
131,63.559,74.134
132,62.905,76.060
133,62.204,77.998
134,61.514,79.946
135,60.897,81.901
136,60.377,83.862
137,59.935,85.825
138,59.548,87.788
139,59.193,89.748
140,58.846,91.705
141,58.481,93.659
142,58.069,95.617
143,57.582,97.582
144,56.990,99.558
145,56.281,101.540
146,55.472,103.498
147,54.585,105.402
148,53.643,107.220
149,52.668,108.921
150,51.685,110.524
151,50.724,112.100
152,49.815,113.720
153,48.987,115.459
154,48.241,117.348
155,47.507,119.317
156,46.706,121.280
157,45.759,123.153
158,44.589,124.852
159,43.187,126.366
160,41.632,127.771
161,40.005,129.147
162,38.389,130.572
163,36.863,132.124
164,35.475,133.821
165,34.245,135.637
166,33.194,137.546
167,32.343,139.522
168,31.712,141.542
169,31.292,143.599
170,31.064,145.702
171,31.004,147.857
172,31.092,150.072
173,31.309,152.348
174,31.666,154.638
175,32.188,156.881
176,32.897,159.012
177,33.817,160.966
178,34.969,162.685
179,36.339,164.160
180,37.898,165.406
181,39.615,166.443
182,41.460,167.287
183,43.398,167.973
184,45.392,168.565
185,47.400,169.136
186,49.383,169.758
187,51.302,170.500
188,53.134,171.392
189,54.879,172.420
190,56.536,173.564
191,58.105,174.806
192,59.590,176.126
193,61.013,177.491
194,62.405,178.863
195,63.798,180.206
196,65.221,181.482
197,66.677,182.684
198,68.130,183.847
199,69.542,185.005
200,70.876,186.197
201,72.118,187.439
202,73.321,188.704
203,74.549,189.959
204,75.862,191.169
205,77.289,192.320
206,78.767,193.457
207,80.218,194.630
208,81.565,195.893
209,82.752,197.274
210,83.839,198.688
211,84.921,200.012
212,86.091,201.126
213,87.430,201.938
214,88.943,202.497
215,90.621,202.890
216,92.452,203.202
217,94.408,203.509
218,96.425,203.859
219,98.433,204.296
220,100.362,204.865
221,102.147,205.606
222,103.796,206.500
223,105.378,207.479
224,106.963,208.475
225,108.621,209.417
226,110.395,210.258
227,112.280,210.981
228,114.267,211.573
229,116.349,212.024
230,118.515,212.322
231,120.736,212.473
232,122.975,212.496
233,125.190,212.410
234,127.342,212.234
235,129.393,211.986
236,131.334,211.656
237,133.173,211.220
238,134.923,210.651
239,136.593,209.924
240,138.205,209.044
241,139.801,208.076
242,141.422,207.089
243,143.113,206.154
244,144.898,205.316
245,146.730,204.519
246,148.543,203.682
247,150.271,202.727
248,151.850,201.574
249,153.276,200.231
250,154.606,198.797
251,155.900,197.372
252,157.220,196.060
253,158.592,194.910
254,159.940,193.797
255,161.165,192.566
256,162.168,191.059
257,162.885,189.176
258,163.364,187.009
259,163.681,184.693
260,163.909,182.362
261,164.122,180.150
