 ,X,Y
1,163.672,197.015
2,162.738,195.200
3,162.015,193.112
4,161.492,190.814
5,161.158,188.368
6,161.000,185.836
7,161.002,183.274
8,161.133,180.723
9,161.356,178.219
10,161.636,175.800
11,161.939,173.502
12,162.231,171.354
13,162.496,169.319
14,162.726,167.331
15,162.913,165.322
16,163.049,163.225
17,163.130,161.018
18,163.158,158.738
19,163.134,156.426
20,163.059,154.125
21,162.937,151.875
22,162.770,149.686
23,162.562,147.540
24,162.319,145.418
25,162.044,143.301
26,161.747,141.170
27,161.457,139.025
28,161.212,136.869
29,161.050,134.705
30,161.009,132.537
31,161.104,130.369
32,161.305,128.206
33,161.574,126.054
34,161.876,123.917
35,162.175,121.800
36,162.447,119.691
37,162.682,117.567
38,162.870,115.403
39,162.999,113.174
40,163.063,110.863
41,163.076,108.493
42,163.058,106.095
43,163.028,103.704
44,163.007,101.352
45,163.009,99.066
46,163.028,96.826
47,163.046,94.597
48,163.044,92.343
49,163.006,90.027
50,162.924,87.630
51,162.834,85.192
52,162.784,82.768
53,162.818,80.415
54,162.985,78.188
55,163.316,76.129
56,163.777,74.206
57,164.309,72.363
58,164.854,70.544
59,165.359,68.697
60,165.824,66.811
61,166.279,64.899
62,166.754,62.972
63,167.277,61.045
64,167.871,59.130
65,168.549,57.245
66,169.325,55.406
67,170.211,53.629
68,171.195,51.918
69,172.212,50.247
70,173.189,48.588
71,174.053,46.913
72,174.775,45.214
73,175.466,43.557
74,176.266,42.020
75,177.316,40.685
76,178.672,39.572
77,180.237,38.597
78,181.898,37.664
79,183.540,36.678
80,185.104,35.610
81,186.615,34.536
82,188.103,33.542
83,189.602,32.710
84,191.143,32.066
85,192.759,31.559
86,194.483,31.132
87,196.342,30.730
88,198.321,30.322
89,200.377,29.888
90,202.467,29.409
91,204.548,28.866
92,206.597,28.260
93,208.628,27.631
94,210.659,27.023
95,212.707,26.479
96,214.789,26.041
97,216.910,25.731
98,219.065,25.560
99,221.251,25.540
100,223.464,25.679
101,225.697,25.981
102,227.933,26.415
103,230.151,26.945
104,232.332,27.534
105,234.456,28.147
106,236.500,28.768
107,238.440,29.422
108,240.248,30.141
109,241.899,30.956
110,243.379,31.891
111,244.731,32.938
112,246.016,34.079
113,247.295,35.293
114,248.600,36.561
115,249.908,37.857
116,251.183,39.155
117,252.393,40.430
118,253.526,41.691
119,254.596,43.001
120,255.623,44.429
121,256.624,46.035
122,257.597,47.808
123,258.526,49.680
124,259.395,51.585
125,260.186,53.453
126,260.906,55.245
127,261.607,56.976
128,262.345,58.667
129,263.177,60.340
130,264.124,62.012
131,265.129,63.689
132,266.122,65.374
133,267.034,67.073
134,267.823,68.789
135,268.535,70.517
136,269.237,72.255
137,269.998,73.999
138,270.867,75.740
139,271.823,77.461
140,272.826,79.138
141,273.836,80.749
142,274.811,82.283
143,275.702,83.794
144,276.456,85.365
145,277.021,87.079
146,277.371,88.994
147,277.569,91.084
148,277.704,93.300
149,277.861,95.596
150,278.126,97.924
151,278.529,100.242
152,279.026,102.516
153,279.568,104.710
154,280.109,106.789
155,280.601,108.722
156,281.057,110.513
157,281.543,112.204
158,282.124,113.836
159,282.858,115.450
160,283.733,117.070
161,284.687,118.715
162,285.662,120.398
163,286.600,122.134
164,287.493,123.895
165,288.366,125.627
166,289.244,127.274
167,290.151,128.783
168,291.111,130.151
169,292.147,131.417
170,293.282,132.625
171,294.526,133.815
172,295.844,135.011
173,297.183,136.234
174,298.493,137.505
175,299.724,138.848
176,300.826,140.302
177,301.750,141.905
178,302.449,143.697
179,302.897,145.688
180,303.125,147.816
181,303.170,150.012
182,303.072,152.206
183,302.865,154.331
184,302.548,156.351
185,302.090,158.256
186,301.462,160.038
187,300.634,161.686
188,299.600,163.213
189,298.385,164.659
190,297.012,166.065
191,295.509,167.470
192,293.900,168.878
193,292.211,170.228
194,290.469,171.457
195,288.698,172.500
196,286.926,173.306
197,285.193,173.927
198,283.542,174.462
199,282.018,175.010
200,280.644,175.649
201,279.346,176.370
202,278.029,177.143
203,276.607,177.944
204,275.097,178.803
205,273.570,179.779
206,272.099,180.931
207,270.744,182.304
208,269.510,183.868
209,268.385,185.569
210,267.357,187.355
211,266.413,189.173
212,265.511,190.967
213,264.589,192.682
214,263.585,194.261
215,262.439,195.650
216,261.126,196.871
217,259.660,198.024
218,258.058,199.214
219,256.337,200.544
220,254.529,202.048
221,252.689,203.660
222,250.876,205.312
223,249.144,206.932
224,247.551,208.451
225,246.099,209.828
226,244.700,211.071
227,243.256,212.195
228,241.670,213.213
229,239.888,214.142
230,237.951,215.011
231,235.915,215.848
232,233.832,216.680
233,231.758,217.535
234,229.722,218.413
235,227.741,219.299
236,225.828,220.174
237,223.997,221.019
238,222.253,221.822
239,220.553,222.582
240,218.845,223.303
241,217.076,223.989
242,215.205,224.637
243,213.234,225.210
244,211.181,225.663
245,209.060,225.950
246,206.889,226.026
247,204.694,225.875
248,202.513,225.507
249,200.381,224.932
250,198.336,224.162
251,196.409,223.213
252,194.586,222.129
253,192.837,220.967
254,191.133,219.786
255,189.444,218.643
256,187.752,217.575
257,186.064,216.589
258,184.384,215.690
259,182.721,214.883
260,181.082,214.150
261,179.482,213.416
262,177.936,212.601
263,176.457,211.624
264,175.061,210.458
265,173.762,209.151
266,172.574,207.757
267,171.510,206.328
268,170.536,204.907
269,169.570,203.528
270,168.527,202.225
271,167.342,201.015
272,166.069,199.821
273,164.811,198.527
274,163.672,197.015
