TimesH,Frame,NoMissing,131,131,147,147,160,160,177,177,181,181,210,210,212,212,214,214,218,218,221,221,247,247,250,250,256,256,263,263,267,267,275,275,280,280,291,291,303,303,323,323,324,324,325,325,326,326,335,335,338,338,342,342,357,357,370,370,372,372,379,379,383,383,385,385,387,387,403,403,404,404,408,408,422,422,426,426,440,440,442,442,444,444,445,445,455,455,477,477,480,480,501,501,549,549,610,610,707,707,752,752,761,761,765,765,808,808,842,842,883,883,893,893,934,934,956,956,1007,1007,1028,1028,1029,1029,1031,1031,1059,1059,1164,1164
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,279.113,53.063,261.519,59.813,71.753,65.918,139.528,71.137,248.12099999999998,69.76,,,253.908,79.064,227.791,91.524,81.263,90.902,252.333,89.564,59.918,104.074,91.385,102.914,107.42299999999999,100.804,91.072,107.891,202.855,106.825,205.49400000000003,114.522,258.289,112.524,289.758,120.915,74.242,115.56700000000001,93.334,135.895,49.341,137.047,179.782,135.195,116.348,134.233,31.219,130.75799999999998,214.77,128.84,62.656000000000006,142.517,128.329,148.825,98.95299999999999,153.642,246.916,152.185,89.0,151.0,,,235.74,160.298,203.30700000000002,158.779,84.286,163.162,65.327,164.562,96.057,163.00799999999998,234.895,168.548,114.55799999999999,166.838,194.36599999999999,171.96400000000003,42.019,171.696,104.806,170.696,61.38399999999999,170.985,232.77700000000002,177.62400000000002,,,207.861,188.097,230.922,193.729,202.84400000000002,48.086000000000006,292.323,90.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,279.127,53.052,261.579,59.776,71.83,65.9,139.641,71.14,248.142,69.738,,,254.05,79.06,227.791,91.589,81.25399999999999,90.839,252.54,89.30799999999999,59.786,104.353,91.31700000000001,103.02600000000001,107.446,100.765,90.99,107.851,202.88,106.825,205.455,114.501,258.33799999999997,112.47,289.652,120.958,74.322,115.677,93.375,135.746,48.948,136.759,179.729,135.22899999999998,116.389,134.112,31.143,130.707,214.824,128.812,62.586999999999996,142.466,128.29399999999998,148.753,98.891,153.684,246.933,152.213,89.0,151.0,,,235.785,160.395,203.38,158.817,84.257,163.38,65.53,164.39,96.089,162.934,235.237,168.675,114.52600000000001,166.84900000000002,194.389,171.96099999999998,41.92,171.592,104.84299999999999,170.683,61.363,171.162,232.77200000000002,177.613,,,207.77599999999998,188.00900000000001,230.918,193.785,202.925,48.175,292.143,91.13799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,279.15,53.068000000000005,261.593,59.83,71.84,65.888,139.665,71.108,248.15400000000002,69.723,72.86399999999999,83.93700000000001,254.203,78.86399999999999,227.834,91.74700000000001,81.27199999999999,90.825,252.455,89.35,59.733999999999995,104.10799999999999,91.294,102.93700000000001,107.493,100.484,90.97399999999999,108.874,202.923,106.805,205.50099999999998,114.67299999999999,258.379,112.499,289.697,120.875,74.232,115.635,93.45,135.808,48.621,135.87,179.69099999999997,135.281,116.427,134.079,31.379,130.776,214.952,128.721,62.49,142.494,128.355,148.686,98.85600000000001,153.707,246.97400000000002,152.262,89.0,151.0,,,235.808,160.52200000000002,203.446,158.833,84.339,163.35,65.66199999999999,164.32,96.046,162.62,235.303,168.747,114.50200000000001,166.83599999999998,194.456,172.045,41.702,171.572,104.866,170.745,61.451,171.15599999999998,232.757,177.525,65.15,192.976,207.766,188.00400000000002,230.998,193.74599999999998,202.791,48.098,292.041,91.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,279.175,53.028999999999996,261.657,59.882,71.939,65.935,139.644,71.055,248.201,69.797,71.454,81.242,254.183,78.973,227.813,91.764,81.23899999999999,90.781,252.17700000000002,89.775,59.623999999999995,104.046,91.399,102.84100000000001,107.589,100.411,90.973,109.131,202.96099999999998,106.751,205.421,114.51899999999999,258.496,112.536,289.645,120.90899999999999,74.281,115.609,93.40100000000001,135.987,,,179.678,135.43200000000002,116.445,134.071,31.584,131.201,215.0,128.695,62.545,142.44299999999998,128.327,148.657,98.837,153.724,246.956,152.256,89.0,151.0,65.837,151.311,235.769,160.434,203.56099999999998,158.844,84.316,163.547,65.58,164.388,96.18,162.584,235.305,168.83,114.524,166.735,194.565,171.993,41.65,171.683,104.719,170.915,61.449,171.226,232.74599999999998,177.575,64.997,192.93099999999998,208.19799999999998,188.248,230.955,193.798,202.87400000000002,48.211999999999996,292.03700000000003,90.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,279.199,53.02,261.676,59.966,71.944,65.92399999999999,139.737,71.024,248.378,69.944,71.461,81.26,254.22799999999998,79.14699999999999,227.825,91.83,81.182,90.83200000000001,252.16099999999997,89.93299999999999,59.746,103.946,91.384,102.829,107.55799999999999,100.265,90.964,109.13600000000001,202.977,106.74,205.24400000000003,114.479,258.533,112.57,289.711,121.03200000000001,74.267,115.647,93.421,135.906,47.574,135.988,179.74200000000002,135.494,116.544,133.89,31.697,131.151,214.949,128.812,62.556000000000004,142.433,128.35,148.63,98.84100000000001,153.71,246.957,152.335,88.54799999999999,150.365,65.715,151.06,235.57299999999998,160.091,203.662,158.839,84.3,163.659,65.524,164.385,96.072,162.42600000000002,235.358,168.923,114.304,167.00900000000001,194.673,172.06900000000002,41.562,171.683,104.73700000000001,171.003,61.688,170.65599999999998,232.765,177.53099999999998,64.889,192.926,209.688,189.36599999999999,,,202.813,48.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,279.176,53.012,261.624,59.965,72.12100000000001,65.904,139.805,71.083,248.416,69.984,71.454,81.07300000000001,254.507,79.01,227.845,91.95700000000001,81.17399999999999,90.79899999999999,252.178,90.012,59.727,103.866,91.194,102.895,107.516,100.36399999999999,90.93299999999999,109.288,203.019,106.689,205.199,114.506,258.672,112.682,289.888,121.00299999999999,74.571,116.016,93.476,136.06799999999998,47.341,136.178,179.90099999999998,135.315,116.53399999999999,133.90200000000002,31.426,130.822,214.958,128.835,62.574,142.349,128.186,148.593,98.82700000000001,153.708,246.949,152.33,88.58,150.403,65.535,150.89700000000002,235.623,160.205,203.646,158.724,84.325,163.84099999999998,65.60600000000001,164.274,95.934,162.16899999999998,235.32,168.924,114.29,167.135,194.66299999999998,172.076,41.331,171.84799999999998,104.741,171.028,61.853,170.68900000000002,232.697,177.562,64.877,192.808,209.748,189.405,230.813,193.83700000000002,202.646,48.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,279.16,52.958,261.589,59.924,72.14399999999999,65.957,139.821,71.118,248.416,69.98899999999999,71.414,80.95,254.417,79.376,227.797,91.956,81.138,90.714,253.767,88.46,59.817,103.889,91.088,102.874,107.416,100.51899999999999,90.913,109.265,203.071,106.67299999999999,205.16,114.521,258.63,112.67200000000001,289.987,120.848,74.637,116.041,93.507,135.97899999999998,47.468,135.906,180.03,135.304,116.52799999999999,133.93200000000002,31.509,130.97899999999998,214.96400000000003,128.86,62.50899999999999,142.316,128.282,148.532,98.777,153.687,247.033,152.418,88.729,150.417,65.411,150.55700000000002,235.838,160.442,203.66099999999997,158.65200000000002,84.29899999999999,163.84599999999998,65.76100000000001,164.273,96.10700000000001,162.167,235.31,168.872,114.335,167.266,194.729,172.03599999999997,41.525,171.571,104.738,171.084,61.99100000000001,170.708,232.646,177.55200000000002,64.805,192.66299999999998,208.437,190.917,230.797,193.921,202.80200000000002,49.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,279.2,52.928000000000004,261.61,59.934,72.262,65.964,139.92600000000002,71.187,248.34799999999998,69.931,71.374,80.86399999999999,254.315,79.4,227.71599999999998,91.775,81.149,90.70299999999999,252.80200000000002,89.141,59.748000000000005,104.065,91.10600000000001,102.802,107.616,100.12,90.93299999999999,109.21799999999999,203.076,106.663,205.16,114.785,258.698,112.554,289.874,120.958,74.681,116.07799999999999,93.507,136.083,46.836999999999996,136.17700000000002,180.07,135.282,116.369,134.217,31.543000000000003,131.015,215.002,128.917,62.378,142.14600000000002,128.388,148.168,98.762,153.717,247.05,152.5,89.016,150.629,65.233,150.356,235.68,160.314,203.627,158.707,84.273,163.873,65.867,164.12900000000002,96.04299999999999,162.276,235.31799999999998,168.90200000000002,114.26100000000001,167.50799999999998,194.9,172.077,41.478,171.90900000000002,104.787,171.074,62.358000000000004,170.623,232.74099999999999,177.622,64.683,192.623,208.407,191.101,230.88,193.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
