TimesH,Frame,NoMissing,5,5,19,19,20,20,26,26,41,41,50,50,54,54,63,63,64,64,69,69,73,73,79,79,85,85,95,95,99,99,114,114,134,134,136,136,137,137,140,140,143,143,144,144,159,159,165,165,173,173,174,174,191,191,194,194,205,205,208,208,211,211,212,212,213,213,225,225,227,227,235,235,252,252,254,254,269,269,284,284,288,288,316,316,321,321,324,324,336,336,358,358,359,359,372,372,401,401,402,402,409,409,414,414,417,417,424,424,428,428,434,434,441,441,446,446,465,465,470,470,481,481,482,482,496,496,523,523,535,535,545,545,554,554,564,564,573,573,591,591,651,651,696,696,746,746,861,861,964,964,1035,1035,1071,1071,1129,1129,1179,1179
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
164.75,659.0,,118.885,42.369,76.976,45.208999999999996,284.143,43.981,306.443,42.128,75.421,27.99,246.81400000000002,22.99,55.347,26.339000000000002,99.46600000000001,34.247,264.844,30.631,60.3,32.896,236.51,32.12,238.31799999999998,61.021,291.315,56.898,244.97,66.033,279.518,63.463,225.771,45.566,261.882,53.013000000000005,289.209,83.579,106.59200000000001,84.929,263.72700000000003,84.15100000000001,307.363,84.90899999999999,211.604,81.09,220.889,91.015,78.543,86.95100000000001,85.70200000000001,71.732,235.832,71.646,200.895,80.033,130.55100000000002,78.664,256.165,104.719,,,91.624,103.21799999999999,110.84100000000001,102.667,57.056999999999995,102.896,178.842,111.38,72.09,109.24,201.855,109.34899999999999,126.507,93.964,56.455,94.068,206.83599999999998,99.319,233.331,128.325,118.525,135.04,74.199,114.639,6.666,124.98100000000001,220.412,124.584,103.02799999999999,148.424,231.16,154.7,240.21599999999998,150.988,245.234,140.086,210.044,170.324,,,4.051,168.15599999999998,291.255,173.93,91.13600000000001,175.898,242.61599999999999,170.59799999999998,206.137,159.428,69.056,159.256,294.815,157.381,211.949,164.14,76.72,16.172,262.551,193.62900000000002,70.15,188.92,234.321,190.74099999999999,71.986,19.858,,,255.923,177.96900000000002,80.083,175.76,24.173000000000002,185.80700000000002,196.882,182.75099999999998,,,,,,,,,,,,,,,,,,,,,,
165.0,660.0,,118.891,42.372,76.969,45.152,284.08299999999997,43.961000000000006,306.433,42.086000000000006,75.388,28.024,246.847,22.965999999999998,55.367,26.375,99.56700000000001,34.458,264.828,30.662,60.336999999999996,32.866,236.507,32.18,238.296,61.114,291.319,56.94,244.957,66.03399999999999,279.502,63.428000000000004,225.78400000000002,45.56399999999999,261.825,53.036,289.214,83.58200000000001,106.584,84.804,263.732,84.09,307.376,84.964,211.588,81.098,220.87,91.059,78.497,87.006,85.712,71.74600000000001,235.96400000000003,71.637,200.987,80.021,130.595,78.623,256.19,104.665,,,91.52,103.266,110.749,102.662,57.08,102.86,178.945,111.199,72.082,109.25,201.872,109.367,126.538,94.014,56.544,94.053,206.815,99.29700000000001,233.31599999999997,128.262,118.618,135.011,74.21,114.652,6.77,124.93799999999999,220.299,124.679,103.037,148.41899999999998,231.201,154.67600000000002,240.21,150.97,245.41400000000002,139.869,210.02200000000002,170.325,221.787,169.44,4.059,168.22099999999998,291.459,173.768,91.09700000000001,175.838,242.4,170.59900000000002,206.09099999999998,159.38,68.479,159.632,294.722,157.446,211.899,164.19099999999997,76.715,16.051,262.608,193.582,70.10300000000001,188.923,234.39,190.732,71.984,19.851,239.771,18.736,255.915,177.91400000000002,80.1,175.74400000000003,24.145,185.81099999999998,196.894,182.708,,,283.256,28.896,,,,,,,,,,,,,,,,,,
165.25,661.0,,118.939,42.356,77.023,45.303000000000004,284.047,43.985,306.432,42.107,75.407,28.002,246.894,22.909000000000002,55.395,26.401,99.571,34.667,264.807,30.679000000000002,60.286,32.778,236.468,32.131,238.18,61.286,291.251,57.128,244.955,66.027,279.524,63.453,225.817,45.583,261.801,52.977,289.202,83.589,106.633,84.75399999999999,263.74,84.116,307.363,85.001,211.579,81.123,220.88400000000001,91.07,78.657,86.946,85.68799999999999,71.715,235.963,71.61,200.88400000000001,80.048,130.592,78.54899999999999,256.22,104.65700000000001,,,91.48100000000001,103.296,110.78200000000001,102.64299999999999,56.973,102.682,179.02599999999998,111.211,72.10300000000001,109.292,201.799,109.38,126.559,93.99,56.508,94.044,206.852,99.273,233.275,128.39600000000002,118.639,134.985,74.247,114.684,6.879,124.792,220.243,124.71799999999999,103.016,148.44299999999998,231.196,154.665,240.265,150.939,245.67700000000002,139.495,210.075,170.358,221.765,169.81,4.021,168.269,291.431,173.899,91.024,175.78900000000002,242.46200000000002,170.56799999999998,206.148,159.411,67.917,159.985,294.638,157.563,211.89700000000002,164.132,76.782,16.092,262.616,193.582,70.10300000000001,188.83900000000003,234.28,190.775,71.977,19.817,239.794,18.892,255.947,177.86599999999999,80.125,175.738,24.175,185.804,196.856,182.68200000000002,,,283.345,28.924,,,,,,,,,,,,,,,,,,
165.5,662.0,,118.956,42.336999999999996,76.992,45.18,284.032,44.03,306.39,42.044,75.43,27.976999999999997,246.863,22.896,55.369,26.433000000000003,99.63,34.743,264.775,30.682,60.277,32.79,236.421,32.177,238.192,61.303999999999995,291.204,57.226000000000006,244.935,66.03,279.504,63.451,225.763,45.538999999999994,261.885,52.98,289.243,83.6,106.679,84.711,263.697,84.07,307.35900000000004,85.035,211.604,81.163,220.84599999999998,91.135,78.572,86.962,85.64,71.702,236.028,71.563,200.83700000000002,80.013,130.601,78.721,256.225,104.76,139.16,107.044,91.544,103.304,110.70100000000001,102.661,56.898,102.62799999999999,179.11700000000002,111.527,72.107,109.23200000000001,201.80900000000003,109.40100000000001,126.412,93.87299999999999,56.47,94.06,206.873,99.318,233.231,128.362,118.63,135.05200000000002,74.26,114.67299999999999,6.882999999999999,124.71,220.269,124.66,103.037,148.423,231.175,154.657,240.298,150.903,245.28400000000002,140.203,210.03599999999997,170.327,221.87599999999998,170.28799999999998,3.998,168.238,291.6,173.903,91.1,175.62099999999998,242.398,170.60299999999998,206.143,159.379,67.845,160.041,294.675,157.381,211.899,164.125,76.795,16.299,262.731,193.544,70.186,188.93400000000003,234.25400000000002,190.78400000000002,71.99,19.787,239.851,18.779,255.965,177.808,80.057,175.774,24.104,185.803,196.85,182.66099999999997,175.933,64.632,283.367,28.98,,,,,,,,,,,,,,,,,,
165.75,663.0,,118.992,42.363,76.983,45.148999999999994,284.017,44.016000000000005,306.37,42.073,75.442,28.002,246.835,22.871,55.37,26.484,99.664,34.806,264.752,30.678,60.309,32.669000000000004,236.394,32.167,238.128,61.343999999999994,291.228,57.211000000000006,244.946,66.013,279.514,63.43600000000001,225.68599999999998,45.672,261.789,52.989,289.26,83.585,106.647,84.59200000000001,263.655,84.064,307.478,85.03,211.59599999999998,81.097,220.857,91.149,78.498,86.99799999999999,85.69200000000001,71.703,236.06400000000002,71.532,200.842,79.87,130.648,78.683,256.202,104.72200000000001,139.216,106.845,91.50200000000001,103.33,110.67,102.656,56.88399999999999,102.611,179.01,111.44200000000001,72.126,109.245,201.80200000000002,109.411,126.396,93.74700000000001,56.61,94.023,206.877,99.37899999999999,233.33700000000002,128.366,118.656,135.042,74.27199999999999,114.7,6.975,124.697,220.23,124.63,103.02,148.418,231.178,154.685,240.36700000000002,150.82,245.18900000000002,140.217,210.082,170.35299999999998,221.857,170.37599999999998,3.989,168.231,291.619,174.05599999999998,91.152,175.463,242.358,170.58900000000003,206.16400000000002,159.382,67.127,160.51,294.643,157.273,211.919,164.097,76.813,16.38,262.754,193.507,70.09899999999999,188.797,234.28900000000002,190.765,71.998,19.689,239.77700000000002,18.77,255.963,177.71099999999998,80.053,175.737,24.127,185.778,196.81799999999998,182.69400000000002,175.665,64.836,,,,,,,,,,,,,,,,,,,,
166.0,664.0,,118.929,42.338,76.944,45.152,284.07099999999997,44.031000000000006,306.373,42.075,75.437,28.004,246.768,22.869,55.449,26.471,99.68299999999999,34.832,264.775,30.67,60.281000000000006,32.607,236.44,32.059,238.15599999999998,61.303000000000004,291.181,57.108999999999995,244.959,66.012,279.52299999999997,63.486999999999995,225.69799999999998,45.714,261.781,53.015,289.29200000000003,83.59,106.66799999999999,84.65799999999999,263.58299999999997,84.146,307.408,85.069,211.601,81.15,220.78900000000002,91.21600000000001,78.556,86.941,85.711,71.7,235.90200000000002,71.679,200.81400000000002,79.863,130.627,78.582,256.177,104.788,139.196,106.87100000000001,91.51899999999999,103.322,110.57600000000001,102.73200000000001,56.942,102.712,179.05599999999998,111.63,72.09899999999999,109.20700000000001,201.878,109.337,126.39200000000001,93.82,56.668,93.973,206.831,99.45200000000001,233.362,128.365,118.73100000000001,135.025,74.266,114.697,6.92,124.725,220.176,124.67399999999999,103.02,148.43,231.15400000000002,154.69899999999998,240.33700000000002,150.809,245.105,140.399,210.081,170.333,222.053,171.53900000000002,4.023,168.245,291.532,174.09900000000002,91.05799999999999,175.511,242.324,170.56599999999997,206.114,159.35399999999998,67.237,160.38299999999998,294.597,157.257,211.94400000000002,164.112,76.775,16.480999999999998,262.817,193.495,70.118,188.86700000000002,234.305,190.736,72.001,19.709,239.71,19.143,255.99099999999999,177.774,79.967,175.768,24.125,185.733,196.845,182.74599999999998,,,283.407,29.015,,,,,,,,,,,,,,,,,,
166.25,665.0,,119.029,42.406000000000006,76.946,45.148,284.099,44.028999999999996,306.383,42.056000000000004,75.436,27.945999999999998,246.763,22.9,55.495,26.517,99.73,34.806,264.78700000000003,30.651999999999997,60.232,32.597,236.455,32.046,238.076,61.379,291.173,56.887,244.956,66.03,279.525,63.486000000000004,225.636,45.728,261.808,53.028,289.27,83.584,106.65799999999999,84.583,263.518,84.206,307.408,85.053,211.65200000000002,81.157,220.75,91.296,78.585,86.93299999999999,85.727,71.697,235.80700000000002,71.723,200.851,79.828,130.648,78.727,256.132,104.822,139.309,106.735,91.508,103.419,110.634,102.742,57.011,102.59200000000001,178.93400000000003,111.47399999999999,72.061,109.15299999999999,201.923,109.303,126.331,93.79899999999999,56.592,93.994,206.86900000000003,99.541,233.335,128.35299999999998,118.74700000000001,135.025,74.248,114.65799999999999,6.919,124.749,220.105,124.709,103.01899999999999,148.438,231.24599999999998,154.61700000000002,240.395,150.748,245.021,140.665,210.082,170.329,221.81,170.334,4.012,168.225,291.619,173.976,91.196,175.447,243.0,171.0,206.138,159.391,67.013,160.42600000000002,294.52299999999997,157.173,211.912,164.118,76.806,16.532,262.808,193.484,70.191,188.78,234.33900000000003,190.71599999999998,72.032,19.641,239.456,19.518,255.987,177.8,79.96300000000001,175.727,24.151999999999997,185.71400000000003,196.81799999999998,182.735,,,283.289,29.0,,,,,,,,,,,,,,,,,,
166.5,666.0,,119.178,42.474,76.95,45.181000000000004,284.061,44.021,306.376,42.055,75.498,27.936,246.778,22.855999999999998,55.465,26.475,99.694,34.859,264.768,30.679000000000002,60.225,32.54,236.638,32.01,238.047,61.456,291.192,56.872,244.96099999999998,66.07,279.51,63.468999999999994,225.65900000000002,45.67,261.824,53.03,289.251,83.544,106.694,84.73,263.48400000000004,84.15799999999999,307.353,85.059,211.625,81.161,220.72799999999998,91.29700000000001,78.59,86.946,85.715,71.699,235.854,71.63600000000001,200.75799999999998,79.873,130.653,78.80199999999999,256.153,104.84700000000001,139.13299999999998,106.834,91.50399999999999,103.441,110.685,102.735,56.989,102.681,179.18099999999998,111.446,72.023,109.056,201.90099999999998,109.354,126.25299999999999,93.64399999999999,56.547,93.99600000000001,206.85,99.53200000000001,233.34799999999998,128.263,118.698,135.011,74.21600000000001,114.536,6.825,124.889,220.085,124.807,103.015,148.424,231.24099999999999,154.60299999999998,240.467,150.662,245.017,140.741,210.11599999999999,170.33,,,4.023,168.328,291.758,173.937,91.271,175.328,242.479,170.56900000000002,206.201,159.411,66.883,160.518,294.462,157.24,211.946,164.13299999999998,76.741,16.534000000000002,262.845,193.488,70.558,188.924,234.35,190.65900000000002,72.02199999999999,19.627,239.459,19.505,255.976,177.75,79.926,175.727,24.119,185.707,196.828,182.703,,,283.155,28.976,,,,,,,,,,,,,,,,,,
