TimesH,Frame,NoMissing,3,3,4,4,9,9,11,11,14,14,15,15,21,21,27,27,28,28,32,32,36,36,43,43,44,44,46,46,47,47,49,49,50,50,51,51,55,55,57,57,58,58,63,63,65,65,67,67,71,71,74,74,75,75,87,87,124,124,127,127,130,130,133,133,134,134,143,143,153,153,154,154,159,159,160,160,163,163,166,166,171,171,175,175,180,180,182,182,185,185,195,195,203,203,205,205,207,207,209,209,211,211,212,212,214,214,216,216,217,217,218,218,220,220,221,221,226,226,231,231,233,233,234,234,236,236,325,325,330,330,332,332,335,335,340,340,343,343,345,345,475,475,477,477,545,545,593,593,621,621,843,843,862,862,881,881,1037,1037,1174,1174,1186,1186
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
333.75,1335.0,,47.413999999999994,156.09,134.83100000000002,156.708,217.08900000000003,161.082,105.314,161.523,75.031,161.98,229.81400000000002,149.107,270.681,149.49,188.03599999999997,155.26,67.362,154.019,192.451,171.64700000000002,244.23,174.59900000000002,202.332,182.149,106.37200000000001,180.736,,,38.059,165.835,175.405,164.57,200.035,167.21099999999998,247.58900000000003,166.88299999999998,21.133000000000003,170.382,267.259,168.325,209.65400000000002,170.53599999999997,44.619,191.485,23.051,191.343,216.47799999999998,194.081,234.49,193.641,185.112,196.018,201.40599999999998,197.408,222.65599999999998,186.66299999999998,105.928,99.36399999999999,247.832,103.055,91.678,104.79899999999999,193.669,103.97,221.02900000000002,88.76700000000001,119.2,95.061,136.369,114.54799999999999,235.764,117.694,87.15299999999999,119.62299999999999,95.475,119.177,190.715,119.648,203.15099999999998,105.367,109.316,108.163,249.514,110.68799999999999,73.23,128.628,109.292,128.089,60.912,131.524,207.56099999999998,134.088,63.253,124.49600000000001,198.76,126.389,136.506,127.12700000000001,240.56,125.571,232.729,140.687,272.371,141.293,,,196.128,142.164,153.458,146.482,213.873,143.832,72.953,146.746,285.334,146.454,72.158,137.438,278.93,137.744,67.51,140.084,245.35,139.404,262.527,139.922,223.267,80.309,134.491,87.999,207.662,86.165,196.565,87.984,121.521,74.942,95.20700000000001,75.134,208.354,74.502,,,,,,,,,,,,,,,,,,,,,,
334.0,1336.0,,47.41,156.106,134.783,156.612,217.055,161.049,105.262,161.486,74.961,161.888,229.864,149.082,270.784,149.439,188.097,155.263,67.274,154.009,192.476,171.60299999999998,244.22,174.611,202.32,182.16299999999998,106.39200000000001,180.737,,,38.053000000000004,165.842,175.524,164.50599999999997,200.032,167.202,247.608,166.878,21.164,170.424,267.41200000000003,167.847,209.713,170.59900000000002,44.623999999999995,191.5,23.057,191.41299999999998,216.37400000000002,194.06099999999998,234.544,193.838,185.085,196.05599999999998,201.39,197.385,222.638,186.638,105.95,99.294,247.88099999999997,103.12200000000001,91.618,104.821,193.747,103.896,221.00900000000001,88.774,118.976,95.01799999999999,136.378,114.52,235.78099999999998,117.711,87.315,119.698,95.432,119.10700000000001,190.703,119.69,203.12,105.384,109.292,108.14299999999999,249.49599999999998,110.68299999999999,73.078,128.615,109.241,128.09,60.925,131.516,207.625,134.111,63.231,124.499,198.774,126.39200000000001,136.466,127.223,240.59,125.585,232.718,140.65200000000002,272.4,141.282,,,196.115,142.18,153.511,146.44799999999998,213.899,143.847,73.178,146.606,285.41200000000003,146.514,72.023,137.501,278.937,137.72799999999998,67.567,140.035,245.386,139.387,262.577,139.893,223.24900000000002,80.29899999999999,134.562,88.009,207.56099999999998,86.15899999999999,196.55700000000002,87.963,121.536,74.995,95.181,75.124,208.304,74.54,,,,,,,,,,,,,,,,,,,,,,
334.25,1337.0,,47.358000000000004,156.141,134.683,156.763,217.06099999999998,161.02100000000002,105.241,161.52,75.07,161.84799999999998,229.91,149.056,270.878,149.393,188.10299999999998,155.27,67.161,154.007,192.49400000000003,171.585,244.24900000000002,174.655,202.273,182.21099999999998,106.35700000000001,180.713,,,38.125,165.90400000000002,175.46,164.537,200.032,167.157,247.605,166.907,21.235,170.488,267.387,167.96099999999998,209.75099999999998,170.582,44.641999999999996,191.52700000000002,23.068,191.46400000000003,216.4,194.054,234.043,193.683,185.113,196.07,201.338,197.30200000000002,222.727,186.75799999999998,105.941,99.256,247.99200000000002,103.07,91.61399999999999,104.775,193.72299999999998,103.89299999999999,221.015,88.741,119.009,95.09700000000001,136.363,114.492,235.78799999999998,117.68299999999999,87.369,119.71700000000001,95.4,119.07799999999999,190.669,119.709,203.22299999999998,105.35600000000001,109.279,108.154,249.488,110.671,73.059,128.618,109.301,128.09799999999998,60.965,131.467,207.605,134.076,63.32899999999999,124.551,198.763,126.39299999999999,136.434,127.304,240.628,125.56299999999999,232.727,140.654,272.425,141.30700000000002,131.789,143.187,196.06,142.145,153.467,146.482,213.861,143.925,73.248,146.553,285.46,146.444,72.036,137.417,278.972,137.718,67.493,140.031,245.498,139.406,262.574,139.97,223.34099999999998,80.185,134.589,87.925,207.613,86.176,196.55,87.946,121.55799999999999,74.97800000000001,95.14399999999999,75.10600000000001,208.399,74.62899999999999,,,,,,,,,,,,,,,,,,,,,,
334.5,1338.0,,47.37,156.109,134.768,156.71,217.017,161.06,105.178,161.546,75.175,161.839,229.857,149.056,270.835,149.361,188.143,155.293,67.197,154.011,192.50099999999998,171.65,244.25400000000002,174.665,202.282,182.231,106.31700000000001,180.68200000000002,192.493,165.32299999999998,38.178000000000004,165.889,175.639,164.47099999999998,200.063,167.109,247.628,166.921,21.278000000000002,170.47400000000002,267.36,168.07,209.75099999999998,170.62,44.63399999999999,191.50799999999998,23.087,191.472,216.419,194.024,234.22099999999998,193.78400000000002,185.06900000000002,196.101,201.326,197.368,222.713,186.743,105.851,99.15,247.983,102.948,91.585,104.771,193.72099999999998,103.87200000000001,221.043,88.72200000000001,118.935,95.094,136.371,114.508,235.77700000000002,117.679,87.316,119.742,95.307,119.094,190.68200000000002,119.75,203.235,105.374,109.194,108.105,249.482,110.695,72.98899999999999,128.542,109.417,128.153,60.955,131.483,207.62900000000002,134.072,63.292,124.53,198.762,126.39399999999999,136.40200000000002,127.31700000000001,240.665,125.618,232.81400000000002,140.654,272.401,141.375,131.889,143.661,196.06799999999998,142.161,153.55700000000002,146.454,213.86900000000003,143.934,73.01100000000001,146.58100000000002,285.462,146.461,72.05199999999999,137.466,279.022,137.713,67.495,140.029,245.502,139.411,262.442,139.793,223.295,80.237,134.58700000000002,87.929,207.77700000000002,86.10600000000001,196.517,87.988,121.42299999999999,74.918,95.14399999999999,75.098,208.55900000000003,74.72,,,,,,,,,,,,,,,,,,,,,,
334.75,1339.0,,47.372,156.082,134.643,156.639,217.043,161.089,105.165,161.553,75.038,161.77100000000002,229.808,149.088,270.857,149.24,188.173,155.372,67.145,153.986,192.57,171.489,244.253,174.65900000000002,202.31900000000002,182.185,106.33200000000001,180.735,192.487,165.227,38.158,165.926,175.799,164.39700000000002,200.042,167.015,247.635,166.92700000000002,21.480999999999998,170.606,267.427,167.989,209.794,170.63400000000001,44.623999999999995,191.532,23.123,191.59099999999998,216.446,193.982,234.391,193.81400000000002,185.02900000000002,196.09599999999998,201.399,197.41400000000002,222.729,186.77200000000002,105.852,99.066,247.828,102.9,91.62299999999999,104.788,193.745,103.807,221.024,88.743,118.90799999999999,95.085,136.346,114.48899999999999,235.785,117.684,87.291,119.65299999999999,95.432,119.096,190.709,119.77,203.28799999999998,105.39299999999999,109.204,108.12,249.507,110.68299999999999,72.97800000000001,128.52,109.22,128.174,60.92,131.513,207.546,134.08700000000002,63.256,124.545,198.766,126.384,136.417,127.26,240.641,125.556,232.81799999999998,140.634,272.45099999999996,141.451,131.88299999999998,144.014,196.143,142.183,153.474,146.429,213.929,143.899,73.066,146.532,285.505,146.621,72.02600000000001,137.489,279.07599999999996,137.69299999999998,67.487,140.034,245.521,139.41299999999998,262.46,139.74,223.38,80.184,134.553,87.905,207.692,86.14,196.475,88.001,121.56,74.964,95.054,75.048,208.56799999999998,74.771,,,,,,,,,,,,,,,,,,,,,,
335.0,1340.0,,47.373000000000005,156.106,134.38299999999998,156.40200000000002,217.084,161.071,105.236,161.51,74.954,161.703,229.77599999999998,149.106,270.824,149.243,188.19099999999997,155.39600000000002,67.104,153.961,192.607,171.49099999999999,244.232,174.588,202.357,182.153,106.319,180.68400000000003,192.489,165.023,38.12,165.893,175.722,164.46400000000003,200.058,166.977,247.635,166.975,21.500999999999998,170.63,267.422,168.107,209.817,170.678,44.646,191.558,23.139,191.61700000000002,216.43200000000002,194.048,234.324,193.388,185.021,196.11900000000003,201.385,197.458,222.69299999999998,186.833,105.802,99.024,247.852,102.90100000000001,91.529,104.79299999999999,193.79,103.814,221.017,88.742,118.876,95.068,136.346,114.485,235.815,117.71,87.166,119.63,95.396,119.11399999999999,190.672,119.81299999999999,203.243,105.40899999999999,109.20200000000001,108.12200000000001,249.489,110.69,72.99600000000001,128.374,109.29299999999999,128.141,60.905,131.52,207.63099999999997,134.05100000000002,63.236999999999995,124.55799999999999,198.793,126.381,136.392,127.333,240.679,125.556,232.81,140.643,272.49,141.481,131.875,143.673,196.13400000000001,142.191,153.55,146.466,213.965,143.885,73.108,146.471,285.653,146.696,71.976,137.558,279.07,137.711,67.453,140.0,245.43599999999998,139.407,262.531,139.887,223.47299999999998,80.192,134.55100000000002,87.945,207.648,86.15100000000001,196.435,88.012,121.545,74.972,95.13600000000001,74.976,208.61599999999999,74.815,,,,,,,,,,,,,,,,,,,,,,
335.25,1341.0,,47.388999999999996,156.094,134.57299999999998,156.562,217.12900000000002,161.075,105.227,161.437,74.891,161.656,229.768,149.14,270.88599999999997,149.296,188.21,155.412,66.97,153.961,192.605,171.49599999999998,244.24099999999999,174.58599999999998,202.37,182.145,106.34200000000001,180.74,192.46200000000002,165.00799999999998,38.148,165.898,175.71200000000002,164.515,200.051,166.926,247.66,166.94799999999998,21.261999999999997,170.49,267.469,167.90599999999998,209.821,170.679,44.72,191.632,23.142,191.60299999999998,216.39700000000002,194.02599999999998,234.34,193.722,184.99200000000002,196.09400000000002,201.52200000000002,197.984,222.563,186.733,105.84100000000001,99.035,247.903,102.87700000000001,91.546,104.833,193.82299999999998,103.79799999999999,221.019,88.757,118.931,95.071,136.326,114.479,235.812,117.714,87.134,119.64,95.50200000000001,118.994,190.623,119.81299999999999,203.322,105.38799999999999,109.209,108.104,249.514,110.682,72.997,128.322,109.315,128.143,60.88399999999999,131.519,207.72099999999998,134.116,63.242,124.53399999999999,198.78,126.383,136.421,127.34299999999999,240.63099999999997,125.57600000000001,232.81900000000002,140.655,272.476,141.493,131.816,144.405,196.231,142.226,153.431,146.42700000000002,213.98,143.893,73.081,146.458,285.697,146.715,71.868,137.569,279.125,137.743,67.494,139.92,245.38299999999998,139.41,262.389,139.92,223.49599999999998,80.256,134.578,87.98299999999999,207.699,86.137,196.395,88.00399999999999,121.46,74.956,95.072,74.961,208.644,74.84899999999999,,,,,,,,,,,,,,,,,,,,,,
335.5,1342.0,,47.446999999999996,156.066,134.394,156.34,217.16400000000002,161.058,105.23100000000001,161.499,74.783,161.444,229.761,149.183,270.913,149.414,188.24599999999998,155.408,66.998,153.936,192.648,171.44,244.23,174.54,202.361,182.18400000000003,106.29,180.68099999999998,192.47099999999998,164.99400000000003,38.204,165.894,175.713,164.489,200.053,166.82,247.699,166.935,21.326,170.456,267.473,168.18099999999998,209.894,170.77599999999998,44.733999999999995,191.66299999999998,23.141,191.63299999999998,216.435,194.082,234.204,193.43900000000002,184.989,196.072,201.488,197.959,222.575,186.718,105.815,98.962,248.02599999999998,103.001,91.539,104.81200000000001,193.799,103.855,221.045,88.755,119.031,95.10600000000001,136.309,114.45100000000001,235.82,117.72399999999999,87.06200000000001,119.59,95.43700000000001,118.98700000000001,190.584,119.82799999999999,203.28,105.439,109.229,108.079,249.49200000000002,110.68,72.92699999999999,128.435,109.316,128.084,60.86600000000001,131.532,207.669,134.172,63.141999999999996,124.492,198.774,126.389,136.352,127.344,240.732,125.57700000000001,232.81099999999998,140.674,272.482,141.518,131.732,144.694,196.174,142.22,153.498,146.43,214.016,143.924,73.096,146.437,286.048,146.793,71.812,137.622,279.125,137.672,67.545,139.96,245.372,139.386,262.381,139.80100000000002,223.57299999999998,80.304,134.626,88.00299999999999,207.71400000000003,86.175,196.41400000000002,88.00200000000001,121.61,75.072,95.04299999999999,74.935,208.665,74.854,,,,,,,,,,,,,,,,,,,,,,
