TimesH,Frame,NoMissing,7,7,9,9,14,14,21,21,28,28,30,30,33,33,37,37,51,51,52,52,56,56,77,77,79,79,83,83,90,90,113,113,136,136,137,137,152,152,153,153,154,154,158,158,160,160,171,171,173,173,180,180,186,186,189,189,193,193,195,195,196,196,206,206,208,208,213,213,218,218,234,234,242,242,249,249,252,252,254,254,256,256,276,276,303,303,310,310,312,312,319,319,321,321,327,327,332,332,335,335,341,341,357,357,364,364,370,370,372,372,382,382,396,396,399,399,405,405,411,411,431,431,437,437,438,438,446,446,465,465,474,474,476,476,484,484,492,492,506,506,521,521,523,523,527,527,540,540,541,541,542,542,544,544,545,545,547,547,566,566,567,567,568,568,575,575,576,576,585,585,674,674,690,690,725,725,728,728,758,758,804,804,826,826,833,833,874,874,934,934,950,950,992,992,1077,1077,1130,1130,1337,1337
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
333.75,1335.0,,51.86,31.103,60.206,30.348000000000003,203.84799999999998,27.879,224.673,26.061999999999998,242.013,187.322,90.69,24.182,81.846,22.903000000000002,232.733,20.285,284.138,184.438,112.455,13.935,102.335,12.439,22.046999999999997,182.42700000000002,66.197,182.468,207.46900000000002,180.023,100.508,179.926,266.469,70.045,103.516,66.437,134.221,65.904,219.926,62.168,232.38400000000001,61.888999999999996,97.883,60.693999999999996,292.24,59.256,151.863,60.472,126.632,60.261,235.03900000000002,56.123000000000005,273.15,52.967,240.31099999999998,52.223,201.93,50.842,285.939,48.266000000000005,146.349,47.625,231.696,47.463,223.56799999999998,45.474,272.301,45.77,272.906,193.965,218.858,193.748,255.486,35.539,279.39799999999997,34.193000000000005,94.90700000000001,33.473,136.5,32.872,248.359,190.07299999999998,236.947,189.683,38.17,102.335,70.816,92.29299999999999,80.51,90.37200000000001,265.365,88.49799999999999,68.988,85.73700000000001,291.525,84.86200000000001,185.87900000000002,84.36399999999999,254.25400000000002,80.964,114.22,80.093,80.53,78.589,225.34900000000002,73.635,50.351000000000006,119.867,95.52799999999999,118.523,255.952,116.86,65.714,114.041,76.586,108.789,257.79200000000003,107.929,60.706,107.165,232.66400000000002,134.457,30.191,128.274,132.775,125.785,55.163999999999994,125.087,288.03700000000003,121.64200000000001,286.006,142.857,70.421,142.395,246.452,141.04399999999998,260.426,138.017,45.552,161.19799999999998,261.834,156.357,178.274,152.192,91.109,151.671,288.461,149.64600000000002,247.08,172.79,238.926,172.703,59.266000000000005,172.546,48.286,172.456,303.188,170.708,198.372,171.335,105.619,164.007,78.342,164.002,64.149,162.86700000000002,70.687,160.891,83.48,103.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.0,1336.0,,51.93899999999999,31.124000000000002,60.20399999999999,30.355,203.856,27.845,224.725,26.072,242.05599999999998,187.298,90.671,24.17,81.885,22.925,232.709,20.289,284.22700000000003,184.49900000000002,112.42,14.038,102.27600000000001,12.405999999999999,21.766,182.63099999999997,66.207,182.489,207.403,180.035,100.573,179.489,266.522,69.962,103.524,66.39699999999999,134.235,65.881,219.984,62.187,232.38099999999997,61.876000000000005,97.869,60.688,292.256,59.338,151.83100000000002,60.45,126.78,59.743,235.041,56.093999999999994,273.082,52.973,240.358,52.251999999999995,201.89700000000002,50.881,285.965,48.203,146.343,47.653,231.706,47.464,223.571,45.468999999999994,272.27,45.766000000000005,272.816,193.903,218.84400000000002,193.713,255.49099999999999,35.537,279.381,34.141999999999996,95.147,33.611,136.33100000000002,32.825,248.333,190.102,236.87099999999998,189.71200000000002,38.283,102.318,70.793,92.277,80.462,90.448,265.4,88.51100000000001,68.923,85.72,291.48400000000004,84.73100000000001,185.877,84.337,254.292,80.958,114.245,80.083,80.501,78.581,225.567,73.62,50.371,119.875,95.495,118.39299999999999,255.86700000000002,116.87700000000001,65.62899999999999,114.09700000000001,76.597,108.803,257.8,107.92399999999999,60.735,107.01799999999999,232.675,134.42700000000002,30.264,128.335,132.243,125.429,55.157,125.08,288.039,121.691,285.998,142.92600000000002,70.385,142.398,246.452,141.04,260.186,138.07299999999998,45.597,161.181,261.808,156.345,178.287,152.178,91.117,151.656,288.452,149.697,247.148,172.738,238.83700000000002,172.66299999999998,59.242,172.71200000000002,48.345,172.44299999999998,303.202,170.71,198.37400000000002,171.333,105.641,164.02599999999998,78.2,164.007,64.119,162.868,70.695,160.901,83.48100000000001,103.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.25,1337.0,,52.015,31.099,60.235,30.343000000000004,203.916,27.855999999999998,224.725,26.087,242.148,187.278,90.7,24.144000000000002,81.889,22.909000000000002,232.703,20.294,284.238,184.467,112.646,14.072000000000001,102.37299999999999,12.32,21.730999999999998,182.739,66.18,182.467,207.46900000000002,179.99200000000002,100.544,179.843,266.467,70.039,103.584,66.342,134.185,65.89399999999999,220.00400000000002,62.23,232.385,61.881,97.87200000000001,60.648,292.214,59.413999999999994,151.828,60.427,126.802,59.544,234.985,56.111000000000004,273.086,52.961999999999996,240.343,52.222,201.843,50.924,285.937,48.195,146.345,47.547,231.705,47.428999999999995,223.50799999999998,45.481,272.23900000000003,45.77,272.92900000000003,193.955,218.872,193.739,255.487,35.538000000000004,279.499,34.155,95.072,33.589,136.27700000000002,32.85,248.368,190.083,236.87,189.735,38.277,102.324,70.733,92.25,80.483,90.41799999999999,265.48400000000004,88.512,68.973,85.726,291.494,84.69,185.952,84.37,254.267,80.955,114.255,80.095,80.46600000000001,78.643,225.507,73.491,50.361000000000004,119.87799999999999,95.50200000000001,118.45299999999999,255.81400000000002,116.84700000000001,65.711,114.024,76.64,108.792,257.798,107.905,60.711999999999996,106.999,232.64,134.445,30.238000000000003,128.26,131.937,125.00200000000001,55.201,125.089,288.031,121.66799999999999,286.028,142.908,70.352,142.391,246.46200000000002,141.03799999999998,260.204,138.049,45.608000000000004,161.178,261.907,156.368,178.31900000000002,152.159,91.083,151.629,288.487,149.668,247.155,172.74099999999999,238.864,172.696,59.281000000000006,172.588,48.303000000000004,172.44400000000002,303.18,170.7,198.389,171.325,105.62200000000001,163.967,78.188,164.003,64.137,162.872,70.71,160.92600000000002,83.413,103.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.5,1338.0,,52.077,31.142,60.254,30.351999999999997,203.894,27.893,224.71099999999998,26.109,242.063,187.208,90.742,24.175,81.925,22.912,232.671,20.285,284.2,184.482,112.652,14.106,102.39,12.26,21.897,182.66,66.178,182.457,207.465,179.96,100.39,180.127,266.47700000000003,69.977,103.48100000000001,66.366,134.231,65.888,219.97799999999998,62.136,232.40200000000002,61.981,97.82700000000001,60.711999999999996,292.184,59.498999999999995,151.813,60.415,126.971,58.486000000000004,235.02200000000002,56.108000000000004,273.121,52.983000000000004,240.347,52.243,201.864,50.915,285.976,48.18,146.289,47.488,231.665,47.466,223.554,45.446000000000005,272.245,45.803999999999995,272.96,193.96099999999998,218.83,193.745,255.50900000000001,35.535,279.512,34.156,94.853,33.558,135.882,32.979,248.43900000000002,190.092,236.899,189.735,38.236999999999995,102.369,70.762,92.23700000000001,80.368,90.59,265.482,88.5,68.967,85.725,291.52,84.8,185.94099999999997,84.316,254.24,80.851,114.292,80.092,80.421,78.652,225.62099999999998,73.535,50.358000000000004,119.87799999999999,95.572,118.49799999999999,255.797,116.82,65.777,114.01899999999999,76.67699999999999,108.81200000000001,257.819,107.925,60.775,106.988,232.604,134.455,30.218000000000004,128.275,132.012,125.071,55.242,125.079,288.012,121.671,286.03,142.9,70.355,142.364,246.53599999999997,141.055,260.147,138.06,45.638000000000005,161.167,261.86,156.37,178.321,152.143,91.055,151.645,288.506,149.659,247.168,172.782,238.922,172.679,59.229,172.74099999999999,48.303999999999995,172.44099999999997,303.207,170.734,198.43900000000002,171.391,105.64399999999999,163.812,78.069,163.988,64.104,162.878,70.639,160.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.75,1339.0,,52.051,31.175,60.265,30.365,203.864,27.980999999999998,224.752,26.098000000000003,242.122,187.2,90.734,24.184,81.948,22.909000000000002,232.697,20.269000000000002,284.173,184.429,112.53299999999999,14.084000000000001,102.391,12.335,21.668000000000003,182.86,66.116,182.44400000000002,207.475,179.95,100.544,179.88,266.518,69.936,103.51700000000001,66.26899999999999,134.27700000000002,65.86399999999999,219.976,62.113,232.342,62.015,97.829,60.595,292.134,59.54,151.869,60.369,126.936,58.39,235.025,56.083999999999996,273.152,52.985,240.37099999999998,52.269,201.863,50.918,285.962,48.178999999999995,146.232,47.426,231.671,47.424,223.544,45.434,272.29900000000004,45.79600000000001,273.01,194.082,218.845,193.75900000000001,255.517,35.521,279.494,34.254,94.736,33.412,135.47299999999998,33.05,248.42700000000002,190.111,236.84900000000002,189.74099999999999,38.229,102.40299999999999,70.819,92.184,80.382,90.556,265.42400000000004,88.523,68.944,85.71600000000001,291.572,84.734,185.94799999999998,84.335,254.269,80.941,114.304,80.064,80.329,78.69800000000001,225.696,73.57300000000001,50.333,119.82700000000001,95.51799999999999,118.40899999999999,255.674,116.874,65.749,114.045,76.712,108.805,257.818,107.929,60.708,106.87299999999999,232.58,134.447,30.188000000000002,128.259,132.1,125.148,55.23,125.054,287.987,121.654,286.027,143.004,70.367,142.372,246.602,141.02,260.41900000000004,138.095,45.696000000000005,161.122,261.955,156.387,178.382,152.162,91.102,151.582,288.552,149.836,247.208,172.75900000000001,238.937,172.64700000000002,59.225,172.80900000000003,48.277,172.425,303.195,170.77900000000002,198.48,171.4,105.55799999999999,163.798,78.117,164.028,64.075,162.86700000000002,70.63600000000001,160.898,83.31299999999999,103.03299999999999,216.521,152.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335.0,1340.0,,52.11600000000001,31.158,60.261,30.355,203.825,27.964000000000002,224.71599999999998,26.108,241.933,187.38,90.72399999999999,24.197,81.947,22.9,232.678,20.256,284.192,184.46,112.62700000000001,13.997,102.405,12.305,21.555,182.86599999999999,66.123,182.48,207.7,179.792,100.52600000000001,179.97,266.531,70.036,103.494,66.307,134.243,65.919,219.995,62.147,232.40900000000002,61.925,97.829,60.526,292.158,59.735,151.901,60.376999999999995,126.941,58.36600000000001,235.04,56.047,273.27299999999997,52.998000000000005,240.373,52.302,201.858,50.955,285.954,48.163999999999994,146.241,47.443000000000005,231.71099999999998,47.402,223.52200000000002,45.402,272.158,45.858000000000004,272.998,194.11900000000003,218.838,193.757,255.505,35.5,279.524,34.222,94.73700000000001,33.467,135.759,32.997,248.43900000000002,190.102,236.817,189.67700000000002,38.152,102.477,70.786,92.141,80.367,90.583,265.379,88.603,68.882,85.72,291.618,84.655,185.90900000000002,84.35600000000001,254.25400000000002,80.993,114.321,80.072,80.348,78.642,225.668,73.538,50.326,119.845,95.522,118.495,255.75599999999997,116.87200000000001,65.77,113.988,76.692,108.815,257.786,107.94,60.769,106.912,232.565,134.468,30.245,128.304,131.95,124.96700000000001,55.208999999999996,125.059,288.026,121.68700000000001,286.035,142.903,70.314,142.361,246.646,141.03,260.138,138.127,45.677,161.106,261.944,156.315,178.31799999999998,152.155,91.087,151.56,288.652,149.88299999999998,247.168,172.765,238.857,172.632,59.258,172.87400000000002,48.276,172.424,303.195,170.74099999999999,198.47299999999998,171.518,105.604,163.778,78.028,164.06400000000002,64.085,162.88299999999998,70.64,160.907,83.191,103.02799999999999,216.515,152.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335.25,1341.0,,52.15,31.169,60.263999999999996,30.38,203.842,27.945,224.729,26.055999999999997,242.003,187.41400000000002,90.789,24.158,81.945,22.919,232.666,20.262999999999998,284.157,184.403,112.7,13.956,102.445,12.359000000000002,21.721999999999998,182.82299999999998,66.082,182.507,207.815,179.731,100.62899999999999,179.787,266.531,69.985,103.535,66.34100000000001,134.239,65.87,219.985,62.111999999999995,232.357,61.948,97.836,60.468,292.117,59.776,151.922,60.373000000000005,127.04299999999999,58.325,235.076,55.994,273.265,53.007,240.4,52.254,201.833,51.013999999999996,285.967,48.202,146.173,47.391000000000005,231.72400000000002,47.357,223.36,45.519,272.252,45.816,273.003,194.155,218.815,193.73,255.517,35.493,279.568,34.282,94.85600000000001,33.525999999999996,135.638,33.111999999999995,248.435,190.105,236.717,189.66299999999998,38.181999999999995,102.50399999999999,70.751,92.148,80.329,90.669,265.353,88.555,68.915,85.70100000000001,291.60400000000004,84.624,185.893,84.368,254.273,81.081,114.304,80.089,80.303,78.683,225.53599999999997,73.442,50.288999999999994,119.83,95.512,118.469,255.84400000000002,116.882,65.774,113.999,76.638,108.80799999999999,257.83099999999996,107.95700000000001,60.8,106.92399999999999,232.512,134.476,30.314,128.401,132.045,125.12299999999999,55.198,125.05799999999999,288.03,121.71700000000001,286.052,142.953,70.32300000000001,142.30700000000002,246.705,141.111,260.524,138.113,45.651,161.071,261.845,156.293,178.297,152.137,,,288.659,149.911,247.1,172.726,238.85,172.63299999999998,59.276,172.862,48.29600000000001,172.424,303.165,170.7,198.472,171.644,105.601,163.724,78.016,164.104,64.02,162.881,70.61,160.92600000000002,83.355,103.01799999999999,214.735,155.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335.5,1342.0,,52.153,31.164,60.278999999999996,30.393,203.878,27.906999999999996,224.805,26.135,241.976,187.435,90.815,24.206999999999997,81.931,22.909000000000002,232.628,20.278,284.086,184.36599999999999,112.709,13.927,102.54,12.22,21.585,182.804,66.057,182.47799999999998,209.28400000000002,179.049,100.744,179.42,266.563,70.016,103.51299999999999,66.33,134.194,65.904,219.94299999999998,62.04600000000001,232.479,61.87,97.831,60.464,292.177,59.772,151.93,60.388000000000005,127.13,58.138000000000005,235.06099999999998,55.988,273.26599999999996,52.994,240.37599999999998,52.261,201.86700000000002,50.968,285.905,48.238,146.108,47.295,231.695,47.355,223.34099999999998,45.528999999999996,272.142,45.915,272.97700000000003,194.179,218.797,193.683,255.46200000000002,35.501999999999995,279.49,34.275,94.98,33.592,135.429,33.07,248.44099999999997,190.06400000000002,236.612,189.68,38.223,102.47200000000001,70.71,92.125,80.343,90.61200000000001,265.29900000000004,88.554,68.903,85.705,291.598,84.72,185.92,84.42399999999999,254.355,81.038,114.323,80.097,80.3,78.628,225.641,73.301,50.286,119.814,95.488,118.45299999999999,255.80599999999998,116.815,65.78699999999999,113.973,76.658,108.823,257.867,107.931,60.79,106.84200000000001,232.521,134.439,30.163,128.392,132.062,125.33200000000001,55.158,125.056,288.026,121.738,286.04200000000003,142.936,70.277,142.321,246.76,141.118,260.328,138.084,45.661,161.067,261.904,156.308,178.274,152.157,,,288.692,149.861,247.074,172.73,238.917,172.639,59.345,172.486,48.321000000000005,172.41,303.203,170.753,198.511,171.577,105.603,163.783,77.986,164.03,64.046,162.91299999999998,70.648,160.944,83.34299999999999,102.999,214.678,155.72899999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
