TimesH,Frame,NoMissing,60,60,81,81,82,82,84,84,86,86,87,87,88,88,89,89,93,93,101,101,102,102,104,104,113,113,116,116,119,119,120,120,121,121,129,129,130,130,131,131,133,133,134,134,135,135,143,143,144,144,147,147,152,152,155,155,156,156,157,157,163,163,164,164,165,165,172,172,175,175,177,177,178,178,179,179,180,180,182,182,185,185,187,187,189,189,193,193,199,199,205,205,208,208,212,212,213,213,220,220,222,222,227,227,232,232,233,233,234,234,238,238,242,242,244,244,251,251,252,252,261,261,267,267,270,270,283,283,285,285,310,310,494,494,523,523,577,577,591,591,662,662
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
48.0,192.0,,113.256,90.32799999999999,189.61599999999999,114.12299999999999,125.956,113.618,30.366999999999997,116.542,218.577,116.42200000000001,207.03900000000002,114.72200000000001,257.373,118.715,,,197.542,119.839,251.547,101.40700000000001,87.613,99.245,204.24900000000002,106.447,106.463,131.69,206.702,135.02100000000002,181.669,122.083,166.003,121.99,139.003,121.741,209.172,128.499,123.322,128.457,80.02,132.287,260.17900000000003,130.29,216.91099999999997,129.762,203.437,138.74200000000002,84.728,136.35399999999998,66.455,136.566,38.479,138.56,116.90799999999999,147.717,222.81400000000002,147.94299999999998,256.558,150.38,93.713,150.58,128.533,143.894,102.87799999999999,146.05200000000002,232.646,143.81799999999998,61.325,155.829,224.75900000000001,156.181,236.53,151.495,170.518,152.148,139.985,152.203,211.358,152.194,73.792,153.454,204.965,159.945,268.329,161.262,81.033,161.99200000000002,195.937,156.636,136.107,159.744,294.369,167.351,116.225,168.322,190.06400000000002,163.592,260.481,163.524,185.584,172.653,253.12599999999998,174.666,246.05599999999998,176.399,279.586,169.88299999999998,268.823,170.429,104.09299999999999,172.146,126.87700000000001,180.997,220.946,183.176,108.212,176.887,197.13400000000001,188.44,121.26299999999999,188.98,102.01299999999999,183.827,93.012,188.365,253.558,187.199,94.89,194.64,113.65100000000001,195.578,253.359,143.828,,,,,,,,,,
48.25,193.0,,113.265,90.29899999999999,189.613,114.117,125.92200000000001,113.59100000000001,30.32,116.54700000000001,218.61900000000003,116.272,207.08700000000002,114.729,257.38599999999997,118.773,,,197.49,119.881,251.577,101.44,87.601,99.226,204.32299999999998,106.395,106.478,131.644,206.709,135.012,181.674,122.068,166.02900000000002,121.89399999999999,138.98,121.741,209.18900000000002,128.515,123.339,128.47299999999998,80.013,132.241,260.175,130.304,216.93099999999998,129.763,203.40400000000002,138.733,84.696,136.328,66.461,136.56799999999998,38.624,138.477,116.902,147.717,222.834,147.998,256.541,150.363,93.711,150.512,128.545,143.86700000000002,102.881,146.055,232.673,143.80100000000002,61.32,155.829,224.757,156.187,236.497,151.486,170.52200000000002,152.17,139.997,152.213,211.32,152.196,73.767,153.485,204.976,159.933,268.376,161.138,81.044,162.014,195.972,156.638,136.111,159.74,294.365,167.455,116.221,168.30200000000002,190.051,163.696,260.46,163.524,185.546,172.639,253.19,174.65,246.054,176.382,279.567,169.84900000000002,268.807,170.40099999999998,104.081,172.15200000000002,126.845,181.007,220.96599999999998,183.18099999999998,108.219,176.893,197.058,188.554,121.321,189.016,101.988,183.825,92.975,188.382,253.61599999999999,187.162,94.963,194.542,113.0,196.0,253.579,144.01,,,,,,,,,,
48.5,194.0,,113.20700000000001,90.279,189.646,114.102,125.601,113.62899999999999,30.315,116.522,218.666,116.18700000000001,207.1,114.74600000000001,257.404,118.73700000000001,233.215,119.10600000000001,197.415,119.90100000000001,251.49599999999998,101.521,87.565,99.19,204.417,106.369,106.554,131.602,206.706,134.99,181.67700000000002,122.085,166.06099999999998,121.666,138.96200000000002,121.76,209.19,128.533,123.31,128.474,80.032,132.164,260.14799999999997,130.32399999999998,216.957,129.749,203.399,138.735,84.71799999999999,136.29399999999998,66.475,136.546,38.765,138.22799999999998,116.786,147.702,222.826,147.985,256.531,150.311,93.72200000000001,150.47299999999998,128.52,143.844,102.87899999999999,146.053,232.672,143.785,61.315,155.817,224.688,156.19799999999998,236.488,151.505,170.482,152.138,139.941,152.213,211.44,152.201,73.758,153.43200000000002,204.97299999999998,159.924,268.44599999999997,161.003,81.05199999999999,162.023,195.989,156.632,136.028,159.716,294.356,167.42700000000002,116.226,168.268,190.079,163.69799999999998,260.438,163.55200000000002,185.55200000000002,172.632,253.136,174.56,246.02599999999998,176.332,279.51599999999996,169.813,268.8,170.331,104.059,172.143,126.889,181.079,220.97400000000002,183.19799999999998,108.204,176.899,197.125,188.502,121.37200000000001,189.017,102.116,183.805,93.006,188.34,253.704,187.264,94.9,194.61,113.45299999999999,195.59400000000002,253.62099999999998,144.075,,,,,,,,,,
48.75,195.0,,113.234,90.25299999999999,189.666,114.12799999999999,125.57799999999999,113.525,30.281,116.574,218.335,116.359,207.08599999999998,114.77,257.363,118.73700000000001,233.206,119.01700000000001,197.40099999999998,119.88600000000001,251.437,101.525,87.54799999999999,99.17299999999999,204.518,106.39299999999999,106.602,131.572,206.71099999999998,134.97799999999998,181.662,122.089,166.105,121.575,138.889,121.74600000000001,209.183,128.496,123.26799999999999,128.451,80.03399999999999,132.107,260.115,130.35399999999998,216.972,129.72,203.40400000000002,138.744,84.715,136.261,66.482,136.555,38.819,138.026,116.738,147.685,222.84,148.031,256.473,150.417,93.719,150.467,128.472,143.886,102.867,146.035,232.692,143.79,61.308,155.806,224.71200000000002,156.215,236.51,151.496,170.50599999999997,152.162,139.95,152.203,211.477,152.185,73.727,153.52100000000002,204.953,159.91299999999998,268.493,160.87,81.039,162.031,195.97400000000002,156.64600000000002,135.988,159.69299999999998,294.35900000000004,167.389,116.209,168.28599999999997,190.088,163.668,260.41200000000003,163.561,185.547,172.644,252.96400000000003,174.429,245.99200000000002,176.331,279.505,169.81900000000002,268.796,170.334,104.06200000000001,172.142,126.92299999999999,181.035,220.984,183.213,108.219,176.922,197.16099999999997,188.451,121.29700000000001,189.013,102.194,183.798,93.0,188.342,253.83700000000002,187.417,94.837,194.62,113.57700000000001,195.608,253.28400000000002,143.787,,,,,,,,,,
49.0,196.0,,113.26799999999999,90.21600000000001,189.68599999999998,114.13,125.52,113.515,30.295,116.53200000000001,218.15900000000002,116.31,207.16099999999997,114.771,257.37,118.76700000000001,233.14,119.075,197.417,119.87299999999999,251.459,101.501,87.53399999999999,99.145,204.582,106.36,106.699,131.523,206.718,134.935,181.683,122.075,166.08,121.664,138.89700000000002,121.745,209.21200000000002,128.40200000000002,123.23,128.435,80.01,132.02100000000002,260.1,130.349,216.99200000000002,129.717,203.34400000000002,138.75799999999998,84.72,136.221,66.476,136.566,38.766,137.74,116.723,147.684,222.84799999999998,148.05,256.466,150.361,93.727,150.429,128.457,143.871,102.84100000000001,146.016,232.71099999999998,143.798,61.285,155.795,224.687,156.222,236.489,151.477,170.49,152.134,139.971,152.197,211.486,152.17600000000002,73.719,153.514,204.94299999999998,159.935,268.508,160.904,81.035,162.0,196.003,156.589,136.012,159.671,294.367,167.415,116.22399999999999,168.28400000000002,190.092,163.689,260.385,163.592,185.554,172.648,252.834,174.262,245.988,176.325,279.514,169.861,268.808,170.394,104.059,172.139,126.89200000000001,181.084,220.981,183.208,108.21700000000001,176.917,197.237,188.293,121.197,189.05599999999998,102.225,183.78900000000002,92.995,188.43,253.878,187.395,94.854,194.641,113.0,196.0,,,,,,,,,,,,
49.25,197.0,,113.21600000000001,90.22200000000001,189.722,114.166,125.75,113.59200000000001,30.256,116.514,218.324,116.346,207.229,114.788,257.379,118.726,,,197.43099999999998,119.86200000000001,251.41,101.561,87.473,99.118,204.588,106.35799999999999,106.76899999999999,131.497,206.72400000000002,134.974,181.672,122.09299999999999,166.085,121.647,138.833,121.74600000000001,209.233,128.421,123.20200000000001,128.423,80.017,131.986,260.065,130.378,216.979,129.67700000000002,203.32299999999998,138.757,84.714,136.181,66.471,136.572,38.555,138.155,116.75399999999999,147.657,222.843,148.04,256.39799999999997,150.33100000000002,93.72,150.352,128.452,143.861,102.837,146.004,232.74900000000002,143.787,61.271,155.80700000000002,224.61700000000002,156.22299999999998,236.523,151.49200000000002,170.493,152.108,139.875,152.218,211.519,152.164,73.719,153.44299999999998,204.96599999999998,159.898,268.525,160.65,81.066,162.004,195.99,156.553,136.034,159.625,294.32599999999996,167.389,116.206,168.295,190.125,163.674,260.382,163.576,185.53400000000002,172.68099999999998,252.794,174.111,245.957,176.266,279.506,169.87400000000002,268.797,170.386,104.039,172.153,126.83200000000001,181.019,220.96900000000002,183.21200000000002,108.22399999999999,176.945,197.24900000000002,188.33599999999998,121.09700000000001,189.078,102.31,183.769,92.986,188.43900000000002,253.938,187.31099999999998,94.84299999999999,194.61,113.345,195.593,252.854,143.441,,,,,,,,,,
49.5,198.0,,113.182,90.20200000000001,189.731,114.15299999999999,125.485,113.663,30.243000000000002,116.49700000000001,218.076,116.30799999999999,207.25599999999997,114.714,257.324,118.73,,,197.451,119.837,251.41400000000002,101.529,87.42299999999999,99.09200000000001,204.688,106.345,106.725,131.499,206.732,134.975,181.68400000000003,122.08200000000001,166.102,121.555,138.82,121.738,209.227,128.336,123.184,128.411,80.003,131.857,260.056,130.36,217.00099999999998,129.678,203.303,138.75799999999998,84.697,136.132,66.477,136.52700000000002,38.656,138.02200000000002,116.789,147.624,222.84099999999998,148.006,256.387,150.37,93.67200000000001,150.388,128.44799999999998,143.84,102.833,146.005,232.761,143.776,61.273999999999994,155.815,224.58,156.226,236.485,151.471,170.528,152.09799999999998,139.865,152.211,211.51,152.159,73.747,153.437,204.915,159.942,268.483,160.63,81.079,162.007,196.03900000000002,156.529,136.029,159.662,294.381,167.451,116.179,168.297,190.12,163.695,260.374,163.57299999999998,185.593,172.655,252.896,173.989,245.985,176.22299999999998,279.519,169.90099999999998,268.762,170.449,103.995,172.166,126.897,181.105,220.984,183.22799999999998,108.229,176.97099999999998,197.275,188.33900000000003,121.102,189.058,102.38,183.764,93.01700000000001,188.362,253.96400000000003,187.271,94.891,194.618,113.35600000000001,195.512,252.975,143.5,,,,,,,,,,
49.75,199.0,,112.99600000000001,90.262,189.74599999999998,114.12299999999999,125.527,113.65700000000001,30.259,116.469,218.386,116.206,207.274,114.676,257.291,118.72399999999999,233.263,119.366,197.47299999999998,119.789,251.38,101.461,87.40299999999999,99.061,204.775,106.354,106.79700000000001,131.401,206.734,134.946,181.68599999999998,122.059,166.11599999999999,121.539,138.77,121.73100000000001,209.245,128.339,123.14299999999999,128.393,79.982,131.82,260.063,130.376,217.02200000000002,129.632,203.27700000000002,138.767,84.719,136.106,66.482,136.534,38.605,138.226,116.744,147.60299999999998,222.847,148.02200000000002,256.422,150.32299999999998,93.70200000000001,150.453,128.44299999999998,143.821,102.835,146.005,232.753,143.747,61.301,155.798,224.563,156.215,236.50900000000001,151.489,170.53799999999998,152.053,139.838,152.241,211.49,152.181,73.741,153.433,204.92700000000002,159.945,268.634,160.401,81.09899999999999,162.024,196.079,156.531,135.958,159.637,294.405,167.416,116.176,168.3,190.101,163.708,260.381,163.57,185.59099999999998,172.687,252.979,173.94400000000002,246.024,176.24400000000003,279.53,169.885,268.74,170.45,103.95200000000001,172.175,126.848,180.998,220.98,183.236,108.23100000000001,176.99400000000003,197.27900000000002,188.315,121.166,189.00099999999998,102.956,183.62099999999998,93.022,188.295,253.97799999999998,187.273,94.81299999999999,194.64,113.589,195.37,250.896,142.011,,,,,,,,,,
