TimesH,Frame,NoMissing,22,22,36,36,61,61,70,70,97,97,99,99,100,100,109,109,110,110,128,128,129,129,133,133,137,137,150,150,155,155,163,163,170,170,173,173,176,176,179,179,187,187,192,192,193,193,194,194,204,204,208,208,211,211,212,212,220,220,225,225,230,230,234,234,235,235,238,238,241,241,245,245,246,246,262,262,263,263,269,269,271,271,272,272,273,273,277,277,282,282,284,284,287,287,292,292,307,307,308,308,309,309,310,310,315,315,319,319,324,324,330,330,333,333,336,336,338,338,351,351,354,354,355,355,360,360,368,368,373,373,383,383,385,385,387,387,390,390,396,396,403,403,405,405,406,406,414,414,415,415,422,422,426,426,430,430,439,439,451,451,454,454,458,458,463,463,465,465,470,470,480,480,485,485,491,491,493,493,494,494,495,495,510,510,511,511,519,519,525,525,537,537,544,544,682,682,727,727,770,770,799,799,842,842,892,892,915,915,951,951,965,965,983,983,1011,1011,1030,1030,1032,1032,1077,1077
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
48.0,192.0,,104.917,11.116,277.518,14.507,261.3,22.551,140.33700000000002,26.995,102.47,38.484,128.235,40.302,224.949,40.367,95.28299999999999,43.494,116.23200000000001,42.59,230.56599999999997,50.195,248.517,50.07,111.571,50.701,92.821,53.49100000000001,188.46400000000003,58.226000000000006,196.524,59.692,69.57,62.847,250.71200000000002,65.815,97.675,66.81,208.676,67.52199999999999,179.407,68.357,118.764,70.78699999999999,110.63600000000001,73.373,220.30900000000003,73.585,284.528,72.777,246.10299999999998,76.188,73.03699999999999,78.30199999999999,259.007,78.046,137.72799999999998,79.316,81.93700000000001,82.493,118.397,84.396,,,211.87099999999998,86.18299999999999,277.877,86.19200000000001,248.72799999999998,86.821,107.32600000000001,88.244,34.364000000000004,89.23100000000001,42.108999999999995,89.275,261.974,94.84700000000001,85.995,96.04799999999999,181.37599999999998,96.566,104.24600000000001,98.39399999999999,187.774,98.46799999999999,236.894,98.376,280.625,99.87200000000001,66.915,101.634,130.37,102.1,125.95299999999999,102.29,306.627,104.009,286.654,108.772,269.392,110.21700000000001,39.713,110.78299999999999,71.1,110.789,12.465,112.898,294.798,113.236,91.781,116.00299999999999,188.52200000000002,116.81299999999999,134.85,117.605,73.407,118.902,142.56,119.899,209.27900000000002,124.28200000000001,232.60299999999998,125.17399999999999,283.38599999999997,125.214,171.27599999999998,126.889,114.055,128.724,121.866,130.28799999999998,17.952,134.059,96.715,133.959,300.108,134.51,7.972,136.069,248.08900000000003,137.093,109.363,139.934,197.44299999999998,140.368,241.192,139.713,23.849,142.918,61.963,142.964,264.131,144.192,81.55,147.447,304.879,146.627,242.179,150.569,231.067,153.255,120.556,154.27700000000002,291.997,153.97299999999998,313.288,158.458,102.588,158.461,212.33,161.326,295.238,162.844,233.385,164.61900000000003,125.561,167.373,50.833,168.234,252.73,167.59599999999998,286.018,168.35299999999998,64.457,173.615,123.18,174.43200000000002,258.937,177.423,199.429,178.488,124.059,181.69799999999998,171.69299999999998,184.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.25,193.0,,104.911,11.062000000000001,277.473,14.52,261.26599999999996,22.595,140.327,26.99,102.425,38.485,128.179,40.306,224.91,40.383,95.333,43.451,116.2,42.593999999999994,230.608,50.172,248.395,49.841,111.561,50.681999999999995,92.78399999999999,53.476000000000006,188.484,58.218999999999994,196.56799999999998,59.67100000000001,69.554,62.842,250.702,65.821,97.616,66.785,208.648,67.51100000000001,179.453,68.328,118.75200000000001,70.75,110.42399999999999,73.21300000000001,220.304,73.601,284.562,72.76100000000001,246.1,76.067,73.055,78.333,258.845,78.28699999999999,137.60299999999998,79.273,81.911,82.479,118.374,84.38,,,211.94099999999997,86.18299999999999,277.893,86.23899999999999,248.733,86.777,107.42,88.221,34.467,89.10799999999999,42.059,89.325,261.991,94.82600000000001,85.977,96.031,181.378,96.52799999999999,104.21,98.38799999999999,187.812,98.43700000000001,236.84400000000002,98.398,280.621,99.876,66.96300000000001,101.691,130.404,102.086,125.87100000000001,102.273,306.779,104.06700000000001,286.678,108.766,269.374,110.208,39.735,110.839,71.086,110.796,12.402000000000001,113.025,294.835,113.251,91.771,116.02600000000001,188.58,116.821,134.81,117.61399999999999,73.40100000000001,118.913,142.499,119.82799999999999,209.275,124.24,232.615,125.179,283.39599999999996,125.204,171.33700000000002,126.848,113.993,128.84,121.853,130.29399999999998,17.973,134.05,96.667,133.961,300.152,134.435,7.941,136.054,248.03099999999998,136.985,109.411,139.966,197.454,140.374,241.158,139.705,23.839000000000002,142.922,61.933,142.944,264.131,144.156,81.509,147.368,304.883,146.614,242.12,150.58100000000002,231.08700000000002,153.26,120.59700000000001,154.27200000000002,292.004,153.967,313.29,158.51,102.55799999999999,158.439,212.355,161.35399999999998,295.231,162.865,233.37599999999998,164.63299999999998,125.57600000000001,167.352,50.93,168.255,252.75099999999998,167.56599999999997,286.002,168.378,64.42399999999999,173.567,123.241,174.477,258.994,177.442,199.41400000000002,178.482,124.02600000000001,181.702,171.56099999999998,184.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.5,194.0,,104.853,11.092,277.467,14.527000000000001,261.283,22.54,140.291,26.97,102.40100000000001,38.521,128.131,40.296,224.977,40.321999999999996,95.238,43.498000000000005,116.055,42.696000000000005,230.59,50.175,248.27,49.821999999999996,111.56700000000001,50.68,92.81,53.481,188.50900000000001,58.173,196.555,59.64,69.545,62.827,250.685,65.796,97.609,66.782,208.75400000000002,67.48,179.47,68.33,118.738,70.735,110.375,73.16199999999999,220.27700000000002,73.567,284.51599999999996,72.714,246.065,75.977,72.979,78.312,258.876,78.243,137.584,79.283,81.873,82.495,118.361,84.37299999999999,,,211.93400000000003,86.17399999999999,277.945,86.259,248.737,86.72399999999999,107.352,88.24799999999999,34.497,89.009,42.086999999999996,89.34,262.019,94.821,85.96,96.008,181.40200000000002,96.541,104.178,98.395,187.842,98.40899999999999,236.835,98.40299999999999,280.603,99.874,66.992,101.756,130.485,102.015,125.78,102.302,306.681,103.994,286.677,108.772,269.356,110.19200000000001,39.727,110.807,71.112,110.781,12.453,113.01,294.818,113.255,91.762,115.99700000000001,188.551,116.852,134.767,117.57,73.387,118.93299999999999,142.421,119.927,209.267,124.186,232.639,125.17,283.413,125.19200000000001,171.35,126.837,113.962,128.731,121.838,130.289,17.967,134.023,96.646,133.976,300.154,134.404,7.91,136.036,247.989,136.969,109.37100000000001,139.95,197.486,140.355,241.15900000000002,139.71,23.840999999999998,142.88299999999998,61.941,142.92700000000002,264.115,144.13299999999998,81.508,147.321,304.832,146.565,242.101,150.577,231.115,153.3,120.62799999999999,154.267,291.987,153.94299999999998,313.285,158.515,102.55799999999999,158.441,212.312,161.371,295.231,162.88,233.36700000000002,164.685,125.574,167.364,50.965,168.197,252.59799999999998,167.61,286.034,168.343,64.486,173.59799999999998,123.367,174.613,258.988,177.437,199.378,178.515,124.046,181.72,171.916,184.41400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.75,195.0,,104.63,11.048,277.48900000000003,14.509,261.296,22.609,140.256,26.97,102.39200000000001,38.548,128.124,40.281,225.0,40.289,95.165,43.476000000000006,116.021,42.715,230.563,50.18,248.455,50.044,111.598,50.721000000000004,92.806,53.486999999999995,188.495,58.346000000000004,196.584,59.656000000000006,69.55199999999999,62.828,250.65599999999998,65.8,97.605,66.798,208.787,67.437,179.511,68.274,118.711,70.71600000000001,110.27,73.09,220.25599999999997,73.54,284.531,72.71300000000001,246.05200000000002,76.035,72.965,78.327,258.868,78.259,137.549,79.257,81.867,82.494,118.35,84.34899999999999,101.257,85.363,211.915,86.12799999999999,277.936,86.211,248.734,86.677,107.448,88.23899999999999,34.578,88.93,42.108999999999995,89.35799999999999,261.992,94.845,85.961,95.99799999999999,181.41099999999997,96.51299999999999,104.135,98.37899999999999,187.84799999999998,98.39399999999999,236.804,98.40100000000001,280.608,99.887,66.98899999999999,101.71799999999999,130.49,101.98899999999999,125.631,102.316,306.704,104.04700000000001,286.684,108.789,269.33299999999997,110.18299999999999,39.758,110.85799999999999,71.192,110.79299999999999,12.443,113.096,294.73,113.37,91.78200000000001,115.949,188.55900000000003,116.87,134.766,117.573,73.388,118.95100000000001,142.369,119.95200000000001,209.278,124.165,232.628,125.167,283.44,125.177,171.423,126.821,113.978,128.642,121.81299999999999,130.268,17.956,133.993,96.65899999999999,133.968,300.133,134.368,7.916,136.025,247.949,136.874,109.353,139.91899999999998,197.49,140.366,241.16,139.715,23.823,142.882,61.926,142.894,264.117,144.109,81.499,147.334,304.862,146.59,242.155,150.565,231.078,153.268,120.677,154.251,291.991,153.94799999999998,313.29,158.48,102.62299999999999,158.468,212.308,161.369,295.225,162.88299999999998,233.354,164.625,125.584,167.338,51.013000000000005,168.127,252.597,167.608,286.036,168.34799999999998,64.432,173.59900000000002,123.389,174.687,258.932,177.359,199.391,178.505,124.036,181.735,171.71099999999998,184.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,196.0,,104.65100000000001,11.020999999999999,277.5,14.550999999999998,261.207,22.69,140.22899999999998,27.006999999999998,102.385,38.545,128.115,40.308,225.108,40.224000000000004,95.171,43.488,116.071,42.638000000000005,230.59400000000002,50.216,248.305,50.108999999999995,111.602,50.733000000000004,92.803,53.468999999999994,188.6,58.203,196.696,59.684,69.546,62.816,250.65400000000002,65.798,97.56299999999999,66.791,208.84099999999998,67.443,179.55,68.29,118.654,70.661,110.27,73.079,220.269,73.499,284.541,72.75,246.09,76.002,72.887,78.331,258.881,78.26899999999999,137.489,79.23,81.85600000000001,82.491,118.339,84.344,101.295,85.307,211.928,86.118,277.996,86.27799999999999,248.74400000000003,86.662,107.527,88.219,34.622,88.95200000000001,42.099,89.302,261.997,94.86,85.92399999999999,95.96700000000001,181.416,96.50299999999999,104.09700000000001,98.331,187.86900000000003,98.365,236.771,98.37899999999999,280.605,99.897,66.987,101.70100000000001,130.555,101.88799999999999,125.435,102.48100000000001,306.64099999999996,104.00200000000001,286.686,108.804,269.325,110.17,39.722,110.804,71.15899999999999,110.796,12.527999999999999,113.036,294.716,113.34899999999999,91.82600000000001,115.82,188.601,116.868,134.69899999999998,117.531,73.405,118.976,142.425,119.98899999999999,209.27200000000002,124.134,232.644,125.148,283.467,125.193,171.475,126.751,113.975,128.665,121.801,130.259,17.963,133.989,96.605,134.003,300.13599999999997,134.298,7.915,136.01,247.896,136.862,109.361,139.91899999999998,197.50900000000001,140.379,241.167,139.733,23.802,142.88299999999998,61.913999999999994,142.85399999999998,264.10900000000004,144.085,81.46,147.278,304.873,146.608,242.138,150.59799999999998,231.083,153.28,120.696,154.256,291.986,153.95600000000002,313.281,158.447,102.63799999999999,158.463,212.34400000000002,161.34,295.228,162.903,233.361,164.604,125.587,167.33700000000002,50.94,168.044,252.6,167.56599999999997,286.08299999999997,168.334,64.491,173.577,123.413,174.792,258.95799999999997,177.351,199.382,178.481,124.035,181.753,171.793,184.43099999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.25,197.0,,104.65700000000001,11.005,277.51,14.585999999999999,261.237,22.598000000000003,140.191,27.022,102.387,38.556999999999995,128.086,40.281,225.218,40.196999999999996,95.204,43.494,115.994,42.68899999999999,230.63,50.196999999999996,248.275,50.083999999999996,111.57,50.745,92.791,53.461999999999996,188.642,58.196999999999996,196.748,59.688,69.527,62.81100000000001,250.675,65.79899999999999,97.537,66.783,208.83900000000003,67.446,179.563,68.27199999999999,118.631,70.648,110.275,73.06,220.296,73.49600000000001,284.518,72.72399999999999,246.264,76.264,72.837,78.355,258.856,78.32300000000001,137.40200000000002,79.35600000000001,81.806,82.48200000000001,118.323,84.325,101.23100000000001,85.26700000000001,211.929,86.135,278.03700000000003,86.37,248.753,86.60700000000001,107.542,88.197,34.688,88.79899999999999,42.102,89.31299999999999,262.0,94.883,85.90799999999999,95.932,181.43900000000002,96.48899999999999,104.052,98.333,187.865,98.34700000000001,236.763,98.405,280.60400000000004,99.89299999999999,66.967,101.749,130.497,101.94200000000001,125.381,102.524,306.601,103.98,286.683,108.789,269.317,110.16,39.73,110.80799999999999,71.149,110.806,12.543,112.98200000000001,294.70599999999996,113.351,91.822,115.75200000000001,188.61900000000003,116.868,134.70600000000002,117.505,73.411,118.954,142.47299999999998,119.921,209.27200000000002,124.113,232.644,125.147,283.502,125.15700000000001,171.503,126.76899999999999,113.954,128.482,121.788,130.25,17.942,133.976,96.54799999999999,134.002,300.128,134.233,7.932,136.00799999999998,247.832,136.879,109.32799999999999,139.887,197.52,140.40200000000002,241.11900000000003,139.748,23.802,142.864,61.937,142.86,264.099,144.075,81.41199999999999,147.211,304.82099999999997,146.57399999999998,242.146,150.58,231.083,153.29,120.73,154.232,291.992,153.951,313.272,158.44,102.641,158.47899999999998,212.38299999999998,161.34799999999998,295.245,162.891,233.34900000000002,164.562,125.594,167.34799999999998,50.955,168.148,252.525,167.637,286.064,168.34599999999998,64.491,173.61700000000002,123.425,174.83900000000003,259.008,177.386,199.421,178.5,124.04299999999999,181.75099999999998,171.815,184.352,204.842,142.857,,,,,,,,,,,,,,,,,,,,,,,,,,
49.5,198.0,,104.499,10.978,277.49,14.629000000000001,261.276,22.54,140.156,27.026,102.34100000000001,38.582,128.067,40.256,225.172,40.247,95.096,43.382,115.93299999999999,42.653,230.67,50.177,248.183,50.07,111.57,50.738,92.775,53.451,188.766,58.148999999999994,196.748,59.716,69.502,62.79600000000001,250.764,65.793,97.505,66.811,208.852,67.438,179.595,68.257,118.62100000000001,70.601,110.314,73.066,220.34400000000002,73.498,284.51599999999996,72.732,246.208,76.168,72.77600000000001,78.375,258.923,78.181,137.19799999999998,79.28,81.777,82.493,118.3,84.314,101.23299999999999,85.23200000000001,211.97299999999998,86.13600000000001,278.063,86.346,248.765,86.6,107.531,88.197,34.715,88.671,42.08,89.309,262.018,94.889,85.883,95.895,181.424,96.50200000000001,104.015,98.28299999999999,187.878,98.32799999999999,236.733,98.387,280.607,99.887,66.953,101.765,130.535,101.82700000000001,125.28399999999999,102.626,306.543,103.911,286.693,108.789,269.29200000000003,110.15100000000001,39.756,110.81299999999999,71.13600000000001,110.802,12.529000000000002,112.94200000000001,294.651,113.43700000000001,91.801,115.76799999999999,188.605,116.891,134.501,117.359,73.384,118.92399999999999,142.425,119.921,209.27900000000002,124.06,232.667,125.12899999999999,283.51599999999996,125.165,171.59099999999998,126.84700000000001,113.95299999999999,128.384,121.774,130.237,17.91,133.967,96.501,133.99200000000002,300.139,134.24200000000002,7.939,135.998,247.86,136.844,109.31200000000001,139.876,197.521,140.404,241.13099999999997,139.733,23.809,142.863,61.915,142.845,264.099,144.049,81.42,147.216,304.809,146.565,242.199,150.588,231.109,153.325,120.73200000000001,154.214,291.999,153.947,313.272,158.441,102.678,158.468,212.42,161.334,295.246,162.89600000000002,233.299,164.53900000000002,125.604,167.347,50.895,168.118,252.429,167.67,286.068,168.30200000000002,64.484,173.59400000000002,123.458,174.926,258.978,177.419,199.40200000000002,178.5,124.06,181.757,171.787,184.34099999999998,204.865,142.78799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,
49.75,199.0,,104.493,11.029000000000002,277.496,14.630999999999998,261.291,22.564,140.16,27.088,102.325,38.599000000000004,128.06799999999998,40.288000000000004,225.2,40.21,95.05799999999999,43.431999999999995,115.845,42.68,230.71,50.143,248.291,49.94,111.59299999999999,50.739,92.755,53.461000000000006,188.94,58.031000000000006,196.796,59.745,69.483,62.733000000000004,250.74599999999998,65.774,97.46600000000001,66.8,208.898,67.425,179.623,68.247,118.559,70.575,110.277,73.03399999999999,220.321,73.48100000000001,284.49,72.726,246.19400000000002,76.204,72.719,78.373,258.965,78.122,136.999,79.14,81.777,82.46700000000001,118.275,84.295,101.225,85.26100000000001,212.016,86.13799999999999,278.062,86.33,248.761,86.54799999999999,107.523,88.191,34.67,88.714,42.092,89.35700000000001,262.01099999999997,94.899,85.876,95.867,181.422,96.52600000000001,103.99700000000001,98.223,187.87400000000002,98.29700000000001,236.71,98.37899999999999,280.601,99.887,67.006,101.839,130.55100000000002,101.779,125.17299999999999,102.705,306.459,103.852,286.702,108.777,269.297,110.134,39.777,110.87,71.116,110.79899999999999,12.571,112.993,294.601,113.499,91.846,115.648,188.62099999999998,116.912,134.485,117.37799999999999,73.40899999999999,118.93299999999999,142.325,119.964,209.273,124.03,232.669,125.133,283.54200000000003,125.167,171.68900000000002,126.82,113.934,128.306,121.771,130.226,17.906,133.942,96.465,134.002,300.122,134.267,7.939,135.981,247.785,136.844,109.314,139.909,197.525,140.403,241.136,139.747,23.829,142.876,61.868,142.796,264.08299999999997,144.024,81.419,147.17,304.813,146.56799999999998,242.14700000000002,150.66899999999998,231.149,153.35399999999998,120.726,154.21,292.04200000000003,153.97,313.252,158.377,102.711,158.458,212.392,161.33700000000002,295.251,162.916,233.33900000000003,164.65400000000002,125.62299999999999,167.32299999999998,50.827,168.234,251.84900000000002,167.953,286.086,168.312,64.52199999999999,173.62,123.47399999999999,174.91299999999998,258.942,177.403,199.415,178.521,124.081,181.725,171.753,184.43599999999998,204.821,142.739,,,,,,,,,,,,,,,,,,,,,,,,,,
