TimesH,Frame,NoMissing,0,0,1,1,5,5,7,7,9,9,11,11,13,13,15,15,16,16,18,18,23,23,24,24,27,27,28,28,29,29,31,31,33,33,37,37,38,38,39,39,44,44,46,46,48,48,49,49,50,50,51,51,52,52,54,54,56,56,57,57,60,60,61,61,62,62,64,64,66,66,69,69,83,83,85,85,100,100,104,104,106,106,107,107,108,108,109,109,110,110,112,112,118,118,123,123,124,124,126,126,127,127,139,139,144,144,153,153,156,156,162,162,165,165,172,172,176,176,180,180,184,184,186,186,194,194,196,196,200,200,202,202,204,204,207,207,208,208,209,209,213,213,215,215,217,217,219,219,223,223,225,225,226,226,228,228,234,234,236,236,241,241,243,243,252,252,258,258,267,267,268,268,269,269,271,271,273,273,274,274,275,275,276,276,277,277,280,280,282,282,287,287,288,288,296,296,320,320,387,387,412,412,443,443,452,452,585,585,689,689,858,858,883,883
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
215.75,863.0,,206.485,143.696,42.5,145.05200000000002,218.0,142.186,51.51,142.579,266.855,142.44299999999998,103.426,138.769,109.876,140.638,65.92,142.459,227.34599999999998,136.672,125.34100000000001,137.999,218.582,156.946,230.459,156.562,117.96700000000001,152.609,136.385,154.214,198.44299999999998,154.215,294.469,146.967,230.10299999999998,148.70600000000002,103.234,152.019,93.499,146.274,102.79,146.395,249.1,167.037,195.623,167.919,235.25099999999998,168.35299999999998,119.686,163.564,68.922,165.043,146.77700000000002,165.11599999999999,41.085,165.59099999999998,96.545,166.99900000000002,48.328,162.52200000000002,91.926,163.196,82.97200000000001,164.09900000000002,72.708,158.033,209.548,158.304,99.779,160.91899999999998,215.77599999999998,162.36700000000002,74.035,177.388,87.319,181.479,124.296,175.745,205.48,176.65099999999998,97.52799999999999,173.81900000000002,232.979,174.673,123.66,168.972,187.593,168.895,168.52599999999998,169.9,226.31400000000002,170.25799999999998,86.18,172.253,72.206,188.28,71.96,84.139,82.306,191.265,104.13600000000001,190.687,84.54700000000001,86.12299999999999,212.852,186.359,,,63.89,182.36,131.003,182.928,220.317,184.33700000000002,238.045,184.12400000000002,118.041,181.11,194.187,180.722,78.592,181.89,163.249,104.678,178.65200000000002,104.90100000000001,223.89700000000002,204.283,249.785,101.691,122.399,104.06299999999999,134.798,103.493,143.10299999999998,103.971,90.42,195.18900000000002,195.797,93.469,206.082,94.73299999999999,112.539,195.692,88.541,97.67399999999999,206.02900000000002,100.89200000000001,174.46599999999998,86.186,122.368,193.071,133.707,192.929,196.21599999999998,193.108,203.71200000000002,192.69099999999997,122.51899999999999,121.76100000000001,99.99799999999999,122.506,135.893,116.234,92.64,119.20100000000001,122.774,113.97,77.385,106.541,256.389,130.40200000000002,246.765,132.061,115.02799999999999,132.738,83.649,136.716,77.469,128.504,133.716,129.312,184.083,130.382,193.672,129.839,205.518,129.764,96.57,127.45100000000001,232.225,126.992,140.509,125.243,226.236,124.617,236.92,137.518,,,,,,,,,,,,,,,,,,
216.0,864.0,,206.497,143.707,42.526,145.157,218.135,142.28799999999998,51.497,142.641,266.808,142.358,103.445,138.793,109.89,140.675,65.941,142.423,227.347,136.673,125.333,138.046,218.59099999999998,156.958,230.49200000000002,156.589,117.96700000000001,152.653,136.386,154.22799999999998,198.445,154.226,294.401,147.039,230.1,148.705,103.21799999999999,152.075,93.48899999999999,146.30100000000002,102.779,146.40200000000002,249.078,167.028,195.62099999999998,167.928,235.28799999999998,168.3,119.708,163.575,68.918,165.058,146.77200000000002,165.05900000000003,41.018,165.583,96.52799999999999,167.002,48.343999999999994,162.564,92.001,163.41899999999998,82.95100000000001,164.125,72.707,158.023,209.55900000000003,158.321,99.801,160.95600000000002,215.791,162.382,74.03399999999999,177.403,87.28399999999999,181.49400000000003,124.279,175.74400000000003,205.465,176.673,97.537,173.793,232.976,174.702,123.671,168.987,187.59599999999998,168.903,168.537,169.85,226.30900000000003,170.293,86.166,172.253,72.211,188.28099999999998,71.967,84.16,82.29,191.271,104.135,190.65400000000002,84.541,86.12100000000001,212.861,186.347,,,63.934,182.554,131.036,183.005,220.334,184.37099999999998,238.017,184.18599999999998,118.084,180.99099999999999,194.167,180.72,78.55,181.91299999999998,163.234,104.696,178.643,104.884,223.91299999999998,204.298,249.827,101.676,122.413,104.059,134.83100000000002,103.556,143.05700000000002,103.979,90.42299999999999,195.195,195.838,93.596,206.09400000000002,94.785,112.52,195.71900000000002,88.557,97.695,206.079,100.89,174.46,86.12200000000001,122.382,193.06099999999998,133.738,192.97,196.245,193.143,203.737,192.69799999999998,122.506,121.85700000000001,99.992,122.619,135.903,116.226,92.69,119.29799999999999,121.697,114.265,77.42399999999999,106.59100000000001,256.409,130.45,246.792,132.07299999999998,115.008,132.737,83.676,136.739,77.41,128.511,133.584,129.287,184.074,130.388,193.63,129.82,205.50900000000001,129.767,96.556,127.509,232.237,126.99600000000001,140.54399999999998,125.23200000000001,226.24,124.633,236.458,137.98,,,,,,,,,,,,,,,,,,
216.25,865.0,,206.512,143.691,42.51,145.024,218.247,142.378,51.472,142.66,266.85200000000003,142.439,103.444,138.83100000000002,109.928,140.686,65.917,142.446,227.31599999999997,136.661,125.37200000000001,138.085,218.59599999999998,156.958,230.512,156.547,117.99,152.632,136.406,154.253,198.44299999999998,154.218,294.709,146.85299999999998,230.12099999999998,148.709,103.23,152.128,93.508,146.347,102.76299999999999,146.409,249.08,167.03099999999998,195.627,167.946,235.30599999999998,168.31400000000002,119.726,163.601,68.90100000000001,165.058,146.747,165.06900000000002,40.959,165.705,96.551,167.025,48.338,162.585,91.887,163.215,82.928,164.166,72.7,158.019,209.56,158.336,99.831,160.97899999999998,215.783,162.393,74.065,177.547,87.32,181.513,124.321,175.75,205.459,176.668,97.54799999999999,173.813,232.967,174.762,123.663,168.986,187.55200000000002,168.946,168.495,169.85299999999998,226.294,170.33599999999998,86.184,172.24400000000003,72.203,188.293,71.971,84.16,82.337,191.445,104.14399999999999,190.644,84.459,86.068,212.87,186.355,113.98200000000001,186.54,64.014,182.553,131.013,183.095,220.38,184.449,238.05,184.22299999999998,118.079,180.981,194.149,180.75099999999998,78.54,181.982,163.233,104.693,178.65099999999998,104.914,223.917,204.32299999999998,249.55700000000002,101.65299999999999,122.37700000000001,104.087,134.814,103.544,143.064,103.95100000000001,90.436,195.205,195.767,93.586,206.084,94.806,112.51,195.764,88.594,97.712,206.22099999999998,100.884,174.47400000000002,86.08200000000001,122.38600000000001,193.062,133.744,192.90200000000002,196.253,193.141,203.75,192.68200000000002,122.492,121.865,99.984,122.70700000000001,135.899,116.221,92.709,119.34700000000001,121.25399999999999,114.559,77.453,106.615,256.414,130.46,246.77599999999998,132.056,115.01700000000001,132.711,83.68299999999999,136.705,77.48899999999999,128.524,133.44,129.388,184.07,130.395,193.635,129.82399999999998,205.5,129.785,96.579,127.5,232.234,127.012,140.534,125.23200000000001,226.247,124.654,236.56599999999997,138.002,,,,,,,,,,,,,,,,,,
216.5,866.0,,206.488,143.721,42.54600000000001,144.946,218.275,142.391,51.479,142.569,266.874,142.655,103.46799999999999,138.855,109.948,140.759,65.852,142.451,227.308,136.66899999999998,125.35,138.05100000000002,218.588,156.953,230.46599999999998,156.578,118.031,152.67600000000002,136.418,154.253,198.43400000000003,154.22,294.66,146.846,230.13099999999997,148.70600000000002,103.228,152.145,93.49799999999999,146.394,102.736,146.421,249.08599999999998,167.02900000000002,195.63299999999998,167.952,235.296,168.35,119.742,163.631,68.898,165.075,146.778,164.99599999999998,40.899,165.737,96.536,167.028,48.33,162.618,91.56299999999999,162.66899999999998,82.914,164.22400000000002,72.692,158.039,209.562,158.34,99.861,161.024,215.763,162.39700000000002,74.09100000000001,177.56900000000002,87.331,181.50099999999998,124.34200000000001,175.761,205.451,176.674,97.537,173.805,232.976,174.81400000000002,123.652,168.985,187.554,168.972,168.46200000000002,169.84799999999998,226.304,170.358,86.20299999999999,172.27200000000002,72.194,188.293,71.964,84.18,82.35700000000001,191.477,104.139,190.618,84.441,86.057,212.872,186.34400000000002,113.973,186.582,63.995,182.611,130.993,183.12900000000002,220.472,184.50400000000002,238.00900000000001,184.24,118.1,181.007,194.13,180.793,78.435,181.947,163.236,104.71700000000001,178.65099999999998,104.913,223.924,204.301,249.47799999999998,101.64200000000001,122.36,104.081,134.81799999999998,103.535,143.06,103.911,90.427,195.215,195.782,93.49799999999999,206.088,94.785,112.514,195.80599999999998,88.681,97.634,206.237,100.90299999999999,174.459,86.024,122.399,193.081,133.739,192.907,196.25799999999998,193.165,203.78099999999998,192.699,122.491,121.821,100.005,122.785,135.906,116.227,92.709,119.446,122.605,114.014,77.45100000000001,106.664,256.437,130.46,246.778,132.045,115.079,132.731,83.705,136.711,77.389,128.555,133.435,129.385,184.081,130.41,193.622,129.827,205.38400000000001,129.731,96.602,127.492,232.205,127.01899999999999,140.626,125.141,226.263,124.697,,,,,,,,,,,,,,,,,,,,
216.75,867.0,,206.454,143.741,42.528,144.958,218.347,142.436,51.489,142.56,266.909,142.792,103.49600000000001,138.847,109.915,140.78,65.85,142.453,227.28099999999998,136.66,125.319,138.04399999999998,218.58700000000002,156.922,230.455,156.594,118.027,152.725,136.43200000000002,154.254,198.421,154.215,294.776,146.485,230.092,148.715,103.21600000000001,152.162,93.485,146.434,102.723,146.404,249.101,167.043,195.643,167.953,235.34,168.322,119.785,163.645,68.891,165.11700000000002,146.779,165.005,40.922,165.72299999999998,96.555,167.02599999999998,48.33,162.655,91.363,162.349,82.91799999999999,164.27,72.69,158.055,209.57,158.35399999999998,99.896,161.055,215.765,162.404,74.064,177.645,87.319,181.516,124.35799999999999,175.763,205.459,176.683,97.544,173.799,232.96900000000002,174.873,123.65899999999999,169.014,187.553,168.99599999999998,168.455,169.822,226.27200000000002,170.37400000000002,86.226,172.296,72.191,188.30599999999998,71.991,84.171,82.28200000000001,191.56799999999998,104.137,190.655,84.335,86.11399999999999,212.873,186.354,113.995,186.68900000000002,63.911,182.898,130.947,183.18200000000002,220.53,184.554,238.024,184.225,118.109,181.044,194.109,180.805,78.42,181.93099999999998,163.234,104.70299999999999,178.62599999999998,104.912,223.94099999999997,204.317,249.453,101.624,122.31700000000001,104.1,134.82,103.52600000000001,143.064,103.89299999999999,90.381,195.269,195.93,93.573,206.08900000000003,94.78,112.48,195.888,88.71600000000001,97.581,206.25,100.912,174.44799999999998,86.023,122.385,193.02,133.789,192.97,196.226,193.18599999999998,203.791,192.77900000000002,122.50200000000001,121.887,100.00299999999999,122.81,135.894,116.223,92.66799999999999,119.46600000000001,122.565,114.035,77.406,106.691,256.43,130.44799999999998,246.773,132.058,115.06700000000001,132.727,83.706,136.692,77.387,128.583,133.514,129.279,184.06400000000002,130.441,193.63,129.85,205.446,129.761,96.596,127.516,232.18599999999998,127.014,140.643,125.169,226.234,124.66,236.93200000000002,137.841,,,,,,,,,,,,,,,,,,
217.0,868.0,,206.43900000000002,143.744,42.525,144.997,218.446,142.491,51.50899999999999,142.689,266.863,142.753,103.55799999999999,138.828,109.999,140.827,65.836,142.472,227.29,136.674,125.315,138.029,218.58599999999998,156.928,230.424,156.619,118.061,152.787,136.433,154.268,198.435,154.224,294.807,146.42700000000002,230.11,148.763,103.211,152.137,93.529,146.47299999999998,102.719,146.407,249.111,167.082,195.639,167.94,235.37099999999998,168.31900000000002,119.791,163.7,68.888,165.15900000000002,146.821,165.054,40.896,165.763,96.568,167.072,48.301,162.689,91.29799999999999,162.24200000000002,82.89399999999999,164.303,72.693,158.082,209.588,158.365,99.948,161.135,215.734,162.415,74.064,177.67,87.32,181.53900000000002,124.324,175.76,205.488,176.68900000000002,97.539,173.81400000000002,232.952,174.908,123.63799999999999,169.03,187.514,169.013,168.476,169.80900000000003,226.22799999999998,170.373,86.21799999999999,172.267,72.185,188.303,71.994,84.167,82.346,191.637,104.12799999999999,190.687,84.319,86.15,212.87,186.38099999999997,114.021,186.87,63.907,183.00599999999997,130.899,183.157,220.515,184.704,237.967,184.236,118.137,181.025,194.085,180.81599999999997,78.436,181.959,163.224,104.64399999999999,178.635,104.917,223.952,204.30599999999998,249.56400000000002,101.67,122.305,104.147,134.804,103.505,143.071,103.92,90.36399999999999,195.28599999999997,195.857,93.90299999999999,206.106,94.759,112.46799999999999,195.923,88.654,97.679,206.255,100.94200000000001,174.446,86.01299999999999,122.382,193.109,133.744,193.047,196.227,193.19799999999998,203.83700000000002,192.791,122.515,121.881,100.065,122.87,135.912,116.228,92.727,119.54799999999999,122.544,114.04299999999999,77.391,106.684,256.438,130.442,246.757,132.078,115.061,132.727,83.73700000000001,136.689,77.36399999999999,128.609,133.39600000000002,129.43,184.074,130.446,193.641,129.875,205.50900000000001,129.83,96.59899999999999,127.537,232.143,127.022,140.72299999999998,125.098,226.235,124.681,236.74,137.982,,,,,,,,,,,,,,,,,,
217.25,869.0,,206.42,143.746,42.48,145.089,218.519,142.53799999999998,51.5,142.745,266.931,142.684,103.6,138.90200000000002,109.99600000000001,140.822,65.797,142.457,227.29,136.67,125.285,138.025,218.567,156.918,230.37599999999998,156.6,118.05,152.87,136.459,154.295,198.43,154.211,294.905,146.471,230.105,148.78,103.225,152.155,93.488,146.498,102.699,146.401,249.111,167.11,195.62599999999998,167.922,235.385,168.32,119.786,163.739,68.881,165.18,146.813,165.019,40.908,165.755,96.586,167.115,48.318999999999996,162.747,91.272,162.19899999999998,82.875,164.34099999999998,72.684,158.082,209.58599999999998,158.39,99.95100000000001,161.156,215.72400000000002,162.43200000000002,74.122,177.73,87.325,181.50900000000001,124.319,175.778,205.49200000000002,176.701,97.523,173.793,232.952,174.94799999999998,123.61200000000001,169.033,187.486,169.062,168.49200000000002,169.793,226.19099999999997,170.39700000000002,86.23100000000001,172.3,72.182,188.30900000000003,71.975,84.164,82.21799999999999,191.815,104.131,190.707,84.29700000000001,86.065,212.859,186.395,114.085,187.03599999999997,63.943000000000005,182.709,130.93,183.167,220.56900000000002,184.77200000000002,237.93900000000002,184.19,118.14299999999999,181.042,194.07,180.824,78.41,182.033,163.234,104.573,178.612,104.932,223.96400000000003,204.324,249.454,101.706,122.32799999999999,104.105,134.828,103.524,143.084,103.87700000000001,90.36399999999999,195.28799999999998,195.84099999999998,93.995,206.09599999999998,94.723,112.458,195.94,88.637,97.713,206.253,100.912,174.24900000000002,86.021,122.397,193.09099999999998,133.753,193.042,196.209,193.22299999999998,203.755,192.88099999999997,122.506,121.81299999999999,100.103,122.866,135.903,116.229,92.804,119.64299999999999,122.43,114.18299999999999,77.42399999999999,106.685,256.466,130.455,246.76,132.08700000000002,115.06700000000001,132.757,83.742,136.687,77.399,128.594,133.203,129.535,184.07,130.47899999999998,193.643,129.89700000000002,205.39700000000002,129.792,96.635,127.455,232.141,127.008,140.674,125.081,226.225,124.647,236.709,138.083,172.03599999999997,100.961,,,,,,,,,,,,,,,,
217.5,870.0,,206.41299999999998,143.754,42.544,145.023,218.563,142.59,51.464,142.803,266.895,142.798,103.64200000000001,138.91899999999998,110.07600000000001,140.888,65.736,142.446,227.28900000000002,136.67700000000002,125.28,138.014,218.575,156.917,230.363,156.61,118.045,152.94,136.487,154.31,198.416,154.202,295.006,146.281,230.06400000000002,148.77100000000002,103.244,152.197,93.486,146.511,102.709,146.395,249.11700000000002,167.14,195.642,167.905,235.382,168.29,119.796,163.78,68.854,165.21,146.839,165.05599999999998,40.934,165.80200000000002,96.619,167.13400000000001,48.347,162.821,91.324,162.246,82.865,164.372,72.675,158.107,209.59099999999998,158.412,99.991,161.216,215.69299999999998,162.44799999999998,74.21,177.843,87.314,181.524,124.294,175.8,205.507,176.696,97.51700000000001,173.804,232.967,174.99200000000002,123.616,169.047,187.43599999999998,169.075,168.47299999999998,169.77599999999998,226.169,170.40099999999998,86.238,172.32299999999998,72.18,188.317,72.002,84.17399999999999,82.152,191.97400000000002,104.118,190.72299999999998,84.37200000000001,86.016,212.862,186.41400000000002,114.085,187.114,63.94,182.842,130.924,183.21200000000002,220.61,184.87900000000002,237.93,184.21200000000002,118.181,181.03099999999998,194.032,180.833,78.452,182.035,163.237,104.535,178.608,104.93799999999999,223.987,204.328,249.481,101.723,122.307,104.095,134.856,103.541,143.091,103.765,90.366,195.28099999999998,195.9,93.84899999999999,206.03799999999998,94.726,112.46600000000001,195.99200000000002,88.655,97.691,206.76,100.838,174.268,86.009,122.398,193.055,133.767,193.032,196.187,193.218,203.77200000000002,192.889,122.52600000000001,121.90700000000001,100.212,122.898,135.90200000000002,116.211,92.884,119.62799999999999,123.02,114.035,77.433,106.694,256.47900000000004,130.459,246.74200000000002,132.066,115.088,132.797,83.74799999999999,136.714,77.34,128.622,133.36,129.433,184.06900000000002,130.496,193.637,129.914,205.42,129.828,96.639,127.463,232.09,127.02799999999999,140.743,125.137,226.22400000000002,124.619,236.55200000000002,138.16899999999998,171.882,100.965,,,,,,,,,,,,,,,,
