TimesH,Frame,NoMissing,0,0,1,1,4,4,6,6,7,7,8,8,12,12,19,19,20,20,21,21,26,26,30,30,34,34,35,35,42,42,47,47,48,48,55,55,58,58,65,65,69,69,73,73,75,75,76,76,87,87,88,88,105,105,113,113,114,114,134,134,141,141,142,142,156,156,170,170,236,236,262,262,266,266,267,267,268,268,278,278,282,282,283,283,284,284,292,292,293,293,300,300,302,302,308,308,313,313,319,319,322,322,328,328,329,329,335,335,336,336,341,341,343,343,345,345,347,347,350,350,352,352,356,356,358,358,359,359,366,366,371,371,372,372,380,380,386,386,390,390,391,391,398,398,404,404,413,413,414,414,417,417,418,418,423,423,427,427,428,428,434,434,437,437,438,438,441,441,445,445,448,448,449,449,450,450,456,456,460,460,465,465,467,467,469,469,471,471,473,473,474,474,477,477,480,480,484,484,494,494,495,495,496,496,498,498,501,501,505,505,507,507,512,512,513,513,514,514,517,517,524,524,531,531,539,539,545,545,662,662,675,675,694,694,700,700,703,703,714,714,749,749,752,752,862,862,899,899,903,903,918,918,935,935
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
215.75,863.0,,218.011,138.668,148.986,139.335,297.406,138.195,182.463,137.671,121.137,138.472,287.653,137.405,90.286,135.03,95.13799999999999,142.744,109.897,141.52,306.54200000000003,141.18200000000002,201.505,139.957,296.482,148.634,256.225,147.806,210.523,148.21,133.844,145.953,216.74599999999998,156.526,180.769,154.23,140.707,151.093,44.667,150.893,116.98200000000001,161.58,290.705,159.311,234.451,157.656,197.519,158.05200000000002,78.756,157.84,94.554,165.81599999999997,79.444,166.393,191.26,171.497,232.153,177.68099999999998,142.159,178.195,126.46,182.90900000000002,255.304,179.077,74.329,191.38400000000001,132.648,186.34900000000002,252.287,193.419,191.102,15.397,106.67299999999999,33.455,129.912,31.089000000000002,189.37900000000002,28.517,250.003,29.028000000000002,124.244,24.078000000000003,95.42200000000001,22.635,107.735,23.079,122.416,51.702,91.92399999999999,47.535,198.882,48.266000000000005,263.077,45.441,124.898,43.54600000000001,134.41299999999998,40.996,101.948,37.872,234.396,65.47,86.65700000000001,62.806000000000004,214.24099999999999,60.19,73.834,61.006,136.285,58.461000000000006,236.18599999999998,56.577,227.472,53.615,111.351,53.583999999999996,87.323,71.05,216.329,69.67399999999999,65.90100000000001,70.277,132.422,67.781,269.155,67.266,56.105,67.378,47.068999999999996,66.795,192.47299999999998,72.99,239.511,73.454,232.783,73.15899999999999,74.655,80.62,66.84899999999999,78.676,139.24200000000002,76.59100000000001,121.03399999999999,76.98899999999999,111.844,85.603,82.385,83.527,84.92200000000001,92.94,223.949,91.775,283.541,91.42399999999999,52.661,91.31299999999999,38.245,90.10600000000001,199.91299999999998,100.16799999999999,109.26899999999999,99.95299999999999,247.03,98.194,93.37700000000001,97.601,293.001,97.333,270.616,94.73200000000001,124.01899999999999,105.671,52.25899999999999,103.09299999999999,19.17,103.589,265.078,101.815,219.923,101.4,299.672,109.741,74.28,108.92399999999999,288.611,108.21600000000001,115.32,107.822,97.089,107.23,59.199,106.458,81.283,106.876,235.574,105.94200000000001,182.80900000000003,114.73100000000001,85.1,114.568,122.046,121.565,59.476000000000006,121.919,111.954,120.869,33.919000000000004,120.71700000000001,48.858000000000004,119.696,106.734,117.236,26.89,116.95100000000001,53.946000000000005,127.67200000000001,,,144.135,126.84899999999999,225.69,126.31700000000001,22.785,124.23700000000001,244.218,122.126,73.089,131.925,98.956,130.36,,,,,,,,,,,,,,,,,,,,,,,,,,
216.0,864.0,,217.988,138.671,148.981,139.336,297.405,138.213,182.5,137.687,121.125,138.44299999999998,287.673,137.40200000000002,90.275,135.127,95.204,142.732,109.931,141.558,306.535,141.188,201.467,139.967,296.513,148.63,256.324,147.79399999999998,210.59900000000002,148.19899999999998,133.841,145.941,216.729,156.512,180.71099999999998,154.384,140.733,151.084,44.695,150.877,116.985,161.62,290.76,159.36700000000002,234.452,157.674,197.542,158.005,78.834,157.803,94.501,165.767,79.459,166.422,191.26,171.507,232.247,177.707,142.131,178.24099999999999,126.43700000000001,182.917,255.225,178.953,74.283,191.507,132.565,186.425,252.362,193.507,191.17,15.376,106.66799999999999,33.484,129.914,31.039,189.354,28.502,249.97799999999998,29.02,124.209,23.796,95.399,22.613000000000003,107.706,23.256,122.421,51.566,91.883,47.535,198.885,48.248999999999995,263.091,45.4,124.89,43.54,134.407,40.979,101.92299999999999,37.905,234.40900000000002,65.436,86.57,62.812,214.313,60.266000000000005,73.82300000000001,61.018,136.291,58.352,236.269,56.534,227.498,53.643,111.374,53.558,87.417,71.07600000000001,216.332,69.682,65.882,70.279,132.41299999999998,67.737,269.159,67.255,56.121,67.4,47.073,66.804,192.43400000000003,73.016,239.55,73.408,232.791,73.169,74.666,80.62,66.846,78.694,139.251,76.595,121.06,76.965,111.85,85.60799999999999,82.48299999999999,83.501,84.9,93.01899999999999,224.005,91.766,283.546,91.432,52.659,91.35,38.254,90.086,199.896,100.15799999999999,109.29299999999999,99.958,247.082,98.229,93.292,97.663,292.972,97.329,270.642,94.738,124.046,105.679,52.25899999999999,103.1,19.2,103.584,265.06,101.811,219.888,101.36,299.691,109.777,74.278,108.84299999999999,288.579,108.27,115.32799999999999,107.82,97.1,107.235,59.20399999999999,106.44,81.294,106.87899999999999,235.59,105.925,182.863,114.764,85.09899999999999,114.554,122.06299999999999,121.56200000000001,59.46,121.914,111.959,120.84899999999999,33.948,120.745,48.855,119.656,106.72200000000001,117.25399999999999,26.834,116.949,53.919,127.65299999999999,,,144.15,126.795,225.75,126.27799999999999,22.804000000000002,124.286,244.24200000000002,122.103,72.832,131.99200000000002,99.118,130.36,,,,,,,,,,,,,,,,,,,,,,,,,,
216.25,865.0,,217.949,138.744,148.968,139.32,297.404,138.246,182.56099999999998,137.75799999999998,121.15100000000001,138.44299999999998,287.678,137.47299999999998,90.23,135.165,95.209,142.732,109.93700000000001,141.602,306.57,141.252,201.43900000000002,139.99,296.519,148.55200000000002,256.32599999999996,147.776,210.632,148.201,133.84,145.94799999999998,216.739,156.502,180.66,154.466,140.74,151.10299999999998,44.675,150.877,116.97399999999999,161.654,290.822,159.395,234.354,157.672,197.425,158.125,78.895,157.679,94.59,165.854,79.469,166.47400000000002,191.278,171.56400000000002,232.291,177.668,142.124,178.287,126.43799999999999,182.981,255.30900000000003,179.12,74.236,191.50900000000001,132.608,186.435,252.424,193.52,191.202,15.38,106.7,33.445,129.92,30.995,189.36,28.49,249.96400000000003,29.072,124.227,23.930999999999997,95.428,22.614,107.50299999999999,23.486,122.458,51.544,91.927,47.526,198.899,48.248999999999995,263.08,45.372,124.875,43.518,134.395,40.93,101.96799999999999,37.885,234.46900000000002,65.42399999999999,86.685,62.81,214.28,60.292,73.814,61.035,136.297,58.373000000000005,236.253,56.522,227.502,53.662,111.398,53.532,87.434,71.057,216.30200000000002,69.714,65.876,70.278,132.43200000000002,67.71600000000001,269.147,67.233,56.123999999999995,67.388,47.07899999999999,66.812,192.33900000000003,73.266,239.46900000000002,73.533,232.792,73.18,74.686,80.601,66.82300000000001,78.69800000000001,139.287,76.62,121.081,76.97399999999999,111.861,85.62100000000001,82.0,84.0,84.868,93.08,224.045,91.758,283.543,91.43799999999999,52.672,91.387,38.259,90.08,199.86700000000002,100.156,109.285,99.93700000000001,247.06400000000002,98.219,93.28200000000001,97.66,292.987,97.31299999999999,270.643,94.818,124.061,105.65899999999999,52.25899999999999,103.103,19.222,103.601,265.087,101.804,219.924,101.387,299.703,109.65,74.222,108.86399999999999,288.586,108.213,115.337,107.79799999999999,97.14,107.23899999999999,59.208,106.443,81.312,106.896,235.60299999999998,105.912,182.86700000000002,114.781,85.10799999999999,114.565,122.075,121.575,59.466,121.93799999999999,111.986,120.844,33.96,120.75,48.873000000000005,119.639,106.745,117.29899999999999,26.824,116.978,53.933,127.671,197.865,127.225,144.075,126.853,225.745,126.23700000000001,22.805,124.32,244.237,122.089,72.783,132.003,99.145,130.355,,,,,,,,,,,,,,,,,,,,,,,,,,
216.5,866.0,,217.94400000000002,138.85399999999998,148.94899999999998,139.316,297.389,138.261,182.562,137.795,121.171,138.476,287.666,137.483,90.257,135.256,95.215,142.752,109.958,141.645,306.615,141.257,201.49900000000002,140.02100000000002,296.448,148.627,256.367,147.82,210.546,148.221,133.868,145.957,216.725,156.523,180.69299999999998,154.5,140.732,151.097,44.68899999999999,150.915,116.961,161.69799999999998,290.825,159.41,234.33900000000003,157.709,197.403,158.16,78.821,157.631,94.65799999999999,165.923,79.42699999999999,166.463,191.252,171.612,232.218,177.675,142.125,178.28900000000002,126.42399999999999,182.965,255.28400000000002,179.222,74.222,191.59799999999998,132.597,186.43099999999998,252.503,193.7,191.27700000000002,15.366,106.75299999999999,33.448,129.934,30.969,189.446,28.504,249.87099999999998,29.05,124.329,23.709,95.425,22.581999999999997,107.50399999999999,23.495,122.43799999999999,51.507,91.92200000000001,47.527,198.899,48.205,263.058,45.403999999999996,124.87299999999999,43.512,134.382,40.861,101.932,37.861,234.453,65.441,86.705,62.833999999999996,214.304,60.321000000000005,73.82600000000001,61.028999999999996,136.316,58.425,236.26,56.534,227.503,53.748999999999995,111.41799999999999,53.49,87.494,71.059,216.335,69.72800000000001,65.878,70.274,132.458,67.76100000000001,269.166,67.222,56.125,67.361,47.071000000000005,66.843,192.113,73.819,239.502,73.485,232.81,73.185,74.67399999999999,80.62100000000001,66.808,78.686,139.263,76.64399999999999,121.07,76.95100000000001,111.87899999999999,85.616,82.0,84.0,84.85,93.148,224.055,91.76,283.519,91.465,52.698,91.398,38.259,90.101,199.859,100.13799999999999,109.289,99.932,247.03799999999998,98.165,93.348,97.713,292.98400000000004,97.31700000000001,270.553,94.79899999999999,124.11200000000001,105.77799999999999,52.266000000000005,103.109,19.025,103.485,265.09,101.795,219.877,101.419,299.728,109.61399999999999,74.317,108.811,288.579,108.152,115.361,107.809,97.111,107.25399999999999,59.20399999999999,106.476,81.322,106.883,235.554,105.865,182.918,114.765,85.102,114.54700000000001,122.09,121.598,59.489,121.906,111.991,120.854,33.971,120.771,48.881,119.626,106.73700000000001,117.25399999999999,26.836,116.976,53.949,127.68799999999999,197.863,127.135,144.043,126.97200000000001,225.73,126.241,22.967,124.288,244.225,122.07799999999999,72.763,132.012,99.135,130.38,,,,,,,,,,,,,,,,,,,,,,,,,,
216.75,867.0,,217.956,138.82399999999998,148.93,139.262,297.393,138.295,182.578,137.89600000000002,121.20200000000001,138.46200000000002,287.68,137.369,90.24799999999999,135.295,95.25399999999999,142.752,109.96700000000001,141.66899999999998,306.603,141.249,201.387,139.977,296.496,148.662,256.264,147.811,210.595,148.29399999999998,133.892,145.993,216.766,156.504,180.675,154.559,140.768,151.105,44.765,150.957,116.961,161.731,291.058,159.558,234.358,157.74200000000002,197.39,158.187,78.848,157.606,94.551,165.912,79.433,166.486,191.267,171.737,232.31900000000002,177.727,142.159,178.304,126.478,182.988,255.21400000000003,179.449,74.208,191.622,132.636,186.588,252.549,193.787,191.31900000000002,15.373,106.804,33.453,129.934,30.901999999999997,189.481,28.48,249.919,29.049,124.307,23.798000000000002,95.432,22.611,107.619,23.206999999999997,122.43799999999999,51.395,91.98299999999999,47.528,198.903,48.181000000000004,262.996,45.48,124.836,43.48,134.384,40.821,101.928,37.825,234.467,65.411,86.709,62.803000000000004,214.48,60.52,73.827,61.032,136.32399999999998,58.48,236.27,56.513999999999996,227.52900000000002,53.746,111.419,53.496,87.536,71.084,216.31799999999998,69.733,65.867,70.275,132.39600000000002,67.76,269.182,67.212,56.13399999999999,67.374,47.082,66.84899999999999,191.983,74.13600000000001,239.451,73.55199999999999,232.792,73.165,74.683,80.611,66.792,78.687,139.262,76.664,121.068,76.946,111.88600000000001,85.65299999999999,82.0,84.0,84.87899999999999,93.132,223.99900000000002,91.759,283.533,91.45299999999999,52.713,91.406,38.264,90.12200000000001,199.854,100.12899999999999,109.29899999999999,99.93299999999999,247.024,98.19200000000001,93.289,97.70200000000001,292.98400000000004,97.315,270.531,94.749,124.14200000000001,105.78299999999999,52.271,103.113,19.285,103.65700000000001,265.1,101.789,219.899,101.459,299.73900000000003,109.676,74.291,108.863,288.568,108.073,115.382,107.80799999999999,97.104,107.264,59.202,106.514,81.354,106.904,235.548,105.855,182.899,114.70100000000001,85.1,114.555,122.101,121.619,59.501000000000005,121.88600000000001,111.943,120.85700000000001,33.982,120.802,48.902,119.51899999999999,106.755,117.26100000000001,26.82,116.955,53.93600000000001,127.69200000000001,197.606,127.05799999999999,144.078,126.863,225.752,126.245,23.026999999999997,124.3,244.204,122.042,72.529,132.118,99.165,130.408,,,,,,,,,,,,,,,,,,,,,,,,,,
217.0,868.0,,217.97400000000002,138.697,148.92700000000002,139.268,297.387,138.308,182.62099999999998,138.028,121.23,138.476,287.634,137.408,90.22399999999999,135.308,95.28200000000001,142.74,109.993,141.715,306.605,141.252,201.433,139.985,296.436,148.707,256.27099999999996,147.847,210.62599999999998,148.385,133.898,146.032,216.747,156.49200000000002,180.674,154.6,140.79,151.137,44.715,150.977,116.932,161.797,291.10900000000004,159.575,234.31400000000002,157.825,197.321,158.19899999999998,78.876,157.591,94.494,165.69799999999998,79.501,166.451,191.331,171.737,232.275,177.699,142.184,178.321,126.51,182.977,255.232,179.395,74.227,191.644,132.59799999999998,186.554,252.623,193.83900000000003,191.412,15.369000000000002,106.80799999999999,33.473,129.953,30.877,189.53599999999997,28.43,249.893,29.079,124.26100000000001,24.424,95.447,22.614,107.62700000000001,23.2,122.45700000000001,51.281000000000006,92.00399999999999,47.516999999999996,198.90400000000002,48.167,263.039,45.441,124.822,43.449,134.408,40.786,102.021,37.792,234.449,65.418,86.68700000000001,62.812,214.519,60.519,73.827,61.038999999999994,136.356,58.455,236.424,56.467,227.54,53.777,111.402,53.464,87.568,71.09899999999999,216.368,69.732,65.854,70.273,132.386,67.74,269.155,67.202,56.147,67.42399999999999,47.093,66.84899999999999,191.859,74.408,239.399,73.538,232.778,73.14699999999999,74.658,80.622,66.778,78.692,139.261,76.722,121.089,76.916,111.883,85.62799999999999,82.0,84.0,84.84700000000001,93.13600000000001,224.03799999999998,91.721,283.536,91.48,52.716,91.432,38.268,90.16,199.832,100.124,109.318,99.95700000000001,247.041,98.20700000000001,93.279,97.67200000000001,293.018,97.324,270.557,94.771,124.115,105.822,52.27,103.11399999999999,19.32,103.67299999999999,265.106,101.785,219.873,101.52600000000001,299.712,109.648,74.37100000000001,108.67200000000001,288.515,108.095,115.398,107.759,97.115,107.272,59.203,106.521,81.357,106.89299999999999,235.565,105.87700000000001,182.95,114.719,85.12799999999999,114.586,122.145,121.63799999999999,59.498999999999995,121.883,111.95299999999999,120.883,33.992,120.81,48.888000000000005,119.49799999999999,106.82600000000001,117.34200000000001,26.820999999999998,116.928,53.92,127.708,197.602,127.056,144.192,126.75,225.747,126.275,22.947,124.304,244.135,121.99700000000001,72.62899999999999,132.066,99.21,130.391,,,,,,,,,,,,,,,,,,,,,,,,,,
217.25,869.0,,217.935,138.85399999999998,148.93,139.236,297.374,138.29,182.549,137.83,121.244,138.411,287.534,137.506,90.198,135.211,95.314,142.696,110.04299999999999,141.759,306.656,141.255,201.29,139.97899999999998,296.394,148.755,256.3,147.80700000000002,210.609,148.43,133.93,146.05200000000002,216.755,156.507,180.65900000000002,154.675,140.808,151.138,44.684,151.033,116.90899999999999,161.83,291.064,159.591,234.325,157.778,197.285,158.244,78.89699999999999,157.576,94.506,165.873,79.518,166.387,191.329,171.794,232.229,177.683,142.188,178.425,126.54700000000001,183.03099999999998,255.351,179.567,74.204,191.643,132.481,186.579,252.644,193.908,191.47,15.342,106.81,33.443000000000005,129.953,30.851,189.56900000000002,28.405,249.937,29.075,124.23700000000001,24.615,95.443,22.549,107.587,23.221999999999998,122.414,51.208,91.992,47.476000000000006,198.937,48.158,262.904,45.607,124.787,43.425,134.399,40.753,102.04299999999999,37.755,234.425,65.422,86.73,62.77,214.523,60.57,73.83,61.049,136.38299999999998,58.475,236.41,56.43600000000001,227.533,53.783,111.39399999999999,53.433,87.58200000000001,71.108,216.338,69.751,65.858,70.28,132.44899999999998,67.76100000000001,269.155,67.207,56.174,67.455,47.1,66.86,191.697,74.933,239.493,73.46600000000001,232.79,73.098,74.655,80.623,66.788,78.707,139.28,76.735,121.103,76.922,111.887,85.637,82.434,83.559,84.84100000000001,93.179,224.013,91.72,283.529,91.493,52.747,91.43799999999999,38.29,90.124,199.832,100.10799999999999,109.331,99.935,247.01,98.145,93.131,97.698,293.02099999999996,97.324,270.492,94.82,124.111,105.85700000000001,52.277,103.111,19.295,103.66799999999999,265.10900000000004,101.77,219.976,101.52600000000001,299.705,109.62200000000001,74.277,108.758,288.474,108.022,115.359,107.77799999999999,97.13600000000001,107.29299999999999,59.195,106.535,81.366,106.89299999999999,235.52599999999998,105.84899999999999,182.99900000000002,114.73899999999999,85.14200000000001,114.58,122.196,121.64299999999999,59.511,121.853,111.919,120.90700000000001,34.032,120.883,48.86600000000001,119.436,106.824,117.336,26.855999999999998,116.947,53.917,127.74600000000001,197.533,126.959,144.25,126.714,225.732,126.26899999999999,22.904,124.351,244.122,121.986,72.15899999999999,132.213,99.177,130.41,,,,,,,,,,,,,,,,,,,,,,,,,,
217.5,870.0,,217.957,138.82399999999998,148.96,139.209,297.384,138.29,182.50400000000002,137.773,121.26700000000001,138.458,287.55400000000003,137.518,90.18700000000001,135.21200000000002,95.22399999999999,142.761,110.042,141.764,306.688,141.25,201.356,140.031,296.382,148.684,256.314,147.775,210.585,148.46,133.94299999999998,146.058,216.75099999999998,156.512,180.645,154.731,140.833,151.157,44.745,151.062,116.921,161.916,291.07599999999996,159.569,234.342,157.77700000000002,197.283,158.289,78.903,157.681,94.59200000000001,165.945,79.525,166.43599999999998,191.199,171.77900000000002,232.264,177.675,142.145,178.43400000000003,126.56200000000001,183.054,255.28900000000002,179.65099999999998,74.126,191.74099999999999,132.651,186.58700000000002,252.707,193.96099999999998,191.49400000000003,15.334000000000001,106.79299999999999,33.443000000000005,129.961,30.84,189.588,28.397,249.9,29.070999999999998,124.291,24.55,95.426,22.569000000000003,107.626,23.183000000000003,122.494,51.11,92.054,47.479,198.984,48.178000000000004,262.901,45.552,124.76799999999999,43.396,134.41899999999998,40.713,102.167,37.687,234.447,65.40899999999999,86.756,62.75,214.63299999999998,60.681000000000004,73.82600000000001,61.053999999999995,136.401,58.417,236.382,56.415,227.55200000000002,53.911,111.391,53.388999999999996,87.605,71.148,216.33700000000002,69.794,65.857,70.283,132.408,67.751,269.16200000000003,67.204,56.187,67.487,47.102,66.855,191.53400000000002,75.57600000000001,239.43900000000002,73.502,232.77200000000002,73.11,74.681,80.627,66.775,78.707,139.27,76.726,121.104,76.892,111.898,85.618,82.506,83.56200000000001,84.836,93.208,224.02599999999998,91.693,283.532,91.49799999999999,52.761,91.441,38.299,90.18700000000001,199.84400000000002,100.10700000000001,109.36,99.92299999999999,247.025,98.169,93.155,97.76299999999999,293.03700000000003,97.316,270.513,94.74700000000001,124.12799999999999,105.948,52.28,103.10700000000001,19.361,103.68,265.12,101.759,220.02599999999998,101.523,299.721,109.6,74.26,108.655,288.494,107.979,115.351,107.801,97.12899999999999,107.29700000000001,59.195,106.55799999999999,81.366,106.87299999999999,235.53,105.834,182.99200000000002,114.71700000000001,85.14299999999999,114.57799999999999,122.25299999999999,121.655,59.498000000000005,121.855,111.929,120.90799999999999,34.043,120.90100000000001,48.885,119.48700000000001,106.885,117.369,26.848000000000003,116.944,53.913999999999994,127.744,197.291,127.175,144.236,126.712,225.78400000000002,126.3,22.901999999999997,124.302,244.081,121.946,72.517,132.069,99.134,130.417,,,,,,,,,,,,,,,,,,,,,,,,,,
