TimesH,Frame,NoMissing,9,9,10,10,15,15,20,20,23,23,24,24,30,30,36,36,38,38,44,44,51,51,61,61,65,65,74,74,77,77,82,82,87,87,89,89,92,92,93,93,99,99,106,106,111,111,116,116,123,123,133,133,134,134,135,135,137,137,138,138,140,140,141,141,146,146,148,148,152,152,157,157,159,159,162,162,170,170,171,171,174,174,177,177,180,180,181,181,184,184,185,185,196,196,205,205,208,208,216,216,218,218,224,224,228,228,229,229,236,236,240,240,243,243,248,248,258,258,262,262,266,266,271,271,280,280,281,281,282,282,288,288,290,290,302,302,306,306,311,311,319,319,372,372,383,383,384,384,387,387,395,395,401,401,402,402,424,424,434,434,437,437,441,441,442,442,445,445,446,446,453,453,454,454,462,462,463,463,464,464,467,467,471,471,481,481,485,485,490,490,543,543,593,593,611,611,661,661,789,789,817,817,874,874,901,901,915,915,967,967,972,972
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
383.75,1535.0,,99.025,124.17299999999999,49.12,123.917,153.9,122.056,133.214,128.076,224.738,126.647,167.24200000000002,127.101,217.975,126.18700000000001,203.614,134.265,93.023,133.554,124.538,133.04,124.99,140.08,295.744,136.013,92.999,145.806,226.173,140.921,41.571999999999996,141.513,208.642,150.975,294.157,149.142,151.754,149.214,226.373,147.86,107.633,148.118,175.28900000000002,155.263,285.18,152.861,90.895,162.501,105.21799999999999,161.434,229.787,158.279,274.623,86.691,146.336,87.441,60.126000000000005,87.13799999999999,175.66299999999998,86.28399999999999,115.081,85.994,185.215,85.14399999999999,99.227,84.68799999999999,52.698,93.596,277.57,93.12100000000001,157.885,92.82,36.805,92.22,191.31599999999997,100.175,286.54200000000003,97.73899999999999,220.733,96.051,121.44,95.959,88.27,94.581,122.87200000000001,104.21799999999999,75.663,102.664,61.925,103.038,113.101,102.3,37.269,102.345,250.826,107.066,106.444,105.596,135.44899999999998,113.06,119.075,108.766,84.915,108.788,108.542,116.406,198.916,114.743,174.782,114.708,227.808,113.52600000000001,297.54200000000003,120.494,70.964,121.208,257.39,118.954,232.767,166.673,219.65400000000002,166.38299999999998,118.58200000000001,165.511,151.583,174.33599999999998,194.324,169.834,184.452,169.605,135.63299999999998,169.537,213.149,177.662,203.71099999999998,177.40400000000002,127.175,186.263,188.21,182.729,111.70100000000001,182.36,102.137,193.412,103.995,36.806,195.505,44.863,85.751,44.573,212.842,44.235,127.574,39.884,99.432,52.708999999999996,81.295,52.724,191.859,55.538000000000004,152.04399999999998,66.885,186.236,65.157,89.796,62.732,235.47099999999998,62.486000000000004,253.855,60.162,244.236,59.633,234.128,69.72,68.548,70.12,104.976,67.715,90.088,80.434,141.39600000000002,79.47399999999999,252.2,77.825,68.865,77.878,226.109,83.42399999999999,264.092,80.803,246.503,79.521,198.61,20.218,271.957,116.038,,,,,,,,,,,,,,,,,,
384.0,1536.0,,99.01899999999999,124.191,49.035,123.90799999999999,153.909,122.014,133.221,128.089,224.72799999999998,126.662,167.25799999999998,127.083,217.94099999999997,126.185,203.56,134.248,93.031,133.55,124.531,133.08700000000002,124.99799999999999,140.208,295.777,136.011,92.954,145.826,226.173,140.893,41.57,141.511,208.614,150.984,294.147,149.11,151.736,149.191,226.361,147.829,107.641,148.179,175.274,155.246,285.176,152.84799999999998,90.87200000000001,162.517,105.21799999999999,161.343,229.825,158.304,274.634,86.68799999999999,146.378,87.50200000000001,60.083,87.12100000000001,175.683,86.27600000000001,115.101,86.00299999999999,185.19799999999998,85.148,99.245,84.68799999999999,52.677,93.594,277.556,93.134,157.884,92.84100000000001,36.802,92.22200000000001,191.301,100.177,286.52,97.781,220.722,96.07,121.45299999999999,95.96799999999999,88.27600000000001,94.59700000000001,122.883,104.211,75.684,102.65,61.887,103.084,113.089,102.292,37.277,102.34,250.805,107.079,106.42,105.60799999999999,135.452,113.039,119.046,108.819,84.94200000000001,108.8,108.557,116.402,198.822,114.818,174.78,114.689,227.808,113.525,297.443,120.555,70.946,121.19200000000001,257.371,118.965,232.80599999999998,166.708,219.702,166.37900000000002,118.556,165.516,151.591,174.33,194.331,169.726,184.43400000000003,169.61700000000002,135.594,169.459,213.13,177.678,203.735,177.31099999999998,127.156,186.308,188.273,182.708,111.76100000000001,182.394,102.09299999999999,193.396,103.977,36.773,195.5,44.823,85.727,44.582,212.856,44.235,127.54,39.87,99.42399999999999,52.711999999999996,81.249,52.707,191.77200000000002,55.53,152.042,66.906,186.247,65.153,89.85700000000001,62.715,235.476,62.498000000000005,253.87,60.18899999999999,244.27,59.663999999999994,234.13,69.74,68.506,70.117,104.96700000000001,67.70100000000001,90.104,80.45100000000001,141.411,79.514,252.227,77.877,68.848,77.884,226.11599999999999,83.416,264.07,80.8,246.482,79.533,198.613,20.229,271.967,116.29,,,,,,,,,,,,,,,,,,
384.25,1537.0,,98.949,124.17,48.967,123.95700000000001,153.882,122.014,133.247,128.10299999999998,224.72099999999998,126.677,167.245,127.115,217.956,126.197,203.625,134.265,93.042,133.55700000000002,124.539,133.095,125.05799999999999,140.31,295.81,135.97299999999998,92.954,145.813,226.183,140.776,41.597,141.446,208.59900000000002,151.006,294.128,149.056,151.741,149.183,226.363,147.809,107.572,148.142,175.247,155.317,285.173,152.857,90.86399999999999,162.536,105.221,161.399,229.798,158.309,274.618,86.682,146.388,87.461,60.085,87.073,175.683,86.309,115.119,85.999,185.172,85.145,99.26700000000001,84.705,52.655,93.54700000000001,277.524,93.137,157.898,92.87700000000001,36.815,92.23899999999999,191.27599999999998,100.189,286.514,97.82700000000001,220.66400000000002,96.098,121.439,95.96600000000001,88.3,94.538,122.931,104.166,75.696,102.64299999999999,61.89,103.09299999999999,113.134,102.295,37.286,102.336,250.82,107.105,106.37100000000001,105.64200000000001,135.423,113.024,119.095,108.79899999999999,84.947,108.83200000000001,108.556,116.4,198.645,114.904,174.84900000000002,114.69,227.77599999999998,113.492,297.423,120.598,70.926,121.19200000000001,257.355,118.93799999999999,232.75400000000002,166.67700000000002,219.68200000000002,166.40599999999998,118.57799999999999,165.49,151.58700000000002,174.322,194.34400000000002,169.709,184.41099999999997,169.627,135.671,169.523,213.08,177.739,203.678,177.455,127.32,186.33900000000003,188.27,182.695,111.74700000000001,182.26,102.069,193.421,103.973,36.751999999999995,195.516,44.858000000000004,85.7,44.675,212.86700000000002,44.242,127.6,39.856,99.387,52.71,81.171,52.702,191.765,55.538000000000004,152.045,66.847,186.25,65.117,89.84299999999999,62.742,235.484,62.518,253.852,60.161,244.266,59.635,234.033,69.763,68.47,70.09899999999999,104.969,67.705,90.095,80.467,141.433,79.583,252.267,77.922,68.812,77.88600000000001,226.102,83.40299999999999,264.091,80.827,246.47099999999998,79.569,198.604,20.21,,,,,,,,,,,,,,,,,,,,
384.5,1538.0,,98.95700000000001,124.15700000000001,49.032,123.929,153.844,121.98899999999999,133.238,128.168,224.71599999999998,126.698,167.235,127.1,217.96200000000002,126.179,203.63099999999997,134.253,93.057,133.517,124.553,133.091,125.02600000000001,140.265,295.77,136.014,93.02,145.812,226.18400000000003,140.786,41.568999999999996,141.415,208.55700000000002,150.994,294.128,149.037,151.717,149.155,226.357,147.798,107.568,148.067,175.24400000000003,155.299,285.129,152.887,90.911,162.51,105.432,161.558,229.833,158.32299999999998,274.607,86.677,146.415,87.493,59.963,87.042,175.697,86.304,115.19,85.99700000000001,185.13400000000001,85.17299999999999,99.305,84.71,52.656000000000006,93.527,277.519,93.147,157.89600000000002,92.884,36.792,92.24700000000001,191.28099999999998,100.15700000000001,286.402,97.662,220.607,96.083,121.435,95.965,88.319,94.541,122.939,104.18799999999999,75.699,102.64200000000001,61.867,103.081,113.132,102.3,37.246,102.361,250.738,107.038,106.34200000000001,105.711,135.42600000000002,112.992,119.06200000000001,108.82,84.94,108.855,108.535,116.395,198.55900000000003,114.978,174.859,114.695,227.763,113.499,297.375,120.666,70.938,121.19200000000001,257.395,118.935,232.761,166.65400000000002,219.718,166.322,118.556,165.588,151.586,174.30599999999998,194.35299999999998,169.637,184.405,169.666,135.73,169.505,213.043,177.86599999999999,203.68900000000002,177.33900000000003,127.28299999999999,186.34599999999998,188.291,182.707,111.709,182.22799999999998,102.13,193.329,103.97,36.714,195.50900000000001,44.86600000000001,85.60600000000001,44.76,212.855,44.235,127.602,39.834,99.385,52.687,81.161,52.70399999999999,191.755,55.556000000000004,152.072,66.859,186.257,65.102,89.82799999999999,62.754,235.463,62.516000000000005,253.863,60.169,244.262,59.571999999999996,234.01,69.785,68.434,70.08,104.975,67.708,90.11,80.491,141.415,79.597,252.305,77.982,68.791,77.889,226.102,83.417,264.058,80.811,246.46900000000002,79.559,198.62,20.205,,,,,,,,,,,,,,,,,,,,
384.75,1539.0,,98.977,124.17299999999999,49.022,123.884,153.833,121.93299999999999,133.245,128.202,224.71,126.7,167.21900000000002,127.088,217.963,126.185,203.593,134.218,93.053,133.54,124.55,133.09,125.001,140.187,295.721,136.045,93.044,145.83,226.18,140.724,41.581,141.412,208.52900000000002,151.024,294.106,149.064,151.755,149.107,226.329,147.792,107.484,148.217,175.231,155.261,285.08,152.917,90.895,162.511,105.35,161.516,229.84599999999998,158.332,274.642,86.655,146.43200000000002,87.5,59.963,86.984,175.71099999999998,86.321,115.2,85.98,185.118,85.21,99.318,84.70200000000001,52.647,93.522,277.51099999999997,93.14399999999999,157.89600000000002,92.89200000000001,36.739000000000004,92.242,191.245,100.162,286.433,97.664,220.56799999999998,96.09100000000001,121.448,95.95299999999999,88.319,94.557,122.961,104.195,75.678,102.652,61.886,103.065,113.13799999999999,102.29700000000001,37.256,102.319,250.72099999999998,107.012,106.294,105.727,135.404,113.036,119.03399999999999,108.84700000000001,84.95200000000001,108.887,108.584,116.37799999999999,198.62,114.98299999999999,174.87099999999998,114.664,227.74400000000003,113.492,297.332,120.69,70.939,121.17299999999999,257.431,118.94200000000001,232.715,166.6,219.796,166.313,118.546,165.669,151.6,174.304,194.355,169.62,184.41,169.673,135.745,169.541,213.00099999999998,177.894,203.62599999999998,177.393,127.23,186.347,188.25900000000001,182.748,111.711,182.28799999999998,102.166,193.28400000000002,103.913,36.717,195.421,44.886,85.616,44.695,212.859,44.24100000000001,127.585,39.825,99.385,52.701,81.13,52.693999999999996,191.73,55.656000000000006,152.023,66.92399999999999,186.264,65.065,89.794,62.771,235.442,62.498000000000005,253.847,60.143,244.25,59.545,234.03,69.767,68.40899999999999,70.09,104.946,67.723,90.12,80.501,141.416,79.617,252.25900000000001,77.988,68.78399999999999,77.917,226.13299999999998,83.417,264.068,80.832,246.446,79.559,198.635,20.224,,,,,,,,,,,,,,,,,,,,
385.0,1540.0,,98.97,124.166,48.99100000000001,123.899,153.834,121.915,133.239,128.168,224.699,126.725,167.23,127.10700000000001,217.93400000000003,126.209,203.517,134.197,93.054,133.524,124.565,133.08,124.97,140.10399999999998,295.681,136.047,93.064,145.826,226.17700000000002,140.71200000000002,41.607,141.39,208.515,151.059,294.05400000000003,149.092,151.764,149.082,226.292,147.81799999999998,107.49,148.145,175.24,155.253,285.115,152.923,90.881,162.506,105.35,161.516,229.865,158.328,274.638,86.671,146.455,87.512,59.956,86.95200000000001,175.726,86.285,115.175,85.969,185.118,85.21799999999999,99.321,84.71700000000001,52.593,93.48,277.522,93.12700000000001,157.875,92.915,36.756,92.271,191.257,100.15799999999999,286.597,97.809,220.518,96.103,121.443,95.955,88.307,94.572,122.93799999999999,104.219,75.71,102.62299999999999,61.901,103.015,113.145,102.31,37.271,102.28,250.709,106.98299999999999,106.265,105.729,135.429,113.053,119.00399999999999,108.86,84.988,108.866,108.571,116.381,198.50099999999998,115.01799999999999,174.868,114.66799999999999,227.734,113.49,297.327,120.693,70.945,121.12899999999999,257.439,118.946,232.697,166.588,219.875,166.31400000000002,118.56299999999999,165.73,151.55200000000002,174.3,194.359,169.574,184.39,169.66400000000002,135.75,169.595,213.00900000000001,177.9,203.625,177.489,127.156,186.31799999999998,188.17700000000002,182.838,111.709,182.315,102.131,193.315,103.91,36.699,195.418,44.903,85.58200000000001,44.773999999999994,212.864,44.24100000000001,127.59299999999999,39.81,99.385,52.736999999999995,81.12100000000001,52.667,191.773,55.71,152.11700000000002,66.9,186.257,65.038,89.803,62.785,235.428,62.486000000000004,253.84799999999998,60.125,244.24400000000003,59.566,233.99099999999999,69.795,68.388,70.095,104.95200000000001,67.72800000000001,90.094,80.532,141.42600000000002,79.64,252.27599999999998,78.051,68.78699999999999,77.92699999999999,226.13,83.411,264.063,80.824,246.44400000000002,79.583,198.611,20.229,,,,,,,,,,,,,,,,,,,,
385.25,1541.0,,98.95700000000001,124.16,48.989,123.91,153.825,121.895,133.25799999999998,128.191,224.69799999999998,126.736,167.22099999999998,127.10600000000001,217.938,126.18700000000001,203.644,134.22,93.051,133.542,124.529,133.034,124.963,140.105,295.66700000000003,136.082,93.126,145.826,226.169,140.67700000000002,41.585,141.366,208.484,151.06,294.015,149.099,151.804,149.018,226.28900000000002,147.839,107.509,148.262,175.26,155.247,285.10400000000004,152.931,90.87100000000001,162.53799999999998,105.346,161.493,229.84900000000002,158.32399999999998,274.623,86.684,146.503,87.554,59.983999999999995,86.963,175.7,86.315,115.23700000000001,85.949,185.115,85.213,99.322,84.72200000000001,52.58,93.48299999999999,277.486,93.154,157.886,92.91799999999999,36.74,92.321,191.217,100.169,286.611,97.837,220.507,96.074,121.456,95.96600000000001,88.316,94.583,122.995,104.179,75.738,102.63799999999999,61.869,102.999,113.179,102.33200000000001,37.274,102.31200000000001,250.707,106.975,106.20700000000001,105.725,135.404,113.07799999999999,118.98200000000001,108.887,85.015,108.887,108.564,116.352,198.47,115.068,174.89,114.656,227.72099999999998,113.49,297.329,120.613,70.939,121.134,257.464,118.93799999999999,232.685,166.56599999999997,219.75400000000002,166.359,118.601,165.768,151.543,174.263,194.34599999999998,169.65400000000002,184.395,169.678,135.776,169.56900000000002,213.028,177.93099999999998,203.579,177.549,127.155,186.298,188.15900000000002,182.88400000000001,111.686,182.22799999999998,102.12899999999999,193.304,103.916,36.68,195.454,44.902,85.631,44.736000000000004,212.84900000000002,44.24,127.601,39.782,99.428,52.723,81.055,52.641000000000005,191.69099999999997,55.765,152.124,66.92,186.25900000000001,64.994,89.79,62.82,235.403,62.457,253.86,60.09,244.25799999999998,59.528999999999996,233.959,69.804,68.324,70.095,104.962,67.726,90.115,80.554,141.398,79.586,252.24900000000002,78.038,68.78399999999999,77.933,226.145,83.431,264.013,80.798,246.438,79.58,198.597,20.235,,,,,,,,,,,,,,,,,,,,
385.5,1542.0,,98.945,124.163,48.978,123.87799999999999,153.842,121.92299999999999,133.26,128.216,224.69099999999997,126.75200000000001,167.209,127.139,217.949,126.206,203.572,134.16899999999998,93.06299999999999,133.541,124.51799999999999,133.085,124.955,140.148,295.631,136.137,93.113,145.816,226.17,140.637,41.595,141.309,208.502,151.047,293.971,149.096,151.829,149.055,226.283,147.825,107.506,148.265,175.295,155.192,285.092,152.931,90.85600000000001,162.558,105.38,161.52100000000002,229.875,158.371,274.595,86.713,146.518,87.559,59.931000000000004,86.943,175.72799999999998,86.296,115.26700000000001,85.93,185.09,85.208,99.31,84.723,52.556000000000004,93.48299999999999,277.502,93.109,157.89,92.93299999999999,36.728,92.331,191.196,100.16799999999999,286.618,97.814,220.50900000000001,96.07799999999999,121.464,95.969,88.322,94.58200000000001,123.00299999999999,104.21799999999999,75.785,102.645,61.853,102.975,113.22200000000001,102.322,37.232,102.324,250.705,106.95700000000001,106.219,105.72200000000001,135.398,113.109,118.98100000000001,108.884,85.055,108.836,108.575,116.324,198.475,115.088,174.894,114.664,227.69400000000002,113.48700000000001,297.258,120.712,70.917,121.13600000000001,257.459,118.914,232.672,166.433,219.85299999999998,166.389,118.59200000000001,165.793,151.52200000000002,174.26,194.35299999999998,169.702,184.382,169.669,135.721,169.46200000000002,213.04,177.93599999999998,203.583,177.472,127.211,186.358,188.144,182.847,111.684,182.25900000000001,102.103,193.295,103.87799999999999,36.696,195.50099999999998,44.911,85.346,44.958999999999996,212.875,44.257,127.641,39.766999999999996,99.445,52.76,80.959,52.622,191.71200000000002,55.825,152.066,66.999,186.257,64.941,89.742,62.828,235.39,62.398999999999994,253.847,60.075,244.25799999999998,59.538999999999994,233.967,69.791,68.332,70.07,104.944,67.718,90.087,80.551,141.423,79.586,252.24200000000002,78.017,68.78,77.93,226.135,83.439,263.943,80.783,246.424,79.59100000000001,198.597,20.246,,,,,,,,,,,,,,,,,,,,
