 ,X,Y
1,71.438,23.576
2,69.815,24.662
3,68.032,25.769
4,66.174,26.923
5,64.325,28.147
6,62.570,29.467
7,60.979,30.901
8,59.549,32.439
9,58.255,34.066
10,57.073,35.762
11,55.977,37.510
12,54.940,39.293
13,53.920,41.096
14,52.871,42.904
15,51.749,44.705
16,50.508,46.482
17,49.117,48.226
18,47.615,49.936
19,46.059,51.617
20,44.508,53.272
21,43.020,54.907
22,41.649,56.525
23,40.392,58.137
24,39.201,59.756
25,38.024,61.396
26,36.811,63.071
27,35.518,64.793
28,34.154,66.548
29,32.764,68.309
30,31.389,70.049
31,30.073,71.740
32,28.858,73.356
33,27.741,74.902
34,26.674,76.417
35,25.605,77.940
36,24.485,79.511
37,23.279,81.160
38,22.025,82.884
39,20.780,84.667
40,19.604,86.495
41,18.553,88.352
42,17.675,90.225
43,16.955,92.109
44,16.358,94.003
45,15.845,95.904
46,15.382,97.811
47,14.938,99.724
48,14.507,101.640
49,14.086,103.561
50,13.671,105.485
51,13.259,107.413
52,12.846,109.341
53,12.427,111.267
54,11.998,113.185
55,11.554,115.091
56,11.092,116.983
57,10.625,118.871
58,10.176,120.772
59,9.767,122.705
60,9.420,124.687
61,9.159,126.727
62,9.009,128.800
63,9.000,130.875
64,9.159,132.923
65,9.513,134.911
66,10.062,136.828
67,10.732,138.699
68,11.440,140.561
69,12.103,142.447
70,12.640,144.391
71,13.042,146.385
72,13.389,148.376
73,13.769,150.303
74,14.268,152.109
75,14.964,153.742
76,15.849,155.225
77,16.868,156.620
78,17.965,157.990
79,19.086,159.397
80,20.203,160.867
81,21.313,162.401
82,22.410,163.998
83,23.489,165.658
84,24.549,167.371
85,25.598,169.105
86,26.644,170.821
87,27.697,172.479
88,28.766,174.040
89,29.861,175.493
90,30.995,176.872
91,32.178,178.215
92,33.423,179.561
93,34.739,180.940
94,36.124,182.356
95,37.572,183.803
96,39.080,185.277
97,40.643,186.771
98,42.249,188.274
99,43.874,189.752
100,45.488,191.170
101,47.065,192.492
102,48.576,193.682
103,50.011,194.724
104,51.415,195.670
105,52.844,196.582
106,54.354,197.524
107,55.988,198.545
108,57.734,199.630
109,59.564,200.744
110,61.450,201.854
111,63.362,202.925
112,65.277,203.929
113,67.185,204.870
114,69.086,205.759
115,70.976,206.610
116,72.852,207.435
117,74.717,208.240
118,76.591,208.997
119,78.503,209.667
120,80.482,210.212
121,82.554,210.592
