 ,X,Y
1,164.014,89.006
2,163.728,90.669
3,163.625,92.680
4,163.654,94.971
5,163.767,97.474
6,163.916,100.121
7,164.051,102.843
8,164.143,105.590
9,164.193,108.341
10,164.205,111.077
11,164.183,113.780
12,164.130,116.431
13,164.051,119.012
14,163.950,121.504
15,163.826,123.906
16,163.676,126.227
17,163.497,128.477
18,163.286,130.665
19,163.040,132.801
20,162.760,134.896
21,162.477,136.968
22,162.230,139.038
23,162.057,141.127
24,162.000,143.257
25,162.093,145.444
26,162.332,147.675
27,162.683,149.913
28,163.114,152.120
29,163.593,154.260
30,164.085,156.295
31,164.564,158.211
32,165.017,160.055
33,165.434,161.882
34,165.804,163.747
35,166.117,165.707
36,166.384,167.782
37,166.651,169.945
38,166.964,172.166
39,167.368,174.413
40,167.912,176.654
41,168.631,178.863
42,169.491,181.030
43,170.431,183.156
44,171.391,185.243
45,172.310,187.291
46,173.126,189.301
47,173.819,191.267
48,174.476,193.171
49,175.200,194.992
50,176.095,196.709
51,177.263,198.300
52,178.756,199.758
53,180.502,201.099
54,182.413,202.347
55,184.403,203.522
56,186.384,204.647
57,188.275,205.741
58,190.070,206.805
59,191.811,207.825
60,193.541,208.788
61,195.302,209.678
62,197.135,210.484
63,199.045,211.200
64,201.011,211.827
65,203.009,212.365
66,205.019,212.815
67,207.017,213.179
68,209.001,213.462
69,210.982,213.677
70,212.973,213.839
71,214.987,213.958
72,217.037,214.048
73,219.122,214.112
74,221.230,214.144
75,223.347,214.135
76,225.459,214.081
77,227.553,213.973
78,229.624,213.800
79,231.686,213.541
80,233.754,213.173
81,235.842,212.674
82,237.967,212.023
83,240.129,211.209
84,242.274,210.276
85,244.333,209.285
86,246.236,208.292
87,247.912,207.357
88,249.301,206.536
89,250.486,205.821
90,251.662,205.160
91,253.028,204.500
92,254.724,203.794
93,256.670,203.025
94,258.728,202.183
95,260.762,201.259
96,262.635,200.244
97,264.233,199.133
98,265.601,197.962
99,266.862,196.788
100,268.139,195.666
101,269.555,194.651
102,271.155,193.756
103,272.877,192.936
104,274.650,192.140
105,276.405,191.317
106,278.074,190.419
107,279.645,189.431
108,281.144,188.359
109,282.597,187.211
110,284.029,185.994
111,285.462,184.720
112,286.905,183.422
113,288.362,182.140
114,289.839,180.910
115,291.339,179.771
116,292.861,178.730
117,294.390,177.723
118,295.909,176.681
119,297.403,175.533
120,298.854,174.212
121,300.255,172.706
122,301.602,171.050
123,302.894,169.278
124,304.128,167.426
125,305.302,165.529
126,306.404,163.610
127,307.405,161.669
128,308.272,159.703
129,308.975,157.710
130,309.480,155.685
131,309.770,153.630
132,309.894,151.558
133,309.924,149.487
134,309.932,147.435
135,309.989,145.419
136,310.156,143.454
137,310.408,141.516
138,310.678,139.565
139,310.901,137.564
140,311.011,135.471
141,310.952,133.258
142,310.727,130.966
143,310.372,128.670
144,309.919,126.447
145,309.405,124.372
146,308.863,122.520
147,308.310,120.901
148,307.732,119.408
149,307.113,117.922
150,306.437,116.323
151,305.696,114.535
152,304.912,112.604
153,304.111,110.600
154,303.321,108.591
155,302.567,106.645
156,301.867,104.818
157,301.186,103.089
158,300.475,101.415
159,299.682,99.754
160,298.759,98.063
161,297.691,96.318
162,296.528,94.530
163,295.328,92.716
164,294.149,90.891
165,293.050,89.069
166,292.075,87.262
167,291.212,85.464
168,290.432,83.660
169,289.707,81.840
170,289.007,79.989
171,288.306,78.105
172,287.576,76.217
173,286.793,74.365
174,285.929,72.587
175,284.959,70.922
176,283.868,69.389
177,282.670,67.948
178,281.386,66.541
179,280.041,65.113
180,278.654,63.608
181,277.252,62.000
182,275.864,60.315
183,274.521,58.587
184,273.255,56.849
185,272.096,55.133
186,271.058,53.472
187,270.079,51.879
188,269.067,50.368
189,267.936,48.948
190,266.595,47.632
191,265.015,46.415
192,263.269,45.267
193,261.437,44.152
194,259.602,43.038
195,257.846,41.891
196,256.225,40.688
197,254.722,39.441
198,253.306,38.170
199,251.945,36.891
200,250.609,35.624
201,249.277,34.379
202,247.946,33.153
203,246.615,31.944
204,245.283,30.747
205,243.950,29.558
206,242.615,28.366
207,241.282,27.156
208,239.952,25.914
209,238.627,24.624
210,237.295,23.295
211,235.918,21.972
212,234.457,20.704
213,232.871,19.538
214,231.124,18.523
215,229.228,17.659
216,227.247,16.899
217,225.247,16.196
218,223.293,15.502
219,221.451,14.770
220,219.743,13.983
221,218.119,13.175
222,216.522,12.388
223,214.897,11.661
224,213.193,11.032
225,211.408,10.529
226,209.561,10.177
227,207.673,10.000
228,205.764,10.021
229,203.852,10.246
230,201.949,10.629
231,200.067,11.115
232,198.219,11.650
233,196.415,12.181
234,194.672,12.703
235,193.014,13.291
236,191.463,14.023
237,190.045,14.981
238,188.774,16.218
239,187.632,17.680
240,186.591,19.280
241,185.622,20.934
242,184.699,22.558
243,183.799,24.116
244,182.913,25.644
245,182.030,27.184
246,181.139,28.778
247,180.236,30.461
248,179.344,32.229
249,178.497,34.060
250,177.727,35.932
251,177.070,37.825
252,176.547,39.719
253,176.127,41.608
254,175.757,43.487
255,175.387,45.355
256,174.964,47.208
257,174.453,49.046
258,173.865,50.879
259,173.221,52.721
260,172.540,54.581
261,171.843,56.473
262,171.150,58.401
263,170.489,60.356
264,169.887,62.329
265,169.370,64.309
266,168.964,66.286
267,168.681,68.255
268,168.484,70.227
269,168.330,72.215
270,168.178,74.231
271,167.984,76.287
272,167.715,78.374
273,167.364,80.418
274,166.929,82.334
275,166.407,84.038
276,165.797,85.449
277,165.132,86.601
278,164.506,87.711
279,164.014,89.006
