TimesH,Frame,NoMissing,0,0,2,2,4,4,6,6,14,14,15,15,17,17,21,21,26,26,27,27,29,29,30,30,32,32,37,37,38,38,39,39,41,41,42,42,44,44,47,47,48,48,52,52,55,55,56,56,58,58,65,65,66,66,67,67,70,70,74,74,83,83,85,85,86,86,87,87,88,88,93,93,104,104,259,259,284,284,285,285,288,288,289,289,291,291,295,295,296,296,298,298,300,300,303,303,304,304,311,311,316,316,317,317,318,318,319,319,320,320,321,321,322,322,325,325,329,329,333,333,339,339,342,342,344,344,347,347,349,349,350,350,354,354,356,356,359,359,360,360,375,375,517,517,694,694,717,717,946,946
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,190.11,150.565,101.16799999999999,149.887,156.692,149.447,29.362,148.543,175.648,147.822,61.742,148.082,36.448,160.095,90.963,157.80200000000002,201.56,154.461,161.371,156.464,184.149,155.218,66.48,155.658,149.04399999999998,166.658,110.104,165.31599999999997,207.218,163.616,67.431,165.71,197.737,163.732,177.815,162.863,82.624,161.221,59.095,161.45,165.872,174.185,192.437,171.764,217.50099999999998,171.27700000000002,156.969,170.495,96.102,170.045,99.495,181.41400000000002,42.269,182.80900000000003,195.408,180.34900000000002,150.969,181.287,173.679,178.429,162.07,190.035,47.461000000000006,188.463,86.56700000000001,186.748,118.83,187.449,205.44799999999998,184.583,131.045,185.33900000000003,197.09799999999998,194.048,82.441,93.47,66.314,110.639,73.237,108.28399999999999,60.09,108.27799999999999,82.93,105.834,212.68,105.477,91.181,103.365,103.488,102.719,53.155,120.443,157.85299999999998,118.98100000000001,199.197,114.774,82.434,115.412,160.22899999999998,111.285,71.336,127.31,188.481,125.666,83.99600000000001,126.382,77.768,125.478,155.942,125.46,73.01100000000001,121.84100000000001,39.073,124.26,204.055,120.041,154.016,137.121,87.036,134.84,185.14700000000002,131.58700000000002,165.732,130.808,47.99100000000001,130.49200000000002,186.235,143.906,,,91.24799999999999,143.637,160.559,141.599,45.747,142.591,208.331,138.49,59.568999999999996,139.442,55.25899999999999,169.28599999999997,,,,,,,,
0.25,1.0,,190.088,150.618,101.139,149.866,156.716,149.42600000000002,29.156999999999996,148.511,175.668,147.782,61.846000000000004,148.122,36.422,160.113,90.946,157.85399999999998,201.515,154.496,161.415,156.399,184.18900000000002,155.174,66.563,155.485,149.033,166.601,110.069,165.257,207.372,163.631,67.415,165.638,197.74099999999999,163.765,177.827,162.923,82.626,161.26,59.098,161.418,165.896,174.175,192.488,171.75900000000001,217.613,171.292,157.149,170.451,96.084,169.987,99.50299999999999,181.435,42.278,182.825,195.356,180.31400000000002,151.032,181.127,173.68900000000002,178.399,162.107,190.018,47.441,188.49200000000002,86.663,186.71900000000002,118.84899999999999,187.429,205.456,184.546,131.034,185.31799999999998,197.106,194.044,82.29299999999999,93.441,66.234,110.45700000000001,73.253,108.275,60.125,108.359,82.95100000000001,105.735,212.797,105.464,91.17399999999999,103.163,103.427,102.727,53.081,120.376,157.875,118.925,199.37900000000002,114.66799999999999,82.521,115.37200000000001,160.295,111.22200000000001,71.27199999999999,127.26799999999999,188.545,125.65,83.883,126.514,77.839,125.598,155.94,125.463,73.109,122.17200000000001,38.986999999999995,124.236,204.16400000000002,120.044,153.961,137.08,87.045,134.77,185.07299999999998,131.523,165.725,130.86,47.861000000000004,130.486,186.261,143.947,42.563,143.07399999999998,91.26899999999999,143.615,160.58,141.662,45.75,142.56,208.325,138.39,59.544,139.41899999999998,55.247,169.363,,,,,,,,
0.5,2.0,,190.07,150.61,101.12,149.845,156.845,149.296,29.045,148.554,175.699,147.752,61.782,148.16299999999998,36.391,160.10399999999998,90.932,157.866,201.622,154.52100000000002,161.477,156.447,184.222,155.16899999999998,66.497,155.475,149.078,166.579,110.05799999999999,165.238,207.511,163.673,67.39,165.627,197.727,163.768,177.854,162.922,82.626,161.281,59.129,161.40200000000002,165.945,174.18599999999998,192.541,171.726,217.62900000000002,171.31099999999998,157.06799999999998,170.372,96.04799999999999,169.967,99.512,181.322,42.278,182.798,195.334,180.315,151.141,181.00400000000002,173.795,178.356,162.111,190.04,47.427,188.50900000000001,86.604,186.762,118.87899999999999,187.446,205.457,184.46,131.02,185.335,197.16400000000002,194.02599999999998,82.18700000000001,93.49799999999999,66.126,110.324,73.274,108.318,60.138999999999996,108.338,82.965,105.73899999999999,212.87599999999998,105.432,91.214,103.139,103.48700000000001,102.76799999999999,53.056999999999995,120.27600000000001,157.903,118.92299999999999,199.32,114.697,82.52600000000001,115.345,160.356,111.37200000000001,71.237,127.27799999999999,188.519,125.618,83.941,126.35600000000001,77.804,125.609,155.92600000000002,125.34899999999999,,,38.983000000000004,124.19200000000001,204.146,119.96799999999999,153.934,137.066,87.04799999999999,134.687,184.90900000000002,131.498,165.74900000000002,130.751,47.809,130.495,186.273,143.942,42.558,143.03,91.277,143.565,160.611,141.66299999999998,45.768,142.534,208.452,138.349,59.586999999999996,139.339,55.211000000000006,169.143,,,,,,,,
0.75,3.0,,190.08900000000003,150.586,101.169,149.811,156.833,149.18200000000002,29.028000000000002,148.582,175.722,147.66899999999998,61.843,148.209,36.397,160.099,91.021,157.783,201.627,154.53,161.483,156.409,184.18900000000002,155.17600000000002,66.485,155.4,149.111,166.52599999999998,110.05799999999999,165.209,207.446,163.625,67.38,165.567,197.762,163.79399999999998,177.865,162.885,82.662,161.361,59.097,161.39700000000002,166.007,174.157,192.582,171.731,217.701,171.213,157.234,170.338,96.01100000000001,169.93400000000003,99.535,181.27,42.291000000000004,182.79,195.299,180.30700000000002,151.231,180.86900000000003,173.84400000000002,178.255,162.203,190.0,47.506,188.515,86.691,186.773,118.897,187.391,205.495,184.545,131.07399999999998,185.24099999999999,197.175,194.04,82.335,93.492,66.062,110.279,73.233,108.27,60.068999999999996,108.20700000000001,82.969,105.654,212.93400000000003,105.39200000000001,91.214,102.95,103.336,102.74600000000001,53.03,120.31299999999999,157.879,118.93,199.423,114.679,82.535,115.255,160.203,111.223,71.17399999999999,127.213,188.53900000000002,125.60799999999999,83.87,126.336,77.797,125.54,155.91299999999998,125.445,,,38.924,124.147,204.21400000000003,119.868,153.84,136.97799999999998,87.038,134.634,184.817,131.477,165.835,130.681,47.674,130.507,186.301,143.917,41.328,143.333,91.294,143.525,160.567,141.626,45.783,142.507,208.47299999999998,138.41299999999998,59.54,139.28,55.178000000000004,169.075,,,,,,,,
1.0,4.0,,190.005,150.623,101.135,149.877,156.828,149.178,29.066,148.542,175.757,147.601,62.088,148.23,36.336999999999996,160.11700000000002,91.03,157.762,201.704,154.516,161.498,156.25,184.205,155.241,66.488,155.326,149.121,166.488,110.03399999999999,165.18099999999998,207.747,163.75799999999998,67.369,165.528,197.78900000000002,163.804,177.84900000000002,162.90200000000002,82.67,161.327,59.066,161.375,166.00599999999997,174.195,192.605,171.747,217.762,171.162,157.239,170.37900000000002,95.96,169.905,99.51,181.115,42.31399999999999,182.718,195.28900000000002,180.28599999999997,151.268,180.752,174.00900000000001,178.168,162.19899999999998,189.945,47.50899999999999,188.55200000000002,86.85700000000001,186.718,118.944,187.40599999999998,205.50099999999998,184.49200000000002,131.069,185.13099999999997,197.19,194.033,82.355,93.587,65.89399999999999,110.214,73.277,108.286,60.115,108.146,82.865,105.648,212.99099999999999,105.346,91.156,102.71799999999999,103.286,102.714,53.005,120.27600000000001,157.903,118.958,199.452,114.762,82.493,115.363,160.244,111.185,71.118,127.208,188.571,125.632,83.90799999999999,126.25399999999999,77.824,125.544,155.94899999999998,125.339,,,38.925,124.152,204.368,119.97200000000001,153.781,137.037,87.042,134.57,184.831,131.471,165.929,130.64700000000002,47.613,130.429,186.31400000000002,143.88,41.349,143.327,91.31700000000001,143.537,160.66899999999998,141.582,45.806000000000004,142.491,208.49400000000003,138.31799999999998,59.528,139.19899999999998,55.201,169.24099999999999,,,,,,,,
1.25,5.0,,189.99,150.644,101.287,149.832,156.786,149.174,29.234,148.622,175.726,147.558,62.088,148.24200000000002,36.405,160.071,90.98299999999999,157.753,201.67,154.563,161.526,156.304,184.293,155.119,66.421,155.263,149.138,166.44299999999998,110.04700000000001,165.19400000000002,207.91,163.782,67.36399999999999,165.482,197.847,163.832,177.862,162.895,82.663,161.395,59.077,161.408,166.02200000000002,173.908,192.669,171.732,217.862,171.101,157.224,170.343,95.92299999999999,169.877,99.447,180.94400000000002,42.292,182.731,195.342,180.24599999999998,151.33100000000002,180.7,174.11700000000002,178.183,162.226,189.90099999999998,47.537,188.562,86.94,186.687,118.944,187.377,205.53,184.457,131.08,185.111,197.238,194.02200000000002,82.262,93.23,65.913,110.21,73.27199999999999,108.24799999999999,60.107,108.184,82.648,105.47399999999999,213.079,105.345,91.126,102.53299999999999,103.22399999999999,102.64200000000001,52.876000000000005,120.20700000000001,157.887,118.883,199.644,114.594,82.44200000000001,115.215,160.361,111.31700000000001,71.095,127.162,188.537,125.51100000000001,83.774,126.471,77.828,125.56,155.957,125.315,73.056,122.346,38.853,124.074,204.363,119.822,153.89700000000002,136.93200000000002,87.03399999999999,134.51,184.785,131.519,165.915,130.567,47.599,130.346,186.321,143.89600000000002,41.403,143.29,91.296,143.498,160.75,141.58100000000002,45.81,142.44299999999998,208.56099999999998,138.248,59.556999999999995,139.192,55.175,168.93400000000003,,,,,,,,
1.5,6.0,,190.14700000000002,150.616,101.29700000000001,149.84799999999998,156.72899999999998,149.154,29.209,148.51,175.743,147.49,62.07899999999999,148.248,36.378,160.083,90.91799999999999,157.81799999999998,201.627,154.621,161.566,156.178,184.25599999999997,155.124,66.45100000000001,155.21,149.153,166.41400000000002,110.035,165.168,208.415,163.733,67.368,165.46599999999998,197.834,163.739,177.88099999999997,162.827,82.65100000000001,161.371,59.111000000000004,161.425,166.113,173.997,192.72299999999998,171.745,217.986,170.928,157.27,170.30700000000002,95.978,169.84099999999998,99.48100000000001,181.012,42.292,182.702,195.315,180.239,151.403,180.549,174.105,178.123,162.262,189.88099999999997,47.527,188.583,86.906,186.701,119.03399999999999,187.37900000000002,205.593,184.50099999999998,131.10399999999998,184.987,197.25799999999998,194.017,82.376,93.34299999999999,65.752,110.21700000000001,73.262,108.28,60.091,108.184,82.67399999999999,105.48299999999999,213.11700000000002,105.26799999999999,91.087,102.647,103.14200000000001,102.596,52.858999999999995,120.09299999999999,157.89,118.941,199.71599999999998,114.556,82.27799999999999,115.205,160.365,111.279,71.04899999999999,127.095,188.53400000000002,125.492,83.795,126.301,77.758,125.42299999999999,155.91899999999998,125.29700000000001,73.079,122.363,38.836,124.065,204.412,119.82799999999999,154.04399999999998,136.879,87.042,134.39600000000002,184.804,131.501,165.958,130.481,47.611999999999995,130.343,186.27700000000002,143.878,41.357,143.284,91.281,143.474,160.759,141.681,45.843999999999994,142.436,208.627,138.299,59.53,139.14600000000002,55.159,168.78,,,,,,,,
1.75,7.0,,190.173,150.675,101.314,149.865,156.727,149.036,29.057,148.511,175.78,147.433,62.119,148.30100000000002,36.367,160.07399999999998,90.929,157.787,201.692,154.623,161.53,156.19299999999998,184.19099999999997,155.284,66.421,155.16,149.165,166.328,110.012,165.142,208.63400000000001,163.754,67.30199999999999,165.41299999999998,197.872,163.745,177.87099999999998,162.844,82.68,161.315,59.125,161.411,166.15400000000002,173.87099999999998,192.732,171.727,218.11900000000003,170.872,157.25,170.22799999999998,95.973,169.825,99.51899999999999,181.088,42.255,182.793,195.28599999999997,180.187,151.547,180.33900000000003,174.12,178.083,162.268,189.903,47.54,188.584,86.87899999999999,186.705,119.031,187.399,205.643,184.511,131.155,184.87099999999998,197.273,194.014,82.301,93.311,65.818,110.18700000000001,73.241,108.264,60.056999999999995,108.211,82.727,105.529,213.19299999999998,105.249,91.21700000000001,102.681,103.155,102.564,52.85,119.956,157.933,118.92399999999999,199.65900000000002,114.49700000000001,82.214,115.21600000000001,160.315,111.34200000000001,71.0,127.088,188.50799999999998,125.413,83.825,126.18799999999999,77.782,125.431,155.982,125.148,73.021,122.234,38.768,124.073,204.475,120.001,153.91899999999998,136.756,87.051,134.303,184.733,131.481,166.028,130.529,47.497,130.278,186.23,143.847,41.365,143.278,91.266,143.40200000000002,160.627,141.526,45.816,142.411,208.672,138.284,59.508,139.069,55.138000000000005,168.832,,,,,,,,
2.0,8.0,,190.168,150.639,101.366,149.89,156.72,149.067,29.081,148.54399999999998,175.794,147.387,62.291000000000004,148.295,36.394,160.08,90.95700000000001,157.751,201.726,154.64,161.605,156.157,184.22,155.233,66.381,155.13,149.149,166.28799999999998,110.00200000000001,165.125,208.812,163.76,67.286,165.389,197.896,163.779,177.88400000000001,162.841,82.695,161.333,59.161,161.43200000000002,166.178,173.78900000000002,192.757,171.71099999999998,218.22099999999998,170.854,157.243,170.136,96.13,169.74900000000002,99.555,181.113,42.255,182.79,195.27,180.192,151.634,180.18,174.122,178.003,162.296,190.00599999999997,47.51,188.615,86.993,186.71099999999998,119.03399999999999,187.33900000000003,205.618,184.459,131.183,184.84599999999998,197.27700000000002,194.014,82.176,93.02799999999999,65.705,110.134,73.245,108.242,59.882,108.066,82.633,105.594,213.179,105.21600000000001,91.23299999999999,102.646,103.23299999999999,102.51899999999999,52.825,119.99,157.96,118.86200000000001,199.71400000000003,114.416,82.24,115.134,160.379,111.456,70.972,127.054,188.584,125.441,83.91799999999999,125.934,77.813,125.454,155.97799999999998,125.141,72.98,121.81299999999999,38.683,123.999,204.517,119.899,153.976,136.672,87.068,134.261,184.674,131.511,166.054,130.525,47.526,130.222,186.234,143.861,41.361000000000004,143.235,91.227,143.38299999999998,160.626,141.35399999999998,45.79600000000001,142.362,208.735,138.055,59.458,139.034,,,,,,,,,,
2.25,9.0,,190.215,150.63,101.462,149.834,156.62,149.219,29.249000000000002,148.491,175.83599999999998,147.335,62.43,148.35399999999998,36.391999999999996,160.108,90.99700000000001,157.752,201.73,154.673,161.612,156.143,184.23,155.291,66.414,155.097,149.17600000000002,166.257,110.027,165.135,208.96400000000003,163.721,67.266,165.335,197.859,163.82299999999998,177.918,162.826,82.74700000000001,161.30200000000002,59.191,161.422,166.234,173.612,192.78,171.739,218.264,170.854,157.186,170.114,96.101,169.764,99.565,181.06799999999998,42.236000000000004,182.78400000000002,195.278,180.176,151.705,180.185,174.019,178.00900000000001,162.343,189.922,47.467,188.521,87.042,186.709,119.04,187.299,205.671,184.418,131.184,184.887,197.301,193.97299999999998,82.198,93.056,65.717,110.085,73.255,108.242,59.976000000000006,108.007,82.699,105.62899999999999,213.236,105.15100000000001,91.336,102.546,103.208,102.5,52.656000000000006,120.00200000000001,157.944,118.755,199.74,114.36200000000001,82.181,115.167,160.346,111.39299999999999,70.926,127.01299999999999,188.602,125.441,83.84100000000001,125.98,77.834,125.51799999999999,155.961,125.09,73.042,121.76100000000001,38.605,123.969,204.739,119.85799999999999,153.923,136.662,87.086,134.184,184.512,131.525,166.037,130.333,47.488,130.225,186.26,143.89600000000002,41.299,143.251,91.225,143.345,160.72299999999998,141.316,45.81100000000001,142.32299999999998,208.864,137.967,59.468999999999994,139.02700000000002,,,,,,,,,,
2.5,10.0,,190.263,150.622,101.434,149.79,156.616,149.14700000000002,29.256999999999998,148.496,175.827,147.266,62.472,148.293,36.338,160.166,91.0,157.75,201.762,154.683,161.636,156.113,184.303,155.203,66.406,155.04399999999998,149.154,166.21,110.01299999999999,165.10299999999998,209.08900000000003,163.726,67.243,165.267,197.854,163.84,177.94299999999998,162.80700000000002,82.721,161.359,59.183,161.408,166.238,173.516,192.795,171.704,218.391,170.882,157.126,170.053,96.195,169.74,99.572,181.00799999999998,42.18899999999999,182.794,195.24200000000002,180.108,151.784,180.114,174.02700000000002,177.984,162.388,189.954,47.53,188.554,87.029,186.755,119.03299999999999,187.25,205.646,184.362,131.129,184.877,197.317,193.95,82.19200000000001,92.984,65.676,110.06700000000001,73.267,108.23,59.861000000000004,107.915,82.693,105.471,213.33,105.088,91.34700000000001,102.491,103.302,102.484,52.666000000000004,119.946,157.921,118.727,199.887,114.458,82.275,115.00299999999999,160.361,111.32,70.943,127.054,188.705,125.456,83.955,125.75299999999999,77.904,125.59700000000001,155.931,125.081,72.855,121.443,38.525,123.915,204.959,119.803,153.967,136.577,87.07799999999999,134.16899999999998,184.575,131.514,166.02700000000002,130.549,47.442,130.21200000000002,186.253,143.81799999999998,41.273999999999994,143.244,91.3,143.371,160.797,141.231,45.792,142.34799999999998,208.875,137.877,59.47,138.985,55.026,168.44400000000002,,,,,,,,
2.75,11.0,,190.31,150.631,101.395,149.84,156.55,149.158,29.311999999999998,148.52100000000002,175.868,147.225,62.477,148.243,36.398,160.15,91.046,157.70600000000002,201.7,154.68200000000002,161.7,156.08700000000002,184.31799999999998,155.197,66.378,155.024,149.16899999999998,166.18200000000002,110.056,165.072,209.183,163.708,67.243,165.232,197.91299999999998,163.86700000000002,177.96599999999998,162.873,82.725,161.362,59.174,161.43,166.225,173.515,192.84099999999998,171.676,218.408,170.97,156.993,170.146,96.191,169.707,99.594,180.99,42.246,182.768,195.22299999999998,180.06900000000002,151.866,179.958,173.956,177.877,162.385,189.892,47.526,188.59599999999998,86.911,186.80200000000002,119.029,187.21200000000002,205.678,184.36599999999999,131.189,184.796,197.352,193.949,82.39399999999999,92.566,65.595,109.984,73.277,108.211,59.876000000000005,107.932,82.71799999999999,105.527,213.305,105.01899999999999,91.652,102.553,103.359,102.427,52.708999999999996,119.904,157.93,118.73299999999999,199.99200000000002,114.46700000000001,82.28299999999999,114.915,160.341,111.33200000000001,70.911,127.085,188.722,125.391,83.677,126.25299999999999,77.878,125.6,155.903,125.039,72.89,121.354,38.499,123.90100000000001,205.305,119.686,153.9,136.649,87.079,134.138,184.55700000000002,131.507,166.03099999999998,130.53799999999998,47.371,130.175,186.24099999999999,143.874,41.29600000000001,143.194,91.333,143.34799999999998,160.882,141.213,45.782,142.321,208.903,137.905,59.468,138.907,55.032,168.43599999999998,,,,,,,,
3.0,12.0,,190.41099999999997,150.61,101.551,149.752,156.526,149.131,29.31,148.55100000000002,175.924,147.214,62.504,148.263,36.384,160.11,91.07799999999999,157.694,201.67,154.657,161.72,156.032,184.389,155.17700000000002,66.399,154.999,149.215,166.139,110.02799999999999,165.03,209.232,163.721,67.25,165.176,197.9,163.90200000000002,177.96599999999998,162.861,82.728,161.316,59.159,161.42600000000002,166.36,173.449,192.88099999999997,171.653,218.46900000000002,170.93200000000002,157.016,170.072,96.15700000000001,169.722,99.59700000000001,180.94099999999997,42.245,182.713,195.146,180.032,151.959,179.892,173.965,177.855,162.407,189.892,47.516000000000005,188.585,86.92,186.79,119.046,187.215,205.726,184.37099999999998,131.21200000000002,184.736,197.37900000000002,193.94299999999998,82.241,92.436,65.723,109.944,73.26,108.167,59.818000000000005,107.838,82.779,105.436,213.37900000000002,104.991,91.822,102.62,103.354,102.369,52.57899999999999,119.863,157.944,118.76799999999999,200.00799999999998,114.62,82.243,114.794,160.315,111.275,70.848,127.074,188.76,125.39200000000001,84.181,125.249,77.883,125.624,155.882,125.009,72.818,121.24700000000001,38.436,123.881,205.373,119.691,153.82399999999998,136.704,87.064,134.093,184.532,131.542,166.075,130.469,47.305,130.136,186.172,143.8,41.34,143.184,91.351,143.289,160.91299999999998,141.096,45.795,142.284,208.89700000000002,137.958,59.452,138.906,55.031000000000006,168.42700000000002,,,,,,,,
