TimesH,Frame,NoMissing,0,0,3,3,6,6,14,14,15,15,17,17,19,19,20,20,22,22,27,27,30,30,34,34,35,35,52,52,53,53,56,56,60,60,64,64,72,72,75,75,77,77,135,135,158,158,165,165,174,174,176,176,178,178,185,185,187,187,188,188,191,191,193,193,205,205,208,208,215,215,218,218,220,220,221,221,223,223,225,225,240,240,244,244,247,247,256,256,257,257,259,259,263,263,264,264,267,267,269,269,273,273,275,275,278,278,279,279,282,282,284,284,285,285,287,287,288,288,292,292,293,293,295,295,302,302,310,310,320,320,321,321,324,324,326,326,329,329,331,331,336,336,338,338,341,341,345,345,347,347,360,360,362,362,364,364,366,366,367,367,370,370,373,373,374,374,375,375,379,379,383,383,384,384,386,386,387,387,388,388,390,390,391,391,392,392,395,395,399,399,400,400,410,410,416,416,417,417,420,420,422,422,423,423,425,425,426,426,429,429,436,436,440,440,443,443,444,444,447,447,448,448,449,449,450,450,451,451,453,453,454,454,455,455,460,460,462,462,463,463,464,464,466,466,468,468,469,469,471,471,474,474,477,477,484,484,487,487,491,491,537,537,542,542,597,597,661,661,690,690,713,713,806,806
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,102.734,162.5,95.60799999999999,164.158,164.02200000000002,165.42,157.9,167.889,72.703,169.602,176.48,170.483,10.299000000000001,171.74599999999998,41.309,172.166,144.39700000000002,173.89,,,87.477,177.535,184.167,178.643,227.894,177.685,152.004,184.102,43.534,184.297,178.514,185.50099999999998,214.799,188.08,80.72399999999999,190.34400000000002,70.817,192.81,203.14,193.63099999999997,119.17299999999999,194.88,49.358000000000004,19.298,55.46,30.885,34.269,34.47,24.316,39.193000000000005,72.294,39.117,160.702,39.584,38.379,42.146,31.031,42.836000000000006,55.187,43.585,206.327,43.323,16.498,44.339,185.983,51.232,46.972,52.21,79.14699999999999,53.81100000000001,62.196000000000005,55.346000000000004,72.461,57.018,,,54.753,57.825,40.676,58.016000000000005,145.977,63.486000000000004,192.21,63.76,101.59100000000001,64.85300000000001,83.663,70.501,43.722,70.982,194.644,71.117,70.209,73.15100000000001,153.664,73.594,168.067,73.612,179.673,75.556,97.074,75.896,142.375,75.556,54.206,77.613,160.04,78.35300000000001,197.834,79.296,150.785,80.82600000000001,212.623,80.30199999999999,104.87799999999999,80.82300000000001,34.025,81.902,91.29899999999999,84.46,79.965,85.553,172.593,84.56299999999999,17.034000000000002,86.65100000000001,111.249,90.619,160.01,92.723,179.4,93.37799999999999,211.167,94.55799999999999,25.65,95.75200000000001,150.399,95.645,50.716,97.11399999999999,109.969,99.01,9.106,100.73100000000001,38.389,102.11200000000001,179.053,103.36,82.113,103.867,154.11,110.06,200.959,109.936,16.53,111.274,194.34099999999998,110.604,60.717,111.97,29.614,114.596,20.307000000000002,114.705,114.993,115.021,219.326,115.01,203.951,116.446,55.494,119.522,99.831,118.83,109.785,119.867,148.239,120.402,65.67399999999999,120.81299999999999,32.591,121.73299999999999,75.062,122.14299999999999,91.15899999999999,121.156,160.442,123.712,16.991,125.274,206.84,125.446,142.077,129.351,148.07399999999998,131.155,189.86,131.372,103.382,131.86,167.405,132.239,173.342,132.36,202.032,133.187,20.070999999999998,134.376,83.287,135.982,186.238,137.389,49.104,140.895,155.822,141.425,162.584,140.844,20.809,143.409,115.023,144.143,172.292,143.985,203.19,143.97,27.546999999999997,144.701,3.984,145.876,91.066,145.562,183.642,146.04,100.38,148.453,111.00299999999999,149.099,156.16,149.024,215.02900000000002,149.403,81.347,149.476,165.11599999999999,150.989,191.486,151.282,178.88400000000001,153.41,91.307,154.315,148.253,155.154,173.354,157.063,216.298,157.968,142.763,160.297,,,,,,,,,,,,,,
0.25,1.0,,102.74799999999999,162.477,95.56700000000001,164.169,164.09900000000002,165.322,157.85,167.855,72.619,169.489,176.515,170.50099999999998,10.245999999999999,171.707,41.247,172.10299999999998,144.368,173.74400000000003,,,87.55,177.482,184.13,178.627,227.942,177.69400000000002,152.013,184.12400000000002,43.483000000000004,184.33900000000003,178.497,185.445,214.80599999999998,188.041,80.75399999999999,190.377,70.617,192.926,203.21200000000002,193.588,119.205,194.75099999999998,49.335,19.248,55.406000000000006,30.889,34.124,34.29,24.16,39.114000000000004,72.39399999999999,39.128,160.744,39.755,38.397,42.229,30.969,42.771,55.12,43.385,206.378,43.285,16.459,44.32,186.017,51.15,46.933,52.266999999999996,79.18,53.793,62.126999999999995,55.281000000000006,72.406,56.986999999999995,,,54.708999999999996,57.809,40.677,58.123000000000005,145.85399999999998,63.458999999999996,192.275,63.688,101.609,64.815,83.618,70.438,43.665,71.035,194.75599999999997,71.095,70.17,73.07300000000001,153.58,73.581,168.13299999999998,73.51,179.638,75.555,97.064,75.836,142.376,75.479,54.504,77.368,160.094,78.29899999999999,197.91299999999998,79.296,150.793,80.742,212.67,80.32300000000001,104.881,80.777,33.985,81.882,91.27799999999999,84.411,79.914,85.40899999999999,172.641,84.561,17.006,86.572,111.185,90.525,159.947,92.655,179.487,93.257,211.328,94.545,25.625999999999998,95.73299999999999,150.33700000000002,96.021,50.678000000000004,97.089,109.99,99.01100000000001,9.074,100.686,38.364000000000004,102.074,178.99599999999998,103.421,82.01700000000001,103.875,154.099,110.025,200.988,109.939,16.497,111.175,194.415,110.49799999999999,60.8,111.95,29.539,114.536,20.314,114.646,114.99700000000001,114.984,219.373,114.99700000000001,204.00400000000002,116.443,55.431999999999995,119.49,99.81700000000001,118.774,109.74600000000001,119.82700000000001,148.196,120.351,65.64699999999999,120.801,32.596,121.738,74.903,122.116,91.117,120.99799999999999,160.482,123.68,16.969,125.245,206.88,125.39,142.07399999999998,129.336,148.102,131.14,189.86,131.359,103.45100000000001,131.879,167.405,132.216,173.392,132.313,202.09,133.179,20.054000000000002,134.362,83.235,135.92,186.18099999999998,137.454,49.038000000000004,140.783,155.819,141.4,162.65,140.856,20.778000000000002,143.406,115.03399999999999,144.126,172.347,143.981,203.25799999999998,143.929,27.568,144.711,3.963,145.753,91.08200000000001,145.596,183.702,146.002,100.398,148.475,111.001,149.094,156.262,149.071,214.83900000000003,149.406,81.288,149.84,165.15200000000002,150.97,191.611,151.20600000000002,178.88099999999997,153.428,91.286,154.297,148.304,155.13299999999998,173.40900000000002,157.083,216.365,157.951,142.876,160.30100000000002,,,,,,,,,,,,,,
0.5,2.0,,102.76100000000001,162.5,95.459,164.11900000000003,164.11900000000003,165.24599999999998,157.89,167.824,72.568,169.497,176.555,170.408,10.295,171.69400000000002,41.321000000000005,172.047,144.395,173.708,93.421,175.34,87.45200000000001,177.525,184.329,178.532,227.96400000000003,177.692,152.121,184.135,43.489,184.41400000000002,178.452,185.389,214.82,187.99900000000002,80.804,190.359,70.626,193.0,203.32,193.56400000000002,119.51899999999999,194.738,49.27,19.116,55.403999999999996,30.861,33.876999999999995,34.067,24.215,39.044000000000004,72.46300000000001,39.174,160.80100000000002,39.583,38.134,42.178999999999995,30.962,42.778,55.102,43.376000000000005,206.35299999999998,43.306999999999995,16.387999999999998,44.291000000000004,185.983,51.153999999999996,46.943000000000005,52.26,79.127,53.68600000000001,62.032,55.205,72.37,56.907,,,54.63,57.872,40.593,58.242,145.85399999999998,63.367,192.25599999999997,63.673,101.595,64.819,83.583,70.354,43.658,71.018,194.822,71.063,70.119,72.98899999999999,153.64700000000002,73.51899999999999,168.183,73.51100000000001,179.645,75.498,97.04700000000001,75.767,142.39600000000002,75.582,54.446999999999996,77.44800000000001,160.13299999999998,78.266,197.94,79.317,150.799,80.669,212.733,80.314,104.851,80.745,34.024,81.833,91.234,84.272,79.916,85.229,172.75900000000001,84.56200000000001,17.031,86.59200000000001,111.125,90.493,159.946,92.663,179.52700000000002,93.22399999999999,211.335,94.556,25.64,95.698,150.369,96.027,50.621,97.073,110.03200000000001,99.023,9.035,100.694,38.332,102.03399999999999,179.074,103.292,82.046,103.76700000000001,154.095,110.00399999999999,201.013,109.913,16.51,111.185,194.425,110.49,60.84,111.926,29.483,114.648,20.513,114.61200000000001,114.99600000000001,114.98,219.372,114.96799999999999,204.07299999999998,116.465,55.466,119.49799999999999,99.79799999999999,118.736,109.648,119.78,148.159,120.333,65.66,120.714,32.586999999999996,121.706,75.039,122.094,91.29700000000001,121.18700000000001,160.47299999999998,123.705,16.939,125.24,206.87900000000002,125.397,142.06799999999998,129.238,148.05700000000002,131.14600000000002,189.858,131.25799999999998,103.49,131.88,167.446,132.221,173.313,132.329,202.113,133.12,20.035,134.351,83.211,136.056,186.335,137.434,49.101000000000006,140.779,155.852,141.316,162.678,140.78799999999998,20.755,143.412,115.045,144.11,172.33700000000002,143.955,203.299,143.91299999999998,27.615,144.756,4.01,145.68,91.05,145.56,183.775,145.983,100.46600000000001,148.455,110.944,149.05,156.295,149.02100000000002,215.03599999999997,149.445,81.26899999999999,149.631,165.247,150.878,191.767,151.208,178.93900000000002,153.417,91.321,154.276,148.276,155.159,173.503,156.968,216.456,157.92700000000002,142.873,160.298,,,,,,,,,,,,,,
0.75,3.0,,102.76100000000001,162.501,95.432,164.11599999999999,164.128,165.183,157.906,167.775,72.517,169.495,176.551,170.453,10.35,171.769,41.39,171.868,144.423,173.717,93.35600000000001,175.255,87.531,177.43099999999998,184.55200000000002,178.38,227.96200000000002,177.717,152.16,184.153,43.503,184.49099999999999,178.62400000000002,185.298,214.857,188.015,80.771,190.38,70.84100000000001,192.785,203.421,193.50900000000001,119.63799999999999,194.799,49.177,19.064,55.358999999999995,30.82,33.728,33.961,24.13,38.964,72.578,39.249,160.856,39.496,37.963,42.131,30.866,42.637,55.138999999999996,43.327,206.343,43.375,16.363,44.261,186.011,51.128,46.896,52.163000000000004,79.137,53.644,61.958,55.144,72.383,56.931999999999995,,,54.606,57.851000000000006,40.538000000000004,58.325,145.884,63.364,192.32,63.62,101.656,64.828,83.538,70.248,43.574,70.984,194.9,71.02,70.06,72.908,153.579,73.47800000000001,168.354,73.453,179.674,75.486,96.969,75.655,142.415,75.66,54.119,77.619,160.183,78.19,197.987,79.32300000000001,150.75,80.545,212.729,80.259,104.82600000000001,80.704,34.025999999999996,81.79,91.199,84.226,79.893,85.167,172.803,84.50200000000001,17.012999999999998,86.62100000000001,111.075,90.42399999999999,159.952,92.63,179.56099999999998,93.228,211.65200000000002,94.44,25.607,95.671,150.408,95.866,50.601000000000006,97.098,110.007,99.02600000000001,9.005,100.691,38.35,102.00299999999999,179.03400000000002,103.44,81.962,103.743,154.093,109.98700000000001,201.063,109.956,16.464000000000002,111.12799999999999,194.446,110.494,60.945,111.89299999999999,29.511999999999997,114.54700000000001,20.576,114.631,114.979,114.93700000000001,219.44400000000002,114.947,204.188,116.50299999999999,55.486999999999995,119.49,99.764,118.691,109.921,119.846,148.171,120.256,65.652,120.713,32.549,121.72200000000001,75.066,122.01799999999999,91.615,121.598,160.472,123.65299999999999,16.889,125.256,206.90599999999998,125.37,142.035,129.19799999999998,148.047,131.042,189.858,131.208,103.531,131.94899999999998,167.47,132.21,173.24900000000002,132.309,202.11900000000003,133.083,20.006,134.388,83.185,136.09799999999998,186.296,137.507,49.085,140.78,155.829,141.265,162.541,140.659,20.749000000000002,143.436,115.02,144.105,172.38099999999997,143.945,203.331,143.915,27.635,144.724,3.992,145.66899999999998,91.042,145.58100000000002,183.808,145.991,100.446,148.459,110.92,149.05100000000002,156.368,148.972,215.118,149.392,81.29899999999999,149.964,165.28,150.817,191.829,151.244,178.892,153.48,91.334,154.27,148.238,155.164,173.55,156.942,216.38299999999998,157.931,142.786,160.159,,,,,,,,,,,,,,
1.0,4.0,,102.773,162.487,95.45,164.12,164.17,165.135,157.781,167.752,72.551,169.482,176.608,170.38400000000001,10.26,171.75,41.39,171.868,144.334,173.47299999999998,93.30799999999999,175.28,87.524,177.42,184.53599999999997,178.28599999999997,227.956,177.72400000000002,152.215,184.135,43.477,184.53599999999997,178.701,185.585,214.91299999999998,188.03799999999998,80.691,190.30200000000002,70.87100000000001,192.71099999999998,203.457,193.43200000000002,119.59200000000001,194.87599999999998,49.097,19.027,55.422,30.791999999999998,33.525,33.832,24.124000000000002,38.91,72.67399999999999,39.271,160.997,39.115,38.23,42.167,30.759,42.693999999999996,55.08,43.306999999999995,206.437,43.411,16.331,44.238,186.044,51.13399999999999,46.9,52.153,79.102,53.607,61.885,55.071999999999996,72.335,56.87,87.0,57.177,54.628,57.912,40.453,58.387,145.98,63.431999999999995,192.36900000000003,63.603,101.663,64.863,83.477,70.055,43.535,70.918,194.93900000000002,70.98,70.024,72.836,153.608,73.438,168.265,73.512,179.843,75.265,96.932,75.625,142.411,75.682,54.012,77.59899999999999,160.19299999999998,78.185,198.08599999999998,79.39399999999999,150.71200000000002,80.465,212.798,80.247,104.84299999999999,80.679,34.054,81.757,91.184,84.176,79.889,85.098,172.83700000000002,84.50200000000001,16.994,86.68700000000001,111.074,90.34299999999999,160.007,92.552,179.63299999999998,93.206,211.821,94.38,25.517,95.604,150.41899999999998,96.025,50.563,97.103,110.01,98.985,9.011000000000001,100.666,38.35,101.954,179.114,103.346,81.98700000000001,103.646,154.08100000000002,110.037,201.15400000000002,109.84700000000001,16.422,111.111,194.477,110.5,60.998000000000005,111.84200000000001,29.55,114.508,20.627,114.65100000000001,114.97399999999999,114.884,219.46599999999998,114.881,204.217,116.475,55.473,119.48200000000001,99.77,118.59200000000001,109.624,119.727,148.155,120.227,65.681,120.725,32.515,121.76299999999999,74.779,121.906,91.62700000000001,121.594,160.488,123.603,16.839000000000002,125.241,206.903,125.34,142.064,129.063,148.016,131.079,189.875,131.216,103.55,131.92600000000002,167.495,132.195,173.37599999999998,132.281,202.188,133.05,20.009,134.361,83.20100000000001,136.132,186.30200000000002,137.504,49.07899999999999,140.77100000000002,155.835,141.214,162.55100000000002,140.589,20.726,143.409,115.027,144.099,172.567,143.80200000000002,203.31799999999998,143.965,27.656,144.814,3.9139999999999997,145.705,90.979,145.542,183.83599999999998,145.976,100.40700000000001,148.495,111.04,149.14,156.40200000000002,148.908,215.074,149.43,81.242,149.993,165.332,150.7,191.72099999999998,151.149,178.889,153.417,91.37799999999999,154.289,148.248,155.139,173.55599999999998,156.829,216.378,157.905,142.80700000000002,160.186,,,,,,,,,,,,,,
1.25,5.0,,102.829,162.616,95.538,164.165,164.208,165.08,157.905,167.665,72.618,169.521,176.68200000000002,170.328,10.267999999999999,171.699,41.43,171.86700000000002,144.292,173.37400000000002,93.195,175.321,87.52,177.425,184.576,178.229,227.919,177.715,152.338,184.185,43.494,184.46400000000003,178.66400000000002,185.447,214.917,188.015,80.61,190.25400000000002,70.473,192.93599999999998,203.0,194.0,119.396,194.80700000000002,49.003,18.984,55.351000000000006,30.714000000000002,33.306,33.851,24.076999999999998,38.9,72.789,39.353,160.89,39.16,38.208,42.089,30.679000000000002,42.685,55.071999999999996,43.27,206.357,43.443999999999996,16.269000000000002,44.178999999999995,186.058,51.115,46.851000000000006,52.147,79.108,53.608000000000004,61.847,54.997,72.306,56.845,87.027,57.223,54.56,57.869,40.357,58.57,145.97299999999998,63.391000000000005,192.408,63.513999999999996,101.64299999999999,64.82300000000001,83.432,69.961,43.419,70.975,194.986,70.965,69.945,72.768,153.731,73.37899999999999,168.296,73.363,179.687,75.391,96.87299999999999,75.63600000000001,142.405,75.738,54.012,77.52600000000001,160.238,78.17699999999999,198.06,79.344,150.724,80.493,212.805,80.2,104.765,80.634,34.025,81.762,91.189,84.17200000000001,79.831,85.023,172.891,84.45299999999999,16.942,86.625,111.06200000000001,90.304,160.011,92.553,179.671,93.161,211.90599999999998,94.306,25.473000000000003,95.55799999999999,150.49,96.07,50.556999999999995,97.08200000000001,110.07,99.01799999999999,8.929,100.67399999999999,38.278,101.928,179.125,103.335,82.045,103.37,154.079,110.066,201.29,109.921,16.416,111.12700000000001,194.49099999999999,110.417,61.018,111.825,29.508000000000003,114.536,20.683000000000003,114.71,114.95,114.848,219.582,114.82700000000001,204.334,116.396,55.461999999999996,119.439,99.738,118.51899999999999,110.0,120.0,148.115,120.196,65.67699999999999,120.67,32.444,121.84899999999999,74.91,121.904,91.65299999999999,121.572,160.524,123.59299999999999,16.82,125.28200000000001,207.021,125.26,142.078,128.912,148.045,131.096,189.877,131.151,103.531,131.907,167.485,132.18,173.46,132.246,202.28,133.024,19.977999999999998,134.343,83.193,136.049,186.207,137.576,49.076,140.683,155.846,141.154,162.675,140.75799999999998,20.71,143.412,115.02799999999999,144.106,172.53,143.787,203.298,144.02,27.660999999999998,144.82399999999998,3.886,145.724,91.01,145.553,183.88400000000001,145.953,100.419,148.469,111.022,149.136,156.382,148.846,215.12099999999998,149.453,81.233,149.769,165.387,150.64600000000002,191.96,151.11,178.96099999999998,153.387,91.351,154.293,148.293,155.113,173.601,156.767,216.33599999999998,157.91299999999998,142.875,160.39600000000002,62.398999999999994,63.986000000000004,40.319,129.076,,,,,,,,,,
1.5,6.0,,102.814,162.57299999999998,95.561,164.13400000000001,164.227,165.03799999999998,157.87,167.63299999999998,72.566,169.576,176.74200000000002,170.229,10.137,171.709,41.45,171.91299999999998,144.364,173.40200000000002,93.245,175.304,87.494,177.362,184.825,178.10299999999998,227.94099999999997,177.732,152.338,184.139,43.503,184.514,178.74200000000002,185.38299999999998,214.937,188.011,80.53699999999999,190.19299999999998,70.792,192.648,203.48,193.61700000000002,119.385,194.90599999999998,49.004,19.039,55.357,30.706,33.358000000000004,33.859,24.095,38.813,72.847,39.422,161.02200000000002,39.198,38.085,42.059,30.601999999999997,42.571000000000005,55.047,43.173,206.32,43.446000000000005,16.25,44.1,186.12900000000002,51.083,46.879,52.18600000000001,79.09,53.611999999999995,61.79600000000001,54.957,72.26,56.785,86.904,57.263999999999996,54.551,57.891999999999996,40.38,58.553999999999995,145.936,63.398999999999994,192.475,63.361000000000004,101.678,64.806,83.37299999999999,69.866,43.354,70.922,195.049,70.982,69.86399999999999,72.697,153.641,73.42699999999999,168.395,73.293,179.75099999999998,75.335,96.809,75.57600000000001,142.42,75.691,53.973,77.54,160.266,78.154,198.09,79.298,150.732,80.501,212.833,80.202,104.704,80.57300000000001,34.015,81.72,91.166,84.10600000000001,79.804,84.965,172.924,84.273,16.840999999999998,86.56700000000001,111.07700000000001,90.294,160.064,92.557,179.71,93.14399999999999,212.058,94.10799999999999,25.476,95.53,150.546,96.27600000000001,50.485,97.05,110.008,98.939,8.915,100.7,38.211999999999996,101.89,179.233,103.315,81.98899999999999,103.369,154.1,110.051,201.347,110.04,16.395,111.141,194.49,110.436,61.013000000000005,111.81700000000001,29.525,114.494,20.669,114.721,114.97399999999999,114.81700000000001,219.669,114.822,204.493,116.44200000000001,55.424,119.416,99.706,118.53200000000001,110.0,120.0,148.12,120.09200000000001,65.682,120.67299999999999,32.379,121.932,74.903,121.874,91.149,120.794,160.559,123.521,16.805,125.25200000000001,207.15599999999998,125.181,142.035,128.918,148.017,131.106,189.893,131.154,103.616,131.89,167.47099999999998,132.165,173.44799999999998,132.247,202.273,133.033,19.965,134.365,83.145,135.96,186.206,137.66299999999998,49.055,140.624,155.832,141.16,162.651,140.691,20.693,143.359,115.031,144.067,172.46900000000002,143.709,203.25599999999997,143.998,27.795,145.02200000000002,3.888,145.762,91.045,145.461,183.942,145.912,100.385,148.47,111.008,149.126,156.425,148.835,215.075,149.445,81.282,149.591,165.392,150.643,192.149,151.09799999999998,178.96400000000003,153.356,91.39200000000001,154.232,148.219,155.128,173.579,156.572,216.313,157.91899999999998,142.862,160.352,62.358000000000004,64.307,40.349000000000004,129.055,,,,,,,,,,
1.75,7.0,,102.79799999999999,162.566,95.588,164.074,164.264,165.00400000000002,157.977,167.52700000000002,72.516,169.36,176.785,170.166,10.142000000000001,171.707,41.287,171.984,144.339,173.408,93.339,175.225,87.505,177.328,184.958,178.035,227.93200000000002,177.707,152.423,184.045,43.49100000000001,184.49900000000002,178.662,185.581,214.94799999999998,188.03099999999998,80.524,190.174,71.544,192.07,203.458,193.49,119.469,194.986,48.876000000000005,18.969,55.317,30.668000000000003,33.106,33.729,24.039,38.824,72.938,39.413000000000004,161.11,38.961,37.948,41.972,30.47,42.56,55.038999999999994,43.157,206.325,43.53,16.194000000000003,44.071999999999996,186.145,51.028,46.926,52.229,79.033,53.578,61.778999999999996,54.949,72.187,56.79600000000001,86.72,57.342,54.498000000000005,57.901,40.0,59.0,145.931,63.44,192.488,63.356,101.684,64.875,83.325,69.779,43.323,70.87899999999999,195.079,70.94800000000001,69.828,72.672,153.649,73.399,168.416,73.214,179.727,75.363,96.758,75.499,142.423,75.616,53.942,77.55199999999999,160.315,78.132,198.1,79.316,150.78,80.447,212.90099999999998,80.192,104.67200000000001,80.53399999999999,34.025,81.71300000000001,91.15299999999999,84.11,79.801,84.83200000000001,172.984,84.27799999999999,16.757,86.598,111.064,90.256,160.09,92.524,179.79,93.12799999999999,212.05599999999998,94.103,25.456,95.492,150.63299999999998,96.33200000000001,50.431000000000004,96.991,110.00299999999999,98.917,8.844,100.684,38.174,101.87,179.209,103.235,81.965,103.359,154.106,110.012,201.47299999999998,110.016,16.329,111.135,194.49599999999998,110.411,60.998000000000005,111.809,29.504,114.43799999999999,20.715,114.676,114.98100000000001,114.788,219.65,114.803,204.523,116.346,55.416000000000004,119.40799999999999,99.751,118.417,110.0,120.0,148.122,120.01,65.668,120.65,32.321,121.955,74.881,121.896,91.027,120.531,160.594,123.43,16.754,125.23899999999999,207.25799999999998,125.14399999999999,142.024,128.782,147.997,131.14,189.87900000000002,131.109,103.54700000000001,131.826,167.451,132.15,173.457,132.167,202.34099999999998,133.015,19.936,134.369,83.10700000000001,135.84799999999998,186.25400000000002,137.72799999999998,49.038999999999994,140.57299999999998,155.838,141.166,162.744,140.626,20.676,143.34,114.999,144.05,172.645,143.57399999999998,203.25099999999998,143.879,27.805999999999997,145.041,3.8680000000000003,145.83100000000002,91.012,145.44899999999998,183.96,145.91299999999998,100.448,148.505,110.928,149.088,156.445,148.784,215.232,149.421,81.277,149.626,165.39,150.636,192.352,151.086,178.982,153.357,91.399,154.232,148.24200000000002,155.113,173.584,156.547,216.274,157.944,142.834,160.415,62.376000000000005,64.27600000000001,40.323,129.016,,,,,,,,,,
