TimesH,Frame,NoMissing,69,69,115,115,119,119,121,121,128,128,130,130,131,131,132,132,140,140,141,141,164,164,168,168,170,170,174,174,177,177,195,195,197,197,206,206,212,212,215,215,221,221,224,224,225,225,226,226,227,227,228,228,230,230,233,233,234,234,235,235,236,236,241,241,264,264,268,268,270,270,271,271,276,276,279,279,281,281,283,283,284,284,286,286,287,287,316,316,337,337,353,353,403,403,416,416,418,418,477,477,529,529,535,535,732,732,861,861,948,948
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
167.0,668.0,,28.261999999999997,92.553,205.171,118.72,99.985,121.48299999999999,196.872,133.936,62.968,128.697,187.236,129.39,176.43900000000002,130.061,73.96,132.287,83.708,104.184,212.487,103.478,101.538,107.617,46.001999999999995,160.43200000000002,83.094,160.091,209.355,161.85399999999998,92.708,155.253,198.838,163.466,148.791,163.512,186.77599999999998,144.891,67.295,139.382,201.083,141.387,183.92700000000002,153.378,32.363,147.122,159.945,146.68200000000002,177.735,147.4,54.815,148.873,61.43899999999999,148.808,165.222,188.706,185.62900000000002,191.19099999999997,180.479,192.032,197.65900000000002,192.456,204.493,191.997,87.1,187.02900000000002,94.48200000000001,176.821,194.09,169.565,84.98100000000001,172.253,168.326,172.05200000000002,170.27700000000002,183.44299999999998,207.56,183.447,184.46099999999998,177.282,72.782,177.757,102.14399999999999,177.738,47.611000000000004,179.623,195.842,179.74,157.789,169.821,,,,,,,,,,,,,,,,,,,,,,
167.25,669.0,,28.337,92.709,205.146,118.65,99.738,121.589,196.895,133.937,62.943999999999996,128.716,187.27200000000002,129.361,176.398,130.042,73.97399999999999,132.253,83.7,104.24600000000001,212.459,103.49700000000001,101.53,107.65799999999999,45.982,160.347,83.089,160.079,209.19400000000002,161.66,92.715,155.25799999999998,198.792,163.42700000000002,148.704,163.539,186.703,144.849,67.321,139.28799999999998,200.96,141.31799999999998,183.895,153.33100000000002,32.224000000000004,147.064,159.77100000000002,146.691,177.736,147.385,54.81100000000001,148.857,61.353,148.86700000000002,165.24400000000003,188.743,185.60299999999998,190.959,180.49200000000002,192.02200000000002,197.68099999999998,192.482,204.541,192.015,87.074,187.012,94.51899999999999,176.722,194.109,169.565,85.035,172.27599999999998,168.33,172.044,170.24200000000002,183.458,207.563,183.468,184.545,177.227,72.757,177.727,102.135,177.801,47.58,179.63099999999997,195.855,179.727,157.713,169.80200000000002,,,,,,,,,,,,,,,,,,,,,,
167.5,670.0,,28.428,92.823,205.23,118.62200000000001,99.786,121.486,196.89700000000002,133.961,62.906000000000006,128.727,187.285,129.35399999999998,176.34900000000002,130.083,73.976,132.29,83.686,104.241,212.422,103.537,101.426,107.71799999999999,45.986999999999995,160.32,83.12100000000001,160.047,209.206,161.619,92.671,155.266,198.78400000000002,163.328,148.612,163.455,186.69400000000002,144.92600000000002,67.32,139.281,201.03799999999998,141.201,183.882,153.355,32.327,147.0,159.859,146.626,177.748,147.373,54.781000000000006,148.87,61.365,148.81799999999998,165.28099999999998,188.733,185.614,190.765,180.47400000000002,192.02,197.674,192.47400000000002,204.53099999999998,191.99900000000002,87.039,187.02599999999998,94.539,176.74200000000002,194.093,169.52200000000002,85.057,172.298,168.40900000000002,172.00099999999998,170.27900000000002,183.425,207.505,183.36,184.52700000000002,177.253,72.755,177.75599999999997,102.18,177.74099999999999,47.593999999999994,179.627,195.82299999999998,179.713,157.686,169.563,,,,,,,,,,,,,,,,,,,,,,
167.75,671.0,,28.458000000000002,92.95700000000001,205.183,118.71799999999999,99.79700000000001,121.48700000000001,196.886,133.963,62.928999999999995,128.722,187.301,129.344,176.25799999999998,130.036,73.969,132.264,83.68,104.28200000000001,212.378,103.52799999999999,101.324,107.71799999999999,46.005,160.343,83.131,160.072,209.015,161.547,92.736,155.35299999999998,198.842,163.263,148.74,163.64700000000002,186.669,144.966,67.335,139.259,201.201,141.138,183.78099999999998,153.3,32.489000000000004,147.02,159.888,146.66899999999998,177.771,147.343,54.81399999999999,148.858,61.317,148.779,165.25900000000001,188.729,185.71099999999998,190.635,180.44099999999997,192.00099999999998,197.653,192.4,204.577,192.0,87.053,187.011,94.485,176.81,194.097,169.52599999999998,85.04899999999999,172.29,168.378,172.0,170.188,183.418,207.546,183.38299999999998,184.533,177.233,72.781,177.77599999999998,102.15799999999999,177.771,47.555,179.614,195.78599999999997,179.678,157.643,169.50599999999997,,,,,,,,,,,,,,,,,,,,,,
168.0,672.0,,28.430999999999997,93.102,205.317,118.788,99.787,121.539,196.899,133.958,62.955,128.668,187.365,129.308,176.29,130.05100000000002,73.94800000000001,132.281,83.69200000000001,104.301,212.32299999999998,103.531,101.32600000000001,107.706,45.997,160.274,83.16,160.054,208.767,161.27100000000002,92.73100000000001,155.32,198.78900000000002,163.19899999999998,148.894,163.89,186.641,144.987,67.28,139.289,201.62900000000002,140.74,183.676,153.25799999999998,32.54,147.045,160.014,146.654,177.791,147.347,54.842,148.83100000000002,61.321999999999996,148.648,165.27599999999998,188.71400000000003,185.91,190.55599999999998,180.475,192.019,197.658,192.373,204.643,192.054,87.05,186.997,94.492,176.628,194.15400000000002,169.467,85.06700000000001,172.30200000000002,168.446,171.967,170.265,183.498,207.592,183.40200000000002,184.59400000000002,177.247,72.755,177.775,102.023,177.857,47.57,179.602,195.84599999999998,179.704,,,,,,,,,,,,,,,,,,,,,,,,
168.25,673.0,,28.534000000000002,92.95,205.80599999999998,118.71799999999999,99.84100000000001,121.557,196.926,133.96200000000002,63.023,128.60399999999998,187.399,129.325,176.31,130.1,73.959,132.278,83.74,104.331,212.27900000000002,103.551,101.36399999999999,107.711,45.831,160.39700000000002,83.167,160.077,208.86,161.344,92.75399999999999,155.35399999999998,198.761,163.143,148.929,163.77,186.63299999999998,144.88299999999998,67.32,139.256,201.645,140.653,183.63099999999997,153.22899999999998,32.341,146.974,160.083,146.634,177.808,147.361,54.808,148.835,61.428000000000004,148.593,165.29,188.738,185.80599999999998,190.6,180.502,192.028,197.65099999999998,192.359,204.67,192.08599999999998,87.00200000000001,187.005,94.458,176.86,194.179,169.56599999999997,85.104,172.30200000000002,168.468,171.93599999999998,170.263,183.505,207.612,183.358,184.666,177.217,72.785,177.795,102.12799999999999,177.771,47.582,179.597,195.83599999999998,179.71200000000002,,,,,,,,,,,,,,,,,,,,,,,,
168.5,674.0,,28.394000000000002,93.079,205.565,118.745,99.804,121.58,196.922,133.958,63.00899999999999,128.72299999999998,187.477,129.273,176.25400000000002,130.18200000000002,73.946,132.282,83.749,104.369,212.201,103.587,101.34100000000001,107.694,45.708999999999996,160.362,83.20700000000001,160.091,208.822,161.236,92.73700000000001,155.406,198.707,163.113,149.041,163.935,186.59099999999998,144.942,67.384,139.205,201.675,140.62,183.533,153.219,32.253,146.97,159.96,146.673,177.796,147.36,54.794,148.819,61.422,148.634,165.32,188.748,185.929,190.791,180.521,192.01,197.62400000000002,192.33700000000002,204.696,192.02700000000002,87.09,186.986,94.32600000000001,176.894,194.187,169.608,85.139,172.31,168.56400000000002,171.787,170.33900000000003,183.435,207.636,183.31400000000002,184.736,177.239,72.779,177.745,102.005,177.825,47.498999999999995,179.545,195.798,179.736,,,103.664,145.75,,,,,,,,,,,,,,,,,,,,
168.75,675.0,,28.424,92.975,205.213,118.71799999999999,99.787,121.484,196.94400000000002,133.952,62.967,128.637,187.43900000000002,129.224,176.295,130.27200000000002,73.977,132.22299999999998,83.772,104.43299999999999,212.16,103.546,101.348,107.545,45.787,160.284,83.22399999999999,160.08100000000002,208.771,161.211,92.791,155.421,198.702,163.18200000000002,148.986,163.886,186.641,144.97,67.419,139.14,201.692,140.659,183.47099999999998,153.142,32.192,146.89600000000002,159.856,146.767,177.80900000000003,147.33100000000002,54.784,148.81799999999998,,,165.33,188.729,185.748,190.52599999999998,180.528,192.02900000000002,197.64700000000002,192.361,204.737,192.018,87.163,187.058,94.27600000000001,176.903,194.175,169.62599999999998,85.167,172.35299999999998,168.55700000000002,171.78599999999997,170.403,183.41099999999997,207.685,183.299,184.731,177.227,72.79,177.77700000000002,102.073,177.79,47.527,179.571,195.77200000000002,179.69400000000002,,,103.646,145.85,51.336999999999996,125.39200000000001,,,,,,,,,,,,,,,,,,
169.0,676.0,,28.449,92.87299999999999,205.40599999999998,118.771,99.887,121.579,196.94299999999998,133.946,63.019,128.69,187.435,129.196,176.278,130.181,73.985,132.295,83.801,104.45200000000001,212.15599999999998,103.6,101.329,107.53200000000001,45.723,160.227,83.208,160.045,208.857,161.19,92.8,155.417,198.679,163.208,148.995,164.047,186.679,144.939,67.429,139.157,201.692,140.548,183.493,153.122,32.398,146.983,159.814,146.77100000000002,177.825,147.316,54.813,148.81,,,165.321,188.699,185.887,190.52200000000002,180.58900000000003,192.03099999999998,197.65400000000002,192.347,204.75900000000001,192.002,87.26899999999999,187.097,94.339,176.84900000000002,194.107,169.68,85.189,172.382,168.455,171.88400000000001,170.295,183.408,207.757,183.301,184.775,177.24900000000002,72.792,177.771,102.12299999999999,177.77200000000002,47.378,179.52,195.71,179.672,157.612,168.547,103.656,145.813,51.523999999999994,125.382,,,,,,,,,,,,,,,,,,
169.25,677.0,,28.534000000000002,92.569,205.36599999999999,118.88799999999999,99.85799999999999,121.54700000000001,196.938,133.923,62.993,128.589,187.395,129.20600000000002,176.26,130.155,73.985,132.371,83.81,104.45700000000001,212.205,103.602,101.36200000000001,107.469,45.542,160.14,83.266,160.067,208.926,161.334,92.825,155.454,198.61900000000003,163.209,148.93200000000002,163.908,186.532,145.02100000000002,67.416,139.192,201.55,140.638,183.445,153.135,32.485,147.016,159.7,146.8,177.828,147.32299999999998,54.84,148.845,,,165.267,188.668,185.859,190.58900000000003,180.575,192.02700000000002,197.678,192.335,204.701,191.975,87.355,187.15599999999998,94.34899999999999,176.99,194.13400000000001,169.71,85.18,172.312,168.49200000000002,171.855,170.136,183.34,207.75400000000002,183.329,184.731,177.27,72.791,177.765,102.204,177.688,47.323,179.48,195.68400000000003,179.685,157.816,169.54,103.626,145.857,51.54600000000001,125.381,,,,,,,,,,,,,,,,,,
169.5,678.0,,28.62,92.72399999999999,205.391,118.76799999999999,99.777,121.557,196.93099999999998,133.935,62.953,128.632,187.38400000000001,129.162,176.12099999999998,130.063,73.988,132.428,83.86399999999999,104.509,212.12400000000002,103.624,101.48899999999999,107.462,45.7,160.033,83.214,160.082,208.86599999999999,161.112,92.852,155.501,198.609,163.284,149.011,164.03900000000002,186.44799999999998,144.984,67.52199999999999,139.107,201.523,140.726,183.354,153.116,32.614000000000004,147.093,159.616,146.825,177.84400000000002,147.27,54.851000000000006,148.80200000000002,,,165.205,188.669,185.979,190.455,180.497,192.00400000000002,197.68099999999998,192.33,204.71200000000002,191.924,87.333,187.172,94.314,177.03400000000002,194.16400000000002,169.726,85.18299999999999,172.308,168.46099999999998,171.828,170.235,183.44799999999998,207.824,183.388,184.767,177.27,72.771,177.745,102.359,177.618,47.44,179.5,195.67700000000002,179.687,157.797,169.55200000000002,103.59299999999999,145.893,51.592,125.212,,,,,,,,,,,,,,,,,,
