TimesH,Frame,NoMissing,1,1,5,5,14,14,38,38,54,54,62,62,63,63,64,64,69,69,72,72,76,76,79,79,88,88,89,89,90,90,99,99,108,108,113,113,117,117,123,123,124,124,125,125,127,127,129,129,136,136,137,137,143,143,150,150,154,154,156,156,161,161,162,162,168,168,186,186,188,188,189,189,192,192,193,193,196,196,199,199,202,202,208,208,212,212,214,214,222,222,226,226,229,229,231,231,234,234,235,235,236,236,239,239,246,246,247,247,252,252,258,258,264,264,275,275,276,276,278,278,279,279,280,280,282,282,284,284,286,286,292,292,296,296,298,298,302,302,303,303,305,305,307,307,311,311,314,314,317,317,325,325,330,330,333,333,335,335,351,351,355,355,362,362,366,366,382,382,383,383,388,388,389,389,397,397,447,447,535,535,537,537,617,617,775,775,806,806
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
167.0,668.0,,51.202,16.986,144.895,18.073,,,100.954,26.611,175.014,23.011,187.703,49.816,177.687,51.106,82.36399999999999,48.742,56.541000000000004,39.729,208.702,43.141999999999996,92.069,36.78,180.885,39.289,23.343000000000004,35.654,31.245,36.17,47.103,64.265,112.91,59.666000000000004,182.37099999999998,58.053999999999995,205.196,51.188,169.18900000000002,51.754,214.172,79.711,206.56099999999998,81.34899999999999,198.226,78.622,144.295,75.094,37.955,73.719,153.819,70.86,189.685,69.991,54.801,66.524,196.42700000000002,68.419,50.402,92.884,182.395,92.196,36.304,87.757,212.468,89.991,183.095,83.725,190.092,95.493,100.255,95.08200000000001,34.328,94.527,163.99900000000002,92.825,64.428,94.402,196.56,102.819,39.723,103.551,79.961,101.831,158.72799999999998,97.645,64.017,111.279,116.867,111.54899999999999,209.09799999999998,105.80799999999999,95.762,103.87200000000001,198.46099999999998,116.524,205.65,116.39200000000001,158.312,118.587,56.461999999999996,118.285,65.582,118.20100000000001,175.08,116.464,35.515,113.273,196.115,111.897,52.633,125.241,33.329,123.661,46.136,120.208,203.567,132.63,148.543,132.032,2.51,133.172,54.757,132.47799999999998,186.41,129.009,80.192,131.439,115.618,126.859,41.81,127.836,186.55,138.601,157.115,138.795,71.035,136.05,84.615,147.47299999999998,168.82299999999998,149.143,66.45100000000001,148.869,54.753,151.783,145.453,147.36700000000002,158.349,148.086,,,21.515,142.494,141.575,158.82,104.241,158.213,216.767,158.485,11.463,170.537,,,28.611,163.376,103.649,163.092,72.524,178.9,229.49099999999999,177.37400000000002,202.11700000000002,175.38400000000001,215.332,188.882,45.255,184.815,,,,,,,,,,,,
167.25,669.0,,51.232,17.02,144.925,18.058,62.901,12.935,100.93700000000001,26.61,174.979,23.015,187.74099999999999,49.792,177.7,51.108999999999995,82.39200000000001,48.79,56.538999999999994,39.735,208.699,43.121,92.06299999999999,36.765,180.882,39.251999999999995,23.333000000000002,35.667,31.305999999999997,36.208,47.093,64.279,112.897,59.696999999999996,182.382,58.053999999999995,205.19799999999998,51.248000000000005,169.173,51.748000000000005,214.18900000000002,79.7,206.565,81.348,198.243,78.631,144.304,75.097,37.957,73.718,153.826,70.801,189.68900000000002,70.007,54.786,66.64,196.44,68.406,50.405,92.915,182.43400000000003,92.186,36.341,87.73100000000001,212.475,90.01299999999999,183.09400000000002,83.725,190.097,95.488,100.331,95.211,34.309,94.51799999999999,163.933,92.792,64.472,94.42200000000001,196.558,102.806,39.787,103.639,79.91,101.77799999999999,158.691,97.654,64.015,111.26899999999999,116.87899999999999,111.542,209.06900000000002,105.833,95.598,103.99700000000001,198.454,116.55,205.671,116.39299999999999,158.13299999999998,118.47399999999999,56.513000000000005,118.26700000000001,65.632,118.155,175.12400000000002,116.471,35.515,113.26899999999999,196.113,111.89399999999999,52.626999999999995,125.234,33.342,123.67200000000001,46.153,120.209,203.558,132.53,148.46200000000002,132.043,2.464,133.085,54.775,132.483,186.386,129.023,80.12899999999999,131.297,115.671,126.825,41.847,127.867,186.47799999999998,138.518,157.075,138.78,70.931,136.042,84.65,147.497,168.829,149.171,66.40100000000001,148.829,54.738,151.548,145.468,147.403,158.35399999999998,148.02,,,21.456,142.512,141.628,158.789,104.221,158.243,216.604,158.565,11.524000000000001,170.607,,,28.546,163.366,103.65299999999999,163.085,72.502,178.794,229.622,177.30599999999998,202.048,175.465,215.34599999999998,188.872,45.339,184.81900000000002,,,,,,,,,,,,
167.5,670.0,,51.222,17.014,144.972,17.996,62.699,12.955,100.975,26.784000000000002,174.92,23.026999999999997,187.793,49.766999999999996,177.68200000000002,51.133,82.40100000000001,48.812,56.583,39.696,208.678,43.178000000000004,92.061,36.762,180.90900000000002,39.255,23.342,35.659,31.340999999999998,36.225,47.093999999999994,64.266,112.895,59.723,182.40400000000002,58.071999999999996,205.19799999999998,51.263000000000005,169.188,51.785,214.19,79.71600000000001,206.57,81.344,198.226,78.637,144.286,75.11,37.969,73.714,153.881,70.839,189.649,70.02199999999999,54.795,66.69800000000001,196.41299999999998,68.391,50.36,92.822,182.51,92.117,36.305,87.785,212.459,89.99,183.09900000000002,83.76100000000001,190.172,95.42,100.486,95.436,34.342,94.53,163.822,92.771,64.459,94.414,196.54,102.81700000000001,39.763000000000005,103.65,79.896,101.734,158.715,97.63,64.014,111.259,116.85600000000001,111.477,209.065,105.85700000000001,95.475,104.221,198.44099999999997,116.59200000000001,205.685,116.389,158.17600000000002,118.434,56.483999999999995,118.20200000000001,65.73,118.139,175.11700000000002,116.421,35.515,113.26700000000001,196.08599999999998,111.885,52.58,125.215,33.339,123.671,46.18,120.178,203.518,132.488,148.37,131.981,2.492,133.084,54.763999999999996,132.525,186.391,129.018,80.051,130.895,115.75200000000001,126.87200000000001,41.836999999999996,127.861,186.50599999999997,138.612,157.001,138.787,70.938,136.071,83.04700000000001,148.703,168.808,149.157,66.406,148.701,54.617,151.208,145.47799999999998,147.384,158.319,147.977,,,21.465,142.501,141.747,158.656,104.20100000000001,158.23,216.794,158.488,11.527999999999999,170.542,172.77,166.888,28.581999999999997,163.455,103.618,163.15,72.455,178.813,229.518,177.248,202.24400000000003,175.481,215.38299999999998,188.85299999999998,45.343999999999994,184.85,,,,,,,,,,,,
167.75,671.0,,51.272,17.02,144.865,17.962,62.67100000000001,12.940999999999999,100.949,26.71,174.93599999999998,23.063000000000002,187.793,49.748000000000005,177.69,51.183,82.39200000000001,48.869,56.555,39.832,208.705,43.229,92.04299999999999,36.754,180.916,39.266,23.351,35.702,31.35,36.156,47.133,64.248,112.854,59.769,182.419,58.07,205.18400000000003,51.33,169.227,51.798,214.178,79.71300000000001,206.551,81.337,198.22099999999998,78.657,144.3,75.119,37.986999999999995,73.719,153.95,70.872,189.641,70.031,54.845,66.72399999999999,196.40200000000002,68.374,50.31399999999999,92.791,182.565,92.109,36.283,87.807,212.495,90.01799999999999,183.123,83.744,190.19299999999998,95.32799999999999,100.587,95.493,34.291,94.524,163.972,92.839,64.457,94.369,196.53900000000002,102.8,39.821,103.699,79.824,101.76,158.798,97.65,64.01100000000001,111.26799999999999,116.865,111.46,209.05700000000002,105.897,95.395,104.28399999999999,198.456,116.613,205.707,116.38,158.225,118.45200000000001,56.48,118.194,65.67,118.15799999999999,175.122,116.375,35.586999999999996,113.219,196.078,111.85,52.515,125.223,33.353,123.69,46.23,120.14,203.5,132.486,148.375,131.99,2.48,133.123,54.711999999999996,132.534,186.391,129.009,80.04899999999999,130.732,115.79899999999999,126.863,41.835,127.884,186.455,138.569,156.899,138.678,70.919,136.082,82.941,148.819,168.84099999999998,149.148,66.32600000000001,148.87,54.565,150.985,145.458,147.366,158.326,147.92700000000002,84.751,147.655,21.408,142.46,141.916,158.586,104.212,158.25799999999998,216.703,158.393,11.704,170.68900000000002,172.745,166.71099999999998,28.465999999999998,163.317,103.62200000000001,163.113,72.23100000000001,178.481,229.61700000000002,177.25400000000002,202.141,175.483,215.408,188.84900000000002,45.373000000000005,184.764,,,,,,,,,,,,
168.0,672.0,,51.294,17.000999999999998,144.877,18.03,62.688,13.132,100.87700000000001,26.774,174.958,23.085,187.795,49.71,177.695,51.20399999999999,82.431,48.876999999999995,56.492,39.963,208.678,43.263000000000005,92.056,36.778,180.937,39.239000000000004,23.326,35.656,31.33,36.089,47.17100000000001,64.264,112.869,59.795,182.449,58.074,205.197,51.367,169.17,51.809,214.162,79.737,206.53900000000002,81.313,198.207,78.656,144.321,75.1,37.994,73.721,154.045,70.999,189.65599999999998,70.042,54.842,66.755,196.355,68.375,50.326,92.83,182.543,92.124,36.306999999999995,87.79899999999999,212.49400000000003,89.995,183.14,83.75299999999999,190.168,95.37100000000001,100.71,95.584,34.304,94.56299999999999,164.067,92.837,64.423,94.314,196.60299999999998,102.821,39.814,103.676,79.898,101.89299999999999,158.838,97.609,64.012,111.265,116.853,111.46600000000001,209.015,105.87899999999999,95.255,104.28,198.399,116.63,205.67,116.34100000000001,158.2,118.446,56.463,118.133,65.697,118.23200000000001,175.09400000000002,116.559,35.586999999999996,113.145,196.127,111.88,52.559,125.20200000000001,33.37,123.684,46.22,120.2,203.456,132.405,148.386,132.031,2.512,133.196,54.674,132.509,186.40599999999998,128.998,79.97399999999999,130.361,115.884,126.854,41.901,127.89399999999999,186.453,138.519,156.819,138.645,70.969,136.071,82.382,149.25,168.86,149.119,66.389,148.735,54.391999999999996,150.937,145.431,147.329,158.38299999999998,147.96200000000002,85.33200000000001,147.572,21.423000000000002,142.451,141.719,158.593,104.16799999999999,158.256,216.805,158.39600000000002,11.559000000000001,170.483,172.963,166.958,28.386,163.605,103.62,163.10299999999998,72.185,178.30200000000002,229.453,177.368,202.27,175.458,215.422,188.81099999999998,45.489,184.762,222.685,71.845,,,,,,,,,,
168.25,673.0,,51.291000000000004,16.944000000000003,144.826,18.067999999999998,62.688,13.195,100.82600000000001,26.755,174.935,23.09,187.778,49.684,177.68,51.192,82.45100000000001,48.931999999999995,56.407,40.01,208.65900000000002,43.291000000000004,92.06299999999999,36.786,180.925,39.21,23.362,35.707,31.355,36.162,47.20399999999999,64.303,112.85700000000001,59.833,182.467,58.097,205.23,51.403,169.196,51.827,214.16299999999998,79.762,206.515,81.329,198.238,78.64399999999999,144.292,75.093,37.999,73.732,154.091,71.005,189.637,70.038,54.864,66.786,196.278,68.36399999999999,50.325,92.822,182.55900000000003,92.11,36.326,87.80799999999999,212.475,89.98299999999999,183.15400000000002,83.759,190.206,95.396,100.654,95.488,34.324,94.553,164.082,92.785,64.36399999999999,94.29,196.61599999999999,102.787,39.864000000000004,103.736,79.891,101.887,158.795,97.51100000000001,64.048,111.28,116.859,111.447,208.982,105.87700000000001,95.23200000000001,104.29799999999999,198.377,116.581,205.66099999999997,116.35700000000001,158.20600000000002,118.47399999999999,56.485,118.15299999999999,65.759,118.23299999999999,175.143,116.648,35.512,113.178,196.122,111.898,52.515,125.141,33.367,123.714,46.295,120.09100000000001,203.49900000000002,132.385,148.31799999999998,132.07299999999998,2.516,133.18200000000002,54.684,132.523,186.41299999999998,128.991,79.91,130.224,115.891,126.867,41.931000000000004,127.90799999999999,186.426,138.511,156.86,138.688,70.938,136.061,82.34299999999999,149.298,168.842,149.119,67.641,146.895,54.426,151.231,145.423,147.304,158.388,147.974,,,21.394000000000002,142.40200000000002,141.74200000000002,158.55,104.162,158.25799999999998,216.804,158.392,11.354000000000001,170.36,172.958,166.873,28.427,163.72899999999998,103.626,163.139,72.485,178.734,229.602,177.16299999999998,202.06799999999998,175.487,215.456,188.81,45.486000000000004,184.78099999999998,222.437,71.889,,,,,,,,,,
168.5,674.0,,51.282,16.918,144.882,18.202,62.653999999999996,12.988,100.87100000000001,26.759,175.002,23.138,187.832,49.68600000000001,177.67700000000002,51.217,82.476,48.916000000000004,56.535,39.996,208.65599999999998,43.299,92.04700000000001,36.774,180.93200000000002,39.247,23.362,35.698,31.346999999999998,36.143,47.214,64.275,112.85700000000001,59.81,182.50599999999997,58.113,205.18,51.44,169.165,51.858999999999995,214.155,79.77,206.52200000000002,81.35300000000001,198.222,78.624,144.279,75.094,38.001,73.741,154.129,70.896,189.65099999999998,70.06,54.835,66.861,196.208,68.348,50.309,92.805,182.57,92.14200000000001,36.34,87.801,212.476,90.008,183.15200000000002,83.755,190.205,95.429,100.73700000000001,95.51799999999999,34.314,94.568,164.112,92.74600000000001,64.365,94.262,196.657,102.76799999999999,39.879,103.751,79.896,101.87799999999999,158.833,97.53399999999999,64.069,111.296,116.836,111.428,208.917,105.90700000000001,95.195,104.258,198.38299999999998,116.605,205.65900000000002,116.34700000000001,158.341,118.515,56.495,118.14399999999999,65.821,118.31200000000001,175.067,116.589,35.575,113.161,196.118,111.875,52.496,125.13799999999999,33.326,123.741,46.283,120.10700000000001,203.37400000000002,132.327,148.36700000000002,132.095,2.4930000000000003,133.011,54.681000000000004,132.516,186.45,129.015,79.903,130.148,115.834,126.789,41.95399999999999,127.932,186.419,138.484,156.817,138.713,70.967,136.071,82.29,149.416,168.83700000000002,149.067,67.679,146.61,55.0,152.0,145.458,147.30100000000002,158.377,147.94899999999998,84.05,148.077,21.358,142.355,141.889,158.463,104.15899999999999,158.273,216.761,158.373,11.568,170.541,172.99,166.803,28.525,163.79399999999998,103.663,163.148,72.471,178.69,229.757,177.18,201.972,175.46900000000002,215.46400000000003,188.8,45.507,184.803,222.455,71.881,,,,,,,,,,
168.75,675.0,,51.235,16.887999999999998,144.997,18.176,62.681999999999995,13.119000000000002,100.84899999999999,26.748,175.044,23.105999999999998,187.797,49.723,177.66400000000002,51.208,82.444,48.931000000000004,56.437,40.075,208.63299999999998,43.271,92.07799999999999,36.74,180.94099999999997,39.243,23.406,35.663000000000004,31.319000000000003,36.138000000000005,47.198,64.237,112.84100000000001,59.836999999999996,182.532,58.107,205.179,51.455,169.173,51.891999999999996,214.15200000000002,79.783,206.50099999999998,81.355,198.25099999999998,78.646,144.321,75.087,38.023,73.757,154.14,70.938,189.69400000000002,70.067,54.888000000000005,66.942,196.15,68.345,50.292,92.762,182.588,92.131,36.357,87.77799999999999,212.43,90.052,183.155,83.786,190.24900000000002,95.368,100.81,95.59700000000001,34.333,94.584,164.175,92.75299999999999,64.32300000000001,94.266,196.6,102.738,39.896,103.70100000000001,79.847,101.92399999999999,158.80700000000002,97.35700000000001,64.09,111.289,116.861,111.404,208.882,105.912,95.098,104.24700000000001,198.356,116.596,205.722,116.303,158.19799999999998,118.45299999999999,56.541000000000004,118.20299999999999,65.804,118.28299999999999,175.11599999999999,116.616,35.661,113.133,196.109,111.829,52.477,125.148,33.317,123.762,46.263999999999996,120.18799999999999,203.293,132.336,148.281,132.076,2.512,133.116,54.677,132.507,186.48,129.00799999999998,79.915,130.115,115.84200000000001,126.759,41.974,127.935,186.46400000000003,138.488,156.784,138.812,70.962,136.07399999999998,82.213,149.42600000000002,168.88099999999997,149.003,67.704,146.27200000000002,54.271,150.57299999999998,145.434,147.292,158.555,148.046,84.59899999999999,147.77100000000002,21.349,142.394,141.814,158.535,104.15299999999999,158.30200000000002,216.822,158.328,11.709000000000001,170.65,173.053,166.774,,,103.626,163.19899999999998,72.57300000000001,178.925,229.50599999999997,177.282,,,215.46099999999998,188.842,45.473,184.804,222.3,71.82,,,,,,,,,,
