TimesH,Frame,NoMissing,1,1,33,33,35,35,39,39,40,40,47,47,102,102,104,104,105,105,108,108,111,111,112,112,113,113,118,118,119,119,120,120,124,124,127,127,128,128,129,129,130,130,133,133,134,134,142,142,144,144,146,146,148,148,150,150,153,153,157,157,158,158,162,162,164,164,170,170,171,171,173,173,175,175,176,176,185,185,189,189,194,194,196,196,197,197,198,198,203,203,204,204,206,206,212,212,213,213,216,216,217,217,219,219,221,221,224,224,225,225,228,228,232,232,233,233,242,242,243,243,247,247,248,248,252,252,255,255,258,258,280,280,287,287,297,297,299,299,301,301,302,302,303,303,307,307,309,309,310,310,312,312,318,318,320,320,321,321,322,322,323,323,326,326,331,331,332,332,334,334,335,335,336,336,339,339,341,341,414,414,473,473,502,502,974,974,986,986,1086,1086,1118,1118,1128,1128,1189,1189
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
336.75,1347.0,,102.374,62.663999999999994,91.212,83.279,174.338,81.93,34.995,82.369,56.941,77.533,84.815,74.785,78.066,136.718,206.562,136.346,66.115,136.939,33.626999999999995,135.08700000000002,160.30700000000002,134.03,42.842,132.501,104.926,134.142,187.297,129.763,49.158,130.832,70.221,130.41299999999998,77.403,128.079,37.238,126.61200000000001,65.354,126.441,98.45200000000001,125.605,164.674,124.22200000000001,89.441,124.053,84.054,151.58700000000002,91.829,146.987,190.235,146.44299999999998,176.40599999999998,144.955,143.918,144.783,79.223,145.523,183.62599999999998,142.499,156.995,141.065,168.947,140.53,103.775,139.773,142.332,139.22,82.95299999999999,103.054,113.515,100.09200000000001,108.44200000000001,98.555,67.305,98.898,94.56700000000001,99.361,157.18,91.961,109.927,89.26700000000001,164.465,88.41799999999999,64.994,88.304,178.30700000000002,120.20700000000001,204.595,120.13,98.485,117.94,145.819,117.744,63.292,118.155,55.357,116.26,172.28599999999997,113.85,138.032,113.91,81.14399999999999,113.19200000000001,45.878,112.40799999999999,154.342,110.412,59.949,110.1,214.988,107.5,66.789,107.37299999999999,79.60600000000001,196.937,111.088,196.646,183.512,191.50400000000002,193.39,190.78099999999998,173.293,187.40599999999998,203.96200000000002,185.34900000000002,159.327,183.46099999999998,93.319,183.111,194.739,179.946,,,183.149,162.714,52.313,158.517,192.608,156.708,151.82299999999998,156.60399999999998,173.361,153.654,157.661,155.773,102.228,152.761,57.931999999999995,152.969,181.045,152.059,104.44200000000001,179.08700000000002,179.06900000000002,174.84,128.612,175.283,142.79399999999998,175.03400000000002,78.137,174.054,48.18600000000001,174.8,199.968,172.084,99.78299999999999,171.102,214.438,170.805,41.563,170.632,165.896,168.942,190.53900000000002,169.174,154.989,166.178,51.684,165.389,,,,,,,,,,,,,,,,,,
337.0,1348.0,,102.43799999999999,62.666000000000004,91.199,83.281,174.238,81.93799999999999,35.032,82.367,57.022,77.613,84.92200000000001,74.811,78.075,136.722,206.49099999999999,136.232,66.119,136.942,33.631,135.088,160.303,134.012,42.803000000000004,132.435,104.944,134.139,187.27900000000002,129.719,49.193000000000005,130.778,70.226,130.415,77.43,128.054,37.238,126.62,65.503,126.382,98.461,125.59299999999999,164.68599999999998,124.24,89.462,124.03299999999999,84.038,151.61,91.823,146.983,190.248,146.434,176.395,144.96200000000002,143.921,144.786,79.229,145.472,183.65900000000002,142.481,157.017,141.056,168.99599999999998,140.543,103.741,139.754,142.404,139.171,82.961,103.023,113.544,100.115,108.402,98.535,67.24600000000001,98.87700000000001,94.561,99.34100000000001,157.16899999999998,91.973,109.91799999999999,89.307,164.52900000000002,88.321,64.993,88.266,178.301,120.257,204.612,120.116,98.48899999999999,117.88799999999999,145.812,117.741,63.243,118.14200000000001,55.513000000000005,116.09200000000001,172.389,113.556,138.04399999999998,113.934,81.158,113.213,45.88399999999999,112.402,154.335,110.406,59.958,110.1,214.984,107.52600000000001,66.899,107.37100000000001,79.7,196.878,111.071,196.675,183.45,191.415,193.37099999999998,190.75599999999997,173.27200000000002,187.41299999999998,203.96,185.332,159.292,183.453,93.35700000000001,183.15400000000002,194.752,179.917,148.333,164.206,183.13,162.716,52.301,158.50799999999998,192.61900000000003,156.694,151.785,156.561,173.365,153.668,157.59,155.80200000000002,102.24600000000001,152.63,57.937,152.944,181.054,152.05700000000002,104.39200000000001,179.065,179.09400000000002,174.988,128.602,175.28599999999997,142.815,175.02900000000002,78.134,174.042,48.193000000000005,174.77700000000002,199.935,172.10299999999998,99.8,171.141,214.37400000000002,170.87400000000002,41.49100000000001,170.842,165.90900000000002,168.94,190.53900000000002,169.15099999999998,154.97799999999998,166.17,51.713,165.372,,,,,,,,,,,,,,,,,,
337.25,1349.0,,102.427,62.693000000000005,91.271,83.309,174.178,82.02,35.016,82.411,57.047,77.578,84.90700000000001,74.844,78.077,136.726,206.49200000000002,136.278,66.131,136.922,33.632,135.083,160.306,134.017,42.803999999999995,132.45,104.96700000000001,134.115,187.265,129.684,49.196000000000005,130.759,70.212,130.388,77.446,128.046,37.236,126.626,65.5,126.391,98.45200000000001,125.566,164.71200000000002,124.23200000000001,89.501,124.01799999999999,84.035,151.606,91.814,146.97,190.25799999999998,146.407,176.40599999999998,144.961,143.986,144.91299999999998,79.15100000000001,145.49200000000002,183.65200000000002,142.48,157.024,141.05700000000002,168.988,140.548,103.719,139.756,142.439,139.174,82.95700000000001,103.009,113.501,100.175,108.398,98.541,67.17399999999999,98.928,94.54700000000001,99.316,157.151,91.939,109.95100000000001,89.094,164.495,88.34299999999999,65.069,88.31,178.278,120.29299999999999,204.607,120.11200000000001,98.51799999999999,117.82799999999999,145.811,117.79799999999999,63.248999999999995,118.12899999999999,55.388999999999996,116.243,172.48,113.446,138.054,113.929,81.181,113.204,45.891000000000005,112.40700000000001,154.347,110.41,59.961999999999996,110.094,214.958,107.48200000000001,66.719,107.43799999999999,79.723,196.808,111.115,196.705,183.428,191.408,193.363,190.74900000000002,173.29,187.364,203.947,185.31599999999997,159.215,183.368,93.351,183.185,194.77599999999998,179.979,148.316,164.185,183.132,162.7,52.272,158.514,192.606,156.662,151.748,156.546,173.385,153.642,157.605,155.834,102.162,152.71,57.964,152.92700000000002,181.054,152.107,104.324,179.041,179.065,174.945,128.685,175.2,142.781,175.05200000000002,78.123,174.06900000000002,48.224,174.752,199.975,172.084,99.839,171.107,214.437,170.88400000000001,41.498999999999995,170.886,165.921,168.93599999999998,190.553,169.143,154.981,166.167,51.716,165.377,,,,,,,,,,,,,,,,,,
337.5,1350.0,,102.30799999999999,62.744,91.275,83.333,174.127,82.06299999999999,34.998000000000005,82.351,57.067,77.642,84.77799999999999,74.921,78.097,136.69899999999998,206.426,136.247,66.12100000000001,136.922,33.635,135.08,160.303,134.0,42.805,132.415,104.93799999999999,134.118,187.253,129.645,49.215,130.737,70.215,130.39700000000002,77.456,128.03799999999998,37.239000000000004,126.626,65.383,126.464,98.425,125.544,164.71200000000002,124.24,89.5,124.012,84.046,151.59799999999998,91.802,146.96,190.333,146.45,176.40099999999998,144.958,144.02200000000002,144.922,79.156,145.497,183.687,142.483,157.036,141.083,168.981,140.566,103.691,139.717,142.403,139.158,82.932,103.01299999999999,113.493,100.223,108.412,98.52799999999999,67.206,98.971,94.556,99.295,157.158,91.944,109.962,89.135,164.449,88.39,65.135,88.45700000000001,178.28799999999998,120.197,204.59400000000002,120.094,98.49600000000001,117.87899999999999,145.81799999999998,117.82700000000001,63.25899999999999,118.125,55.347,116.292,172.467,113.473,138.04399999999998,113.986,81.171,113.21,45.927,112.426,154.31799999999998,110.39,59.956,110.085,214.95,107.45700000000001,66.77,107.421,79.71,196.91400000000002,111.126,196.628,183.33900000000003,191.39700000000002,193.362,190.735,173.33900000000003,187.352,203.949,185.308,159.276,183.312,93.3,183.24099999999999,194.81,180.016,148.256,164.138,183.146,162.619,52.424,158.475,192.61,156.648,151.58100000000002,156.49200000000002,173.4,153.65,157.555,155.863,102.20299999999999,152.679,57.989,152.908,181.08599999999998,152.06,104.262,179.08900000000003,179.021,174.74599999999998,128.651,175.238,142.796,175.043,78.156,174.042,48.226000000000006,174.75900000000001,199.97299999999998,172.065,99.81,171.095,214.41,170.96,41.475,170.94,165.91099999999997,168.9,190.554,169.15599999999998,154.988,166.15599999999998,51.739,165.37900000000002,,,,,,,,,,,,,,,,,,
337.75,1351.0,,102.28299999999999,62.72,91.296,83.311,174.16099999999997,81.939,35.023,82.36,57.093,77.574,84.875,74.77199999999999,78.105,136.684,206.424,136.33100000000002,66.118,136.915,33.639,135.065,160.282,134.00799999999998,42.772,132.398,104.931,134.10299999999998,187.233,129.594,49.231,130.721,70.209,130.401,77.413,128.033,37.243,126.64399999999999,65.376,126.52799999999999,98.434,125.50399999999999,164.739,124.25399999999999,89.552,123.994,84.053,151.6,91.805,146.961,190.255,146.41,176.415,144.97299999999998,143.989,144.81799999999998,79.12100000000001,145.46200000000002,183.67,142.45600000000002,157.034,141.083,169.007,140.543,103.665,139.683,142.404,139.126,82.945,103.01100000000001,113.55,100.23899999999999,108.405,98.57799999999999,67.22399999999999,98.905,94.527,99.292,157.127,91.964,110.027,89.038,164.399,88.34899999999999,65.079,88.37700000000001,178.25,120.178,204.608,120.116,98.459,117.92299999999999,145.832,117.79799999999999,63.253,118.12200000000001,55.39,116.229,172.46,113.50200000000001,138.032,113.984,81.169,113.215,45.918,112.484,154.35399999999998,110.402,59.95,110.117,214.925,107.47399999999999,66.76100000000001,107.38799999999999,79.721,196.93099999999998,111.205,196.69400000000002,183.345,191.447,193.37400000000002,190.71900000000002,173.335,187.34799999999998,203.95,185.3,159.286,183.3,93.294,183.225,194.84799999999998,180.02599999999998,148.27200000000002,164.11599999999999,183.15,162.623,52.306999999999995,158.517,192.604,156.63,151.576,156.387,173.39700000000002,153.662,157.53,155.865,102.26799999999999,152.662,57.992,152.92600000000002,181.097,152.062,104.205,179.037,179.112,175.055,128.645,175.267,142.785,175.043,78.128,174.03799999999998,48.162,174.734,199.938,172.063,99.834,171.05900000000003,214.37099999999998,171.02,41.47,170.954,165.91299999999998,168.88299999999998,190.56,169.145,155.024,166.155,51.76,165.377,,,,,,,,,,,,,,,,,,
338.0,1352.0,,102.336,62.601000000000006,91.289,83.318,174.05900000000003,81.955,34.985,82.345,57.227,77.358,84.963,74.811,78.113,136.66,206.407,136.414,66.128,136.9,33.667,135.066,160.309,133.99200000000002,42.786,132.407,104.949,134.079,187.262,129.612,49.254,130.694,70.23100000000001,130.411,77.39399999999999,128.029,37.228,126.65,65.501,126.426,98.551,125.348,164.803,124.294,89.575,123.96799999999999,84.06200000000001,151.61,91.84,146.996,190.22099999999998,146.379,176.40200000000002,144.975,143.997,144.733,79.26100000000001,145.496,183.695,142.415,157.036,141.114,168.995,140.52700000000002,103.695,139.713,142.384,139.151,82.935,103.031,113.559,100.305,108.42200000000001,98.587,67.195,98.88,94.515,99.275,157.168,91.965,109.999,89.17,164.387,88.35700000000001,65.083,88.39,178.231,120.225,204.653,120.087,98.501,117.87100000000001,145.836,117.801,63.251999999999995,118.113,55.38399999999999,116.23700000000001,172.452,113.45200000000001,138.03799999999998,113.963,81.17699999999999,113.19200000000001,45.92100000000001,112.48700000000001,154.33700000000002,110.397,59.942,110.135,214.898,107.45,66.811,107.353,79.885,197.06599999999997,111.256,196.701,183.391,191.375,193.41,190.715,173.34900000000002,187.338,203.93400000000003,185.268,159.41899999999998,183.331,93.286,183.22400000000002,194.87099999999998,180.03,148.287,164.07,183.153,162.67700000000002,52.306000000000004,158.537,192.613,156.611,151.607,156.335,173.41299999999998,153.641,157.532,155.858,102.301,152.715,57.983999999999995,152.91,181.114,152.001,104.15,179.00900000000001,179.097,174.926,128.594,175.34099999999998,142.701,175.051,78.122,174.041,48.113,174.697,199.91299999999998,172.06099999999998,99.87299999999999,171.048,214.421,170.97,41.43899999999999,170.997,165.891,168.899,190.577,169.15,155.023,166.174,51.766000000000005,165.38099999999997,,,,,,,,,,,,,,,,,,
338.25,1353.0,,102.369,62.596000000000004,91.302,83.339,174.037,81.752,34.993,82.345,57.205,77.315,84.988,74.77600000000001,78.10600000000001,136.66,206.352,136.463,66.14,136.878,33.677,135.064,160.31799999999998,133.981,42.773,132.39700000000002,104.941,134.115,187.233,129.53,49.261,130.705,70.26,130.411,77.406,128.02100000000002,37.23,126.647,65.277,126.524,98.55799999999999,125.367,164.83900000000003,124.316,89.58,123.956,84.05799999999999,151.605,91.84200000000001,146.975,190.23,146.338,176.40200000000002,144.97799999999998,144.017,144.745,79.247,145.472,183.715,142.387,157.067,141.142,168.86599999999999,140.49200000000002,103.69,139.67700000000002,142.437,139.172,82.913,103.00200000000001,113.52799999999999,100.316,108.429,98.601,67.207,98.82600000000001,94.52,99.26299999999999,157.273,91.90700000000001,110.042,89.166,164.399,88.339,65.12,88.488,178.28900000000002,120.274,204.65400000000002,120.085,98.479,117.93799999999999,145.827,117.801,63.223,118.126,55.516999999999996,116.07600000000001,172.41099999999997,113.478,138.029,113.96799999999999,81.182,113.166,45.937,112.44,154.335,110.414,59.957,110.131,214.91099999999997,107.45299999999999,66.814,107.34200000000001,79.818,196.993,111.304,196.62900000000002,183.333,191.378,193.40400000000002,190.72099999999998,173.32299999999998,187.33,203.922,185.27200000000002,159.338,183.297,93.21799999999999,183.257,194.895,180.06,148.25,164.05900000000003,183.144,162.707,52.349,158.52,192.63099999999997,156.584,151.589,156.312,173.40599999999998,153.662,157.554,155.83100000000002,102.292,152.523,57.99,152.892,181.081,152.005,104.185,179.048,179.05200000000002,174.757,128.577,175.398,142.575,175.071,78.133,174.042,48.13399999999999,174.71599999999998,199.91299999999998,172.017,99.88,171.08900000000003,214.446,170.919,41.435,171.032,165.899,168.90400000000002,190.578,169.143,155.048,166.16299999999998,51.784,165.375,,,,,,,,,,,,,,,,,,
338.5,1354.0,,102.33200000000001,62.545,91.32799999999999,83.363,174.07,81.778,34.99,82.40899999999999,57.223,77.414,84.992,74.742,78.089,136.67,206.33599999999998,136.356,66.16,136.861,33.701,135.055,160.31,133.982,42.797,132.418,104.943,134.088,187.15099999999998,129.453,49.28,130.667,70.259,130.422,77.354,128.043,37.227,126.648,65.256,126.524,98.434,125.491,164.88299999999998,124.382,89.59700000000001,123.95700000000001,84.059,151.589,91.855,147.001,190.21599999999998,146.343,176.40099999999998,144.967,144.00799999999998,144.72799999999998,79.186,145.487,183.69,142.361,157.062,141.162,168.808,140.457,103.706,139.697,142.476,139.172,82.90100000000001,102.97200000000001,113.65799999999999,100.34200000000001,108.399,98.581,67.199,98.814,94.535,99.25,157.244,91.93299999999999,110.06299999999999,89.11,164.445,88.39399999999999,65.108,88.44200000000001,178.255,120.279,204.68599999999998,120.06299999999999,98.48899999999999,117.93,145.82399999999998,117.831,63.217,118.12799999999999,55.503,116.08,172.47400000000002,113.587,138.058,113.97399999999999,81.17699999999999,113.148,45.938,112.462,154.351,110.399,59.956,110.14,214.93099999999998,107.458,66.804,107.336,79.83,196.96599999999998,111.29700000000001,196.697,183.37900000000002,191.31799999999998,193.389,190.731,173.30599999999998,187.33,203.917,185.267,159.377,183.31900000000002,93.221,183.27,194.91,180.144,148.375,164.145,183.132,162.66899999999998,52.47,158.472,192.577,156.53,151.64600000000002,156.326,173.40400000000002,153.658,157.588,155.796,102.209,152.464,57.99100000000001,152.86,181.107,151.981,104.176,179.042,179.03799999999998,174.608,128.562,175.39700000000002,142.667,175.02700000000002,78.13600000000001,174.047,48.126999999999995,174.701,199.88,172.02700000000002,99.84299999999999,171.109,214.44799999999998,170.957,41.408,171.071,165.886,168.91299999999998,190.583,169.141,155.012,166.15400000000002,51.778,165.365,,,,,,,,,,,,,,,,,,
