TimesH,Frame,NoMissing,6,6,17,17,19,19,50,50,55,55,57,57,58,58,62,62,70,70,97,97,99,99,112,112,114,114,115,115,116,116,128,128,132,132,137,137,138,138,143,143,146,146,148,148,149,149,155,155,161,161,162,162,164,164,165,165,167,167,178,178,210,210,219,219,229,229,237,237,244,244,245,245,254,254,256,256,257,257,263,263,264,264,268,268,269,269,272,272,276,276,277,277,279,279,281,281,285,285,291,291,302,302,304,304,306,306,316,316,331,331,334,334,338,338,341,341,342,342,343,343,346,346,350,350,353,353,355,355,356,356,381,381,390,390,392,392,394,394,401,401,414,414,423,423,453,453,496,496,541,541,612,612,665,665,689,689,722,722,802,802,886,886,890,890,955,955,961,961,982,982,1006,1006,1010,1010,1012,1012,1072,1072,1239,1239
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
336.75,1347.0,,46.653,29.631999999999998,186.171,40.687,38.887,39.897,209.81099999999998,53.117,62.902,51.24,183.104,49.873999999999995,190.646,50.32899999999999,73.413,48.132,51.324,4.688,19.578,22.432,41.29,21.226,209.292,83.697,38.551,83.709,57.385,83.876,217.30900000000003,83.37100000000001,62.544,91.89399999999999,166.74599999999998,90.719,104.98100000000001,89.48,106.545,100.92299999999999,205.609,100.117,118.962,96.666,213.426,95.977,100.988,96.473,185.34900000000002,106.556,194.352,103.506,75.015,102.38799999999999,45.99100000000001,102.995,67.311,103.53200000000001,38.687,103.071,66.732,58.215,190.729,71.36399999999999,90.104,81.99799999999999,99.04299999999999,76.937,143.29399999999998,134.77,59.446000000000005,134.275,200.89,132.36,14.947000000000001,139.964,186.07,139.236,9.117,139.822,47.23,138.351,111.59899999999999,151.911,193.255,148.467,221.33700000000002,149.51,74.831,148.005,19.787,146.563,98.4,147.319,66.41,146.157,88.319,158.429,101.87299999999999,155.939,58.338,152.332,82.64299999999999,111.454,72.112,109.772,208.93099999999998,108.616,57.083,117.141,81.628,122.60600000000001,25.717,122.34200000000001,62.406000000000006,121.38799999999999,205.481,118.575,4.505,120.48299999999999,66.691,132.474,28.708000000000002,132.32299999999998,51.214,129.97299999999998,13.71,128.172,209.74900000000002,127.031,214.898,126.604,181.00400000000002,165.06099999999998,214.072,159.216,12.217,158.549,197.21400000000003,173.234,176.176,169.937,70.878,178.10299999999998,211.775,189.99900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337.0,1348.0,,46.662,29.625999999999998,186.19099999999997,40.687,38.867,39.841,209.785,53.121,62.92,51.256,183.143,49.847,190.655,50.31,73.42399999999999,48.108000000000004,51.291000000000004,4.681,19.62,22.451999999999998,41.297,21.173000000000002,209.3,83.679,38.549,83.684,57.368,83.89399999999999,217.267,83.35600000000001,62.553999999999995,91.89299999999999,166.745,90.713,105.07700000000001,89.39,106.54299999999999,100.86200000000001,205.59900000000002,100.08200000000001,118.96700000000001,96.69,213.44,95.85700000000001,100.978,96.459,185.321,106.429,194.342,103.50200000000001,74.92699999999999,102.45299999999999,46.023999999999994,103.035,67.39,103.535,38.75,103.073,66.757,58.21,190.688,71.37,90.125,82.007,99.01,76.918,143.298,134.786,59.468999999999994,134.219,200.863,132.343,14.937999999999999,139.953,186.06400000000002,139.248,9.117,139.815,47.20399999999999,138.454,111.635,151.612,193.261,148.474,221.365,149.499,74.785,147.947,19.782,146.566,98.366,147.291,66.362,146.156,88.335,158.387,101.882,155.942,58.431000000000004,152.378,82.681,111.44,72.235,109.82,208.945,108.634,57.083,117.12899999999999,81.652,122.598,25.733,122.35600000000001,62.573,121.209,205.516,118.56,4.4910000000000005,120.469,66.69,132.461,28.74,132.327,51.239,129.99200000000002,13.706,128.19299999999998,209.72400000000002,127.007,214.80200000000002,126.652,181.033,165.023,214.062,159.19799999999998,12.204,158.553,197.171,173.204,175.899,169.89,70.77199999999999,178.145,211.796,189.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337.25,1349.0,,46.696000000000005,29.565,186.171,40.659,38.871,39.852,209.768,53.108999999999995,62.906000000000006,51.255,183.15099999999998,49.821000000000005,190.63299999999998,50.287,73.39399999999999,48.066,51.354,4.753,19.586,22.423000000000002,41.402,21.186,209.292,83.656,38.528,83.677,57.391000000000005,83.846,217.278,83.406,62.558,91.906,166.72299999999998,90.67200000000001,105.352,89.24,106.555,100.82600000000001,205.602,100.11,118.98200000000001,96.691,213.40599999999998,95.90799999999999,101.096,96.579,185.298,106.448,194.33900000000003,103.49600000000001,74.949,102.51799999999999,46.022,103.071,67.497,103.53200000000001,38.789,103.06700000000001,66.76899999999999,58.196999999999996,190.674,71.389,90.126,82.039,99.007,76.915,143.306,134.757,59.452,134.263,200.834,132.364,14.968,139.9,186.055,139.211,9.118,139.843,47.251999999999995,138.27200000000002,111.62200000000001,151.52700000000002,193.295,148.57399999999998,221.34799999999998,149.52200000000002,74.851,147.931,19.781,146.591,98.38,147.259,66.454,146.211,88.325,158.375,101.90100000000001,155.959,58.358000000000004,152.405,82.709,111.436,72.08,109.85600000000001,208.924,108.62100000000001,57.117,117.12700000000001,81.703,122.58,25.807,122.37100000000001,62.68,121.17200000000001,205.514,118.573,4.486000000000001,120.479,66.67699999999999,132.487,28.750999999999998,132.33100000000002,51.20399999999999,129.96200000000002,13.693,128.185,209.69299999999998,126.979,214.965,126.601,181.00900000000001,165.05200000000002,214.047,159.181,12.193,158.539,197.16099999999997,173.172,175.847,169.947,70.861,178.09,211.812,190.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337.5,1350.0,,46.677,29.578000000000003,186.15400000000002,40.674,38.838,39.92,209.769,53.105,62.919,51.235,183.16299999999998,49.827,190.601,50.288999999999994,73.393,48.056999999999995,51.339,4.762,19.561,22.395,41.411,21.17,209.28900000000002,83.60600000000001,38.552,83.689,57.407,83.84200000000001,217.297,83.39,62.555,91.91,166.733,90.675,105.53399999999999,89.046,106.587,100.803,205.584,100.094,118.98,96.712,213.399,96.01700000000001,100.939,96.56,185.294,106.493,194.30900000000003,103.48299999999999,74.96600000000001,102.52799999999999,46.045,103.14299999999999,67.453,103.53,38.84,103.038,66.8,58.236999999999995,190.679,71.396,90.133,82.02799999999999,98.999,76.88,143.286,134.74200000000002,59.413000000000004,134.197,200.887,132.42,14.943,139.885,186.054,139.22899999999998,9.11,139.83,47.298,138.27700000000002,111.63799999999999,151.516,193.283,148.664,221.333,149.576,74.83800000000001,147.964,19.777,146.565,98.399,147.224,66.45,146.231,88.354,158.347,101.846,155.981,58.425,152.414,82.60600000000001,111.439,72.04899999999999,109.854,208.93599999999998,108.613,57.126000000000005,117.095,81.712,122.572,25.816,122.37,62.706,121.149,205.518,118.573,4.474,120.486,66.67399999999999,132.484,28.747,132.33,51.187,129.929,13.712,128.179,209.666,126.955,214.942,126.626,181.05200000000002,164.94099999999997,214.048,159.172,12.189,158.533,197.18,173.148,175.65900000000002,169.937,70.833,178.085,211.79,190.04,64.574,57.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337.75,1351.0,,46.59,29.634,186.138,40.65,38.815,39.926,209.785,53.096000000000004,62.946000000000005,51.263000000000005,183.122,49.847,190.59,50.278,73.43,48.068999999999996,51.401,4.773,19.554000000000002,22.480999999999998,41.349,21.090999999999998,209.304,83.62100000000001,38.535,83.721,57.368,83.829,217.33599999999998,83.383,62.555,91.92299999999999,166.739,90.68700000000001,105.54299999999999,89.04899999999999,106.618,100.76700000000001,205.597,100.09899999999999,118.98,96.726,213.40200000000002,95.947,100.949,96.546,185.222,106.49,194.298,103.492,75.005,102.516,46.047,103.116,67.414,103.529,38.833,103.069,66.878,58.281000000000006,190.695,71.377,90.146,82.04299999999999,99.027,76.817,143.327,134.719,59.431000000000004,134.299,201.00799999999998,132.482,14.946,139.877,186.078,139.287,9.118,139.821,47.294,138.28799999999998,111.684,151.50799999999998,193.231,148.746,221.355,149.582,74.804,147.929,19.826,146.571,98.40299999999999,147.256,66.497,146.234,88.335,158.30700000000002,101.853,155.96,58.309,152.335,82.58200000000001,111.439,72.241,109.84100000000001,208.933,108.598,57.13,117.098,81.69,122.564,25.831,122.37899999999999,62.826,121.098,205.512,118.568,4.499,120.417,66.67699999999999,132.485,28.756,132.333,51.176,129.89600000000002,13.706,128.187,209.643,126.95200000000001,214.997,126.62200000000001,181.03900000000002,164.984,214.05200000000002,159.166,12.19,158.545,197.11900000000003,173.136,175.62900000000002,169.93400000000003,70.788,178.111,211.763,190.051,64.428,57.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338.0,1352.0,,46.551,29.622,186.088,40.658,38.83,39.889,209.76,53.103,62.967,51.256,183.122,49.86,190.606,50.24,73.42399999999999,48.035,51.442,4.76,19.578,22.409000000000002,41.327,21.05,209.30900000000003,83.65,38.593,83.755,57.361000000000004,83.844,217.31599999999997,83.444,62.55,91.94200000000001,166.71200000000002,90.667,105.57700000000001,89.02600000000001,106.61,100.837,205.60299999999998,100.096,118.984,96.74700000000001,213.396,95.979,100.906,96.52600000000001,185.218,106.45700000000001,194.28,103.499,75.018,102.51899999999999,46.036,103.101,67.461,103.53,38.79,103.075,66.932,58.299,190.727,71.395,90.149,82.053,99.03200000000001,76.798,143.347,134.703,59.483000000000004,134.451,201.257,132.569,14.922,139.875,186.095,139.32299999999998,9.113,139.828,47.268,138.503,111.71799999999999,151.357,193.171,149.029,221.321,149.624,74.779,147.959,19.739,146.53,98.428,147.139,66.48899999999999,146.233,88.348,158.31799999999998,101.876,155.933,58.383,152.395,82.545,111.434,72.293,109.807,208.925,108.59299999999999,57.14,117.085,81.74,122.55,25.828000000000003,122.37700000000001,62.951,121.04899999999999,205.65900000000002,118.471,4.487,120.42399999999999,66.68,132.49200000000002,28.739,132.33,51.22,129.871,13.68,128.195,209.671,126.96,215.02900000000002,126.598,181.062,164.93400000000003,214.054,159.178,12.193,158.539,197.108,173.135,175.798,169.916,70.852,178.101,211.775,190.045,64.742,57.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338.25,1353.0,,46.568999999999996,29.636999999999997,186.06599999999997,40.647,38.846,39.845,209.74,53.065,62.995,51.287,183.128,49.843999999999994,190.59,50.25,73.416,48.023999999999994,51.453,4.723,19.643,22.436,41.333999999999996,20.967,209.303,83.635,38.65,83.785,57.335,83.82799999999999,217.299,83.426,62.547,91.934,166.71599999999998,90.68,105.615,89.00200000000001,106.58200000000001,100.811,205.611,100.054,119.009,96.788,213.351,95.977,100.762,96.50399999999999,185.19,106.48200000000001,194.268,103.495,75.008,102.494,46.038999999999994,103.038,67.48100000000001,103.531,38.830999999999996,103.08,66.916,58.275,190.737,71.373,90.161,82.064,99.073,76.845,143.35,134.695,59.515,134.422,201.067,132.493,14.927999999999999,139.871,186.123,139.314,9.107999999999999,139.816,47.286,138.418,111.729,151.311,193.253,148.786,221.31799999999998,149.582,74.785,147.964,19.561,146.44899999999998,98.443,147.024,66.569,146.285,88.321,158.276,101.905,155.94299999999998,58.433,152.38,82.488,111.469,72.315,109.779,208.947,108.62700000000001,57.168,117.069,81.768,122.545,25.848000000000003,122.406,63.004,121.02799999999999,205.65900000000002,118.459,4.468999999999999,120.42299999999999,66.678,132.487,28.748,132.32399999999998,51.205,129.861,13.654000000000002,128.222,209.65400000000002,126.97,215.09900000000002,126.568,181.05700000000002,164.91,214.055,159.186,12.212,158.55,197.088,173.11599999999999,175.636,169.91099999999997,70.87899999999999,178.13,211.796,190.077,64.45,57.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338.5,1354.0,,46.603,29.646,186.06799999999998,40.644,38.823,39.782,209.734,53.088,62.985,51.288000000000004,183.19400000000002,49.864,190.606,50.273,73.425,48.018,51.475,4.748,19.772000000000002,22.401,41.38,20.956999999999997,209.31599999999997,83.65700000000001,38.613,83.792,57.265,83.82600000000001,217.34599999999998,83.43,62.543,91.927,166.68400000000003,90.637,105.615,88.988,106.571,100.77,205.66400000000002,100.057,119.037,96.777,213.33900000000003,95.963,100.65700000000001,96.40799999999999,185.201,106.484,194.25400000000002,103.46799999999999,75.085,102.449,46.083999999999996,103.072,67.604,103.54,38.863,103.09899999999999,67.02199999999999,58.349,190.709,71.372,90.186,82.06,99.069,76.833,143.35299999999998,134.679,59.496,134.285,201.15400000000002,132.549,14.950999999999999,139.836,186.109,139.293,9.122,139.825,47.358000000000004,138.249,111.726,151.32299999999998,193.22299999999998,148.851,221.335,149.553,74.878,147.97899999999998,19.531,146.415,98.465,146.984,66.555,146.236,88.31299999999999,158.22299999999998,101.863,155.963,58.481,152.425,82.46,111.429,72.328,109.81299999999999,208.954,108.62100000000001,57.193999999999996,117.073,81.775,122.54700000000001,25.853,122.382,63.033,120.99,205.687,118.465,4.475,120.434,66.67699999999999,132.481,28.75,132.322,51.2,129.835,13.657,128.197,209.635,126.928,214.989,126.588,181.08,164.84,214.06599999999997,159.195,12.207,158.535,197.13,173.15099999999998,175.68,169.91400000000002,70.859,178.128,211.835,190.06799999999998,63.978,58.108000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
