 ,X,Y
1,128.304,105.021
2,128.302,107.011
3,128.324,109.364
4,128.344,111.906
5,128.335,114.465
6,128.273,116.868
7,128.136,119.039
8,127.906,121.031
9,127.568,122.911
10,127.106,124.744
11,126.546,126.575
12,125.969,128.422
13,125.460,130.302
14,125.096,132.232
15,124.859,134.214
16,124.662,136.240
17,124.416,138.303
18,124.040,140.396
19,123.549,142.509
20,123.022,144.636
21,122.537,146.768
22,122.173,148.896
23,121.935,150.999
24,121.738,153.043
25,121.494,154.991
26,121.114,156.808
27,120.582,158.511
28,119.969,160.179
29,119.347,161.893
30,118.777,163.715
31,118.251,165.604
32,117.742,167.489
33,117.220,169.296
34,116.669,170.996
35,116.096,172.660
36,115.513,174.376
37,114.928,176.222
38,114.294,178.149
39,113.530,180.021
40,112.551,181.698
41,111.294,183.066
42,109.843,184.190
43,108.355,185.218
44,106.983,186.302
45,105.788,187.509
46,104.645,188.755
47,103.407,189.936
48,101.956,190.964
49,100.317,191.836
50,98.560,192.574
51,96.755,193.200
52,94.940,193.745
53,93.098,194.252
54,91.209,194.765
55,89.254,195.327
56,87.222,195.916
57,85.110,196.453
58,82.916,196.858
59,80.640,197.050
60,78.302,197.024
61,75.966,196.910
62,73.700,196.848
63,71.571,196.981
64,69.627,197.413
65,67.806,198.031
66,66.003,198.640
67,64.114,199.046
68,62.073,199.118
69,59.921,198.917
70,57.722,198.536
71,55.539,198.072
72,53.426,197.606
73,51.392,197.138
74,49.430,196.642
75,47.533,196.093
76,45.691,195.466
77,43.882,194.748
78,42.083,193.929
79,40.267,193.001
80,38.418,191.960
81,36.545,190.824
82,34.669,189.619
83,32.807,188.367
84,30.979,187.090
85,29.216,185.771
86,27.553,184.373
87,26.027,182.860
88,24.673,181.197
89,23.473,179.392
90,22.355,177.497
91,21.246,175.569
92,20.073,173.663
93,18.809,171.807
94,17.539,169.974
95,16.366,168.124
96,15.389,166.221
97,14.685,164.239
98,14.187,162.212
99,13.783,160.194
100,13.360,158.242
101,12.829,156.394
102,12.238,154.594
103,11.685,152.756
104,11.267,150.792
105,11.048,148.648
106,11.000,146.376
107,11.080,144.045
108,11.244,141.723
109,11.448,139.475
110,11.675,137.306
111,11.918,135.189
112,12.172,133.096
113,12.429,131.000
114,12.685,128.885
115,12.930,126.749
116,13.156,124.590
117,13.357,122.407
118,13.539,120.210
119,13.737,118.033
120,13.990,115.909
121,14.333,113.874
122,14.789,111.947
123,15.327,110.098
124,15.902,108.285
125,16.474,106.468
126,17.019,104.625
127,17.545,102.764
128,18.062,100.895
129,18.580,99.030
130,19.106,97.172
131,19.638,95.318
132,20.174,93.465
133,20.715,91.610
134,21.255,89.754
135,21.785,87.897
136,22.298,86.041
137,22.794,84.187
138,23.296,82.332
139,23.835,80.476
140,24.444,78.615
141,25.138,76.756
142,25.910,74.919
143,26.744,73.130
144,27.627,71.410
145,28.526,69.756
146,29.382,68.122
147,30.134,66.462
148,30.729,64.731
149,31.219,62.919
150,31.703,61.033
151,32.283,59.082
152,33.040,57.081
153,33.954,55.087
154,34.979,53.163
155,36.070,51.374
156,37.184,49.777
157,38.309,48.341
158,39.446,47.001
159,40.595,45.689
160,41.749,44.351
161,42.890,42.953
162,43.998,41.465
163,45.055,39.863
164,46.088,38.200
165,47.140,36.572
166,48.259,35.074
167,49.488,33.777
168,50.849,32.644
169,52.360,31.603
170,54.039,30.588
171,55.871,29.573
172,57.808,28.586
173,59.798,27.660
174,61.790,26.827
175,63.758,26.116
176,65.726,25.556
177,67.726,25.174
178,69.788,25.000
179,71.919,25.039
180,74.086,25.252
181,76.245,25.598
182,78.356,26.032
183,80.393,26.516
184,82.376,27.025
185,84.343,27.535
186,86.327,28.026
187,88.351,28.486
188,90.382,28.945
189,92.380,29.443
190,94.300,30.019
191,96.107,30.706
192,97.798,31.504
193,99.377,32.408
194,100.847,33.410
195,102.241,34.498
196,103.624,35.646
197,105.065,36.831
198,106.616,38.032
199,108.224,39.265
200,109.790,40.555
201,111.218,41.928
202,112.435,43.405
203,113.493,44.977
204,114.482,46.626
205,115.493,48.334
206,116.567,50.084
207,117.641,51.856
208,118.633,53.632
209,119.463,55.394
210,120.102,57.128
211,120.629,58.836
212,121.139,60.517
213,121.715,62.176
214,122.337,63.841
215,122.918,65.554
216,123.374,67.359
217,123.667,69.279
218,123.872,71.291
219,124.080,73.366
220,124.380,75.473
221,124.816,77.591
222,125.329,79.714
223,125.845,81.838
224,126.292,83.957
225,126.618,86.072
226,126.850,88.191
227,127.043,90.330
228,127.248,92.502
229,127.510,94.711
230,127.806,96.887
231,128.081,98.919
232,128.278,100.698
233,128.353,102.151
234,128.339,103.483
235,128.304,105.021
