 ,X,Y
1,210.333,42.000
2,209.530,40.749
3,208.759,39.396
4,207.953,37.913
5,207.043,36.313
6,205.958,34.755
7,204.627,33.429
8,202.987,32.510
9,201.096,31.954
10,199.108,31.544
11,197.180,31.060
12,195.431,30.327
13,193.794,29.425
14,192.136,28.514
15,190.326,27.755
16,188.324,27.243
17,186.213,26.972
18,184.090,26.932
19,182.047,27.111
20,180.114,27.495
21,178.247,28.068
22,176.403,28.816
23,174.543,29.718
24,172.687,30.734
25,170.880,31.809
26,169.168,32.891
27,167.589,33.943
28,166.128,35.025
29,164.751,36.230
30,163.429,37.649
31,162.142,39.293
32,160.893,41.083
33,159.682,42.936
34,158.510,44.766
35,157.390,46.549
36,156.344,48.324
37,155.397,50.137
38,154.571,52.031
39,153.840,54.009
40,153.134,56.033
41,152.382,58.068
42,151.517,60.077
43,150.541,62.049
44,149.519,63.996
45,148.519,65.931
46,147.607,67.865
47,146.794,69.786
48,146.030,71.658
49,145.262,73.440
50,144.441,75.097
51,143.554,76.638
52,142.615,78.099
53,141.638,79.520
54,140.658,80.949
55,139.742,82.457
56,138.955,84.111
57,138.336,85.947
58,137.822,87.887
59,137.332,89.827
60,136.785,91.668
61,136.166,93.390
62,135.553,95.090
63,135.030,96.872
64,134.662,98.817
65,134.411,100.887
66,134.209,103.005
67,133.988,105.096
68,133.705,107.114
69,133.402,109.114
70,133.142,111.173
71,132.984,113.367
72,132.957,115.733
73,133.003,118.203
74,133.054,120.693
75,133.037,123.121
76,132.891,125.407
77,132.630,127.541
78,132.327,129.560
79,132.056,131.502
80,131.886,133.404
81,131.832,135.305
82,131.881,137.239
83,132.021,139.245
84,132.234,141.343
85,132.490,143.519
86,132.756,145.747
87,133.001,148.005
88,133.204,150.268
89,133.401,152.505
90,133.636,154.682
91,133.956,156.768
92,134.396,158.739
93,134.933,160.629
94,135.520,162.488
95,136.113,164.368
96,136.680,166.294
97,137.222,168.221
98,137.745,170.099
99,138.255,171.880
100,138.779,173.583
101,139.360,175.298
102,140.046,177.116
103,140.868,179.088
104,141.811,181.127
105,142.851,183.119
106,143.965,184.948
107,145.127,186.535
108,146.301,187.953
109,147.453,189.315
110,148.548,190.732
111,149.617,192.216
112,150.757,193.688
113,152.065,195.059
114,153.597,196.272
115,155.270,197.359
116,156.970,198.375
117,158.583,199.371
118,160.083,200.354
119,161.558,201.267
120,163.110,202.047
121,164.799,202.667
122,166.573,203.205
123,168.351,203.765
124,170.064,204.438
125,171.738,205.157
126,173.473,205.745
127,175.370,206.019
128,177.475,205.904
129,179.705,205.564
130,181.962,205.195
131,184.147,204.996
132,186.193,205.081
133,188.148,205.289
134,190.081,205.406
135,192.059,205.218
136,194.101,204.665
137,196.154,203.902
138,198.158,203.101
139,200.056,202.431
140,201.826,201.937
141,203.497,201.493
142,205.101,200.961
143,206.663,200.238
144,208.183,199.332
145,209.655,198.273
146,211.079,197.097
147,212.488,195.881
148,213.935,194.724
149,215.469,193.723
150,217.076,192.880
151,218.630,192.033
152,219.993,191.007
153,221.073,189.674
154,221.950,188.124
155,222.749,186.497
156,223.588,184.924
157,224.490,183.420
158,225.425,181.930
159,226.360,180.399
160,227.265,178.790
161,228.116,177.090
162,228.888,175.291
163,229.558,173.386
164,230.125,171.387
165,230.594,169.313
166,230.972,167.184
167,231.267,165.018
168,231.506,162.830
169,231.723,160.633
170,231.950,158.442
171,232.213,156.267
172,232.495,154.099
173,232.755,151.921
174,232.955,149.714
175,233.059,147.464
176,233.078,145.171
177,233.049,142.849
178,233.011,140.512
179,233.002,138.173
180,233.031,135.842
181,233.065,133.523
182,233.066,131.220
183,232.997,128.938
184,232.834,126.682
185,232.597,124.463
186,232.317,122.293
187,232.026,120.186
188,231.749,118.145
189,231.489,116.128
190,231.240,114.080
191,230.994,111.944
192,230.748,109.686
193,230.506,107.350
194,230.276,105.000
195,230.062,102.698
196,229.870,100.503
197,229.672,98.412
198,229.424,96.388
199,229.082,94.393
200,228.612,92.391
201,228.061,90.370
202,227.512,88.327
203,227.048,86.261
204,226.733,84.173
205,226.516,82.084
206,226.303,80.023
207,226.004,78.020
208,225.551,76.093
209,224.991,74.212
210,224.397,72.336
211,223.843,70.424
212,223.349,68.473
213,222.849,66.540
214,222.268,64.691
215,221.534,62.985
216,220.653,61.426
217,219.688,59.973
218,218.703,58.584
219,217.746,57.195
220,216.839,55.703
221,216.001,54.002
222,215.240,52.033
223,214.518,49.925
224,213.788,47.855
225,213.000,46.000
226,212.126,44.482
227,211.214,43.200
228,210.333,42.000
